,akademi,allmoge,allmän,annan,annorlunda,artikel,begrepp,bilda,byta,del,dela,delta,ekonomi,ekonomisk,epok,era,europa,europeisk,finland,finne,finsk,folk,form,fred,fråga,furstendöme,förbi,fördrag,förena,föreställning,författning,förra,förändring,gemensam,general,geografisk,gestalt,grundlag,gräns,hertig,hertigdöme,historia,historisk,inre,inrikes,intresse,jämförelse,karta,kejsare,kombinera,koncept,konstitution,krig,kung,lag,land,liberal,lokal,makt,marskalk,medborgare,medeltid,medlem,modern,monark,mynt,napoleon,nation,offentlig,officiell,olik,område,parlament,penning,period,petersburg,politik,princip,protest,provins,publicera,regel,regent,regering,regeringsform,representation,rike,riksdag,ryss,ryssland,rättighet,samband,samfund,sedel,sekel,senat,skandinavien,skapa,skilja,språk,stat,styre,styresman,ställning,stånd,stödja,stötta,swensk,system,territorium,tid,tidig,trakt,universitet,valuta,ämbetsman,århundrade,överenskommelse
akademi,1.0,0.3386125862598419,0.27068883180618286,0.13911868631839752,0.14082011580467224,0.3178751766681671,0.2052391916513443,0.3332865834236145,0.0804714486002922,0.17309419810771942,0.17156119644641876,0.19866815209388733,0.512359082698822,0.4455256164073944,0.4771466553211212,0.21197445690631866,0.17705552279949188,0.2870996594429016,0.2436729371547699,0.16902679204940796,0.4134272634983063,0.18664978444576263,0.16414698958396912,0.1707809865474701,0.22873418033123016,0.35390427708625793,0.10646487772464752,0.390421062707901,0.1802770048379898,0.2956673502922058,0.2215762436389923,0.1300087869167328,0.3447614908218384,0.2523656189441681,0.26657482981681824,0.48625850677490234,0.27431610226631165,0.36696186661720276,0.2740630507469177,0.2640801668167114,0.29143616557121277,0.2966775596141815,0.36567580699920654,0.14810976386070251,0.2916914224624634,0.2935357391834259,0.3786214590072632,0.2884982228279114,0.22298601269721985,0.298632949590683,0.3444034457206726,0.27765896916389465,0.20695993304252625,0.12363366782665253,0.16490311920642853,0.11874692887067795,0.27814432978630066,0.37991344928741455,0.24979858100414276,0.38473182916641235,0.23565702140331268,0.4700656533241272,0.45147398114204407,0.24338439106941223,0.2593740224838257,0.192548930644989,0.2697218954563141,0.2573804259300232,0.3530336916446686,0.29142993688583374,0.19121327996253967,0.29590222239494324,0.3630509078502655,0.04404624179005623,0.4230565130710602,0.198695570230484,0.36462944746017456,0.3697822093963623,0.4286763668060303,0.24705713987350464,0.3397708237171173,0.316848486661911,0.27693602442741394,0.25254350900650024,0.40447160601615906,0.5355411767959595,0.1590794026851654,0.3498728275299072,0.22107313573360443,0.2083394080400467,0.19381120800971985,0.2981572449207306,0.4938451945781708,0.2075071930885315,0.3079451322555542,0.4849317967891693,0.4800103008747101,0.2725602388381958,0.17639347910881042,0.4626065194606781,0.2533467710018158,0.2845194637775421,0.36164477467536926,0.15639027953147888,0.2377091944217682,0.05985955521464348,0.2587040960788727,0.4204863905906677,0.2954440712928772,0.2865973711013794,0.20407529175281525,0.2578239440917969,0.17500358819961548,0.442453533411026,0.26476988196372986,0.37933510541915894,0.3349193036556244,0.31588470935821533
allmoge,0.3386125862598419,1.0,0.2511652112007141,0.19635114073753357,0.21683767437934875,0.1986147165298462,0.22145229578018188,0.4334069788455963,0.1008230671286583,0.1806112676858902,0.22239477932453156,0.22644366323947906,0.43225938081741333,0.4134824872016907,0.3826899230480194,0.21045257151126862,0.24761521816253662,0.31901082396507263,0.348197340965271,0.1628715991973877,0.3039025366306305,0.25170278549194336,0.10192439705133438,0.09410808235406876,0.14059877395629883,0.3382062017917633,0.14501388370990753,0.29636237025260925,0.2554645538330078,0.24525761604309082,0.25795355439186096,0.21580882370471954,0.22324854135513306,0.2698577344417572,0.18594543635845184,0.42104437947273254,0.30911514163017273,0.2877906560897827,0.17388413846492767,0.22977299988269806,0.3638626039028168,0.2594091296195984,0.3252916932106018,0.2292277067899704,0.22214099764823914,0.3858882188796997,0.3009994626045227,0.34281131625175476,0.1875825971364975,0.26183927059173584,0.3362921178340912,0.28115949034690857,0.14686381816864014,0.22792313992977142,0.16721494495868683,0.2633480429649353,0.3127839267253876,0.4300996661186218,0.25068551301956177,0.26117002964019775,0.36336269974708557,0.4292239546775818,0.4004182517528534,0.055717818439006805,0.21966591477394104,0.18444594740867615,0.10653532296419144,0.27011439204216003,0.20738349854946136,0.23139648139476776,0.30611249804496765,0.3303202986717224,0.12078095227479935,0.18712890148162842,0.4097784757614136,0.1733662188053131,0.2898225486278534,0.37885400652885437,0.3495674431324005,0.26117372512817383,0.3058335483074188,0.26698365807533264,0.2835516333580017,0.11703594028949738,0.32361891865730286,0.31130164861679077,0.2442178577184677,0.18045257031917572,0.19297677278518677,0.20098194479942322,0.24816586077213287,0.35811537504196167,0.3460460603237152,0.17161346971988678,0.2848360240459442,0.19117331504821777,0.41517186164855957,0.31983327865600586,0.3876703083515167,0.29361674189567566,0.28628191351890564,0.26211389899253845,0.39142686128616333,0.09735231846570969,0.1402185708284378,0.19576828181743622,0.2023347020149231,0.2420043647289276,0.21008190512657166,0.37240126729011536,0.2215161770582199,0.26632606983184814,0.18989615142345428,0.3769645690917969,0.30907773971557617,0.37941306829452515,0.3484764099121094,0.23111079633235931
allmän,0.27068883180618286,0.2511652112007141,0.9999999403953552,0.17106395959854126,0.2509920597076416,0.25367939472198486,0.24184384942054749,0.33509474992752075,0.1889551728963852,0.11754058301448822,0.19850116968154907,0.19692663848400116,0.3090732991695404,0.4067624807357788,0.35701024532318115,0.13522283732891083,0.35205647349357605,0.23342831432819366,0.24424566328525543,0.13052910566329956,0.1457236260175705,0.19760629534721375,0.2046569287776947,0.1877671778202057,0.2600083649158478,0.2808513045310974,0.11105284839868546,0.34670552611351013,0.1130581647157669,0.3262294828891754,0.26255109906196594,0.1740768551826477,0.2613310217857361,0.28216367959976196,0.10890191048383713,0.3818425238132477,0.28586551547050476,0.39017874002456665,0.20933112502098083,0.23292402923107147,0.28964418172836304,0.22487127780914307,0.3631538152694702,0.291157990694046,0.31902697682380676,0.32564881443977356,0.3339267373085022,0.21847259998321533,0.17733964323997498,0.2719433307647705,0.25873884558677673,0.37480881810188293,0.1974417120218277,0.2218998223543167,0.22380110621452332,0.1556234508752823,0.37180623412132263,0.32605278491973877,0.2104373425245285,0.23763026297092438,0.3167831003665924,0.35114210844039917,0.339907705783844,0.1184784322977066,0.27973082661628723,0.11957181245088577,0.2739991843700409,0.29288238286972046,0.35649216175079346,0.34130117297172546,0.21562136709690094,0.31991007924079895,0.3566390872001648,0.14658205211162567,0.3404349088668823,0.12028422951698303,0.26566600799560547,0.3161904811859131,0.3991827666759491,0.24120929837226868,0.3623083531856537,0.30214154720306396,0.30494433641433716,0.17891031503677368,0.40184229612350464,0.23418442904949188,0.19842270016670227,0.23763114213943481,0.23876547813415527,0.30497559905052185,0.16377641260623932,0.3407314121723175,0.3956911861896515,0.04534902423620224,0.34957388043403625,0.2882528305053711,0.38604816794395447,0.3719231188297272,0.1555996984243393,0.2325056791305542,0.2753330171108246,0.23262692987918854,0.3353017568588257,0.22681120038032532,0.2193593829870224,0.10593003779649734,0.2104126513004303,0.1557631492614746,0.29965338110923767,0.3266274333000183,0.19976332783699036,0.22324326634407043,0.14455579221248627,0.3341338336467743,0.2682735025882721,0.30389776825904846,0.2680802643299103,0.27180108428001404
annan,0.13911868631839752,0.19635114073753357,0.17106395959854126,0.9999999403953552,0.41207295656204224,0.17994581162929535,0.23645886778831482,0.2829413115978241,0.254177451133728,0.10057662427425385,0.15515948832035065,0.17748546600341797,0.23971807956695557,0.33046504855155945,0.3047241270542145,0.23128531873226166,0.21186354756355286,0.19583043456077576,0.20624291896820068,0.12755897641181946,0.10528864711523056,0.1920580267906189,0.24403753876686096,0.09090691804885864,0.23494133353233337,0.2793186604976654,0.23179824650287628,0.31131377816200256,0.11723165214061737,0.18348442018032074,0.265912264585495,0.21669341623783112,0.1638367623090744,0.14662089943885803,0.2261599749326706,0.22867611050605774,0.2938372492790222,0.2757371962070465,0.14498543739318848,0.13452063500881195,0.24683459103107452,0.0915108397603035,0.21222928166389465,0.18604746460914612,0.17626802623271942,0.25737902522087097,0.27572476863861084,0.16146419942378998,0.17225664854049683,0.23441262543201447,0.2547432482242584,0.27635064721107483,0.13654090464115143,0.17409557104110718,0.2048741728067398,0.17805665731430054,0.33085277676582336,0.30658018589019775,0.21083833277225494,0.18899983167648315,0.10591393709182739,0.26945966482162476,0.10907800495624542,0.0941181629896164,0.22597043216228485,0.1616259515285492,0.12980492413043976,0.12460663169622421,0.13836181163787842,0.2597549855709076,0.2771269977092743,0.28614944219589233,0.18268825113773346,0.2583426535129547,0.3379769027233124,0.1230553388595581,0.24435321986675262,0.24195899069309235,0.3000670373439789,0.18185101449489594,0.2863301634788513,0.2637690007686615,0.2426758110523224,0.1685083508491516,0.22889535129070282,0.18822014331817627,0.17674620449543,0.12374389171600342,0.2596724033355713,0.15592631697654724,0.22961051762104034,0.27721521258354187,0.21248480677604675,0.13318410515785217,0.2333625704050064,0.240343376994133,0.2560613453388214,0.3230462968349457,0.27863389253616333,0.2153676450252533,0.25201597809791565,0.28324511647224426,0.31627780199050903,0.15587124228477478,0.09384415298700333,0.15735188126564026,0.25449126958847046,0.17835769057273865,0.2847399115562439,0.3147099018096924,0.1762382984161377,0.231882706284523,0.1676003634929657,0.2751688063144684,0.3249823749065399,0.13109545409679413,0.14709074795246124,0.27761727571487427
annorlunda,0.14082011580467224,0.21683767437934875,0.2509920597076416,0.41207295656204224,1.0,0.32415279746055603,0.38386890292167664,0.23617297410964966,0.27287521958351135,0.18161651492118835,0.2320927381515503,0.22650505602359772,0.25128835439682007,0.4184752404689789,0.430002897977829,0.46080297231674194,0.3184574246406555,0.26949870586395264,0.12647698819637299,0.09355968236923218,0.08520226180553436,0.1011185571551323,0.2755085527896881,0.25273531675338745,0.5168501138687134,0.38674965500831604,0.24907036125659943,0.42677706480026245,0.13100665807724,0.38449281454086304,0.344108521938324,0.24018359184265137,0.3041878640651703,0.2686503529548645,0.1388310343027115,0.34954580664634705,0.42107975482940674,0.48513081669807434,0.19051113724708557,0.1277531385421753,0.3120468854904175,0.17167198657989502,0.29645150899887085,0.14483845233917236,0.1944238245487213,0.41210535168647766,0.4364638328552246,0.13070103526115417,0.24900022149085999,0.3447817265987396,0.3189982771873474,0.47273674607276917,0.2773669958114624,0.17887403070926666,0.335651159286499,0.1845831423997879,0.46962904930114746,0.456460565328598,0.39023488759994507,0.26868394017219543,0.22876626253128052,0.3426648676395416,0.21208088099956512,0.10309046506881714,0.38861313462257385,0.35191914439201355,0.2561158239841461,0.31547701358795166,0.22340059280395508,0.3961102068424225,0.27634626626968384,0.3769979476928711,0.269332617521286,0.3372551500797272,0.46802425384521484,0.13494627177715302,0.41685065627098083,0.3849605619907379,0.4892498850822449,0.2252851128578186,0.47233203053474426,0.3832526206970215,0.3097538650035858,0.2937789261341095,0.3649943768978119,0.19432489573955536,0.2276960164308548,0.14749565720558167,0.20201145112514496,0.3445490896701813,0.19166165590286255,0.42949551343917847,0.30602023005485535,0.3057863712310791,0.3642255663871765,0.3144947588443756,0.35264450311660767,0.40067243576049805,0.2936888337135315,0.14418908953666687,0.230031356215477,0.3312102258205414,0.3849191665649414,0.24163244664669037,0.21599283814430237,0.18421123921871185,0.22997835278511047,0.15407223999500275,0.38413721323013306,0.4484880566596985,0.15639591217041016,0.32083868980407715,0.1058994010090828,0.4191579222679138,0.5704434514045715,0.25855720043182373,0.23707252740859985,0.3764500617980957
artikel,0.3178751766681671,0.1986147165298462,0.25367939472198486,0.17994581162929535,0.32415279746055603,1.0,0.3856707513332367,0.22831881046295166,0.1587311029434204,0.2145596295595169,0.24116215109825134,0.22407202422618866,0.43130847811698914,0.47170132398605347,0.46361711621284485,0.3075253367424011,0.37834784388542175,0.3224279284477234,0.27959635853767395,0.13197295367717743,0.20290854573249817,0.1793966293334961,0.3129267692565918,0.2161182314157486,0.45948296785354614,0.3875832259654999,0.20819121599197388,0.5418334603309631,0.23576530814170837,0.29054179787635803,0.34115058183670044,0.144402876496315,0.4644371569156647,0.1543411910533905,0.27533158659935,0.5278451442718506,0.33973389863967896,0.47498244047164917,0.3604731261730194,0.2585161328315735,0.43466585874557495,0.42641985416412354,0.5165598392486572,0.28196215629577637,0.4541832506656647,0.338233083486557,0.43141570687294006,0.34421518445014954,0.3259570002555847,0.4947103261947632,0.34457406401634216,0.41612905263900757,0.3399146795272827,0.13734844326972961,0.26303863525390625,0.2070251852273941,0.43794551491737366,0.38430652022361755,0.36194929480552673,0.3922380208969116,0.2783130705356598,0.48366791009902954,0.38222581148147583,0.11666887253522873,0.35600751638412476,0.3718656003475189,0.3259010314941406,0.34496739506721497,0.2762274444103241,0.5718748569488525,0.28824353218078613,0.3115916848182678,0.36399540305137634,0.26651883125305176,0.44882529973983765,0.2794465720653534,0.37791457772254944,0.47444024682044983,0.5224570035934448,0.4233229160308838,0.5644822716712952,0.46980810165405273,0.300365686416626,0.3760013282299042,0.4937564432621002,0.36810538172721863,0.2728218734264374,0.3384397029876709,0.25084352493286133,0.47170209884643555,0.19429078698158264,0.4733215570449829,0.33916518092155457,0.34894925355911255,0.43441304564476013,0.4240347743034363,0.391629695892334,0.34370264410972595,0.27067652344703674,0.25223931670188904,0.3422289788722992,0.3739652633666992,0.17829342186450958,0.29121965169906616,0.2284909188747406,0.21580350399017334,0.3048575222492218,0.24735203385353088,0.4204707741737366,0.3985668420791626,0.1689499020576477,0.2058454304933548,0.31220847368240356,0.5232983827590942,0.40416911244392395,0.24428923428058624,0.5232802629470825,0.2127169817686081
begrepp,0.2052391916513443,0.22145229578018188,0.24184384942054749,0.23645886778831482,0.38386890292167664,0.3856707513332367,1.0,0.4075275659561157,0.24402038753032684,0.22064366936683655,0.24708028137683868,0.18866783380508423,0.3421558141708374,0.45674216747283936,0.46718457341194153,0.27855488657951355,0.3760858178138733,0.3946688175201416,0.18508978188037872,0.1372581124305725,0.1600753664970398,0.30459773540496826,0.37823399901390076,0.2507378160953522,0.47593048214912415,0.42429983615875244,0.29227015376091003,0.49299150705337524,0.2548644244670868,0.4519486725330353,0.43154171109199524,0.1978379637002945,0.38407236337661743,0.31588006019592285,0.2030744105577469,0.4658665060997009,0.5354633927345276,0.5224881768226624,0.24502724409103394,0.24589206278324127,0.42020559310913086,0.3461972773075104,0.43051406741142273,0.34317901730537415,0.17835675179958344,0.3987573981285095,0.4993506669998169,0.24476028978824615,0.1972433477640152,0.48704031109809875,0.3232051134109497,0.44882825016975403,0.2833325266838074,0.23261049389839172,0.35521942377090454,0.20848195254802704,0.528569757938385,0.44118261337280273,0.38960281014442444,0.3647492229938507,0.35922080278396606,0.41518473625183105,0.3154219090938568,0.2230905294418335,0.47552454471588135,0.22906538844108582,0.42827725410461426,0.39395469427108765,0.12757812440395355,0.4315078556537628,0.3756786584854126,0.2965511679649353,0.3944549560546875,0.20802710950374603,0.5321201682090759,0.18734753131866455,0.5304921269416809,0.5480305552482605,0.481326162815094,0.3108571767807007,0.5185692310333252,0.4567108750343323,0.4343651533126831,0.3093242049217224,0.4339475929737091,0.34100261330604553,0.18868085741996765,0.1652725636959076,0.3162524104118347,0.348885715007782,0.2820490598678589,0.550910472869873,0.34071359038352966,0.10262598842382431,0.39534565806388855,0.34589770436286926,0.45523133873939514,0.5758377313613892,0.3396915793418884,0.28890934586524963,0.23339472711086273,0.36035826802253723,0.3977270722389221,0.3617570102214813,0.11818451434373856,0.3141308128833771,0.19536982476711273,0.1911107897758484,0.5083446502685547,0.47964581847190857,0.17957019805908203,0.3740164041519165,0.164311021566391,0.4846316874027252,0.40650978684425354,0.20221923291683197,0.4443782866001129,0.3202033042907715
bilda,0.3332865834236145,0.4334069788455963,0.33509474992752075,0.2829413115978241,0.23617297410964966,0.22831881046295166,0.4075275659561157,1.0000001192092896,0.23564152419567108,0.2601556181907654,0.35260215401649475,0.25425925850868225,0.495145320892334,0.5232099294662476,0.5669867992401123,0.22085903584957123,0.39608731865882874,0.430952787399292,0.2917126715183258,0.20183414220809937,0.29324591159820557,0.39422810077667236,0.3543032705783844,0.18743665516376495,0.2645440697669983,0.4492969214916229,0.2069234997034073,0.4551416039466858,0.37268301844596863,0.3232901394367218,0.21371911466121674,0.15489819645881653,0.24893637001514435,0.3096756041049957,0.245194673538208,0.5435285568237305,0.574580729007721,0.381256639957428,0.2550763785839081,0.26975879073143005,0.4273400902748108,0.3272322416305542,0.4216856360435486,0.3758505880832672,0.21898317337036133,0.41192540526390076,0.4183800220489502,0.3654511272907257,0.2486879676580429,0.32109951972961426,0.403352290391922,0.4479462802410126,0.19607706367969513,0.3410356938838959,0.22948278486728668,0.2724696397781372,0.548069179058075,0.5075631141662598,0.3585297763347626,0.3596370816230774,0.464070200920105,0.4391258656978607,0.563258945941925,0.2655130624771118,0.46731191873550415,0.1794084757566452,0.3199261724948883,0.33918213844299316,0.2291017770767212,0.2563503384590149,0.41194576025009155,0.3317776620388031,0.2500258684158325,0.17162874341011047,0.5477146506309509,0.08481080830097198,0.534493625164032,0.5761435031890869,0.41598549485206604,0.2821333408355713,0.39320337772369385,0.48233655095100403,0.46574947237968445,0.23820869624614716,0.4425949454307556,0.37755438685417175,0.24947573244571686,0.18513277173042297,0.24763238430023193,0.23202577233314514,0.2289840281009674,0.49067407846450806,0.5538883209228516,0.11312629282474518,0.49827998876571655,0.32241588830947876,0.5454068779945374,0.5753039121627808,0.3864584267139435,0.40453943610191345,0.3095549941062927,0.41235053539276123,0.5237532258033752,0.22977080941200256,0.26669684052467346,0.2750168740749359,0.2094293087720871,0.3430159389972687,0.45237502455711365,0.4286927282810211,0.23424570262432098,0.3761133551597595,0.1607736200094223,0.4879671335220337,0.3180088400840759,0.4705779254436493,0.41079747676849365,0.3267847001552582
byta,0.0804714486002922,0.1008230671286583,0.1889551728963852,0.254177451133728,0.27287521958351135,0.1587311029434204,0.24402038753032684,0.23564152419567108,0.9999999403953552,0.19430771470069885,0.2743872404098511,0.21007311344146729,0.2840406596660614,0.4436625838279724,0.2969799041748047,0.4983408451080322,0.13834688067436218,0.21559137105941772,0.10178522020578384,0.3501751720905304,0.18114732205867767,0.19504038989543915,0.29345446825027466,0.14693449437618256,0.2984806001186371,0.3996652662754059,0.22618457674980164,0.28793394565582275,0.14643649756908417,0.20808115601539612,0.1656574308872223,0.09769079834222794,0.21226339042186737,0.16914090514183044,0.12943997979164124,0.3517129421234131,0.35022789239883423,0.3201638460159302,0.1756078153848648,0.15290170907974243,0.1711638867855072,0.1812499314546585,0.21270006895065308,0.13267676532268524,0.14057105779647827,0.37066391110420227,0.28720322251319885,0.2536002993583679,0.21996408700942993,0.17655710875988007,0.39455369114875793,0.2594694495201111,0.1936880201101303,0.3253500759601593,0.19757992029190063,0.18528932332992554,0.3184804618358612,0.37589359283447266,0.23366139829158783,0.1841880977153778,0.17028456926345825,0.27353689074516296,0.17585156857967377,0.40834468603134155,0.25558093190193176,0.236352801322937,0.19281955063343048,0.13280850648880005,0.18111880123615265,0.17536580562591553,0.2891116738319397,0.31247201561927795,0.16051043570041656,0.26874372363090515,0.26592668890953064,0.169280007481575,0.20360085368156433,0.2488003820180893,0.4548371732234955,0.16099794209003448,0.1902908831834793,0.3220934271812439,0.21530906856060028,0.13973607122898102,0.2667410671710968,0.19201543927192688,0.09856215864419937,0.1933807134628296,0.2562025487422943,0.18741221725940704,0.28079578280448914,0.275796502828598,0.15384526550769806,0.23046571016311646,0.25219324231147766,0.13987992703914642,0.2936156094074249,0.3506466746330261,0.3198949098587036,0.21311508119106293,0.15847235918045044,0.5753917694091797,0.2443438470363617,0.23338858783245087,0.22695496678352356,0.22968314588069916,0.33211737871170044,0.22790305316448212,0.16939707100391388,0.4267673194408417,0.12807869911193848,0.2382926642894745,0.2070721983909607,0.27110883593559265,0.4499841034412384,0.14118726551532745,0.2223278433084488,0.5582758784294128
del,0.17309419810771942,0.1806112676858902,0.11754058301448822,0.10057662427425385,0.18161651492118835,0.2145596295595169,0.22064366936683655,0.2601556181907654,0.19430771470069885,1.0,0.27596142888069153,0.2778184115886688,0.363928884267807,0.3591553568840027,0.38093966245651245,0.25214844942092896,0.20995503664016724,0.2894664406776428,0.12251995503902435,0.15285325050354004,0.1951836794614792,0.12848471105098724,0.2277373969554901,0.18690110743045807,0.27522698044776917,0.37178701162338257,0.10313243418931961,0.33724740147590637,0.19883547723293304,0.1824064999818802,0.17610841989517212,0.13195961713790894,0.24423809349536896,0.16733606159687042,0.14595478773117065,0.3727632761001587,0.3364754319190979,0.33013686537742615,0.20581471920013428,0.19206683337688446,0.34968605637550354,0.28372547030448914,0.341817170381546,0.22169093787670135,0.1783720850944519,0.3162737488746643,0.33045774698257446,0.2903513014316559,0.12022014707326889,0.27105581760406494,0.24955126643180847,0.2190442830324173,0.23139047622680664,0.13210055232048035,0.13570566475391388,0.19519677758216858,0.26876381039619446,0.33673202991485596,0.2685468792915344,0.2962443232536316,0.12013664841651917,0.3900730609893799,0.25049638748168945,0.11579622328281403,0.22912423312664032,0.2315293550491333,0.2700653672218323,0.1891288161277771,0.1492656171321869,0.23055845499038696,0.16848063468933105,0.3283308744430542,0.2033497840166092,0.20386937260627747,0.31436917185783386,0.14252077043056488,0.29352492094039917,0.33155378699302673,0.3286121189594269,0.3450538218021393,0.3162909150123596,0.31275907158851624,0.20929843187332153,0.15192513167858124,0.2814044952392578,0.27844172716140747,0.18275120854377747,0.26449185609817505,0.1749996393918991,0.28196001052856445,0.27522069215774536,0.37093469500541687,0.18335406482219696,0.24211208522319794,0.22800801694393158,0.2691285014152527,0.37338152527809143,0.28634655475616455,0.2903969883918762,0.11980268359184265,0.2225741147994995,0.3493846356868744,0.22750777006149292,0.21677526831626892,0.15696686506271362,0.20350302755832672,0.1335229128599167,0.27040988206863403,0.20712241530418396,0.3805699050426483,0.2092186063528061,0.16753506660461426,0.3046313226222992,0.2701699435710907,0.28760024905204773,0.17830777168273926,0.32220369577407837,0.24467603862285614
