,allmoge,allmän,annan,annorlunda,artikel,begrepp,byta,del,dela,delta,era,europa,finland,finne,finsk,folk,form,fred,fråga,förbi,förena,föreställning,författning,förra,förändring,gemensam,general,hertig,historia,inre,inrikes,jämförelse,kejsare,krig,kung,lag,land,makt,medborgare,medlem,modern,mynt,nation,olik,parlament,penning,regel,regent,regering,rike,riksdag,rättighet,samfund,sedel,skilja,språk,stat,ställning,stånd,stödja,swensk,tid,tidig,trakt,ämbetsman
allmoge,1.0,0.6230437159538269,0.3772975504398346,0.6214567422866821,0.6983226537704468,0.6425099968910217,0.43024834990501404,0.5618642568588257,0.6400198936462402,0.5359829068183899,0.614944577217102,0.6408299803733826,0.38133716583251953,0.5357791781425476,0.5500211119651794,0.5068645477294922,0.6403700709342957,0.4610457420349121,0.5503460764884949,0.511637806892395,0.6349790096282959,0.6845362782478333,0.7645366191864014,0.44463956356048584,0.7163267135620117,0.6954305171966553,0.44827982783317566,0.5905357003211975,0.58469557762146,0.580471396446228,0.5632947683334351,0.6482877731323242,0.6492131352424622,0.5824750661849976,0.41292646527290344,0.47020384669303894,0.45055580139160156,0.606389582157135,0.6270724534988403,0.6888086795806885,0.368886262178421,0.3178401291370392,0.738251805305481,0.6778182983398438,0.6079086661338806,0.5349883437156677,0.6296204924583435,0.6017618179321289,0.48933297395706177,0.5904310345649719,0.4708785116672516,0.5694478750228882,0.7008026838302612,0.3724249601364136,0.6542791724205017,0.3556188642978668,0.6131747364997864,0.7021659016609192,0.29655393958091736,0.5534572601318359,0.5867669582366943,0.4137675166130066,0.6853750944137573,0.37446367740631104,0.65574711561203
allmän,0.6230437159538269,1.0000001192092896,0.3316260278224945,0.5251268148422241,0.6149294972419739,0.5266090631484985,0.3929039239883423,0.46536728739738464,0.5824906229972839,0.5046565532684326,0.5100823044776917,0.5499247908592224,0.18512411415576935,0.5316965579986572,0.4042028486728668,0.36869099736213684,0.5678609013557434,0.4851212501525879,0.5863105058670044,0.42183247208595276,0.5059926509857178,0.5584692358970642,0.7501411437988281,0.43765854835510254,0.6376524567604065,0.6082926392555237,0.37808316946029663,0.4137071371078491,0.4681282341480255,0.5280817747116089,0.5782409906387329,0.5942840576171875,0.5468243360519409,0.5600171685218811,0.4070585072040558,0.5084967017173767,0.36392083764076233,0.5633869171142578,0.5384891629219055,0.6028788685798645,0.315544992685318,0.2909780442714691,0.6634004712104797,0.5804886817932129,0.5270370841026306,0.5092946290969849,0.5694878697395325,0.5549083352088928,0.4281419813632965,0.6089242100715637,0.4790809750556946,0.6113685965538025,0.6327806115150452,0.30289217829704285,0.48951125144958496,0.33058929443359375,0.5609763860702515,0.6266524195671082,0.462961882352829,0.4240904748439789,0.4783591330051422,0.4931448698043823,0.6357071399688721,0.2572929561138153,0.6359031796455383
annan,0.3772975504398346,0.3316260278224945,1.0,0.5956376791000366,0.44442465901374817,0.4961268901824951,0.44403308629989624,0.2598859667778015,0.3109248876571655,0.40763092041015625,0.4323295056819916,0.2754868268966675,0.24505092203617096,0.35496950149536133,0.3871557414531708,0.2660713791847229,0.3823838531970978,0.27546870708465576,0.37657034397125244,0.301310658454895,0.38706469535827637,0.41658860445022583,0.4879591464996338,0.3601284921169281,0.5038707256317139,0.4393279552459717,0.24230176210403442,0.35642775893211365,0.1988009214401245,0.38634854555130005,0.26980066299438477,0.49979639053344727,0.39042916893959045,0.26864033937454224,0.21061550080776215,0.3498399555683136,0.315357506275177,0.42706504464149475,0.3650253117084503,0.4342028498649597,0.3176999092102051,0.21455353498458862,0.4101080000400543,0.40643176436424255,0.4723654091358185,0.42853936553001404,0.4310702383518219,0.3860214054584503,0.3481298089027405,0.33312666416168213,0.14375488460063934,0.4615413546562195,0.40440136194229126,0.25515568256378174,0.4316190779209137,0.33798858523368835,0.3119519054889679,0.37821274995803833,0.16119305789470673,0.439253032207489,0.3615841567516327,0.2424931526184082,0.3715653717517853,0.3030632734298706,0.36705562472343445
annorlunda,0.6214567422866821,0.5251268148422241,0.5956376791000366,1.0,0.7185826897621155,0.7368502020835876,0.5472738146781921,0.4437064528465271,0.5687304139137268,0.5666269063949585,0.6922196745872498,0.6440742015838623,0.2683835029602051,0.5211989879608154,0.5213578939437866,0.376215398311615,0.5569089651107788,0.3781377077102661,0.6914817094802856,0.5426381826400757,0.6449155211448669,0.7506924271583557,0.6561195850372314,0.4743517339229584,0.6713442802429199,0.5747581124305725,0.36474186182022095,0.5178960561752319,0.4110477864742279,0.5684739351272583,0.4255712628364563,0.6825407147407532,0.6932829022407532,0.5028449296951294,0.44343653321266174,0.5320369005203247,0.3266182243824005,0.7845594882965088,0.4922311007976532,0.7531640529632568,0.34147900342941284,0.3810564875602722,0.6499481201171875,0.6859486103057861,0.712092936038971,0.5542953610420227,0.7626113891601562,0.7801437973976135,0.4263736605644226,0.47264528274536133,0.38607057929039,0.5641608238220215,0.7407777309417725,0.3661670684814453,0.7391877174377441,0.2616642415523529,0.574159562587738,0.6681238412857056,0.2800770699977875,0.5768592357635498,0.6018373966217041,0.36725565791130066,0.7142994403839111,0.2666638195514679,0.5779963731765747
artikel,0.6983226537704468,0.6149294972419739,0.44442465901374817,0.7185826897621155,1.0,0.8826531767845154,0.7097747921943665,0.5312777161598206,0.7293741106987,0.6169133186340332,0.8640124201774597,0.7088977098464966,0.47776082158088684,0.6684203147888184,0.7820865511894226,0.4891354441642761,0.7852098345756531,0.5655454993247986,0.7074049711227417,0.624355673789978,0.7284111976623535,0.7600004076957703,0.7151519656181335,0.5016033053398132,0.800166130065918,0.8247866034507751,0.48976707458496094,0.615084171295166,0.6194272041320801,0.7922114133834839,0.6591373682022095,0.8754326105117798,0.7576155066490173,0.6258244514465332,0.6259251832962036,0.558506429195404,0.4547691345214844,0.8450340032577515,0.6337776780128479,0.8812012076377869,0.5883492827415466,0.43468961119651794,0.7098637223243713,0.719111979007721,0.873679518699646,0.5970103144645691,0.8397411108016968,0.8027818202972412,0.5759085416793823,0.5660437941551208,0.582780659198761,0.6712021231651306,0.8348255157470703,0.4677176773548126,0.8153073787689209,0.4832756519317627,0.6758908033370972,0.799039363861084,0.4646748900413513,0.8310319781303406,0.7765212059020996,0.4446117877960205,0.8516953587532043,0.6007404923439026,0.6894857287406921
begrepp,0.6425099968910217,0.5266090631484985,0.4961268901824951,0.7368502020835876,0.8826531767845154,1.0,0.7979627251625061,0.4605507552623749,0.6235902309417725,0.6099960803985596,0.9003222584724426,0.6777474880218506,0.5459684133529663,0.590777575969696,0.8006415963172913,0.47894155979156494,0.6842039823532104,0.4962034821510315,0.7301855683326721,0.6374000906944275,0.6777011752128601,0.7657650113105774,0.6686710119247437,0.4532023072242737,0.6989762187004089,0.7509302496910095,0.5353251695632935,0.6246887445449829,0.49871164560317993,0.72264564037323,0.6758219003677368,0.9058809280395508,0.7943055033683777,0.5193635821342468,0.5754529237747192,0.5598920583724976,0.4286161959171295,0.7658485174179077,0.5959824323654175,0.8900632262229919,0.6186866760253906,0.49104878306388855,0.656992495059967,0.6531058549880981,0.9191165566444397,0.6311957240104675,0.8824054002761841,0.8239806890487671,0.48022857308387756,0.4412008225917816,0.5174453258514404,0.5907912254333496,0.7778714299201965,0.5278590321540833,0.8315421342849731,0.4771438539028168,0.6784815192222595,0.757119357585907,0.4487183392047882,0.7810786366462708,0.7738218307495117,0.4400532841682434,0.8361523747444153,0.5992292761802673,0.6690745949745178
byta,0.43024834990501404,0.3929039239883423,0.44403308629989624,0.5472738146781921,0.7097747921943665,0.7979627251625061,1.0,0.38362738490104675,0.549054741859436,0.6215617656707764,0.7673835158348083,0.5235407948493958,0.45461323857307434,0.5386282205581665,0.7010975480079651,0.3806834816932678,0.49700409173965454,0.47771888971328735,0.6067554354667664,0.5107875466346741,0.5151020288467407,0.6158351898193359,0.5066764950752258,0.332632452249527,0.5228706002235413,0.5990498661994934,0.3789973556995392,0.5150037407875061,0.33449551463127136,0.602446973323822,0.5425026416778564,0.7586766481399536,0.6584218740463257,0.4273765981197357,0.5547808408737183,0.38859760761260986,0.417268306016922,0.6226873397827148,0.4058002233505249,0.7273475527763367,0.614094078540802,0.5722740888595581,0.46197745203971863,0.41997820138931274,0.7999529242515564,0.5278010964393616,0.7123040556907654,0.6274687647819519,0.4474777579307556,0.2936401665210724,0.34546276926994324,0.4994810223579407,0.6161631345748901,0.4161863923072815,0.6779177784919739,0.38355809450149536,0.6001346707344055,0.6109657287597656,0.3779368996620178,0.603519082069397,0.587792694568634,0.3451991677284241,0.7151035070419312,0.6194597482681274,0.5405763983726501
del,0.5618642568588257,0.46536728739738464,0.2598859667778015,0.4437064528465271,0.5312777161598206,0.4605507552623749,0.38362738490104675,1.0,0.5187520384788513,0.4657284915447235,0.4692193567752838,0.5427346229553223,0.31216537952423096,0.43322455883026123,0.4215075969696045,0.18300414085388184,0.5141209363937378,0.39349403977394104,0.4381123185157776,0.3467099368572235,0.49180132150650024,0.47975561022758484,0.5553839206695557,0.2706981897354126,0.5955855250358582,0.5834412574768066,0.3354460299015045,0.4214709401130676,0.49443748593330383,0.4810223877429962,0.43611496686935425,0.4934398829936981,0.4821188747882843,0.42868781089782715,0.2633308470249176,0.22240790724754333,0.2654232084751129,0.46631956100463867,0.4845534861087799,0.500504195690155,0.3161836862564087,0.3235226571559906,0.5806772112846375,0.48613330721855164,0.5243938565254211,0.44227710366249084,0.46304020285606384,0.46529650688171387,0.3754100203514099,0.49195489287376404,0.373855859041214,0.47626355290412903,0.5850126147270203,0.3613036870956421,0.44513505697250366,0.2749089300632477,0.44690030813217163,0.5287824273109436,0.32608604431152344,0.40255874395370483,0.525640606880188,0.316017746925354,0.44446662068367004,0.2698025703430176,0.5054587125778198
dela,0.6400198936462402,0.5824906229972839,0.3109248876571655,0.5687304139137268,0.7293741106987,0.6235902309417725,0.549054741859436,0.5187520384788513,1.0,0.49637842178344727,0.6380957365036011,0.60947585105896,0.2513055205345154,0.5375261306762695,0.4630444347858429,0.3945918083190918,0.6912877559661865,0.5147607326507568,0.6285319328308105,0.5167748928070068,0.7135939002037048,0.6810917258262634,0.6431138515472412,0.37396132946014404,0.6859232783317566,0.7212545871734619,0.3142245411872864,0.47478187084198,0.5588109493255615,0.68691086769104,0.43500638008117676,0.6399683356285095,0.6340579390525818,0.5676870942115784,0.5923018455505371,0.519321620464325,0.3943188786506653,0.6670489311218262,0.6164242029190063,0.6512056589126587,0.44895654916763306,0.4358742833137512,0.626867949962616,0.6587998867034912,0.6005985140800476,0.5199503302574158,0.6582439541816711,0.6950291395187378,0.5303913354873657,0.5192240476608276,0.3671145737171173,0.5959882140159607,0.6827901601791382,0.2989484369754791,0.6809157133102417,0.21393053233623505,0.6544994711875916,0.6465922594070435,0.3634696304798126,0.5662655234336853,0.5766451954841614,0.3256578743457794,0.6788713335990906,0.35379642248153687,0.6470122337341309
delta,0.5359829068183899,0.5046565532684326,0.40763092041015625,0.5666269063949585,0.6169133186340332,0.6099960803985596,0.6215617656707764,0.4657284915447235,0.49637842178344727,1.0,0.6291938424110413,0.5457252860069275,0.3399248421192169,0.4867621660232544,0.5507856011390686,0.42813000082969666,0.4739420413970947,0.5006619095802307,0.5448716878890991,0.4171611964702606,0.397080659866333,0.608380138874054,0.589933454990387,0.36057716608047485,0.5499425530433655,0.5625944137573242,0.3581789433956146,0.5212651491165161,0.47051921486854553,0.5196680426597595,0.5324000120162964,0.6000503301620483,0.5631813406944275,0.5285269021987915,0.3487033545970917,0.3490775227546692,0.31186169385910034,0.5969662070274353,0.37875446677207947,0.633348822593689,0.3385145962238312,0.42440468072891235,0.5344868898391724,0.4713270962238312,0.6802160739898682,0.4896586835384369,0.5619006752967834,0.5534547567367554,0.4068032503128052,0.44220396876335144,0.481064110994339,0.5127753019332886,0.6724395751953125,0.36243191361427307,0.542137861251831,0.3144318759441376,0.5024780631065369,0.588392436504364,0.4867580533027649,0.5086060166358948,0.5268567800521851,0.32774072885513306,0.6345447301864624,0.4383128583431244,0.5577505230903625
