,administrativ,akademi,allmoge,allmän,alternativ,annan,annorlunda,arkiv,artikel,autonomi,begrepp,bilda,byta,central,del,dela,delta,demokrati,diskutera,dynastisk,ekonomi,ekonomisk,epok,era,europa,europeisk,finans,finland,finne,finsk,finska,folk,folkrepresentation,form,fred,fråga,furstendöme,förbi,fördrag,förena,föreställning,författning,förhandla,förra,försvara,förändring,gemensam,general,gensaga,geografisk,gestalt,grundlag,gräns,gränslinje,gudasaga,hertig,hertigdöme,historia,historiker,historisk,human,inre,inrikes,integritet,intern,intresse,invändning,invånare,jämförelse,jämlikhet,karta,kejsardöme,kejsare,kombinera,koncept,konstitution,krig,kultur,kung,lag,land,landområde,liberal,lokal,makt,marskalk,medborgare,medeltid,medlem,mobilisering,modern,monark,mynt,myt,napoleon,nation,nutida,offentlig,officiell,olik,område,omtvistad,paragraf,parlament,penning,period,petersburg,politik,princip,protest,provins,publicera,regel,regent,regering,regeringsform,region,representation,retorik,retorisk,rike,riksdag,risk,ryska,ryss,ryssland,rättighet,samarbete,samband,samfund,samhällelig,samhällsform,sedel,sekel,senat,skandinavien,skapa,skede,skilja,slant,social,språk,stat,statsform,statsskick,status,storfurstendöme,styre,styresman,ställning,stånd,stödja,stötta,suverän,suveränitet,svenska,sverige,swensk,system,territorium,tid,tidig,tjänsteman,trakt,tsar,tvistig,universitet,utverka,valuta,vetenskap,välde,ämbetsman,århundrade,överenskommelse
administrativ,1.0,0.09069972485303879,0.14037106931209564,0.21374133229255676,0.15630945563316345,0.21923241019248962,0.1626066118478775,0.3165915012359619,0.19044147431850433,0.5087586045265198,0.23397386074066162,0.21004067361354828,0.05416262522339821,0.2977449893951416,0.22864088416099548,0.1431427150964737,0.17597712576389313,0.3702625632286072,0.24299266934394836,0.41840022802352905,0.29253116250038147,0.39069536328315735,0.2734051048755646,0.07195304334163666,0.25425952672958374,0.2641783058643341,0.384509414434433,0.20563818514347076,0.05473925173282623,0.09156204760074615,0.23199111223220825,0.21927887201309204,0.46633201837539673,0.2285458743572235,0.12847888469696045,0.2946169078350067,0.34819403290748596,0.05504914000630379,0.27986758947372437,0.2103634923696518,0.13268235325813293,0.3292279839515686,0.2872331738471985,0.09332602471113205,0.26336947083473206,0.2571520209312439,0.2689708173274994,0.1796945482492447,0.3276553452014923,0.28854987025260925,0.06515678018331528,0.3313339650630951,0.3069176971912384,0.3618139326572418,0.2526113986968994,0.08985331654548645,0.3825555443763733,0.17470158636569977,0.22489778697490692,0.32823875546455383,0.27586501836776733,0.3222547173500061,0.22076605260372162,0.3553880453109741,0.35825708508491516,0.2483268529176712,0.2787543535232544,0.15819111466407776,0.19143491983413696,0.4042520821094513,0.2248447984457016,0.24813710153102875,0.23271727561950684,0.16293761134147644,0.16565744578838348,0.24164357781410217,0.14062334597110748,0.28733423352241516,0.07916376739740372,0.24408705532550812,0.284466952085495,0.3716275990009308,0.24339427053928375,0.18096379935741425,0.3627566993236542,0.2693350315093994,0.21395333111286163,0.19777680933475494,0.19873572885990143,0.29447492957115173,0.2358425110578537,0.19243165850639343,0.1756872832775116,0.2473180592060089,0.11948142200708389,0.11709392070770264,0.35309916734695435,0.23417067527770996,0.262975811958313,0.24505145847797394,0.29923224449157715,0.29260018467903137,0.21522259712219238,0.21750260889530182,0.16985149681568146,0.18461233377456665,0.15876735746860504,0.33997055888175964,0.310182124376297,0.24424032866954803,0.3252658247947693,0.21241642534732819,0.1818341761827469,0.3291164040565491,0.34145647287368774,0.2772751450538635,0.3463890850543976,0.2071654349565506,0.3374272286891937,0.3491155207157135,0.24153943359851837,0.3116287291049957,0.14510658383369446,0.1639215350151062,0.13575205206871033,0.28440821170806885,0.3058522045612335,0.3473592698574066,0.2676723003387451,0.23766706883907318,0.4553697109222412,0.34753182530403137,0.13147062063217163,0.11192026734352112,0.29858991503715515,0.1409398913383484,0.2700367271900177,0.28853172063827515,0.2702229619026184,0.017323406413197517,0.4359844923019409,0.20156195759773254,0.2911583185195923,0.40320518612861633,0.3342691659927368,0.39306798577308655,0.30567875504493713,0.2112869769334793,0.25428295135498047,0.3081885576248169,0.19870901107788086,0.17860041558742523,0.12274546921253204,0.31036925315856934,0.33893224596977234,0.04917587712407112,0.22022004425525665,0.05342491716146469,0.17469626665115356,0.3587397336959839,0.15555907785892487,0.13037575781345367,0.367519736289978,0.2076188623905182,0.2405652105808258,0.48360180854797363,0.17581400275230408,0.23893621563911438,0.1889151930809021,0.2933617830276489,0.24647410213947296,0.42932239174842834,0.17959630489349365,0.2558128535747528
akademi,0.09069972485303879,1.0,0.11186093091964722,0.2556159794330597,0.17377717792987823,0.16724827885627747,0.12093876302242279,0.31159117817878723,0.08060265332460403,0.14393432438373566,0.15052074193954468,0.0908709391951561,0.1343245953321457,0.2910209894180298,0.10931027680635452,0.09899576753377914,0.18719114363193512,0.2175307720899582,0.2223988026380539,0.12362905591726303,0.23199650645256042,0.22745199501514435,0.24171850085258484,0.1492331624031067,0.15433010458946228,0.1568615734577179,0.3191959857940674,0.15163837373256683,0.13074883818626404,0.12939871847629547,0.25615552067756653,0.21951182186603546,0.3153124749660492,0.11267675459384918,0.0833616852760315,0.19778946042060852,0.08748293668031693,0.036659736186265945,0.16165581345558167,0.09320659190416336,0.13167434930801392,0.16945642232894897,0.15288393199443817,0.2147136777639389,0.10225293040275574,0.13750658929347992,0.1529243141412735,0.13985159993171692,0.17069165408611298,0.21301767230033875,0.1070563793182373,0.2176315039396286,0.09868569672107697,0.22895079851150513,0.3042084574699402,0.26930174231529236,0.1538013219833374,0.1984879970550537,0.3512365520000458,0.2647308111190796,0.13815858960151672,0.08227039128541946,0.14357788860797882,0.13277289271354675,0.2870006561279297,0.2058401107788086,0.137725830078125,0.16037176549434662,0.2752697169780731,0.2824346423149109,0.15535643696784973,0.1798226535320282,0.236844003200531,0.11998259276151657,0.1151515319943428,0.20331262052059174,0.18062102794647217,0.23437248170375824,0.10116823017597198,0.12753406167030334,0.11602650582790375,0.212887242436409,0.1646973192691803,0.2719537019729614,0.16146422922611237,0.15772642195224762,0.2714003026485443,0.1822538673877716,0.23442763090133667,0.14576983451843262,0.12566295266151428,0.24805188179016113,0.22004935145378113,0.21404801309108734,0.21513670682907104,0.3412107825279236,0.2863094210624695,0.18606555461883545,0.15492656826972961,0.1248144581913948,0.19077068567276,0.19509637355804443,0.17456144094467163,0.26786479353904724,0.13026469945907593,0.21233245730400085,0.17280304431915283,0.17111152410507202,0.18790937960147858,0.11906186491250992,0.1386386603116989,0.236541286110878,0.11550462990999222,0.25767138600349426,0.2693871557712555,0.21656979620456696,0.09167203307151794,0.2800031900405884,0.3167616128921509,0.3146466910839081,0.17753657698631287,0.37041082978248596,0.062147609889507294,0.13450661301612854,0.06942413747310638,0.09382028877735138,0.1954878866672516,0.2679644823074341,0.14207342267036438,0.3892270624637604,0.20810960233211517,0.1924027055501938,0.14468516409397125,0.20569534599781036,0.3319075405597687,0.11856548488140106,0.11586806923151016,0.14983214437961578,0.07945077121257782,0.05369925871491432,0.20067475736141205,0.25949519872665405,0.27936434745788574,0.24769942462444305,0.2305872142314911,0.17735950648784637,0.2535713016986847,0.17220112681388855,0.3148580491542816,0.10641316324472427,0.2095772922039032,0.10108394175767899,0.11805633455514908,0.2343740165233612,0.1709086298942566,0.18721584975719452,0.1324705332517624,0.1468883752822876,0.1700582355260849,0.12376485019922256,0.15562932193279266,0.161239892244339,0.281844824552536,0.012868689373135567,0.11684216558933258,0.13495218753814697,0.559696614742279,0.15569689869880676,0.15867045521736145,0.43480736017227173,0.11003242433071136,0.2304466962814331,0.21518641710281372,0.2591591477394104
allmoge,0.14037106931209564,0.11186093091964722,1.0,0.27774155139923096,0.04820788651704788,0.1860271692276001,0.14715135097503662,0.10510611534118652,0.14651329815387726,0.17334403097629547,0.18296997249126434,0.24987593293190002,0.15877731144428253,0.1478307694196701,0.17467930912971497,0.1384575217962265,0.15893560647964478,0.22620359063148499,0.1724981814622879,0.2694472074508667,0.11705014854669571,0.23439107835292816,0.1908160299062729,0.15025679767131805,0.1916569471359253,0.19796355068683624,0.05812107026576996,0.24339400231838226,0.14423121511936188,0.18691274523735046,0.27984246611595154,0.4839750826358795,0.2098381072282791,0.14070728421211243,0.08517660945653915,0.17219746112823486,0.13685815036296844,0.11000864207744598,0.06492393463850021,0.1911965310573578,0.1813405603170395,0.1558673083782196,0.15032804012298584,0.17151722311973572,0.10896460711956024,0.13076530396938324,0.18113620579242706,0.041344866156578064,0.1901751011610031,0.20963484048843384,0.14870497584342957,0.17243491113185883,0.18085353076457977,0.2294924408197403,0.2861817479133606,0.14658717811107635,0.16221120953559875,0.17532972991466522,0.17334184050559998,0.15516963601112366,0.19694574177265167,0.06966405361890793,0.1778418868780136,0.111259326338768,0.26967597007751465,0.2769690155982971,0.09769516438245773,0.32653576135635376,0.15022440254688263,0.393145352602005,0.1736757904291153,0.12513881921768188,0.19639840722084045,0.16694149374961853,0.09928328543901443,0.12616561353206635,0.1406799554824829,0.2695874571800232,0.1701180785894394,0.21043919026851654,0.3065422475337982,0.22310778498649597,0.170249804854393,0.12513190507888794,0.15054966509342194,0.033585697412490845,0.26073190569877625,0.22212685644626617,0.2524096369743347,0.18933452665805817,0.16460420191287994,0.2633574903011322,0.20115718245506287,0.19919456541538239,0.14811746776103973,0.2717490494251251,0.227680504322052,0.11961597949266434,0.16632838547229767,0.29621386528015137,0.1661624014377594,0.12834085524082184,0.12652470171451569,0.16521865129470825,0.20921526849269867,0.19096854329109192,0.13949209451675415,0.14625200629234314,0.12609073519706726,0.06450359523296356,0.29354459047317505,0.08784986287355423,0.24142414331436157,0.21029037237167358,0.1951175481081009,0.10134681314229965,0.1661587804555893,0.18799316883087158,0.35242536664009094,0.2706925868988037,0.2172275334596634,0.22433480620384216,0.16028518974781036,0.12021937966346741,0.18397921323776245,0.19374479353427887,0.15518955886363983,0.2936115264892578,0.1452496200799942,0.21033893525600433,0.3052273690700531,0.3468509912490845,0.13381348550319672,0.13402922451496124,0.07327545434236526,0.17683888971805573,0.14949153363704681,0.1576356440782547,0.1745365858078003,0.19260400533676147,0.16729015111923218,0.20453888177871704,0.15910615026950836,0.10716751217842102,0.20416632294654846,0.044042449444532394,0.2788478136062622,0.015661539509892464,0.11560547351837158,0.14343762397766113,0.22189001739025116,0.09257660806179047,0.11938833445310593,0.19159255921840668,0.15127277374267578,0.15648731589317322,0.2093130350112915,0.1677919328212738,0.16832375526428223,0.12327176332473755,0.2224082052707672,0.12041781842708588,0.2633286416530609,0.3097367584705353,0.19655928015708923,0.20483233034610748,0.13078515231609344,0.09955499321222305,0.15927891433238983,0.2359822392463684,0.13224586844444275,0.31663769483566284,0.21472874283790588,0.13365496695041656
allmän,0.21374133229255676,0.2556159794330597,0.27774155139923096,1.0000001192092896,0.16267448663711548,0.22939413785934448,0.12038839608430862,0.22285260260105133,0.2082853615283966,0.2466937005519867,0.17694111168384552,0.16580286622047424,0.15139354765415192,0.30508485436439514,0.22022318840026855,0.1645585298538208,0.16539683938026428,0.1580350548028946,0.26472207903862,0.31380608677864075,0.25504329800605774,0.2560185492038727,0.18027962744235992,0.16439993679523468,0.2024073600769043,0.23673799633979797,0.22845245897769928,0.14495930075645447,0.08653531223535538,0.18534788489341736,0.19999930262565613,0.30268988013267517,0.28713300824165344,0.08421945571899414,0.18201367557048798,0.2735305428504944,0.09262034296989441,0.05237462371587753,0.14451059699058533,0.12801478803157806,0.17368383705615997,0.21329177916049957,0.26445549726486206,0.149631530046463,0.11038266867399216,0.23359546065330505,0.31962376832962036,0.11743389070034027,0.1983879804611206,0.24193532764911652,0.10938392579555511,0.19063900411128998,0.15518657863140106,0.2599504888057709,0.20845216512680054,0.1121838316321373,0.2250886857509613,0.18472063541412354,0.14128485321998596,0.1899816244840622,0.1784755140542984,0.22767113149166107,0.1934642195701599,0.1638859361410141,0.30891478061676025,0.2738379240036011,0.12382881343364716,0.2395959496498108,0.1482929140329361,0.31974196434020996,0.14749765396118164,0.16167181730270386,0.19150060415267944,0.1850050389766693,0.0961153656244278,0.10956628620624542,0.15676617622375488,0.20527257025241852,0.10732683539390564,0.18823812901973724,0.24978330731391907,0.2731083929538727,0.1921468824148178,0.21394002437591553,0.1492190957069397,0.09036858379840851,0.22191216051578522,0.0992174968123436,0.22761008143424988,0.21851657330989838,0.14291223883628845,0.15483912825584412,0.17047463357448578,0.14659658074378967,0.1771605908870697,0.18191936612129211,0.29977673292160034,0.36070817708969116,0.20773670077323914,0.1860344409942627,0.26074346899986267,0.2505570352077484,0.16490177810192108,0.19854889810085297,0.16796262562274933,0.16660639643669128,0.19797275960445404,0.20429442822933197,0.1584230214357376,0.07290694862604141,0.20717664062976837,0.12031835317611694,0.1361112743616104,0.12256230413913727,0.19387325644493103,0.18858309090137482,0.12720349431037903,0.17688900232315063,0.3001846671104431,0.3321429193019867,0.21427029371261597,0.26890578866004944,0.09801801294088364,0.13204924762248993,0.10566913336515427,0.1825655996799469,0.1379804015159607,0.23855440318584442,0.21649613976478577,0.17022934556007385,0.37338170409202576,0.29573220014572144,0.15911471843719482,0.17686405777931213,0.1711503267288208,0.15975111722946167,0.1567838490009308,0.2512109875679016,0.135198175907135,0.13402795791625977,0.25723668932914734,0.1894560158252716,0.25803321599960327,0.23300574719905853,0.2361464947462082,0.2254282385110855,0.29864221811294556,0.09385600686073303,0.21885338425636292,0.1097799614071846,0.2423776388168335,0.08123411238193512,0.15528607368469238,0.17901183664798737,0.19077330827713013,0.09980180114507675,0.20182675123214722,0.0799144059419632,0.17442771792411804,0.20753571391105652,0.185342475771904,0.14195938408374786,0.2648916244506836,0.15561191737651825,0.23646129667758942,0.2866481840610504,0.17862287163734436,0.10720717161893845,0.15845496952533722,0.25320225954055786,0.0911211296916008,0.28221866488456726,0.19035235047340393,0.26255670189857483
alternativ,0.15630945563316345,0.17377717792987823,0.04820788651704788,0.16267448663711548,1.0,0.22600649297237396,0.13851571083068848,0.12616975605487823,0.1437792181968689,0.27924081683158875,0.11348675936460495,0.11712636053562164,0.10864192992448807,0.1486765593290329,0.1931620091199875,0.23696234822273254,0.05118443816900253,0.14874622225761414,0.28923308849334717,0.25231918692588806,0.05768095329403877,0.10299257189035416,0.14716432988643646,0.24368292093276978,0.15882591903209686,0.110561303794384,0.17038622498512268,0.1223093718290329,0.1087895929813385,0.11746226251125336,0.19732823967933655,0.12391138821840286,0.28867289423942566,0.13876035809516907,0.1512550413608551,0.24546366930007935,0.12391310930252075,0.1484474539756775,0.18599940836429596,0.13090750575065613,0.14138764142990112,0.14917872846126556,0.23689498007297516,0.28836196660995483,0.1989467591047287,0.2678433656692505,0.2657940089702606,0.12333342432975769,0.22600007057189941,0.05664464458823204,0.04538950324058533,0.20734398066997528,0.1218748390674591,0.28825896978378296,0.18328072130680084,0.155049130320549,0.20318739116191864,0.10352148115634918,0.18744803965091705,0.16020099818706512,0.16211847960948944,0.10137362033128738,0.24937738478183746,0.19564323127269745,0.33089345693588257,0.11538199335336685,0.2090141922235489,0.10270842164754868,0.2757091820240021,0.2979368269443512,0.1477637141942978,0.1496785283088684,0.09298206120729446,0.19401350617408752,0.17254889011383057,0.18575479090213776,0.17503704130649567,0.07568823546171188,0.08664722740650177,0.17556042969226837,0.1899484097957611,0.30492961406707764,0.12543365359306335,0.0892108827829361,0.2165382355451584,0.18184518814086914,0.13165250420570374,0.07107627391815186,0.11154650151729584,0.1640578806400299,0.053453151136636734,0.10563749819993973,0.1270744949579239,0.22437074780464172,0.1019032821059227,0.18719856441020966,0.1924467384815216,0.1639811247587204,0.16107994318008423,0.17009606957435608,0.17903034389019012,0.3204255998134613,0.2919624447822571,0.2059561312198639,0.09675514698028564,0.24382740259170532,0.13519369065761566,0.136186420917511,0.2349124699831009,0.15389226377010345,0.15923234820365906,0.11262048780918121,0.15223956108093262,0.16074052453041077,0.2551259994506836,0.19023914635181427,0.122303307056427,0.18935300409793854,0.25070223212242126,0.28174054622650146,0.1453988254070282,0.29279625415802,0.08715356886386871,0.16227060556411743,0.11212082952260971,0.16386038064956665,0.1734100878238678,0.1672554612159729,0.21382160484790802,0.12903504073619843,0.21640229225158691,0.1625847965478897,0.10409383475780487,0.10801422595977783,0.1459236741065979,0.15656796097755432,0.1522260159254074,0.1850256770849228,0.256199449300766,0.08970672637224197,0.11113285273313522,0.17824821174144745,0.22100110352039337,0.25611770153045654,0.21974192559719086,0.2086619734764099,0.19391976296901703,0.20783236622810364,0.14862430095672607,0.16512718796730042,0.20567314326763153,0.16463524103164673,0.10800730437040329,0.18063884973526,0.2523612380027771,0.15475904941558838,0.1868893802165985,0.002132331719622016,0.2642185389995575,0.22353273630142212,0.14904600381851196,0.1969831883907318,0.31049680709838867,0.1055898666381836,0.10508851706981659,0.26274949312210083,0.13185079395771027,0.15076903998851776,0.11529822647571564,0.12372922152280807,0.11708724498748779,0.14727014303207397,0.16623887419700623,0.23200562596321106
annan,0.21923241019248962,0.16724827885627747,0.1860271692276001,0.22939413785934448,0.22600649297237396,0.9999999403953552,0.329525351524353,0.22088013589382172,0.2119901031255722,0.28100600838661194,0.21681442856788635,0.2780255079269409,0.2760860323905945,0.22066332399845123,0.330106258392334,0.2229781150817871,0.18396282196044922,0.2660348415374756,0.28434303402900696,0.35581475496292114,0.15257824957370758,0.26931267976760864,0.21600694954395294,0.22221669554710388,0.27116701006889343,0.2959987223148346,0.1727239340543747,0.2115514725446701,0.11673154681921005,0.25442832708358765,0.36197397112846375,0.2581446170806885,0.27128785848617554,0.24270221590995789,0.2250261902809143,0.3128458261489868,0.179717555642128,0.1085299476981163,0.23382750153541565,0.1615912914276123,0.17881923913955688,0.25854215025901794,0.2421191930770874,0.3000727593898773,0.23242191970348358,0.24656282365322113,0.2636864483356476,0.16257360577583313,0.3220823109149933,0.1719856560230255,0.1547035276889801,0.2651216387748718,0.13611169159412384,0.3061123788356781,0.3574680984020233,0.1499001532793045,0.22891154885292053,0.22128593921661377,0.2622414231300354,0.21778158843517303,0.24292105436325073,0.21777786314487457,0.18274125456809998,0.2025609165430069,0.24441154301166534,0.2933177947998047,0.29000261425971985,0.21174603700637817,0.1949259638786316,0.4491974711418152,0.16251689195632935,0.2628942131996155,0.2591603696346283,0.27187684178352356,0.18649153411388397,0.23800471425056458,0.25321298837661743,0.18169854581356049,0.19238345324993134,0.2891763746738434,0.2859836220741272,0.37051740288734436,0.22267290949821472,0.10233521461486816,0.23712985217571259,0.2182799130678177,0.24981030821800232,0.14774388074874878,0.17420223355293274,0.19950516521930695,0.1262175738811493,0.17889563739299774,0.16967444121837616,0.3370993137359619,0.22337408363819122,0.1676950603723526,0.2599068284034729,0.1683019995689392,0.22456100583076477,0.25530946254730225,0.200520321726799,0.3273400664329529,0.19850975275039673,0.18459492921829224,0.19001780450344086,0.1891932189464569,0.16814318299293518,0.22995193302631378,0.2129746377468109,0.22327135503292084,0.1578272432088852,0.20130813121795654,0.2180604338645935,0.21791177988052368,0.24940206110477448,0.25752609968185425,0.21308137476444244,0.1549888551235199,0.3954263925552368,0.36355024576187134,0.21710015833377838,0.2112884372472763,0.21944059431552887,0.25883594155311584,0.20451274514198303,0.2819000482559204,0.25557786226272583,0.29725438356399536,0.19093365967273712,0.25663191080093384,0.3489997386932373,0.3097538948059082,0.21970780193805695,0.17238318920135498,0.24673518538475037,0.20114675164222717,0.2866378128528595,0.23070259392261505,0.21825696527957916,0.22406315803527832,0.2379104048013687,0.1832563728094101,0.29832199215888977,0.29289311170578003,0.260820597410202,0.3005297780036926,0.2830812931060791,0.2191236913204193,0.19550520181655884,0.2767329812049866,0.24406220018863678,0.2639189064502716,0.1510598361492157,0.25090721249580383,0.21326874196529388,0.19142623245716095,0.25264185667037964,0.24043616652488708,0.20436973869800568,0.20804397761821747,0.22815217077732086,0.21173836290836334,0.2576873302459717,0.1428576558828354,0.30282196402549744,0.37159937620162964,0.1495743840932846,0.23355847597122192,0.16774146258831024,0.256009042263031,0.22559086978435516,0.23387335240840912,0.17984992265701294,0.280009388923645
annorlunda,0.1626066118478775,0.12093876302242279,0.14715135097503662,0.12038839608430862,0.13851571083068848,0.329525351524353,1.0,0.151539146900177,0.10011012852191925,0.22314442694187164,0.1804075390100479,0.10715065151453018,0.1421193927526474,0.11686792969703674,0.11767943203449249,0.27649426460266113,0.19200608134269714,0.24896422028541565,0.18815462291240692,0.2373073399066925,0.14124815165996552,0.21200639009475708,0.25140929222106934,0.18437770009040833,0.15086013078689575,0.11184819042682648,0.18749037384986877,0.13010402023792267,0.025776447728276253,0.16483516991138458,0.19345003366470337,0.21508878469467163,0.21489793062210083,0.15589655935764313,0.14497272670269012,0.26773080229759216,0.21543703973293304,0.07317841053009033,0.22865734994411469,0.14246723055839539,0.13889682292938232,0.30057090520858765,0.23796658217906952,0.14042988419532776,0.15150746703147888,0.2174229919910431,0.19019412994384766,0.12652082741260529,0.2286822646856308,0.08681344240903854,0.2165871113538742,0.2545754313468933,0.08959391713142395,0.26804494857788086,0.23237554728984833,0.09972500801086426,0.20793962478637695,0.15639616549015045,0.21435286104679108,0.1353268176317215,0.24552878737449646,0.10292601585388184,0.14581963419914246,0.23587441444396973,0.2461734116077423,0.232784703373909,0.1979520171880722,0.1040724441409111,0.26684892177581787,0.3714122474193573,0.1308259516954422,0.16819167137145996,0.17700070142745972,0.14028207957744598,0.14541196823120117,0.23906899988651276,0.22920912504196167,0.16793067753314972,0.13231468200683594,0.29262787103652954,0.21356502175331116,0.22489748895168304,0.19439364969730377,0.20392902195453644,0.2327793687582016,0.16107557713985443,0.10206597298383713,0.22382690012454987,0.14002776145935059,0.21723568439483643,0.07114067673683167,0.18710169196128845,0.1456378549337387,0.22386588156223297,0.20044852793216705,0.18582865595817566,0.24005383253097534,0.15726734697818756,0.18169820308685303,0.18874824047088623,0.12479560822248459,0.2249319851398468,0.17128734290599823,0.16869902610778809,0.13680870831012726,0.2027692198753357,0.10664604604244232,0.22954735159873962,0.17576518654823303,0.17524608969688416,0.09579913318157196,0.18218964338302612,0.1911081075668335,0.24965022504329681,0.2083073854446411,0.15385034680366516,0.1315978616476059,0.11940117925405502,0.27887198328971863,0.30399221181869507,0.22619181871414185,0.2175210416316986,0.19464674592018127,0.12068948149681091,0.147942915558815,0.22210857272148132,0.1629355400800705,0.17506375908851624,0.1839512288570404,0.19258691370487213,0.2810981273651123,0.2702881693840027,0.15412114560604095,0.1892019808292389,0.22640305757522583,0.13321760296821594,0.19246403872966766,0.20575812458992004,0.19271893799304962,0.11869625747203827,0.1607154756784439,0.0875694528222084,0.22421984374523163,0.2764066457748413,0.26556992530822754,0.2460569143295288,0.21819494664669037,0.3289344608783722,0.14661425352096558,0.2163727581501007,0.17310090363025665,0.2012225240468979,0.08231803774833679,0.22392858564853668,0.21848998963832855,0.09204890578985214,0.13620594143867493,0.10010096430778503,0.12596993148326874,0.18050198256969452,0.2061127871274948,0.2151242345571518,0.2807757556438446,0.1392028033733368,0.2696678936481476,0.28960269689559937,0.07873204350471497,0.113705575466156,0.17048098146915436,0.13490726053714752,0.15375201404094696,0.1848602145910263,0.16283483803272247,0.20352865755558014
arkiv,0.3165915012359619,0.31159117817878723,0.10510611534118652,0.22285260260105133,0.12616975605487823,0.22088013589382172,0.151539146900177,1.0,0.12572304904460907,0.28140515089035034,0.17954279482364655,0.14756926894187927,0.04821612313389778,0.2738834619522095,0.21529056131839752,0.19593507051467896,0.18228530883789062,0.22028392553329468,0.16012832522392273,0.2371145784854889,0.26142334938049316,0.24266333878040314,0.25499674677848816,0.05437025427818298,0.16677021980285645,0.18570858240127563,0.25593653321266174,0.10170461237430573,0.06732574850320816,0.1646105796098709,0.30823543667793274,0.2612106204032898,0.26342231035232544,0.1735590249300003,0.15936163067817688,0.19428782165050507,0.23605097830295563,0.08906607329845428,0.2209278792142868,0.12426581978797913,0.15430136024951935,0.25836795568466187,0.17801927030086517,0.12703059613704681,0.2351868748664856,0.13297930359840393,0.19391486048698425,0.16946251690387726,0.22590294480323792,0.3045024573802948,0.12384993582963943,0.2636936604976654,0.13729779422283173,0.28978386521339417,0.3376578986644745,0.17297664284706116,0.25326499342918396,0.3189084529876709,0.2776702046394348,0.37841907143592834,0.09440702199935913,0.2700032889842987,0.07506345212459564,0.21721288561820984,0.32227277755737305,0.2117847502231598,0.20273414254188538,0.1420487016439438,0.28480765223503113,0.3109477162361145,0.3123406767845154,0.22689257562160492,0.17561542987823486,0.08070811629295349,0.233749657869339,0.24464204907417297,0.24868544936180115,0.19235868752002716,0.16602158546447754,0.2347908765077591,0.2198789119720459,0.2970699667930603,0.09971895813941956,0.21878758072853088,0.24736081063747406,0.19303759932518005,0.22196660935878754,0.27767109870910645,0.2920410931110382,0.16025154292583466,0.10171469300985336,0.19116748869419098,0.30938300490379333,0.30581486225128174,0.19156189262866974,0.14926296472549438,0.34216925501823425,0.23288701474666595,0.31443703174591064,0.16090472042560577,0.2802024483680725,0.2358897626399994,0.2083362191915512,0.2300949990749359,0.246038019657135,0.14037315547466278,0.1503477394580841,0.25045639276504517,0.21033266186714172,0.1417769491672516,0.13827350735664368,0.2725474238395691,0.15643219649791718,0.23977766931056976,0.23618920147418976,0.22485244274139404,0.17815715074539185,0.11816511303186417,0.3047843873500824,0.3259340226650238,0.22640781104564667,0.21634621918201447,0.12340893596410751,0.14020848274230957,0.10224422067403793,0.1320081651210785,0.24815760552883148,0.2437930852174759,0.1447771042585373,0.3485317528247833,0.2649781107902527,0.22051973640918732,0.255771279335022,0.1929682046175003,0.20945464074611664,0.13569201529026031,0.15082378685474396,0.22478847205638885,0.1995561122894287,0.12226151674985886,0.26471608877182007,0.2486158311367035,0.275481253862381,0.27015718817710876,0.2605375349521637,0.31377920508384705,0.27330854535102844,0.17157723009586334,0.22292333841323853,0.2301926165819168,0.16676339507102966,0.10805318504571915,0.07838572561740875,0.25512611865997314,0.23852817714214325,0.21428385376930237,0.1305636167526245,0.1680932193994522,0.11416034400463104,0.20549564063549042,0.23867349326610565,0.06488358229398727,0.35104885697364807,0.11773843318223953,0.24441242218017578,0.2473592311143875,0.2592741847038269,0.23535999655723572,0.19149285554885864,0.30596238374710083,0.1808432787656784,0.23399662971496582,0.22231091558933258,0.275342732667923
