,annan,del,folk,förra,land,tid
annan,1.0,0.15812480449676514,0.18626925349235535,0.39366164803504944,0.2027953863143921,0.1896674484014511
del,0.15812480449676514,1.0,0.17988862097263336,0.20371079444885254,0.25294360518455505,0.2867148220539093
folk,0.18626925349235535,0.17988862097263336,1.0,0.24051673710346222,0.23219987750053406,0.10041217505931854
förra,0.39366164803504944,0.20371079444885254,0.24051673710346222,1.0,0.3491520583629608,0.3853335380554199
land,0.2027953863143921,0.25294360518455505,0.23219987750053406,0.3491520583629608,1.0,0.43614524602890015
tid,0.1896674484014511,0.2867148220539093,0.10041217505931854,0.3853335380554199,0.43614524602890015,1.0000001192092896
