politik,politik
storfurstendöme,storfurstendöme
furstendöme,furstendöme
hertigdöme,hertigdöme
Finland,Finland
Historia,Historia
historie-,historie-
koncept,koncept
begrepp,begrepp
stat,stat
delstat,delstat
europeisk,europeisk
,
finsk,finsk
finländsk,finländsk
finne,finne
finländare,finländare
finska,finska
nation,nation
folk,folk
universitet,universitet
sekel,sekel
talet,talet
århundrade,århundrade
gräns,gräns
modern,modern
nutida,nutida
område,område
landområde,landområde
territorium,territorium
växla,växla
förändring,förändring
byta,byta
ryss,ryss
ryska,ryska
historisk,historisk
,
swensk,swensk
,
kejsardöme,kejsardöme
rike,rike
imperium,imperium
intern,intern
inre,inre
inrikes,inrikes
,
Europa,Europa
diskutera,diskutera
,
,
tidig,tidig
,
,
,
författning,författning
konstitution,konstitution
grundlag,grundlag
fråga,fråga
delta,delta
ställning,ställning
status,status
fred,fred
utforma,utforma
bilda,bilda
form,form
gestalt,gestalt
,
region,region
,
,
,
Fördrag,Fördrag
avtal,avtal
Sverige,Sverige
svenska,svenska
del,del
,
,
,
,
,
skilja,skilja
dela,dela
,
,
dynastisk,dynastisk
hertig,hertig
human,human
,
,
offentlig,offentlig
allmän,allmän
utvecklad,utvecklad
,
,
retorik,retorik
,
retorisk,retorisk
,
social,social
,
,
kultur,kultur
,
,
tid,tid
skede,skede
period,period
epok,epok
era,era
ifrågasatta,ifrågasatta
kontroversiell,kontroversiell
omtvistad,omtvistad
tvistig,tvistig
språk,språk
period,period
tidstrogen,tidstrogen
,
,
,
,
,
,
Ryssland,Ryssland
makt,makt
,
,
,
,
,
olik,olik
annorlunda,annorlunda
stötta,stötta
stödja,stödja
backa upp,backa upp
,
associera,associera
,
,
representation,representation
,
protest,protest
invändning,invändning
gensaga,gensaga
folkpresentation,folkpresentation
arkiv,arkiv
,
historieskrivning,historieskrivning
hävdateckning,hävdateckning
historiogaf,historiogaf
härskare,härskare
styresman,styresman
,
dela upp,dela upp
skilja åt,skilja åt
sära på,sära på
administrativ,administrativ
,
vetenskap,vetenskap
ta fram,ta fram
,
,
,
dagstidning,dagstidning
nyhetstidning,nyhetstidning
nordiska,nordiska
risk,risk
,
,
historiker,historiker
,
publicera,publicera
,
samarbete,samarbete
,
styre,styre
välde,välde
regel,regel
,
,
,
allmänna,allmänna
samhället,samhället
princip,princip
,
rättighet,rättighet
rätt-,rätt-
medeltid,medeltid
kejserlig,kejserlig
förbi,förbi
förra,förra
tidigare,tidigare
mobilisering,mobilisering
nature,nature
kynne,kynne
,
intellectuell,intellectuell
,
,
begrepp,begrepp
föreställning,föreställning
åsikt,åsikt
idé,idé
lokal,lokal
orts-,orts-
,
Petersburg,Petersburg
akademi,akademi
samfund,samfund
,
monark,monark
regent,regent
suverän,suverän
,
,
,
,
provins,provins
,
,
samhällelig,samhällelig
social,social
samhälls-,samhälls-
integritet,integritet
,
,
alternativ-,alternativ-
annan,annan
system,system
gränslinje,gränslinje
suveränitet,suveränitet
självbestemmanderätt,självbestemmanderätt
autonomi,autonomi
självstyrelse,självstyrelse
skapa,skapa
,
,
överlåta,överlåta
,
krig,krig
artikel,artikel
,
,
paragraf,paragraf
,
rike,rike
,
land,land
område,område
trakt,trakt
,
Res Publica,Res Publica
karelsk,karelsk
karelare,karelare
medlem,medlem
stånd,stånd
,
gemensam,gemensam
allmän,allmän
offentlig,offentlig
central,central
huvud-,huvud-
,
statsform,statsform
statsskick,statsskick
samhällsform,samhällsform
regeringsform,regeringsform
förvaltningssystem,förvaltningssystem
marskalk,marskalk
befattningshavare,befattningshavare
ämbets-,ämbets-
tjänste-,tjänste-
officiell,officiell
myt,myt
gudasaga,gudasaga
intresse,intresse
,
,
regering,regering
,
,
Napoleon,Napoleon
förena,förena
slå ihop,slå ihop
kombinera,kombinera
jämförelse,jämförelse
riksdag,riksdag
parlament,parlament
landtag,landtag
lag,lag
,
,
nation,nation
allmän,allmän
,
,
general,general
förhandla,förhandla
utverka,utverka
få still stånd,få still stånd
invånare,invånare
allmoge,allmoge
gränslandet,gränslandet
jämlikhet,jämlikhet
liberal,liberal
kung,kung
tsar,tsar
kejsare,kejsare
gräns,gräns
forskningsfält,forskningsfält
kartta,kartta
Skandinavien,Skandinavien
folk,folk
försvara,försvara
föra ngns talan,föra ngns talan
Ekonomi,Ekonomi
ekonomisk,ekonomisk
finans,finans
geografisk,geografisk
senat,senat
samband,samband
underståte,underståte
medborgare,medborgare
invånare,invånare
avtal,avtal
överenskommelse,överenskommelse
demokrati,demokrati
valuta,valuta
sedel,sedel
mynt,mynt
slant,slant
penning,penning
pengar,pengar
