year,name
1627,1627-1632
1633,1633-1638
1640,1640-1644
1645,1645-1651
1652,1652-1655
1656,1656-1658
1660,1660
1664,1664
1668,1668
1672,1672
1680,1680
1682,1682-1683
1686,1686-1689
1693,1693-1697
1710,1710
1719,1719-1720
1723,1723
1726,1726-1727
1731,1731
1734,1734
1738,1738-1739
1739,1739
1740,1740-1741
1741,1741
1742,1742-1743
1743,1743
1746,1746-1747
1747,1747
1751,1751-1752
1752,1752
1755,1755-1756
1756,1756
1760,1760-1762
1762,1762
1765,1765-1766
1766,1766
1769,1769-1770
1770,1770
1771,1771-1772
1772,1772
1778,1778-1779
1779,1779
1786,1786
1789,1789
1792,1792
1800,1800
1809,1809-1810
1810,1810
1812,1812
1815,1815
1817,1817-1818
1823,1823
1828,1828
1834,1834
1840,1840
1844,1844
1847,1847
1850,1850
1853,1853
1856,1856
1859,1859
1862,1862-1863
1865,1865
1867,1867
1868,1868
1869,1869
1870,1870
1871,1871
1872,1872
1873,1873
1874,1874
1875,1875
1876,1876
1877,1877
1878,1878
1879,1879
1880,1880
1881,1881
1882,1882
1883,1883
1884,1884
1885,1885
1886,1886
1887,1887
1888,1888
1889,1889
1890,1890
1891,1891
1892,1892
1893,1893
1894,1894
1895,1895
1896,1896
1897,1897
1898,1898
1899,1899
1900,1900
1901,1901
1902,1902
1903,1903
1904,1904
1905,1905
1906,1906
1907,1907
1908,1908
1909,1909
1910,1910
1911,1911
1912,1912
1913,1913
1914,1914
1915,1915
1916,1916
1917,1917
1918,1918
1919,1919
1920,1920
1921,1921
1922,1922
1923,1923
1924,1924
1925,1925
1926,1926
1927,1927
1928,1928
1929,1929
1930,1930
1931,1931
1932,1932
1933,1933
1934,1934
1935,1935
1936,1936
1937,1937
1938,1938
1939,1939
1940,1940
1941,1941
1942,1942
1943,1943
1944,1944
1945,1945
1946,1946
1947,1947
1948,1948
1949,1949
1950,1950
1951,1951
1952,1952
1953,1953
1954,1954
1955,1955
1956,1956
1957,1957
1958,1958
1959,1959
1960,1960
1961,1961
1962,1962
1963,1963
1964,1964
1965,1965
1966,1966
1967,1967
1968,1968
1969,1969
1970,1970
