,en_1720,en_1720_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,partake,0.54,partake,0.579,participating,0.591,ticipate,0.598,partici,0.685,participato,0.863,ticipate,0.857,ticipate,0.814,ticipate,0.704,ticipate,0.76,ticipate,0.671
1,partakers,0.481,enjoy,0.557,ticipate,0.586,participating,0.58,ticipate,0.671,ticipate,0.817,participato,0.853,partioipate,0.808,partici,0.655,partici,0.659,partici,0.626
2,cooperate,0.467,fympathize,0.537,partake,0.551,participators,0.574,participating,0.646,partieipate,0.816,paiticipate,0.821,participato,0.755,participating,0.558,participation,0.641,cooperate,0.613
3,wifhing,0.458,indulge,0.521,cipate,0.547,cipate,0.565,participat,0.578,paiticipate,0.804,partioipate,0.81,participat,0.738,participation,0.557,participa,0.596,participation,0.612
4,rejoice,0.457,partakers,0.51,enjoy,0.534,participates,0.559,participation,0.575,articipate,0.792,partici,0.809,participating,0.719,participators,0.55,cipate,0.581,join,0.558
5,indulge,0.456,cnjoy,0.505,participated,0.53,participated,0.544,profits,0.571,partici,0.79,articipate,0.796,partici,0.703,cipate,0.547,participants,0.569,participat,0.545
6,diveft,0.454,blefings,0.495,enjov,0.504,sympathize,0.52,theassured,0.562,participatein,0.78,participat,0.753,articipate,0.7,join,0.539,cooperate,0.56,initiate,0.543
7,enjoy,0.454,deprive,0.479,fympathize,0.503,participation,0.515,proiits,0.558,participating,0.733,participating,0.74,cipate,0.67,cooperate,0.538,participating,0.55,participa,0.538
8,glory,0.449,enjoyment,0.479,involve,0.5,partake,0.501,protits,0.558,profits,0.728,icipate,0.739,ticipating,0.666,participa,0.535,compete,0.545,participating,0.535
9,mingle,0.449,commiferation,0.478,concur,0.498,partici,0.494,prolits,0.552,profiis,0.727,ticipating,0.735,participation,0.638,ticipating,0.525,dulge,0.544,sponsor,0.527
10,attribute,0.447,confanguinity,0.477,rejoice,0.498,enjoy,0.492,profiu,0.552,protits,0.722,frofits,0.709,participated,0.624,participants,0.517,subscribe,0.541,compete,0.523
11,concur,0.447,erjoy,0.477,cnjoy,0.495,profis,0.478,cipate,0.546,proflits,0.719,bouus,0.705,particip,0.623,participated,0.513,ticipating,0.533,augurate,0.519
12,beflow,0.446,blellings,0.475,enjoyment,0.489,sharing,0.478,participates,0.545,cipate,0.718,participation,0.695,entitle,0.622,indulge,0.506,indulge,0.529,cipate,0.518
13,divest,0.445,infeparably,0.475,partakers,0.485,profits,0.466,theprofits,0.544,proiits,0.717,protlts,0.687,futme,0.621,participant,0.504,participates,0.525,oppose,0.517
14,forgetful,0.443,repole,0.474,enijoy,0.484,share,0.464,profils,0.544,projits,0.711,profitb,0.683,participators,0.62,participat,0.501,acquiesce,0.525,organise,0.506
15,focial,0.442,bleflings,0.474,participation,0.483,partakers,0.464,proflts,0.529,profils,0.711,piofits,0.673,icipate,0.619,00operate,0.496,join,0.523,contribute,0.503
16,dulge,0.441,affecion,0.472,contribute,0.483,anticipate,0.461,prohts,0.52,proflu,0.711,particip,0.671,subscribe,0.615,forego,0.494,forego,0.522,ticipation,0.501
17,fuperiour,0.441,conltituents,0.469,unite,0.476,sympathise,0.459,participated,0.519,prolits,0.71,bonua,0.669,anticipate,0.613,acquiesce,0.49,participat,0.518,conclude,0.498
18,fubfervient,0.438,fubjels,0.465,terefis,0.475,accrue,0.448,participa,0.518,ofprofits,0.709,bonus,0.669,forego,0.609,oompete,0.49,terfere,0.513,ticipating,0.498
19,unite,0.432,terefts,0.465,terminate,0.472,exult,0.445,enjoy,0.503,profiu,0.7,bonusses,0.669,theholders,0.608,subscribe,0.489,participant,0.512,subscribe,0.493
20,allurements,0.431,fubjecs,0.465,sympathize,0.471,enjov,0.441,assared,0.49,ticipating,0.696,piotits,0.666,rateably,0.607,terfere,0.489,cooperato,0.511,terfere,0.49
21,unmindful,0.431,ourelves,0.464,acquiefce,0.471,contribute,0.441,piofits,0.485,icipate,0.695,peofits,0.666,subacribe,0.607,dulge,0.488,materialise,0.51,inaugurate,0.486
22,conciliate,0.43,bappinefs,0.46,indulge,0.471,sharers,0.434,insurers,0.484,profilts,0.693,pating,0.664,bonu3,0.605,interested,0.487,inaugurate,0.507,embroil,0.482
23,indulgd,0.43,bleffings,0.46,erjoy,0.471,derive,0.429,participators,0.48,proflts,0.692,policyholders,0.664,entitling,0.6,ticipation,0.483,initiate,0.506,terested,0.481
24,injure,0.428,objefs,0.46,forego,0.47,reap,0.428,proits,0.478,prorits,0.69,quinquennially,0.663,participants,0.598,terested,0.483,terested,0.506,culminate,0.48
25,aggrandize,0.428,contribute,0.458,exult,0.467,involve,0.417,assuted,0.477,profite,0.69,cipate,0.662,lookforward,0.597,compete,0.482,ticipation,0.504,pursue,0.476
26,midst,0.427,profpcrity,0.458,acquiefee,0.466,intitle,0.413,ticipation,0.473,participat,0.689,proftts,0.66,tuture,0.596,culminate,0.473,00operate,0.502,acquiesce,0.475
27,strive,0.427,unite,0.456,persevere,0.459,insured,0.413,assired,0.472,prufits,0.689,accruing,0.659,accrue,0.592,organiso,0.472,pating,0.496,forego,0.474
28,partaking,0.426,happiners,0.456,partici,0.458,concur,0.412,septennially,0.469,prohts,0.688,profilts,0.657,shaieholders,0.591,conclude,0.471,participated,0.496,intervene,0.473
29,reap,0.425,fubjeas,0.453,cherith,0.456,protits,0.411,nially,0.469,fourfifth,0.688,prohts,0.655,accruing,0.59,participates,0.471,collaborate,0.495,indulge,0.473
30,ftrive,0.424,fubjcts,0.453,perfevere,0.455,indulge,0.411,ssured,0.469,piofits,0.687,profiis,0.655,join,0.589,organise,0.471,conclude,0.495,discuss,0.471
31,pursuits,0.424,forego,0.453,reunite,0.453,contemplate,0.409,assuied,0.468,polieyholders,0.683,ticipation,0.654,distrioution,0.588,fraternise,0.47,competo,0.494,interfere,0.469
32,studious,0.422,felicity,0.452,renounce,0.451,calculable,0.408,assnred,0.461,profts,0.683,pbofits,0.653,ducements,0.587,augurate,0.469,participators,0.493,formulate,0.468
33,fhare,0.422,intcrefts,0.452,attribute,0.45,outweigh,0.4,ipate,0.46,frofits,0.681,prorits,0.652,uddition,0.587,cooperato,0.469,clude,0.485,participants,0.467
34,flitter,0.422,flipport,0.452,derive,0.448,fellowcitizens,0.4,profts,0.459,proftts,0.68,ipate,0.652,eujoy,0.586,inaugurate,0.469,engage,0.484,participant,0.466
35,lupport,0.422,rejoice,0.451,embrace,0.447,benelits,0.399,assored,0.454,atsured,0.679,prtofits,0.651,afterpayment,0.583,concur,0.467,partake,0.484,ganise,0.465
36,cherish,0.419,happinels,0.45,anticipate,0.446,volve,0.399,dulge,0.448,trofits,0.678,proeits,0.65,subscribo,0.583,compote,0.463,organise,0.477,pating,0.46
37,social,0.419,happines,0.449,dulge,0.445,assuied,0.398,indulge,0.448,ipate,0.677,profits,0.648,holdersof,0.582,participator,0.461,interfere,0.475,affiliate,0.456
38,rejoyce,0.419,ourfeives,0.449,cooperate,0.442,enijoy,0.398,assured,0.446,propits,0.677,proilts,0.647,profitß,0.582,intereated,0.46,intervene,0.469,fulfil,0.456
39,furpafs,0.419,behold,0.449,fraternize,0.442,rejoice,0.397,partake,0.445,profis,0.676,asstred,0.647,distnbution,0.582,tervene,0.459,renounce,0.469,vitations,0.456
40,persevere,0.419,heartfelt,0.448,recognize,0.44,prolits,0.396,quinquennial,0.443,prollts,0.676,profit3,0.647,aocrue,0.58,reoognise,0.45,contribute,0.468,enter,0.453
41,arife,0.418,fubjefts,0.447,feel,0.439,engage,0.396,asaured,0.442,assnred,0.675,proflts,0.646,ticipation,0.579,event,0.447,abandon,0.467,materialise,0.453
42,bestowing,0.418,fhare,0.446,interfere,0.438,profts,0.393,accruing,0.441,proits,0.674,quinquen,0.645,participations,0.579,renounce,0.445,forgo,0.462,troduce,0.451
43,dazzled,0.417,happinefis,0.446,participa,0.438,involved,0.391,involve,0.441,assared,0.674,quennially,0.643,declare,0.578,collaborate,0.443,postpone,0.46,interested,0.451
44,vouchfafe,0.417,interells,0.446,volve,0.435,partaker,0.391,assurred,0.439,ptofits,0.674,bonius,0.643,continue,0.578,secure,0.443,interested,0.459,ioin,0.451
45,repine,0.416,fuppott,0.445,acknowlcdge,0.434,equaily,0.391,profite,0.439,prtofits,0.672,bonu3,0.639,takepart,0.578,discuss,0.443,cipating,0.457,partake,0.451
46,inspiring,0.416,fubjeffs,0.443,perfift,0.432,proits,0.39,insured,0.437,rofits,0.672,profita,0.639,profits,0.576,nterested,0.442,dominate,0.456,dominate,0.448
47,felicity,0.416,affetion,0.442,blelings,0.431,infurers,0.39,partakers,0.437,prefits,0.671,ofprofits,0.638,culminate,0.576,enjoy,0.442,enter,0.454,tinue,0.447
48,attone,0.415,fliare,0.441,compatriots,0.431,dependently,0.389,bonus,0.435,assurod,0.67,pkofits,0.638,subcribe,0.575,joiu,0.441,vitations,0.454,participated,0.447
49,felicities,0.414,exert,0.441,perfilt,0.43,contribut,0.389,asured,0.434,participation,0.67,proits,0.635,participa,0.575,proceed,0.44,attend,0.453,dulge,0.447
50,feeks,0.413,fubjects,0.441,acquiesce,0.43,dulge,0.389,profits—,0.434,irofits,0.668,policyholder,0.631,nonshareholders,0.575,interfere,0.437,augurate,0.453,jeopardise,0.445
51,preferably,0.413,endear,0.44,volved,0.429,feel,0.388,aesured,0.433,proats,0.668,polieyholders,0.631,enjoy,0.574,ested,0.437,recognise,0.452,dividuals,0.444
52,flattering,0.412,fubjcas,0.439,mingle,0.429,entitle,0.388,divisible,0.432,lrofits,0.668,protits,0.63,ratably,0.574,prooeed,0.437,inteiested,0.451,continue,0.444
53,partakes,0.411,happinefi,0.438,exercifeof,0.429,insure,0.387,sured,0.431,profito,0.667,propits,0.628,beentitled,0.574,persist,0.436,declare,0.45,collaborate,0.443
54,forget,0.411,intereits,0.437,perlevere,0.428,incurring,0.386,profis,0.429,asured,0.662,profts,0.626,subscribing,0.573,materialise,0.436,eventuate,0.45,organisations,0.443
55,ingage,0.41,fabmit,0.437,cherifli,0.428,sharer,0.385,concur,0.426,assured,0.662,prollts,0.626,stipulate,0.573,contemplate,0.436,culminate,0.45,declare,0.443
56,pleafures,0.41,divelt,0.436,terefls,0.428,nefits,0.383,sympathize,0.426,prodts,0.661,asaured,0.626,distrihution,0.573,recognise,0.435,tensify,0.449,resume,0.443
57,mingled,0.409,affeffion,0.436,acknowledgc,0.427,insurer,0.383,sharers,0.426,particip,0.661,profite,0.625,distiibution,0.572,enter,0.435,oppose,0.443,violate,0.443
58,blend,0.409,overwhelm,0.436,sharers,0.427,sufier,0.382,sympathise,0.426,profiti,0.66,proets,0.624,bonus,0.572,oonclude,0.435,pursue,0.44,withhold,0.439
59,affluence,0.408,deem,0.436,poffefs,0.426,encourages,0.381,ticipating,0.426,asaured,0.66,bonuses,0.624,shareholden,0.571,declare,0.434,event,0.44,clude,0.439
60,contributing,0.408,poflerity,0.436,coincide,0.425,coincide,0.381,nsured,0.425,proflta,0.659,prolits,0.623,distribution,0.57,intervene,0.434,succeed,0.439,renounce,0.438
61,midft,0.408,fubjes,0.435,ejoy,0.425,fhare,0.381,assuired,0.423,bonus—the,0.659,septennium,0.623,forthcomaing,0.57,partake,0.432,concur,0.439,monopolise,0.437
62,infpire,0.407,happineis,0.434,pollefs,0.424,dividual,0.381,assuredi,0.42,profitsi,0.658,rrofits,0.622,accruo,0.57,eventuate,0.432,competing,0.438,constitute,0.437
63,ihine,0.407,coincide,0.434,contemplate,0.424,terested,0.381,acquiesce,0.42,profirs,0.658,policybolder,0.621,ecjoy,0.57,clude,0.432,affiliate,0.437,negotiate,0.436
64,midit,0.405,infpire,0.433,terrupt,0.423,fellowmen,0.38,insurer,0.419,pbofits,0.657,certificateholder,0.621,subecribe,0.57,expect,0.431,rejoin,0.437,involve,0.436
65,dissemble,0.405,ellablilh,0.433,undervalue,0.423,recognize,0.379,insnred,0.418,theassured,0.656,assnred,0.621,accrne,0.57,ratify,0.431,particip,0.436,coordinate,0.434
