,en_1620,en_1620_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,emperour,0.722,elector,0.678,peror,0.701,emperour,0.804,peror,0.835,peror,0.75,peror,0.773,emnperor,0.763,emnperor,0.829,peror,0.821,emporor,0.92,emporor,0.947,emporor,0.94,peror,0.858,peror,0.736,peror,0.686
1,em,0.577,brandenburg,0.674,empe,0.686,empeior,0.73,empe,0.795,emprefs,0.66,emprefs,0.736,peror,0.737,peror,0.825,kmperor,0.81,emperer,0.919,emperer,0.937,emneror,0.933,kmperor,0.833,kmperor,0.711,hirohito,0.597
2,empire,0.562,denmark,0.655,emperour,0.643,peror,0.728,emperour,0.781,empe,0.641,emprels,0.713,eniperor,0.731,fmperor,0.816,fmperor,0.802,fmperor,0.909,fmperor,0.927,fmperor,0.923,emperors,0.788,emperors,0.693,selassie,0.566
3,honour,0.533,imperial,0.652,nuncio,0.612,theemperor,0.717,empeior,0.725,elector,0.629,emnperor,0.706,emiperor,0.726,empeior,0.809,empress,0.761,emperoi,0.903,empeior,0.922,emperer,0.92,czar,0.784,czar,0.606,emperors,0.556
4,betweene,0.529,empire,0.647,emperors,0.603,empe,0.715,czarina,0.718,eleator,0.621,emprcfs,0.702,fmperor,0.724,napoleon,0.793,emnperor,0.755,empeior,0.897,emperoi,0.917,empercr,0.917,lmperor,0.779,bismarck,0.603,caudillo,0.543
5,gabor,0.504,treaty,0.643,czars,0.587,elector,0.609,theemperor,0.716,emprels,0.593,pruflia,0.667,empeior,0.716,kmperor,0.787,emperorof,0.743,emneror,0.889,lmperor,0.912,kmperor,0.916,emporor,0.77,kaiser,0.59,hirohitos,0.528
6,matters,0.502,france,0.63,imperial,0.563,perour,0.592,emperoi,0.701,eledtor,0.59,sweden,0.66,empetor,0.716,empe,0.787,lmperor,0.743,lmperor,0.888,emneror,0.91,enperor,0.908,empeior,0.766,ethiopia,0.589,ethiopia,0.519
7,princes,0.491,sueden,0.626,empire,0.562,czar,0.58,empetor,0.677,emprefi,0.58,pruffia,0.652,theemperor,0.715,emiperor,0.785,empeior,0.741,enperor,0.885,enperor,0.903,emperoi,0.906,empero,0.762,hirohito,0.576,prince,0.514
8,saxony,0.481,poland,0.612,pope,0.558,cmperor,0.58,czar,0.671,empire,0.58,empreis,0.651,mperor,0.71,lmperor,0.782,austria,0.737,kmperor,0.883,empercr,0.903,emparor,0.905,emperoi,0.759,ghazi,0.553,shah,0.51
9,archduke,0.476,emperour,0.595,republick,0.557,emp,0.571,elector,0.669,bavaria,0.579,einprefs,0.648,emperoi,0.703,mperor,0.779,empe,0.732,empercr,0.878,empsror,0.901,empsror,0.905,exemperor,0.754,abyssinia,0.552,conqueror,0.499
10,turkes,0.472,ambassadors,0.589,electoral,0.557,emperors,0.569,fmperor,0.655,czarina,0.579,porte,0.645,emprefs,0.7,eniperor,0.779,emiperor,0.72,czar,0.876,imperor,0.895,imperor,0.903,bmperor,0.753,kaisers,0.55,umberto,0.498
11,prouinces,0.468,concluded,0.587,elector,0.551,gmperor,0.565,mperor,0.64,eleaor,0.579,emprefis,0.645,enmperor,0.699,enperor,0.779,emperoi,0.719,euiperor,0.874,emreror,0.891,empeior,0.899,kaiser,0.752,selassie,0.549,exile,0.495
12,emperours,0.46,princes,0.582,brandenburgh,0.544,venetians,0.562,perour,0.634,eledor,0.574,czar,0.642,eimperor,0.697,enmperor,0.776,einperor,0.717,einperor,0.874,emparor,0.891,lmperor,0.896,fmperor,0.746,exemperor,0.547,sultan,0.492
13,faith,0.456,nimeguen,0.581,spain,0.538,republick,0.561,empress,0.632,emprefsqueen,0.572,pruftia,0.636,emperorof,0.691,ermperor,0.763,emperors,0.709,peror,0.872,bmperor,0.888,czar,0.894,emneror,0.745,exkaiser,0.547,selassies,0.491
14,warre,0.452,treat,0.577,sueden,0.535,bavaria,0.561,emnperor,0.625,eleclor,0.569,emprefi,0.628,einperor,0.682,ernperor,0.751,russias,0.696,emnperor,0.871,emnperor,0.887,emnperor,0.888,tsar,0.744,emir,0.543,haile,0.488
15,lord,0.45,states,0.55,caprara,0.525,imperial,0.559,enperor,0.613,emnpire,0.567,prullia,0.625,ernperor,0.68,theemperor,0.741,enperor,0.694,emperors,0.871,kmperor,0.886,einperor,0.883,ferdinand,0.74,hellenes,0.542,zog,0.486
16,peace,0.448,crown,0.544,kingof,0.522,sultan,0.554,empero,0.613,eletor,0.565,denmark,0.624,emperour,0.678,emperoi,0.741,czar,0.684,empero,0.863,einperor,0.882,emoeror,0.88,empercr,0.724,exking,0.542,monarch,0.485
17,warres,0.444,hague,0.542,statesgeneral,0.519,empire,0.552,emperors,0.609,landgrave,0.562,emprefsqueen,0.621,empe,0.672,emperors,0.739,archduke,0.681,theemperor,0.862,theemperor,0.88,mperor,0.879,buelow,0.703,tafari,0.541,majesty,0.484
18,betwixt,0.441,peace,0.541,czar,0.516,repubiick,0.55,bavaria,0.607,pruffia,0.559,czarina,0.619,enperor,0.671,empetor,0.738,eniperor,0.674,emperorof,0.861,iemperor,0.878,emjieror,0.877,czarina,0.703,belgians,0.539,throne,0.483
19,concerning,0.44,terms,0.538,brandenburg,0.513,states,0.546,empror,0.6,archdutchefs,0.557,ottoman,0.619,ermperor,0.671,emperot,0.737,emlperor,0.672,eniperor,0.853,emuperor,0.875,iemperor,0.875,emperot,0.701,ferdinand,0.537,emir,0.482
20,caufe,0.435,deputies,0.534,poland,0.513,archduke,0.543,wratiflaw,0.597,pragmatic,0.556,prulfia,0.619,emperors,0.669,emperorof,0.728,prussia,0.672,hmperor,0.851,enmperor,0.872,eimperor,0.873,emoeror,0.7,throne,0.533,konoye,0.482
21,late,0.432,ambassador,0.529,bavaria,0.512,spain,0.542,imperial,0.597,eledlor,0.554,emprers,0.617,lmperor,0.668,tmperor,0.723,eimperor,0.672,empetor,0.848,lemperor,0.872,enmperor,0.872,dowagerempress,0.699,archduke,0.53,exkaiser,0.48
22,fecing,0.423,em,0.525,sweden,0.51,prussia,0.541,vienna,0.591,eleor,0.554,republic,0.616,empcror,0.659,eperor,0.72,theemperor,0.67,emparor,0.848,emieror,0.864,emptror,0.868,heirapparent,0.699,tsar,0.528,napoleon,0.48
