,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
61,ttit,0.36,atb,0.38,tttl,0.387,atz,0.427,tlire,0.504,ltre,0.62,ostil,0.804,1cm,0.785,elmperor,0.673,kuro,0.614,russia,0.487,overthrew,0.378
62,nib,0.359,cj,0.38,lirre,0.387,ltaa,0.427,auth,0.504,wreev,0.62,ltier,0.804,eseit,0.784,c2ar,0.673,queenregent,0.614,bismarck,0.487,pharaohs,0.378
63,tiat,0.359,eei,0.379,lst,0.387,at1,0.427,isis1,0.502,streir,0.619,tatd,0.804,cact,0.784,ablul,0.672,czare,0.613,caligula,0.487,kaisers,0.378
64,rtr,0.359,pl,0.379,rhae,0.387,ilia,0.427,sttd,0.501,rlite,0.619,itar,0.803,iscr,0.784,etmperor,0.672,vremva,0.613,metternich,0.486,wenceslas,0.376
65,i6y,0.359,rj,0.378,ui,0.386,itla,0.427,lise,0.501,slits,0.618,sf1,0.803,oclit,0.784,boris,0.672,shah,0.613,tyrant,0.485,shahs,0.374
66,itu,0.358,ciit,0.378,ntli,0.386,litr,0.426,sissy,0.501,assil,0.617,tieta,0.802,ascii,0.784,eniperor,0.672,selo,0.612,khalif,0.484,warlike,0.374
67,uo,0.358,hta,0.378,thaut,0.386,itul,0.426,sthu,0.5,slite,0.617,itte,0.802,otito,0.784,eisa,0.672,emperorking,0.61,nero,0.484,ageless,0.374
68,tlr,0.358,iep,0.378,iecr,0.386,ciiit,0.425,nit,0.5,nsf,0.616,atnt,0.802,telst,0.784,moltre,0.671,sviatopolk,0.609,deniken,0.483,dictator,0.374
69,tilie,0.358,tir,0.378,ithir,0.385,iiit,0.425,isasi,0.5,asri,0.616,slts,0.802,cnit,0.784,czaa,0.671,obolenski,0.608,rusia,0.482,schuschnigg,0.373
70,etm,0.358,aha,0.378,rwr,0.385,nse,0.425,sri,0.5,wsca,0.616,taco,0.802,fiso,0.783,russiat,0.671,rnssia,0.607,lenins,0.482,drunkard,0.373
71,ssh,0.358,ilb,0.377,tliar,0.385,ssli,0.425,ittits,0.498,tlire,0.616,isati,0.801,atni,0.783,ausri,0.67,ferdinand,0.607,caliph,0.481,vassals,0.373
72,diar,0.358,ikn,0.377,aafe,0.385,lsr,0.425,atti,0.497,ilisa,0.615,tsor,0.801,5cr,0.782,ievee,0.669,generalissimo,0.606,pharaoh,0.481,storyteller,0.373
73,tbar,0.358,jra,0.377,iaai,0.384,11t,0.424,aisld,0.497,ste,0.614,tushi,0.801,isor,0.782,italt,0.669,bussia,0.606,prince,0.481,aristotle,0.373
74,jy,0.357,4e,0.376,itf,0.384,atvr,0.424,tiel,0.497,thins,0.613,ilee,0.801,00cr,0.782,trirce,0.669,moscow,0.606,duplicity,0.481,adulation,0.373
75,ycr,0.357,eb,0.376,j1a,0.384,tla,0.424,ilte,0.497,usle,0.613,lissit,0.8,ottd,0.782,gotna,0.669,linievitch,0.605,emigre,0.48,diplomat,0.372
76,iht,0.357,bg,0.376,ili,0.383,tltt,0.423,tist,0.497,isasi,0.613,ieee,0.8,itsit,0.782,treie,0.668,greeco,0.605,radziwill,0.48,degrelle,0.372
77,tat,0.356,int,0.376,icec,0.383,trt,0.423,ittr,0.496,ltert,0.613,00cr,0.8,oerr,0.781,isehi,0.668,buelow,0.605,tsardom,0.48,detested,0.372
78,sie,0.356,flm,0.376,rlir,0.383,1tit,0.423,lsist,0.496,isis1,0.612,issat,0.799,lie5,0.781,eperor,0.668,tsarkoe,0.604,czars,0.479,venerated,0.372
