,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
84,wailaby,0.724,montecello,0.6,paotingfu,0.603,kishinev,0.655
85,twmbarlwm,0.723,perush,0.6,aranjuez,0.602,vistula,0.655
86,theosophiat,0.723,pavola,0.6,huesca,0.602,carpathians,0.655
87,barnhourrie,0.723,cataian,0.6,sinians,0.602,cherkassi,0.655
88,regimarda,0.722,beresina,0.6,moselle,0.601,brestlitovsk,0.654
89,montrovd,0.722,kijabe,0.599,hupeh,0.601,baranovichi,0.654
90,ilsenstein,0.722,mordkin,0.599,isthmus,0.6,karelia,0.654
91,dromouby,0.722,miltsin,0.599,paraguayans,0.599,kletskaya,0.654
92,brigliadore,0.722,aliquando,0.599,gondar,0.599,mogilev,0.653
93,demonette,0.722,willbrook,0.599,soochow,0.598,volga,0.652
94,hinnington,0.722,tristesse,0.599,rebels,0.596,oskol,0.652
95,caatlenock,0.722,calandria,0.599,fengtien,0.595,stalingrad,0.651
96,muirninn,0.722,kiskatoon,0.599,reconnoitring,0.595,petrovsk,0.651
97,androclus,0.722,knocknagarm,0.599,jijiga,0.594,rechitsa,0.651
98,trayies,0.721,nenuphar,0.599,adowa,0.593,koivisto,0.65
99,conaehar,0.721,lamford,0.599,catalonian,0.593,beresina,0.65
