,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,differ,0.451,ferent,0.589,diflerent,0.731,diffcrent,0.758,differcnt,0.801,diffcrent,0.822,ferent,0.825,diflerent,0.834,differeut,0.926,differeut,0.931,differeut,0.924,ferent,0.862,ferent,0.848,ferent,0.837
1,various,0.436,differing,0.47,disterent,0.717,diffirent,0.744,diffcrent,0.799,diflerent,0.819,diflerent,0.814,dilferent,0.824,difierent,0.902,diflerent,0.922,diiferent,0.919,difierent,0.739,difierent,0.722,dif,0.695
2,external,0.423,diffe,0.447,difterent,0.717,diflerent,0.723,diferent,0.792,diffirent,0.818,difterent,0.792,ferent,0.821,diffeient,0.888,difierent,0.905,difierent,0.918,dif,0.734,dfferent,0.716,differing,0.598
3,kinds,0.393,differ,0.438,diferent,0.695,diferent,0.717,ferent,0.773,diffierent,0.814,diferent,0.774,ditferent,0.815,diflerent,0.88,diiferent,0.901,diflerent,0.917,diffeient,0.73,dif,0.712,differ,0.549
4,fenfe,0.384,various,0.417,ferent,0.69,differcnt,0.697,diflerent,0.769,difterent,0.813,dilferent,0.765,difierent,0.8,ferent,0.869,diffeient,0.895,diffeient,0.91,differeut,0.705,diffeient,0.707,differently,0.543
5,proceeds,0.373,irregular,0.391,diffe,0.666,difterent,0.675,difterent,0.761,diferent,0.808,difierent,0.762,dillerent,0.793,difterent,0.865,differeat,0.892,ditferent,0.905,afferent,0.704,differing,0.687,diverse,0.536
6,brutes,0.371,fabulous,0.371,diffcrent,0.663,diffierent,0.67,dilferent,0.76,differcnt,0.807,ditferent,0.759,diffeient,0.784,ditferent,0.863,lifferent,0.89,dilferent,0.903,dilferent,0.699,diflerent,0.678,various,0.528
7,genuine,0.37,differently,0.37,diffierent,0.657,difierent,0.659,difierent,0.758,ditferent,0.805,diffeient,0.735,differeut,0.775,lifferent,0.857,dilferent,0.889,difforent,0.888,diflerent,0.69,ditterent,0.648,differen,0.52
8,probable,0.366,inquisitive,0.362,diffirent,0.656,diffrent,0.61,diffirent,0.748,dilferent,0.792,diffierent,0.733,difterent,0.762,diiferent,0.853,ferent,0.883,dillerent,0.886,dfferent,0.689,dinerent,0.638,varying,0.515
9,nature,0.362,whimsical,0.358,differenr,0.652,ferent,0.591,diffierent,0.743,difierent,0.784,diiferent,0.729,diferent,0.746,dilferent,0.845,ditferent,0.881,differont,0.885,lifferent,0.685,diiferent,0.634,divergent,0.509
