,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
71,norway,0.477,cadiz,0.551,swedifh,0.461,vicnna,0.544,endraght,0.627,pillan,0.543,dautzic,0.623,sburg,0.734,belgrade,0.732,pletersburg,0.761,vladivostock,0.586,chateau,0.41,davos,0.376
72,swerin,0.476,henna,0.548,burg,0.46,emprefs,0.543,danizick,0.627,moscow,0.542,mlemel,0.622,penhagen,0.731,warsaw,0.731,insterburg,0.759,koelnische,0.586,adalbert,0.41,ruthenia,0.376
73,warfaw,0.475,leghorn,0.545,whitchaven,0.459,mittau,0.542,adeona,0.625,gothenburg,0.541,dantsic,0.621,konigs,0.729,constan,0.729,viedomosti,0.759,trepoff,0.585,sadoul,0.41,asuncion,0.375
74,dusseldorp,0.475,yienna,0.543,lisbon,0.459,waraw,0.539,pcterf,0.625,ienna,0.54,taganrog,0.62,petersbutrg,0.728,vedomosti,0.728,peteroburg,0.759,kharbin,0.585,ghq,0.41,emigrated,0.375
75,lunden,0.475,frankfort,0.543,ruflian,0.458,oltend,0.538,stralfund,0.624,embden,0.54,dantzic,0.619,konigsberg,0.727,constantinople,0.725,1etersburg,0.758,haparanda,0.584,guillotined,0.41,191415,0.375
76,mufcovy,0.474,confantinople,0.542,amfierdam,0.458,philadelphia,0.537,arrivrdfrom,0.622,menel,0.539,palermo,0.619,bavonne,0.727,petebsbubo,0.724,kieff,0.753,lokalan,0.584,germains,0.409,ludendorff,0.375
77,gottorp,0.474,kiel,0.54,brefl,0.457,emprcfs,0.533,wyburgh,0.622,memnel,0.539,swinemunde,0.617,naples,0.726,malrid,0.721,athens,0.751,alexeieffs,0.583,nazaire,0.409,roumania,0.375
78,covy,0.474,hague,0.54,emprefs,0.455,gibraltar,0.533,pieters,0.621,gefle,0.536,kiel,0.615,bayonne,0.725,madrid,0.72,mocow,0.751,grodekoff,0.582,emigre,0.409,1921,0.375
79,straelsund,0.471,hamburgb,0.538,lubeck,0.454,embden,0.532,gefle,0.62,malmo,0.536,memnel,0.613,christiania,0.723,plojesti,0.719,golos,0.75,liaoyang,0.582,tuileries,0.409,epistles,0.374
80,nople,0.469,drefden,0.538,emprels,0.453,empref,0.532,arrivdfrom,0.62,bremen,0.536,danzig,0.613,moscow,0.719,cettinje,0.717,madiid,0.749,rome,0.581,gottingen,0.409,pleni,0.374
81,poland,0.469,astracan,0.538,swedilh,0.452,verfailles,0.531,alicant,0.619,potsdam,0.534,haniburgh,0.61,palermo,0.716,petersburg—the,0.716,correspondenz,0.748,temps,0.58,strassburg,0.409,degrelle,0.374
82,brussels,0.469,gottemburg,0.538,legborn,0.451,lilhon,0.53,zant,0.619,warsaw,0.534,hamburgb,0.61,copenbagen,0.714,vienua,0.716,cettinje,0.747,semiofficial,0.58,1901,0.409,assassinated,0.373
83,hague,0.467,amjlerdam,0.537,hague,0.451,gottenburg,0.53,garbut,0.619,concordia,0.533,kraeft,0.61,altona,0.714,goloss,0.715,petersburgh,0.745,ozar,0.58,embassy,0.408,austria,0.373
84,stettin,0.467,konigsberg,0.535,francforr,0.451,danizick,0.529,bctfey,0.617,norway,0.533,harnburgh,0.609,ancona,0.713,moscow,0.714,petersburger,0.744,budapest,0.579,habsburg,0.408,garys,0.372
85,kiel,0.467,francfort,0.534,whitehaven,0.451,leipzig,0.529,sailedthe,0.616,calmar,0.533,wyburgh,0.609,barcelona,0.713,augsburg,0.714,vienua,0.743,petrcgrad,0.579,kronstadt,0.408,cannes,0.372
86,grodno,0.466,dolhorucki,0.534,gallipoly,0.45,munich,0.528,andero,0.615,kiel,0.533,croustadt,0.605,coastantinople,0.712,turin,0.713,vienna,0.742,newchwang,0.579,pari3,0.408,overthrew,0.372
87,czarian,0.465,cadix,0.534,drcfden,0.449,riga,0.527,onega,0.615,copen,0.532,dantzig,0.605,archangel,0.711,milan,0.713,vedomosti,0.741,remya,0.579,taris,0.407,laurent,0.371
88,frankfort,0.465,fienna,0.533,bergen,0.449,verlailles,0.527,arrivedfrom,0.614,lisbon,0.531,flensburg,0.605,olessa,0.71,agram,0.711,beriin,0.741,vossische,0.579,cairo,0.407,gripenberg,0.371
89,milan,0.465,tinople,0.533,dunkirk,0.447,ruflia,0.527,gijon,0.613,pernau,0.531,danuic,0.605,ragusa,0.709,pesth,0.709,kharkoff,0.74,aurore,0.578,valladolid,0.406,kuibishev,0.371
90,apraxin,0.465,stralfund,0.532,drefdcn,0.446,pruffian,0.527,petcrfburgh,0.612,strasburgh,0.53,konigs,0.604,taganrog,0.709,constanti,0.709,eydtkuhnen,0.739,paris,0.578,gunzbourg,0.406,maximilian,0.371
91,elbing,0.465,ratisbon,0.532,rufia,0.446,hamnburgh,0.526,longfound,0.612,christiansand,0.53,miramichi,0.604,coustantinople,0.708,vieuna,0.708,eerlin,0.736,eclair,0.578,bassy,0.406,aristotle,0.37
92,straelsond,0.464,ruffian,0.53,minillcr,0.445,liibon,0.525,leverpool,0.612,konigs,0.53,smyrna,0.604,domingo,0.707,perseveranza,0.707,tiflis,0.736,vladi,0.578,kussia,0.405,palazzo,0.37
93,muscovite,0.464,revel,0.53,altena,0.445,ollend,0.522,peteifburgh,0.611,malmoe,0.527,mernel,0.604,dantzic,0.707,stantinople,0.707,mosoow,0.735,athens,0.577,swit,0.405,capone,0.37
94,marienburg,0.463,prague,0.529,stralfund,0.445,mogadore,0.522,charlelton,0.611,heligoland,0.527,messina,0.604,kouigsberg,0.707,peteroburg,0.706,novoc,0.734,kharkoff,0.577,salvator,0.405,afghanistan,0.37
95,lemburg,0.463,constan,0.529,oftend,0.444,antigua,0.521,charleston,0.61,christiania,0.527,pernau,0.602,vienua,0.703,vienra,0.705,petersbourg,0.734,vostok,0.576,bavaria,0.404,1912,0.369
96,muscovy,0.462,czarish,0.528,faro,0.443,hagen,0.52,peterburgh,0.61,konigsburgh,0.524,berlin,0.602,genoa,0.703,brrlin,0.705,peterisburg,0.734,kuro,0.574,athens,0.404,girlhood,0.369
97,ruffian,0.461,madid,0.528,ratilbon,0.443,amsterdam,0.52,bristolthe,0.609,revel,0.524,neustadt,0.6,borsenhalle,0.701,petersb,0.704,beilin,0.734,burg,0.574,potsdam,0.403,19205,0.369
98,peterwaradin,0.46,lisbon,0.528,lifhon,0.443,ruffia,0.519,petcrlburgh,0.608,lubeck,0.522,havana,0.598,tiieste,0.701,kbnigsberg,0.704,constantinole,0.733,belgrade,0.574,embassies,0.403,moltke,0.369
99,stralfund,0.46,drelden,0.527,copen,0.442,burg,0.519,oporto,0.608,drontheim,0.521,wolgast,0.598,hamburg,0.701,odessa,0.703,sofia,0.733,listok,0.573,napo,0.403,lucia,0.368
