,en_1620,en_1620_d,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,count,0.537,earl,0.569,prince,0.526,puke,0.694,theduke,0.701,dukeof,0.786,dukc,0.784,dukc,0.799,dukeof,0.859,dake,0.862,dnke,0.888,dnke,0.952,dake,0.962,dnke,0.942,duko,0.84,duko,0.884,duko,0.703
1,baron,0.535,edward,0.486,marquis,0.517,theduke,0.628,dutchess,0.67,theduke,0.757,dake,0.776,dukeof,0.778,dukc,0.851,dnke,0.847,dake,0.863,duko,0.944,duko,0.951,duko,0.94,dnke,0.807,dnke,0.831,duchess,0.659
2,don,0.524,france,0.48,marriage,0.515,dutchefs,0.623,dukeof,0.662,dake,0.756,dukeof,0.759,dnke,0.771,dulke,0.837,dukeof,0.843,dukeof,0.856,dake,0.926,dnke,0.946,duka,0.918,dake,0.784,duka,0.746,duk,0.602
3,colonell,0.503,henry,0.47,grace,0.507,orleans,0.623,dutchefs,0.654,puke,0.75,dulke,0.715,dake,0.759,dake,0.837,doke,0.793,puke,0.85,dukeof,0.916,doke,0.922,dake,0.916,duk,0.771,ihike,0.728,hrh,0.566
4,archduke,0.499,effex,0.465,elector,0.501,dutchess,0.609,duchess,0.65,dukc,0.749,dukce,0.705,doke,0.748,theduke,0.834,dulke,0.787,doke,0.843,ouke,0.911,duka,0.909,doke,0.909,iuke,0.74,dtike,0.71,buccleuch,0.533
5,saxony,0.499,earle,0.461,poland,0.497,lorrain,0.579,dutchels,0.649,dutchefs,0.735,theduke,0.701,theduke,0.746,dluke,0.827,theduke,0.775,dulke,0.823,uuke,0.894,dukeof,0.904,dukeof,0.904,duka,0.721,duchess,0.71,aosta,0.507
6,marquis,0.486,title,0.439,brandenburg,0.485,hanover,0.578,puke,0.631,dnke,0.714,iuke,0.695,dluke,0.745,dnke,0.818,dluke,0.764,duko,0.823,doke,0.892,dnko,0.903,dulre,0.903,duk©,0.719,iuke,0.71,dukes,0.492
7,regiment,0.482,fourth,0.431,governor,0.481,gottorp,0.568,dutches,0.625,dutcheis,0.713,doke,0.693,duk,0.739,duike,0.811,dukc,0.759,ouke,0.799,duka,0.892,deke,0.895,dfuke,0.902,dcke,0.714,duk©,0.707,marquis,0.474
8,wards,0.446,fecond,0.422,denmark,0.472,hanouer,0.568,dukes,0.622,dutchess,0.704,duike,0.681,dulke,0.738,doke,0.805,duk,0.746,theduke,0.794,iuke,0.89,ouke,0.895,dnko,0.893,dtike,0.709,dukeof,0.704,princess,0.472
9,prefently,0.438,hearing,0.422,minister,0.466,bavaria,0.562,dnke,0.62,durchefs,0.702,dnke,0.67,dutchefs,0.711,duk,0.799,dtike,0.743,dtike,0.782,dluke,0.869,iduke,0.888,dulte,0.888,doke,0.708,uuke,0.699,marquess,0.47
10,thither,0.438,lady,0.421,king,0.461,marquis,0.557,argyle,0.608,dutchels,0.697,duk,0.66,dukce,0.706,dukce,0.779,iuke,0.743,uuke,0.78,dukt,0.868,dako,0.884,iduke,0.886,ihike,0.707,duk,0.693,devonshires,0.469
11,city,0.42,brother,0.414,spain,0.461,zell,0.556,marquise,0.603,dluke,0.682,dike,0.649,iduke,0.699,iduke,0.778,dulte,0.742,iuke,0.777,deke,0.868,iuke,0.883,jduke,0.885,ddke,0.697,puke,0.687,athlone,0.465
12,gouernour,0.417,father,0.411,sueden,0.46,tuscany,0.551,mariborough,0.594,duchess,0.681,cumberland,0.648,duchefs,0.697,lduke,0.771,ddke,0.741,dulte,0.775,dlke,0.866,dluke,0.878,dpke,0.883,dukr,0.686,dukf,0.677,portlands,0.462
13,foote,0.414,yeare,0.405,sieur,0.459,holstein,0.551,duk,0.586,iuke,0.671,dutchefs,0.638,grafton,0.691,dtike,0.766,ouke,0.74,dukc,0.775,dulte,0.866,dulke,0.877,deke,0.883,dufce,0.681,dlke,0.67,king,0.462
14,aforefaid,0.409,richard,0.405,monsieur,0.449,elector,0.55,argyll,0.58,ddke,0.667,buke,0.635,diuke,0.685,diuke,0.762,duike,0.736,dluke,0.773,dukc,0.865,dulte,0.876,dako,0.883,dnko,0.677,dcke,0.657,earl,0.448
15,commanded,0.408,prince,0.402,ambassador,0.437,marquiss,0.548,vendosme,0.576,dutches,0.666,duchefs,0.614,grace,0.684,dule,0.75,clarence,0.735,duk,0.768,iduke,0.86,dbke,0.874,dtike,0.881,uuke,0.676,duchcss,0.653,abercorn,0.444
16,horfe,0.401,line,0.402,excellency,0.434,burgundy,0.544,anjou,0.574,ducchess,0.659,grace,0.603,lduke,0.683,dtuke,0.75,diike,0.733,duike,0.767,theduke,0.854,dfke,0.871,iuke,0.88,duks,0.673,dtjke,0.653,connaught,0.439
17,company,0.393,excellency,0.397,emperor,0.428,savoys,0.535,dake,0.574,doke,0.659,berland,0.584,duike,0.681,dukle,0.746,puke,0.732,dtke,0.766,dnkc,0.85,theduke,0.87,fduke,0.88,dukf,0.662,duches,0.65,beaufort,0.439
18,regiments,0.392,crowne,0.392,hague,0.428,eugene,0.528,vendofme,0.568,duk,0.658,dutchefi,0.581,dtike,0.68,clarence,0.744,dukt,0.729,duchess,0.766,dske,0.847,uuke,0.868,dluke,0.876,dukeof,0.659,duchees,0.649,colonelinchief,0.436
19,lower,0.39,houle,0.388,highness,0.427,lorraine,0.524,vandome,0.561,dike,0.656,puke,0.579,duchefi,0.679,dutke,0.744,duko,0.728,lduke,0.764,dulke,0.845,dukre,0.866,duike,0.871,dako,0.649,doke,0.647,norfolks,0.435
20,foot,0.389,fhe,0.381,den,0.425,dukes,0.519,marquis,0.561,duike,0.656,marlborough,0.577,uke,0.67,uke,0.735,diuke,0.727,iduke,0.761,dtike,0.845,dulie,0.863,dnkc,0.87,dukb,0.647,ouke,0.642,highness,0.429
21,armie,0.387,third,0.374,count,0.423,modena,0.512,marquess,0.558,dulke,0.655,dulce,0.57,iuke,0.669,duxe,0.73,iduke,0.724,dlke,0.755,lduke,0.843,dukc,0.862,lduke,0.867,dttke,0.647,iduke,0.641,dowager,0.417
22,pope,0.386,lord,0.37,france,0.416,princess,0.511,marlborough,0.555,diuke,0.654,princc,0.569,buccleugh,0.663,dukec,0.728,deke,0.714,duka,0.746,buccleuch,0.842,ihike,0.859,dukc,0.864,duike,0.646,dukes,0.634,puke,0.416
23,goc,0.384,mar,0.369,paris,0.415,denmark,0.507,osmond,0.555,dutchcfs,0.653,cumber,0.569,ddke,0.66,dukd,0.726,duchess,0.709,dnkc,0.733,dtke,0.839,dukle,0.859,dukeo,0.864,daks,0.646,dukp,0.632,colonelin,0.412
24,french,0.38,wards,0.366,crown,0.415,marquise,0.499,marquifs,0.555,dutcbefs,0.652,dule,0.565,dutke,0.652,dulte,0.726,dukle,0.707,dukr,0.728,dfke,0.836,duike,0.859,dukce,0.863,duchess,0.641,ducness,0.628,beauforts,0.412
25,certaine,0.379,king,0.364,earl,0.412,margrave,0.497,dukc,0.551,dukes,0.65,giace,0.557,buke,0.651,duchefs,0.725,lduke,0.702,1uke,0.726,dukie,0.836,dnkeof,0.858,dukle,0.861,dlke,0.64,duches3,0.627,gcvo,0.41
26,gotten,0.377,ihe,0.363,lent,0.412,wirtemberg,0.494,orleans,0.548,durchess,0.649,dukede,0.552,marquis,0.65,dukee,0.725,dnkc,0.701,dnkeof,0.726,dukeot,0.834,dtike,0.857,uuke,0.86,dukp,0.637,duchoss,0.626,countess,0.41
27,brother,0.375,ford,0.36,lady,0.411,highness,0.493,sduke,0.544,lduke,0.644,argyll,0.551,thedukeof,0.65,dukr,0.723,dukf,0.7,dukle,0.726,duks,0.832,duki,0.857,dulie,0.859,duki,0.635,dukt,0.624,mountbatten,0.408
28,orange,0.368,death,0.357,bishop,0.408,dowager,0.492,fduke,0.54,dukce,0.642,dke,0.549,ancalter,0.649,dukf,0.72,duhe,0.699,diuke,0.721,dukce,0.832,dakeof,0.855,dukre,0.859,lhike,0.632,duks,0.618,windsors,0.405
29,lie,0.368,defigne,0.351,envoy,0.408,dutchy,0.49,ormond,0.54,dule,0.639,marquifs,0.547,dike,0.649,duki,0.719,dtke,0.695,duches,0.72,diuke,0.829,thedukeof,0.855,dnkeof,0.859,dnchess,0.628,duehess,0.614,hy,0.405
