,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,exchange,0.437,royalex,0.491,changc,0.677,hange,0.585,changc,0.78,changc,0.857,chauge,0.75,chauge,0.805,chauge,0.914,chauge,0.92,cbange,0.913,ohange,0.834,ohange,0.832,cnange,0.69
1,changed,0.393,exchange,0.49,chinge,0.632,chang,0.581,chinge,0.753,chanige,0.784,changc,0.716,cliange,0.757,chango,0.904,chango,0.92,chango,0.908,chango,0.827,chango,0.824,changc,0.686
2,ex,0.354,chang,0.49,cbange,0.626,royalex,0.454,chang,0.729,chinge,0.78,cbange,0.707,cbange,0.754,cliange,0.89,ohange,0.914,chadge,0.903,cliange,0.78,chancre,0.781,changes,0.551
3,cornhil,0.347,exchangc,0.447,hange,0.617,exchange,0.426,cbange,0.722,cbange,0.747,cliange,0.697,chanige,0.734,cbange,0.882,cbange,0.908,chauge,0.893,cnange,0.744,changc,0.775,changed,0.535
4,cornhill,0.343,ex,0.444,exchange,0.593,exchangc,0.424,thange,0.698,clange,0.727,chiange,0.694,ehange,0.733,ehange,0.881,ehange,0.895,changa,0.891,chancre,0.733,cnange,0.736,changing,0.509
5,alteration,0.341,changes,0.436,ehange,0.536,corohill,0.412,chanige,0.668,cliange,0.72,chang,0.685,chiange,0.725,ohange,0.874,changc,0.89,cliange,0.886,changc,0.731,cliange,0.71,change—,0.494
6,alter,0.339,eyebrows,0.411,chang,0.524,changd,0.407,hange,0.664,ciange,0.711,hange,0.676,changc,0.695,changc,0.867,changa,0.881,cnange,0.883,chauge,0.698,chansre,0.688,alteration,0.478
7,lud,0.316,exchinge,0.407,royalex,0.496,cotnhill,0.407,chnge,0.66,chane,0.707,ehange,0.673,chatige,0.69,chinge,0.843,cliange,0.881,chanze,0.881,ohango,0.691,chanpe,0.688,altered,0.458
8,settle,0.313,nge,0.393,eschange,0.483,alteration,0.405,chiange,0.657,chauge,0.705,ciange,0.67,clange,0.667,chsnge,0.834,chsnge,0.881,ohange,0.88,ehange,0.685,dhange,0.666,hange,0.446
9,exchangealley,0.311,shapes,0.391,erchange,0.479,exchang,0.403,clange,0.652,thange,0.705,chinge,0.666,ciange,0.658,ebange,0.834,chadge,0.88,chsnge,0.88,changa,0.679,chauge,0.65,reorientation,0.419
10,changing,0.309,changealley,0.388,excliange,0.475,changed,0.397,ehange,0.643,chang,0.69,chanige,0.663,chainge,0.657,cnange,0.823,clange,0.871,chanae,0.875,chadge,0.667,chanse,0.638,reversal,0.416
11,pect,0.309,alexchange,0.384,excbange,0.474,changes,0.397,cliange,0.64,chatige,0.687,chlange,0.661,hange,0.649,chadge,0.823,chancre,0.868,chanse,0.873,chansre,0.663,chanee,0.631,variation,0.411
12,royalexchange,0.307,roya,0.376,ex,0.473,ex,0.394,exchange,0.631,chlange,0.685,chainge,0.661,chinge,0.643,chunge,0.822,ebange,0.863,chancre,0.871,ciiange,0.653,ehange,0.624,ex,0.401
13,alley,0.305,alteration,0.375,etchange,0.467,comnhill,0.39,chane,0.627,chiange,0.682,chatige,0.659,chane,0.631,changa,0.816,ciange,0.86,clange,0.868,chajige,0.635,cbange,0.571,pansion,0.397
14,backside,0.304,comhil,0.374,excharge,0.467,xchange,0.388,cange,0.57,clhange,0.659,clange,0.649,chango,0.631,chlange,0.816,chenge,0.858,ohauge,0.861,ahange,0.634,changes,0.564,reshuffle,0.397
15,coffeehouse,0.292,cornhiu,0.374,exchauge,0.466,comhill,0.388,exchangc,0.556,chainge,0.656,chane,0.643,clhange,0.63,clange,0.815,cbauge,0.855,ehange,0.853,rhange,0.622,rhange,0.561,modification,0.396
16,decline,0.286,brows,0.374,xchange,0.453,exchinge,0.386,exhange,0.548,chanlge,0.648,clhange,0.624,chlange,0.629,chanige,0.815,ahange,0.852,chnnge,0.849,chanpe,0.62,hange,0.55,chanee,0.394
17,tant,0.286,sweetings,0.372,chane,0.452,cornhll,0.382,xchange,0.534,changei,0.646,thange,0.611,chunge,0.624,cliauge,0.814,chinge,0.847,cbauge,0.846,hange,0.619,ciiange,0.55,consequence,0.392
18,prejudice,0.282,changing,0.37,exchaige,0.451,cornhill,0.378,excbange,0.534,chnge,0.64,chanlge,0.609,chsnge,0.614,chiange,0.813,chlange,0.845,ebange,0.839,cbange,0.598,alteration,0.535,readjustment,0.391
19,overagainst,0.281,cornhil,0.37,echange,0.45,erchange,0.378,exchinge,0.533,ehange,0.639,chnge,0.579,changea,0.611,chnnge,0.813,chnnge,0.842,chanire,0.838,oliange,0.592,chantre,0.534,waitandsee,0.389
