,en_1620,en_1620_d,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
22,god,0.448,granted,0.358,queen,0.415,ambassador,0.428,emperor,0.466,kitg,0.603,kiug,0.561,prufia,0.6,kisg,0.692,kirig,0.651,khig,0.7,iking,0.773,kiing,0.805,kipg,0.769,kidg,0.641,kuig,0.632,duke,0.462
23,to,0.447,confent,0.358,kings,0.412,dowager,0.428,majesty,0.466,krng,0.601,pruilia,0.559,prufiia,0.595,kitig,0.687,kinz,0.648,kihg,0.699,kilng,0.77,lking,0.804,khig,0.766,kinjj,0.631,kmc,0.631,abdullahs,0.462
24,only,0.44,henry,0.357,concluded,0.409,his,0.426,pcing,0.464,iking,0.597,kmg,0.557,kig,0.591,kiog,0.687,kingof,0.643,kcing,0.696,khing,0.766,kibg,0.803,kinsr,0.766,kihg,0.63,kinar,0.62,abdullah,0.459
25,faith,0.435,ct,0.353,christian,0.408,duke,0.425,elector,0.462,kiiig,0.597,prullia,0.547,kihg,0.591,kirig,0.682,iking,0.64,kieg,0.696,kieg,0.766,kling,0.802,kixg,0.766,kiog,0.625,kipg,0.619,majesties,0.459
26,not,0.433,g,0.351,emperour,0.407,sueden,0.421,kiog,0.462,kinig,0.592,kcing,0.547,kiug,0.586,kirng,0.678,khig,0.64,kisg,0.692,ktng,0.761,kingr,0.798,kiing,0.758,queen,0.621,kinf,0.616,vlls,0.456
27,emperour,0.429,ii,0.349,paris,0.404,regent,0.419,denmark,0.458,queen,0.588,prufiia,0.547,kinp,0.586,klng,0.675,kitg,0.639,kingof,0.69,kimg,0.76,kuig,0.798,kfng,0.758,kixg,0.62,kinjj,0.616,kinj,0.454
28,man,0.426,in,0.348,hague,0.397,sweden,0.419,prussia,0.447,kina,0.585,pruffla,0.541,kmg,0.585,k1ing,0.674,kipg,0.637,kinp,0.689,kintr,0.758,khig,0.796,kinq,0.75,klng,0.619,kins,0.615,buckingham,0.451
29,fecing,0.423,po,0.347,treaty,0.391,peror,0.419,empeior,0.446,kinp,0.582,pruftia,0.538,pruftia,0.584,ksing,0.67,kling,0.633,kmg,0.687,kingr,0.758,kixg,0.793,kinir,0.749,kiig,0.618,kinpr,0.612,kinf,0.451
30,for,0.418,con,0.347,satisfaction,0.387,bavaria,0.418,kins,0.443,kibg,0.573,prufia,0.529,kidg,0.583,kilg,0.669,kilng,0.632,kiny,0.684,kinj,0.753,kfng,0.792,kinp,0.742,kng,0.614,kiig,0.602,zog,0.448
31,peace,0.416,rent,0.346,ministers,0.386,ambassa,0.411,kine,0.442,lking,0.564,pruflias,0.528,pruffias,0.583,kilng,0.667,kinlg,0.631,kying,0.683,kiiig,0.753,kipg,0.787,lking,0.739,krng,0.614,kng,0.599,vii,0.443
32,pope,0.415,his,0.345,enemies,0.382,spain,0.408,monarch,0.437,kinz,0.557,qucen,0.52,prince,0.583,kitng,0.664,kying,0.626,kingr,0.683,kinlg,0.751,kinsr,0.785,kmg,0.735,kmc,0.613,kiny,0.599,umberto,0.442
