,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,college,0.47,versity,0.632,univerfity,0.73,univerfity,0.677,univerfity,0.78,versity,0.808,versity,0.829,universitv,0.927,uuiversity,0.953,uuiversity,0.93,versity,0.872,versity,0.894,versity,0.895
1,provost,0.465,professor,0.612,professor,0.703,univcrfity,0.638,univerlity,0.758,universitv,0.733,univeisity,0.751,lniversity,0.923,universitv,0.929,univeisity,0.921,univer,0.824,lniversity,0.855,univer,0.831
2,professor,0.45,univerfity,0.583,univerlity,0.698,univerlity,0.633,univcrfity,0.729,univerfity,0.723,univerity,0.743,uuiversity,0.923,versity,0.926,lniversity,0.919,universitv,0.818,universitv,0.851,sity,0.817
3,cambridge,0.422,cambridge,0.556,univerfiry,0.677,univeifity,0.614,univerrity,0.696,univerlity,0.687,universitv,0.731,versity,0.913,univerity,0.923,versity,0.917,lniversity,0.814,univer,0.804,universitv,0.783
4,chancellor,0.408,regius,0.532,versity,0.666,verfity,0.585,univerity,0.69,universit,0.686,uuiversity,0.73,univerity,0.909,univeisity,0.916,universitv,0.917,niversity,0.791,sity,0.771,universities,0.693
5,academy,0.394,vicechancellor,0.528,protestor,0.636,univerfiry,0.58,univerfiry,0.685,universities,0.671,iniversity,0.727,univeisity,0.909,univeraity,0.909,univeraity,0.906,cniversity,0.75,niversity,0.765,universitys,0.688
6,colledge,0.391,trinitycollege,0.501,univerrity,0.614,trinitycollege,0.543,univerfitv,0.663,professor,0.642,cniversity,0.725,unirersity,0.888,lniversity,0.907,uaiversity,0.9,univereity,0.747,cniversity,0.764,college,0.659
7,bishop,0.39,college,0.495,verfity,0.607,college,0.528,univetfity,0.655,college,0.642,niversity,0.718,iniversity,0.886,umversity,0.899,universit,0.9,univeraity,0.742,univerity,0.734,sitv,0.654
8,canterbury,0.389,colledge,0.489,fessor,0.6,profeftor,0.513,versity,0.648,univcrfity,0.64,univeraity,0.7,universit,0.882,unitersity,0.897,univerity,0.898,univeisity,0.727,univeisity,0.733,niversity,0.65
9,rector,0.384,oxford,0.486,univcrfity,0.598,colege,0.512,college,0.636,verfity,0.602,universityof,0.7,cniversity,0.881,univereity,0.896,univereity,0.897,univerity,0.725,univereity,0.726,university—,0.648
10,archbishop,0.384,sity,0.486,sity,0.587,ftudents,0.504,univeifity,0.623,professorship,0.602,lniversity,0.692,univeraity,0.876,uaiversity,0.896,univorsity,0.895,versities,0.722,iniversity,0.723,divinity,0.633
11,diocefs,0.381,gooch,0.479,cambridge,0.579,vicechancellor,0.498,professor,0.623,colege,0.593,university—,0.677,universiy,0.876,iuniversity,0.896,iuniversity,0.895,uuiversity,0.721,universitys,0.715,ollege,0.622
12,albemarle,0.371,provost,0.465,professors,0.574,collge,0.478,verfity,0.617,jesuscollege,0.592,ersity,0.674,niversity,0.867,iniversity,0.893,unirersity,0.894,universit,0.721,versitv,0.711,peterhouse,0.621
13,dean,0.371,professors,0.453,college,0.563,collcge,0.476,coliege,0.616,versities,0.589,lucasian,0.672,iuniversity,0.863,universit,0.891,umversity,0.891,lmversity,0.719,univorsity,0.708,ersity,0.621
14,doctors,0.366,doctor,0.452,professorship,0.561,profeffor,0.474,cullege,0.616,universi,0.588,unirersity,0.666,universiiy,0.861,unirersity,0.888,dniversity,0.887,univorsity,0.719,universit,0.704,universi,0.613
15,strates,0.365,diocese,0.447,profeffor,0.549,profeflbr,0.474,collcge,0.613,christcollege,0.588,university—the,0.666,univereity,0.86,univesity,0.882,luniversity,0.886,iniversity,0.719,versify,0.701,lege,0.612
16,bernard,0.364,scholars,0.423,trinitycollege,0.549,coliege,0.467,collegc,0.603,baliol,0.584,college,0.665,univorsity,0.859,univorsity,0.881,uniersity,0.886,sity,0.705,unversity,0.7,extramural,0.611
17,chaplain,0.36,bissiop,0.418,profeflor,0.544,cambridge,0.466,cllege,0.597,newcollege,0.584,univcrsity,0.662,universty,0.853,univerrity,0.878,iniversity,0.886,mversity,0.7,ersity,0.697,versities,0.611
18,garter,0.35,chancellor,0.414,scollege,0.538,coilege,0.463,coilege,0.595,kingscollege,0.58,unliversity,0.656,college,0.845,luniversity,0.878,uoiversity,0.885,umversity,0.699,tniversity,0.694,professorship,0.609
19,durham,0.348,magistracy,0.413,profellor,0.536,lege,0.463,collge,0.584,magdalencollege,0.579,theuniversity,0.649,uiversity,0.838,udiversity,0.878,cniversity,0.884,unirersity,0.699,lmversity,0.684,graduate,0.604
20,archbifhop,0.344,doctors,0.411,univer,0.534,profelfor,0.459,ollege,0.582,trinitycollege,0.579,versitv,0.633,uiniversity,0.838,uiversity,0.876,universiiy,0.884,universities,0.696,lniver,0.681,graduating,0.603
21,commons,0.344,rector,0.411,profelfor,0.533,ollege,0.458,verlity,0.581,coliege,0.578,versify,0.624,universityof,0.838,universitr,0.875,univesity,0.882,versify,0.694,sitv,0.678,theology,0.601
22,commoncouncil,0.342,christchurch,0.411,oxford,0.527,elected,0.454,colege,0.578,collcge,0.574,universit,0.624,univenity,0.835,ulniversity,0.873,vniversity,0.882,ersity,0.687,universities,0.677,sities,0.596
23,oxford,0.339,divinity,0.408,regius,0.527,canibridge,0.449,colleg,0.576,coilege,0.572,collcge,0.616,uniersity,0.832,universty,0.873,rniversity,0.882,cniversitv,0.682,graduates,0.672,caius,0.593
24,laurence,0.337,univer,0.408,provost,0.509,ftudent,0.448,fellowof,0.57,regius,0.57,universities,0.615,collego,0.832,univcrsity,0.87,untversity,0.879,uniyersity,0.679,universty,0.67,vicechancellor,0.593
25,latine,0.336,aberdeen,0.404,profes,0.507,oxford,0.447,marifchal,0.569,divinity,0.569,collere,0.613,rsity,0.831,untversity,0.869,universiy,0.879,jniversity,0.67,rsity,0.666,students,0.588
26,sarum,0.335,student,0.402,coilege,0.506,society,0.446,trinitycollege,0.564,caiuscollege,0.567,graduates,0.611,univertity,0.829,univeriity,0.869,uniyersity,0.878,university—the,0.666,umver,0.662,colleges,0.586
27,lord,0.333,sorbonne,0.401,profefror,0.505,profeflor,0.446,fessor,0.563,queenscollege,0.563,iversity,0.61,umversity,0.828,vniversity,0.865,uiversity,0.877,rsity,0.661,niversitv,0.66,graduation,0.582
28,bishops,0.332,profeffor,0.398,uni,0.496,clarehall,0.444,professors,0.562,vicechancellor,0.563,rsity,0.606,uniyersity,0.827,univernity,0.864,unitersity,0.877,tniversity,0.66,versities,0.66,theological,0.576
29,knighthood,0.33,bishop,0.397,coliege,0.495,profellor,0.444,universities,0.561,exetercollege,0.563,varsity,0.606,uoiversity,0.827,univerbity,0.863,univenity,0.876,niversitv,0.66,unive,0.66,graduates,0.576
30,oxon,0.329,academy,0.397,vicechancellor,0.495,colleg,0.441,profelfor,0.56,collegc,0.556,professorship,0.606,unitersity,0.827,cniversity,0.863,unversity,0.875,universty,0.657,iversity,0.658,coliege,0.574
31,president,0.329,prebendaries,0.394,pembrokehall,0.493,elcted,0.44,profeflor,0.56,cullege,0.554,kingscollege,0.605,usiversity,0.825,universlty,0.861,usiversity,0.873,university—,0.655,mversity,0.648,colege,0.573
32,reverend,0.328,magistrates,0.393,gresham,0.492,univer,0.439,profeltor,0.556,ollege,0.553,collese,0.605,universily,0.822,universiy,0.861,fniversity,0.873,unitersity,0.653,college,0.641,physiology,0.571
33,magistracy,0.327,printinghouse,0.392,universities,0.492,cambiidge,0.438,gottingen,0.553,couege,0.553,uniiversity,0.604,univesity,0.822,uiniversity,0.853,univarsity,0.872,coilege,0.653,tjniversity,0.639,lecturer,0.571
34,chapter,0.325,universities,0.39,upsal,0.488,camnbridge,0.434,profeflbr,0.552,profesor,0.547,regius,0.603,unisersity,0.816,uuniversity,0.85,universty,0.871,universiy,0.653,professorship,0.638,pathology,0.569
35,universities,0.323,esqj,0.389,cambiidge,0.486,kennicott,0.434,profeffor,0.551,colleges,0.546,coilege,0.602,theuniversity,0.816,universityof,0.847,ulniversity,0.871,vereity,0.652,university—,0.635,tniversity,0.568
36,incomparable,0.322,bentley,0.389,colege,0.479,eletled,0.431,profellor,0.551,professors,0.544,trinitycollege,0.601,ulniversity,0.815,universitj,0.846,uiniversity,0.868,universi,0.651,vicechancellor,0.631,brasenose,0.564
37,walter,0.322,visitation,0.387,president,0.478,collegc,0.431,clarehall,0.545,brasennose,0.542,savilian,0.6,tuniversity,0.815,uniersity,0.846,univerrity,0.867,universitj,0.65,icechancellor,0.63,tjniversity,0.561
38,honor,0.32,dioceses,0.387,oxlord,0.478,canbridge,0.428,profefror,0.545,johnscollege,0.541,colleges,0.599,colleae,0.814,univarsity,0.845,uhiversity,0.866,unversity,0.649,universi,0.625,regius,0.557
