,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
87,hs,0.318,decemb,0.353,ratified,0.337,dresden,0.363,finances,0.35,brandebourg,0.353,lieutgen,0.466,jeneral,0.616,generial,0.582,genseral,0.614,geceral,0.729,gencral,0.822,geuoral,0.827,gcneral,0.564,fieneral,0.601,bergeret,0.384
88,4,0.318,written,0.352,marquifs,0.336,merci,0.363,dier,0.349,dauns,0.352,gcne,0.465,generul,0.614,gesseral,0.581,tgeneral,0.613,generl,0.729,genemal,0.822,geineral,0.827,igeneral,0.563,cenerai,0.6,macarthurs,0.382
89,tf,0.318,usual,0.352,heer,0.334,marquise,0.362,legge,0.348,brigadiers,0.352,gerneral,0.464,genecal,0.614,gensral,0.581,generial,0.61,gcneial,0.728,generi,0.822,gonoral,0.826,grneral,0.562,gkneral,0.6,delegategeneral,0.382
90,letter,0.317,molt,0.35,catinat,0.334,fagel,0.361,lieutenanr,0.347,bathiani,0.351,majorgeneral,0.464,generall,0.614,gerteral,0.576,cieneral,0.607,gelneral,0.727,genexal,0.821,generml,0.826,cieneral,0.562,enera,0.595,messe,0.381
91,ford,0.317,ral,0.35,directors,0.332,sinzendorff,0.361,vernour,0.346,schwerin,0.35,seneral,0.464,gsneral,0.613,generi,0.576,ueral,0.605,gteneral,0.726,oneral,0.821,geusral,0.826,jreneral,0.56,oneral,0.594,gamelin,0.381
92,nt,0.317,febr,0.349,tartary,0.332,berg,0.36,stampa,0.346,marfial,0.35,ral,0.463,geseral,0.612,genecal,0.575,gbneral,0.604,greneral,0.725,generali,0.82,genend,0.826,oenerai,0.56,genekal,0.589,homma,0.381
93,ts,0.317,already,0.347,austria,0.332,preside,0.36,provinces,0.345,ignon,0.35,ge,0.458,gzneral,0.609,nera,0.575,geneiral,0.597,gfneral,0.725,geneual,0.82,generdl,0.825,geneiral,0.559,geineral,0.589,mihailovitchs,0.38
94,iy,0.317,marched,0.346,westphalia,0.332,palfi,0.36,adjutantgeneral,0.344,prufiians,0.349,hulfen,0.456,geacral,0.606,generel,0.574,tieneral,0.597,gonoral,0.724,gsueral,0.818,teneral,0.825,cjeneral,0.557,generail,0.585,staff,0.38
95,id,0.317,pardon,0.345,zell,0.332,rotulorum,0.359,dubourgay,0.343,seckendorif,0.347,neril,0.454,tgeneral,0.606,tieneral,0.573,gexeral,0.595,kneral,0.724,qeneral,0.817,weneral,0.825,generul,0.557,igeneral,0.584,wavells,0.378
96,utterly,0.316,received,0.345,ensign,0.331,bonneval,0.358,direelors,0.343,apraxin,0.346,ntral,0.454,reneral,0.605,generml,0.572,cneral,0.595,geneval,0.724,6eneral,0.816,gfneral,0.824,geceral,0.556,fjeneral,0.583,dwight,0.378
97,ws,0.316,26,0.343,adrianople,0.331,of,0.358,govemour,0.343,seckendorf,0.345,goltz,0.453,guneral,0.605,genera1,0.571,gineral,0.595,sgeneral,0.723,gcneral,0.816,geberal,0.824,•eneral,0.553,generel,0.583,gomerys,0.378
98,chiefe,0.315,28,0.337,impe,0.33,deputy,0.358,dyec,0.341,irregulars,0.345,genet,0.453,geceral,0.604,tneral,0.571,genend,0.594,ueral,0.722,eueral,0.816,generl,0.823,gkneral,0.553,genehal,0.579,abrial,0.378
99,excellency,0.314,preparing,0.336,philipsburg,0.33,nassau,0.358,darmstadt,0.34,legonier,0.345,generi,0.451,gener4l,0.602,genseral,0.57,genenal,0.593,seneral,0.722,genersal,0.816,genecal,0.823,gentral,0.553,genefal,0.577,qen,0.376
