,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,ljuft,0.875,otalig,0.679,kunskapsgren,0.496,bildadt,0.524,hildas,0.596,bildande,0.574,bildando,0.505
1,strälar,0.872,oegennyttig,0.676,fraktion,0.49,fruntimmersförening,0.479,bildadt,0.578,bildadt,0.559,hildas,0.499
2,älstare,0.87,älstare,0.658,lätting,0.48,sammanknyta,0.473,bildande,0.551,hildas,0.513,lifskraftiga,0.493
3,afunda,0.868,dikt,0.656,nyans,0.48,oppositionsparti,0.47,nybildad,0.505,majoritetsregering,0.509,agrarförening,0.481
4,rättwis,0.867,enkelhet,0.648,akademist,0.478,kunskapsgren,0.468,organisera,0.5,bildando,0.498,attrahera,0.479
5,bödel,0.867,ihärdig,0.647,lifskraft,0.476,tystt,0.467,homogen,0.489,bildado,0.485,majoritetsregering,0.464
6,förjaga,0.865,talang,0.647,sekt,0.473,utdöma,0.466,organiseradt,0.484,arbetareförbund,0.474,filialafdelningar,0.462
7,wäckte,0.865,christne,0.646,milieu,0.473,triangel,0.466,förbrödra,0.475,rekonstruera,0.472,sammansluta,0.462
8,fördölja,0.863,rättskaffens,0.645,sinsemellan,0.468,ministör,0.464,industrioch,0.474,arbetaresamfundens,0.471,koalitionsministär,0.46
9,rättfärdighet,0.863,herrlig,0.645,bewisade,0.467,fredsvän,0.463,queue,0.469,mellanlänk,0.47,bildadt,0.46
10,bila,0.863,efterföljd,0.645,humanistisk,0.467,samhällslif,0.463,filialafdelningar,0.468,diskussionsklubb,0.47,ombilda,0.459
11,förblinda,0.863,maner,0.644,whig,0.464,universell,0.463,husbondeförening,0.468,sammansluta,0.467,förskämma,0.458
12,sträf,0.862,sparsam,0.639,förställd,0.464,omorganisera,0.46,kroppsarbeta,0.467,vensterministér,0.466,reformsällskaper,0.458
13,tilfredsställelse,0.861,välgörande,0.638,brukbarhet,0.462,valdistrikter,0.459,stiftande,0.467,ribo,0.463,sammanhålla,0.458
14,förgifta,0.86,umgänge,0.635,inflytelserik,0.461,lombardiska,0.458,stifta,0.461,landtmanuapartiet,0.462,partiförening,0.455
15,hungrig,0.859,stönt,0.634,utbilda,0.461,federativ,0.457,valdistrikter,0.455,goodtemplarloge,0.46,homogenitet,0.451
16,väcka,0.859,statsman,0.633,alltmer,0.461,ministere,0.457,häradsvis,0.455,mellanparti,0.46,landtmanuapartiet,0.451
17,ljuf,0.859,anwändande,0.632,scenisk,0.46,upplösningstillstånd,0.456,omorganisera,0.452,centralkomité,0.46,sprängkil,0.449
18,uste,0.859,dygdig,0.632,forntida,0.46,öfverhoppa,0.456,framlyser,0.451,sprängkil,0.459,kasernerad,0.449
19,otro,0.859,lagom,0.632,alltmera,0.46,inbördeskrig,0.455,sammanknyta,0.45,filialafdelningar,0.459,diskussionsklubb,0.448
20,fjäl,0.859,ypperst,0.632,intellektuel,0.46,nybildad,0.455,reformsällskaper,0.449,sjukhjelpskassa,0.459,kreuznach,0.447
21,försaka,0.857,framställan,0.632,karakterisera,0.459,gilver,0.455,kooperativ,0.449,organisera,0.458,rekonstruera,0.446
22,krigare,0.857,liderlig,0.632,vallag,0.459,spels,0.454,korporalskaper,0.448,sammanhålla,0.458,isperiod,0.446
23,okonstlad,0.856,wisserligen,0.631,likformig,0.458,blifna,0.453,skarpskyttekorps,0.448,konsumtionsförening,0.458,fattigvårdshänseende,0.445
24,wälmäga,0.856,wetenstaper,0.631,insigtsfull,0.458,kringspridt,0.453,kommittee,0.447,vermländsk,0.457,arbetarebolag,0.443
25,maner,0.856,värdig,0.631,lingö,0.455,sydtysk,0.452,romrarne,0.447,mästareförening,0.455,sjukhjelpskassa,0.443
26,åtanka,0.855,feder,0.631,producter,0.454,lånadt,0.452,hildal,0.447,koalitionsministär,0.455,sommarkoloni,0.44
27,wäsende,0.855,uppriktighet,0.629,inhemtar,0.453,bildande,0.451,ducrots,0.446,gymnastisera,0.454,ombildadt,0.439
28,werksamhet,0.855,fair,0.629,naturalisera,0.453,förbrödra,0.45,fullbildad,0.446,lifskraftiga,0.449,tillsyningsföreningen,0.439
29,viri,0.854,inwärtes,0.629,londonska,0.453,savojen,0.45,bananläggning,0.445,agrarförening,0.447,sammansluten,0.439
30,fjät,0.853,qwicka,0.629,lektyr,0.452,löpeld,0.449,obetvinglig,0.445,elittrupp,0.445,friförsamling,0.438
31,hjertelig,0.852,lärd,0.629,orakel,0.452,sammansmälta,0.449,konsumtionsförening,0.444,världskonferens,0.444,enin,0.438
32,bjerta,0.852,patriotism,0.628,besvärlighet,0.452,kompakt,0.449,kärntrupp,0.444,korporativ,0.444,adelö,0.436
33,förswarare,0.852,utweckla,0.627,integrera,0.452,provincerne,0.449,låntagande,0.443,nybildad,0.443,blodkula,0.436
34,gras,0.852,helgedom,0.627,folkundervisning,0.451,germanisk,0.448,starpstyttekär,0.443,sammansluten,0.443,naturtillgång,0.436
35,wördar,0.852,wärdad,0.625,mythologi,0.45,armecns,0.448,likaberättigad,0.442,inedlemmarne,0.442,likaom,0.436
36,innersta,0.852,kunstaper,0.624,demoralisera,0.449,betryggadt,0.448,bwilke,0.442,stoilov,0.442,folkresning,0.436
37,lätom,0.852,sysselsatt,0.624,reformera,0.449,synagoga,0.447,haie,0.442,mellaneuropeisk,0.442,vensterministär,0.436
38,fjäll,0.851,foglig,0.623,tilräckeligen,0.449,upphäfver,0.447,rekonstruera,0.44,enkanneligen,0.44,arbetareförbund,0.435
39,känfla,0.851,bildning,0.623,dilettant,0.449,förorsakadt,0.447,ombilda,0.44,arbetarebolag,0.44,tullvänlig,0.435
40,högmodig,0.851,klädnad,0.622,efterhand,0.449,hildas,0.446,lifsverksamhet,0.44,ombilda,0.437,hushållningsdistrikt,0.435
41,eter,0.851,fältherre,0.621,frisinnad,0.448,sammangaddning,0.446,konfirmand,0.438,centerförening,0.437,konglomerat,0.434
42,piete,0.851,bedräglig,0.621,ulom,0.448,reformvän,0.446,bildado,0.438,enin,0.436,rekonstruering,0.434
43,hug,0.851,syndig,0.621,association,0.448,schweizarne,0.446,friförsamling,0.437,kommittee,0.435,valdistrikter,0.434
44,flör,0.851,lagstiftare,0.621,ideell,0.447,varsebli,0.445,päbegynta,0.436,nykterhetssamfund,0.435,afstadna,0.434
45,sinlig,0.851,lifwade,0.621,sij,0.446,syftemäl,0.445,dryad,0.435,homogen,0.434,kollektivism,0.434
46,wäcker,0.851,sedlighet,0.62,hopsamla,0.446,representeradt,0.445,kröningståg,0.435,reformsällskaper,0.434,belysningsstation,0.433
47,sammanlefnad,0.85,oskyldig,0.62,välmenande,0.446,inrita,0.444,inordna,0.435,likaom,0.434,genomflyta,0.433
48,helgedom,0.85,förädla,0.619,exalterad,0.446,föreningslänk,0.444,föreningsbyggnad,0.435,starpstyttekär,0.433,förbrödra,0.433
49,stygd,0.85,mockra,0.619,cmedan,0.446,förvårfvat,0.444,ministör,0.435,arbetarring,0.433,vensterministér,0.433
50,lanka,0.85,anlete,0.619,artistisk,0.445,trekant,0.444,vältänkande,0.435,ombildadt,0.433,måhånda,0.432
51,oliv,0.849,tidehwarf,0.619,styrelseform,0.445,homogen,0.443,fredstillstånd,0.434,vensterministär,0.432,mellanlänk,0.431
52,catholsta,0.849,filosof,0.618,storartad,0.445,dalgång,0.443,undsättnings,0.434,agrarförbund,0.432,bildado,0.431
53,rädande,0.849,hjeltemod,0.618,soireer,0.445,maktegande,0.443,organisering,0.434,moderatliberal,0.432,jagtförening,0.43
54,utöfwa,0.848,lärjunge,0.618,genomgå,0.445,grundläggande,0.442,konstituera,0.434,romrarne,0.432,centralkomité,0.43
55,därstap,0.848,omtanka,0.618,murcia,0.444,framlocka,0.441,exploitera,0.434,löreningen,0.432,valmanskår,0.429
