,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,bertrand,0.812,soult,0.776,soult,0.688,mahon,0.712,campos,0.619,campos,0.613
1,suwarow,0.809,metternich,0.709,vaillant,0.666,bazaine,0.699,deodoro,0.598,deodoro,0.608
2,wellingtons,0.807,sebastiani,0.685,pelissier,0.645,mac,0.683,serrano,0.588,davoust,0.594
3,fältmarskalk,0.799,mortier,0.685,saldanha,0.638,mahons,0.667,marskalkinnan,0.587,serrano,0.589
4,ney,0.797,bourmont,0.684,krigsminister,0.636,serrano,0.658,davoust,0.586,kavallerigeneral,0.587
5,blucher,0.796,suwarow,0.683,terceira,0.624,bazaines,0.65,kavallerigeneral,0.577,marskalkinnan,0.58
6,metternich,0.789,clauzel,0.683,radetzky,0.62,general,0.649,yamagata,0.576,yamagata,0.579
7,grenville,0.777,soults,0.682,nicaragua,0.62,marstall,0.637,martinez,0.576,martinez,0.574
8,soult,0.777,saldanha,0.681,prittwitz,0.614,marflalk,0.636,chanzy,0.571,hilliers,0.572
9,döbeln,0.771,gerard,0.678,villareal,0.612,krigsminister,0.62,senatspresident,0.567,senatspresident,0.572
10,högqwarteret,0.77,rodil,0.676,hilliers,0.606,marskalkinnan,0.62,conelia,0.566,bazaine,0.568
11,cronstedt,0.768,fältmarskalk,0.672,simpson,0.604,duerot,0.615,general,0.561,conelia,0.567
12,cardell,0.767,marmont,0.668,esparteros,0.603,langiewicz,0.611,bazaine,0.56,chanzy,0.564
13,puke,0.766,polignac,0.668,rodil,0.603,wimpffen,0.607,hilliers,0.559,baraguay,0.56
14,armfelt,0.766,villareal,0.665,diebitsch,0.601,thiers,0.606,marskalkstaf,0.555,cam,0.559
15,miranda,0.763,krigsminister,0.663,bugeaud,0.601,changarnier,0.604,baraguay,0.554,vapenkamrat,0.556
16,coburg,0.761,molé,0.662,narvaez,0.599,chanzy,0.603,saldanha,0.554,pelissiers,0.554
17,utnämd,0.761,esparteros,0.662,piacenza,0.598,grammont,0.602,tiirr,0.553,lazareff,0.552
18,essen,0.759,grenville,0.661,soults,0.597,oudinot,0.6,pelissiers,0.552,jämfört,0.551
19,spencer,0.759,wellingtons,0.661,bourmont,0.596,esparteros,0.6,vapenkamrat,0.551,ney,0.551
20,whitworth,0.758,chassé,0.658,bosquet,0.595,prim,0.599,barail,0.549,quesada,0.549
21,mortier,0.757,broglie,0.657,fältmarskalk,0.594,pelissier,0.599,jämfört,0.548,tiirr,0.547
22,öfwerste,0.756,buonaparte,0.656,oudinot,0.593,lamoriciére,0.598,leboeuf,0.548,saldanha,0.547
23,cornwallis,0.756,terceira,0.656,morny,0.591,maroto,0.598,quesada,0.548,bixio,0.547
24,strifwelse,0.755,blake,0.654,general,0.589,concha,0.596,wellingtons,0.547,wellingtons,0.546
25,mörner,0.755,maroto,0.652,codrington,0.589,conelia,0.596,wimpfen,0.547,wimpfen,0.546
26,commenderande,0.754,dupin,0.651,esterhazy,0.588,marstalk,0.595,wimpffen,0.547,bragg,0.545
27,talleyrand,0.753,diebitsch,0.65,öfverbefälhafvare,0.588,randon,0.594,boyer,0.546,boyer,0.543
28,högqwarter,0.753,narvaez,0.65,nesselrode,0.587,divisionsgeneral,0.592,bixio,0.546,marskalkstaf,0.543
29,ärke,0.753,öfverbefälhafvare,0.65,raglan,0.587,saldanha,0.591,forey,0.545,ortiz,0.543
30,crhällit,0.753,montalivet,0.649,marstall,0.586,marflalken,0.591,cam,0.544,leboeuf,0.543
31,braunschweig,0.75,blucher,0.648,alaix,0.585,renault,0.59,magnan,0.54,forey,0.543
32,vincent,0.75,majrst,0.646,concha,0.584,achille,0.59,ney,0.539,barail,0.542
33,bernadotte,0.749,montebello,0.646,generalissimus,0.582,cissey,0.589,canrobert,0.539,porfirio,0.542
34,förgår,0.748,grey,0.646,arnaud,0.582,lamarmora,0.588,bragg,0.539,wimpffen,0.541
35,exellens,0.748,milosch,0.645,vicekonung,0.582,goyon,0.588,porfirio,0.539,pelissier,0.541
36,gouverneuren,0.748,herbert,0.645,clauzel,0.581,boyer,0.587,cadorna,0.538,conciergeriet,0.538
37,westphalen,0.747,moreau,0.644,palmella,0.58,narvaez,0.586,pelissier,0.538,malakoff,0.538
38,clarence,0.747,quiroga,0.644,maroto,0.58,moriones,0.586,berthier,0.537,magnan,0.538
39,wurtemberg,0.744,cruz,0.643,canrobert,0.58,durando,0.584,mahons,0.536,brigadieren,0.537
40,malte,0.743,howe,0.643,menschikoff,0.579,davoust,0.583,miribel,0.535,abrantes,0.537
41,adlercreutz,0.743,argout,0.642,pressburg,0.579,vaillant,0.582,saussier,0.535,cadorna,0.536
42,moore,0.743,herat,0.642,changarnier,0.578,polisprefekt,0.582,klapka,0.534,concha,0.536
43,vii,0.743,brigadieren,0.641,spencer,0.577,gambetta,0.582,lazareff,0.534,berthier,0.535
44,francis,0.742,morella,0.641,fabvier,0.577,ministerpresident,0.582,vinoy,0.534,mahons,0.534
45,louis,0.742,föregifna,0.639,marinminister,0.577,aumale,0.581,mahon,0.534,totleben,0.534
46,qfwerste,0.742,espartero,0.638,toskana,0.577,conchas,0.581,totleben,0.534,sanchez,0.533
47,castlereagh,0.741,durham,0.638,soria,0.577,leboeuf,0.581,villareal,0.532,mahon,0.533
48,arthur,0.74,whitworth,0.637,baraguay,0.576,terceira,0.579,ortiz,0.531,cosenz,0.533
49,commenderade,0.74,ney,0.637,mustapha,0.576,pelissiers,0.578,manteuffel,0.531,beauregard,0.533
50,victor,0.738,passy,0.636,mortier,0.574,palikao,0.577,cosenz,0.531,villareal,0.532
51,ständerne,0.738,spencer,0.636,generalkapten,0.574,menabrea,0.575,pietri,0.53,almeida,0.532
52,neral,0.737,bugeaud,0.636,gortschakoff,0.574,kejsare,0.575,beauregard,0.53,bosquet,0.531
53,ral,0.736,burdett,0.635,generallöjtnant,0.573,bugeaud,0.575,oudinot,0.53,canrobert,0.53
54,statsminister,0.736,luneville,0.635,luneville,0.572,wimpfen,0.575,brigadieren,0.529,divisionsgeneral,0.529
55,lucien,0.735,cardell,0.635,lamoriciere,0.572,decazes,0.575,malakoff,0.529,schofield,0.528
56,cochrane,0.735,maison,0.634,elgin,0.572,progressisterna,0.573,concha,0.529,saussier,0.528
57,bayersk,0.735,toreno,0.634,orlow,0.571,cairoli,0.573,fonsecas,0.529,klapka,0.527
58,monroe,0.735,buonapartes,0.633,marmora,0.571,cialdini,0.573,almeida,0.528,marflalk,0.527
59,turkiste,0.734,schah,0.633,klapka,0.57,pietri,0.572,divisionsgeneral,0.528,oudinot,0.526
60,depeche,0.733,palmella,0.633,cavaignac,0.57,demission,0.571,schofield,0.528,miribel,0.526
61,utnämning,0.733,generalissimus,0.632,divisionsgeneral,0.57,magnan,0.57,dominguez,0.526,angouleme,0.526
62,artois,0.731,polisprefekt,0.632,achmed,0.569,contreras,0.57,sebastiani,0.526,sebastiani,0.526
63,toulonsta,0.731,lucien,0.632,potemkin,0.568,cavaignac,0.569,abrantes,0.525,frossard,0.525
64,volontär,0.731,palen,0.631,brunnow,0.568,marstalken,0.568,angouleme,0.525,fältmarskalklöjtnant,0.525
65,mack,0.731,melas,0.631,öfverbefäl,0.568,inrikesminister,0.567,failly,0.524,failly,0.525
66,ofwersten,0.73,presidentskap,0.631,curir,0.567,topete,0.566,bugeaud,0.523,vinoy,0.524
67,nungen,0.73,alaix,0.63,senator,0.566,dagorder,0.566,ezeta,0.522,fonsecas,0.524
68,berry,0.73,guizot,0.63,liiders,0.566,bonaparte,0.565,sanchez,0.522,contreras,0.524
69,marmont,0.728,trupperne,0.63,morris,0.565,zabala,0.565,marstalk,0.522,pietri,0.524
70,bosnien,0.728,potemkin,0.629,marmont,0.565,vinoy,0.565,contreras,0.522,dominguez,0.523
71,kent,0.727,conference,0.629,walewski,0.565,bugeauds,0.565,bosquet,0.521,marstalk,0.523
72,wapenhwilan,0.726,marstalken,0.629,saragossa,0.564,malakoff,0.564,gallifet,0.521,logerot,0.523
73,förrgär,0.726,högqvarter,0.628,abrantes,0.564,bratiano,0.564,conciergeriet,0.52,wool,0.522
74,elliot,0.726,gielgud,0.628,commenderande,0.563,ladmirault,0.563,ladmirault,0.52,rigault,0.522
75,blake,0.725,infant,0.628,diego,0.563,waddington,0.563,soult,0.52,mobilgardet,0.521
76,bayonne,0.725,melville,0.627,granville,0.562,auersperg,0.563,fältmarskalklöjtnant,0.519,ezeta,0.52
77,linois,0.724,adjutant,0.627,morella,0.562,persigny,0.562,frossard,0.518,bazaines,0.52
78,william,0.724,krigsförklaring,0.627,bedeau,0.562,bourbaki,0.56,duerot,0.518,chelmsfords,0.52
79,majrt,0.723,valladolid,0.627,biarritz,0.562,tiirr,0.56,bazaines,0.518,manteuffel,0.519
80,huswudstaden,0.723,pasquier,0.626,diktator,0.561,khan,0.558,werder,0.517,lifvakt,0.519
81,äterkomst,0.722,valdez,0.626,cavour,0.561,lanza,0.558,topete,0.517,pianelli,0.519
82,hawkesbury,0.722,wapenhwila,0.626,geismar,0.56,zarens,0.558,changarnier,0.517,chigi,0.519
83,majrst,0.722,jackson,0.626,pelissiers,0.559,elio,0.557,chigi,0.516,gallifet,0.518
84,marquis,0.722,förgår,0.625,polisprefekt,0.559,generad,0.557,bugeauds,0.516,douay,0.518
85,melville,0.721,rodney,0.624,lopez,0.558,soult,0.557,marflalk,0.516,radetzkys,0.518
86,nyffe,0.721,thiers,0.624,cordova,0.557,lepére,0.557,narvaez,0.515,changarnier,0.518
87,herbert,0.72,calatrava,0.623,antonelli,0.557,saragossa,0.557,logerot,0.514,generalfältmarskalk,0.517
88,tilsit,0.72,cordova,0.622,quiroga,0.557,montauban,0.556,briére,0.514,ladmirault,0.516
89,mayland,0.72,adlercreutz,0.622,sardinsta,0.557,arméeorps,0.556,grammont,0.514,tetuan,0.516
90,potemkin,0.719,jnfanten,0.621,colin,0.556,clellan,0.556,tetuan,0.514,risle,0.516
91,guadeloupe,0.719,castlereagh,0.621,metternich,0.556,grévy,0.556,marmora,0.513,weitzel,0.515
92,preusen,0.719,cobenzl,0.621,högqvarter,0.556,rivera,0.556,lifvakt,0.513,faillys,0.515
93,furst,0.718,directorium,0.621,valdez,0.556,porfirio,0.555,rigault,0.512,genouilly,0.515
94,york,0.718,vicekonung,0.621,beira,0.556,dufaure,0.555,risle,0.512,topete,0.515
95,marstalken,0.718,brougham,0.619,ministerpresident,0.555,militärguvernör,0.555,generalissimus,0.512,trepoff,0.515
96,pachan,0.718,conseil,0.619,nuntie,0.555,castelar,0.554,rivera,0.512,bedeau,0.514
97,krigsminister,0.718,storkors,0.619,changarniers,0.555,generalissimus,0.554,mobilgardet,0.511,mezas,0.514
98,laudon,0.718,paskewitsch,0.618,conseil,0.554,raglan,0.554,lamoriciére,0.511,soult,0.513
99,sachsen,0.717,talleyrand,0.617,brigadieren,0.553,krigsministern,0.554,faillys,0.51,tristany,0.513
