,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,samwerkan,0.681,samverkan,0.676,samverkan,0.674
1,vexelverkan,0.673,samvärkan,0.609,samvärkan,0.634
2,förbrödring,0.664,sammanslutning,0.603,samförstånd,0.627
3,ntwcckling,0.655,samarbeta,0.6,sammanslutning,0.604
4,lyckobringande,0.654,välsignelserikt,0.589,välsignelserikt,0.587
5,lagstiftningsmakt,0.64,samwerkan,0.582,samarbeta,0.582
6,arbetsgiswarne,0.638,samförstånd,0.577,öfwerenskommelsc,0.574
7,solidaritet,0.638,föreningsband,0.574,fredsarbete,0.574
8,sammanflutning,0.635,vexelverkan,0.567,förståelse,0.565
9,kulturarbete,0.635,brödrafolk,0.567,solidaritet,0.563
10,mellanlänk,0.633,samdrägt,0.566,kamratskap,0.563
11,föreningsband,0.63,förvärkliga,0.562,föreningsband,0.561
12,samverkan,0.63,fredsarbete,0.56,nationalbeväpningen,0.561
13,utwcckling,0.628,förbrödring,0.56,samdrägt,0.561
14,pligler,0.628,endräkt,0.554,förvärkliga,0.56
15,kontinuitet,0.627,vänskapsförhållande,0.552,vänskapsförhållande,0.559
16,retrograd,0.626,samkänsla,0.551,samwerkan,0.559
17,samfundsanda,0.625,solidaritet,0.55,samkänsla,0.558
18,uppfattande,0.624,kamratlik,0.55,endrägt,0.558
19,samdrägt,0.624,likaberättigande,0.547,kamratlig,0.555
20,wadliga,0.619,samhörighetskänsla,0.546,myntkonferens,0.551
21,kulturförhållanden,0.618,kamratlig,0.545,grannsämja,0.551
22,förbrödra,0.618,förståelse,0.545,vexelverkan,0.55
23,sammanslutning,0.618,öfwerenskommelsc,0.543,förbrödring,0.55
24,frihetssinne,0.617,endrägtig,0.542,skiljenämder,0.548
25,syftemäl,0.616,kamratskap,0.541,äktenskapsförbindelse,0.547
26,kamratlig,0.615,grannsämja,0.541,melkar,0.547
27,wexelwerkan,0.615,endrägt,0.541,sammanknyta,0.547
28,sjelfbestånd,0.615,sammanknyta,0.54,endräkt,0.547
29,likaberättigande,0.614,nationalbeväpningen,0.54,samhörighetskänsla,0.546
30,arbetstagare,0.613,samlif,0.538,frihandelshögern,0.544
31,maktförhållande,0.612,folkuppfostran,0.536,tullförbund,0.544
32,undergräfver,0.612,tankeutbyte,0.535,maningsord,0.543
33,vänskapsförhållande,0.611,brödraband,0.534,samlif,0.541
34,herrfla,0.61,brödraförbund,0.532,unionstvisten,0.541
35,täflingsstrid,0.61,melkar,0.53,vidmagthålla,0.54
36,upmuntra,0.61,sträfvauden,0.529,kamratlik,0.54
37,statsenhet,0.61,maningsord,0.529,tillvägabringande,0.539
38,själsbildning,0.61,varuutbyte,0.529,sträfvauden,0.539
39,främjande,0.61,nitfull,0.528,sympalhier,0.539
40,broderlighet,0.608,äktenskapsförbindelse,0.525,fredstillstånd,0.538
41,ästädningssätt,0.608,tullförbund,0.525,maktförhållande,0.537
42,samstämmighet,0.608,skiljenämder,0.525,stortingsflertalet,0.537
43,famwerkan,0.608,maktförhållande,0.524,defensif,0.536
44,tilgifwenhet,0.607,vidmagthålla,0.524,lodt,0.536
45,samhällsinstitution,0.607,sammanflutning,0.523,brödraförbund,0.536
46,omhuldande,0.607,samhällighet,0.522,utjemning,0.536
47,fosterländflt,0.606,tilgifwenhet,0.522,köpmannakår,0.535
48,sjöfartsidkande,0.605,sympalhier,0.52,folkuppfostran,0.535
49,utwcckla,0.604,utjemning,0.52,fåtalsvälde,0.534
50,byggder,0.604,arbetaresamfunden,0.519,utrikesrepresentation,0.534
51,framtidsmål,0.603,tillvägabringande,0.519,arbetarefrägan,0.533
52,wänstapen,0.603,arbetarefrägan,0.517,vänsterblad,0.533
53,solka,0.603,utrikesrepresentation,0.517,norbergsarbetarne,0.532
54,återförsätta,0.603,frihandelshögern,0.517,endrägten,0.532
55,grundvilkor,0.602,endrägten,0.517,förhund,0.532
56,walwilja,0.602,broderriket,0.516,rallierade,0.532
57,pligttrogna,0.601,båtnad,0.516,nitfull,0.532
