,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,pyramid,0.75,sälstapet,0.628,lindans,0.608,djurgårdsteatern,0.584,teatersällskap,0.58,föreställning,0.606,symfonikonsert,0.566
1,tilfaller,0.736,ledamöterne,0.618,konstridning,0.607,konstridning,0.554,teater,0.575,symfonikonsert,0.581,skådespelaresällskapet,0.566
2,1796,0.704,dernäst,0.616,pantomim,0.572,spektakler,0.553,operasällskap,0.573,skådespelaresällskapet,0.563,föreställning,0.56
3,sälstapet,0.702,beit,0.609,koncert,0.561,theater,0.546,soire,0.568,teater,0.557,premiére,0.543
4,fullstämmig,0.699,skadespel,0.607,spektakler,0.531,sujett,0.54,ladugårdslandsteatern,0.56,folketheatret,0.546,konstanstalt,0.542
5,öfwersatt,0.696,klass,0.605,trampolin,0.528,sejour,0.54,folketheatret,0.555,soirén,0.538,folketheatret,0.539
6,innehåll,0.693,tilfaller,0.604,musici,0.511,recett,0.531,speltermin,0.555,ranftska,0.538,konsert,0.538
7,inalles,0.69,elfte,0.604,concert,0.51,soirée,0.528,konsert,0.555,konstanstalt,0.535,cirkusföreställning,0.535
8,häkta,0.681,bestridande,0.596,gais,0.509,soire,0.528,theatern,0.554,nationalteater,0.534,abonnementsföreställning,0.534
9,märkwärdiga,0.68,högtid,0.594,soirée,0.505,soiréer,0.524,gästroll,0.552,abonnementsföreställning,0.529,sentation,0.532
10,utflag,0.679,folksamling,0.592,lindansning,0.499,lindans,0.518,djurgårdsteatern,0.552,operaföreställning,0.528,ranftska,0.531
11,atter,0.678,concert,0.59,befästat,0.497,theatraliska,0.517,föreställning,0.552,sällskapsspektakel,0.526,gästspel,0.528
12,upförde,0.678,ärgäng,0.589,målskjutning,0.493,concerter,0.517,skådespelaresällskapet,0.549,gilves,0.526,gilves,0.526
13,1791,0.678,cour,0.587,soiree,0.493,koncert,0.516,operaföreställning,0.547,cirkusföreställning,0.525,soirén,0.523
14,handbok,0.676,tragedi,0.586,oratorium,0.492,gais,0.515,spektakler,0.546,sentation,0.523,operaföreställning,0.522
15,professor,0.674,toni,0.586,lyrisk,0.492,speltermin,0.512,folkteater,0.545,premiére,0.523,nationalteater,0.519
16,deponera,0.674,välja,0.585,harmoni,0.489,theåker,0.51,repertoire,0.54,soaré,0.523,operasällskap,0.517
17,conference,0.671,utskott,0.583,gauthier,0.488,säsong,0.507,frihetsbröderna,0.539,gästspel,0.522,sentationen,0.516
18,jun,0.669,slutad,0.581,konsert,0.487,recettagaren,0.507,sejour,0.537,konsert,0.521,burgteatern,0.513
19,1770,0.668,stilling,0.581,uppläsning,0.485,aftonunderhållning,0.504,sällskapsspektakel,0.534,kammarmusik,0.519,teateru,0.512
20,1788,0.668,abonnera,0.58,sejour,0.483,konsert,0.504,representa,0.534,spektakler,0.518,galarepresentation,0.51
21,may,0.668,konsterne,0.578,festivitet,0.483,cirkus,0.502,selinder,0.534,folkteater,0.516,gästroll,0.509
22,ähörare,0.666,mission,0.578,repre,0.481,presentation,0.502,körpersonal,0.534,gästroll,0.515,kammarmusik,0.508
23,lärorik,0.665,1770,0.578,soire,0.48,teatertrupp,0.501,dramatista,0.533,kyrkokonsert,0.513,ladugårdslandsteatern,0.505
24,brahe,0.665,omarbeta,0.576,bibelsällskap,0.479,musikalist,0.499,theatraliska,0.53,teaterföreställning,0.513,landsdag,0.503
25,öfwersättning,0.664,tilökning,0.575,dramatista,0.477,dramatisk,0.498,sommarteater,0.53,galarepresentation,0.512,representa,0.503
26,högtid,0.664,mältid,0.575,drama,0.475,soiree,0.497,associationssällskap,0.53,speltermin,0.511,skådespelaresällskap,0.503
27,puka,0.664,piece,0.575,presentation,0.475,operasällskap,0.495,klingenbergs,0.529,operasällskap,0.51,dagmarteatern,0.502
28,ffn,0.663,upbära,0.573,trede,0.474,tbeater,0.492,recett,0.528,teateru,0.507,galaföreställning,0.502
29,coburg,0.663,journalist,0.572,reformvän,0.473,stjernströms,0.492,balettsällskap,0.527,sentationen,0.507,sällskapsspektakel,0.501
30,1772,0.663,skref,0.57,uppträdande,0.472,fullstämmig,0.486,oinbildning,0.526,ladugårdslandsteatern,0.506,förköpspris,0.5
31,1790,0.661,hmarje,0.57,soireer,0.472,sjelfskrifven,0.485,maskeradbal,0.525,representa,0.505,folkteater,0.497
32,utskott,0.661,geografisk,0.569,prolog,0.471,soiré,0.485,elfforsska,0.524,theatraliska,0.503,operettsällskap,0.496
33,sammandrag,0.661,bwarje,0.568,tonsättare,0.471,representationsrätt,0.484,repertoiren,0.523,abonnementsföreställningen,0.503,frihetsbröderna,0.495
34,bönedag,0.661,examen,0.568,theater,0.471,repertoire,0.482,gästspel,0.523,dagmarteatern,0.502,teater,0.494
35,page,0.661,skädespel,0.567,musikälskare,0.47,öfverenskomna,0.482,soirée,0.523,opera,0.502,fyrdelning,0.494
36,skadespel,0.661,fyratio,0.566,njugg,0.47,tlieater,0.481,matiné,0.522,skådespelaresällskap,0.501,soaré,0.493
37,begynnare,0.659,föreläsning,0.566,öfverenskomna,0.47,zetterholm,0.477,salamonsky,0.522,klingenbergs,0.499,teatersällskap,0.49
38,bilagd,0.657,ähörare,0.564,skapelse,0.47,representa,0.477,teatertrupp,0.52,concerten,0.498,spektakler,0.49
39,sjukhus,0.656,fägnad,0.563,musikalisk,0.47,zigenerskan,0.477,konstberidaresällskapet,0.519,burgteatern,0.497,sejour,0.49
40,dagbok,0.656,convention,0.563,reglorna,0.468,saison,0.477,soiré,0.518,recettföreställning,0.497,folketeatret,0.49
41,junti,0.656,tionde,0.562,öfvervigt,0.468,gifvas,0.474,koncert,0.516,galaföreställning,0.496,theatraliska,0.49
42,gälda,0.656,upförde,0.562,åtskilnad,0.468,teater,0.473,foyer,0.516,vasateaterns,0.495,speltermin,0.489
43,i6,0.656,parad,0.561,uphörer,0.467,galaspektakel,0.472,kammarmusik,0.515,associationssällskap,0.495,klingenbergs,0.489
44,uplagan,0.656,börssal,0.56,trollflöjt,0.466,ombildning,0.472,fidelio,0.515,folketeatret,0.494,omstörtningslagen,0.489
45,lärobok,0.655,öpnas,0.56,veder,0.466,ballettmästare,0.471,konstridning,0.515,edgrenska,0.494,premieren,0.489
46,tunis,0.655,mändagcn,0.56,kris,0.465,gauthier,0.471,sujett,0.512,teatersällskap,0.494,teaterföreställning,0.488
47,lotta,0.655,bewillning,0.559,theaterns,0.465,deland,0.471,musikförening,0.512,novanderska,0.494,edgrenska,0.488
48,mann,0.655,session,0.559,ideén,0.464,vokal,0.47,recettagaren,0.511,afskedsföreställning,0.493,vasateaterns,0.488
49,kröning,0.655,uppfostring,0.559,afbidan,0.464,soireer,0.47,soiree,0.51,frihetsbröderna,0.493,diamantkorset,0.488
50,skattkammare,0.655,matrikel,0.558,uplysta,0.463,kronjuvel,0.469,galaspektakel,0.509,salamonsky,0.492,kammarupplösning,0.487
