,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
52,tusende,0.635,undsär,0.533,spene,0.501,sedelbok,0.457,eftergjord,0.444,aktiebank,0.476,bronsmynt,0.488,kronesedlar,0.478
53,ven,0.631,läfwas,0.533,utlemna,0.5,1857,0.457,utprångla,0.443,banksedlarne,0.476,konvolut,0.488,kopparslant,0.478
54,uphittat,0.631,dosa,0.532,qwitto,0.5,acceptera,0.456,söndrig,0.443,redbarheter,0.476,bkos,0.488,silfvermynt,0.478
55,föryttra,0.631,wedergälning,0.529,reqvirera,0.499,bancosedlar,0.455,upplåning,0.443,hypotisera,0.475,depositionsskuld,0.487,småmynt,0.477
56,uttaga,0.63,gifwcr,0.529,ärer,0.499,taskbok,0.454,oktroy,0.443,utmyntning,0.474,sedelmassa,0.487,cupons,0.476
57,anteckna,0.629,undsä,0.528,upwisande,0.498,aktie,0.453,inlösning,0.442,oäkthet,0.474,assignation,0.487,femtia,0.476
58,famina,0.627,hwarie,0.528,penning,0.498,contracter,0.452,bfo,0.442,valsedel,0.473,cupons,0.484,rubelsedlar,0.475
59,svm,0.627,höglofl,0.528,derutöfwer,0.496,lyckt,0.452,taskbok,0.442,falfla,0.473,jnnestäende,0.484,signetring,0.475
60,q,0.627,inlemna,0.527,erläggande,0.496,wike,0.45,banknot,0.442,småmynt,0.472,omyntadt,0.484,penningbörs,0.475
61,uphittade,0.626,phittat,0.526,bllfwit,0.494,penning,0.45,papperslapp,0.442,pappersmynt,0.47,sedelbelopp,0.484,bankanvisning,0.474
62,förwar,0.626,taskbok,0.525,sexton,0.492,deficit,0.45,wexlar,0.442,sedelmassa,0.47,tiokronosedel,0.484,pappersomslag,0.474
63,återlämna,0.625,waran,0.524,inneliggande,0.492,riksdaler,0.449,metallisk,0.441,riksgäldssedel,0.469,småmynt,0.483,riksgäldssedel,0.473
64,waran,0.625,innestå,0.524,stilling,0.492,revers,0.449,penningesumma,0.441,fedlarne,0.469,dollarö,0.483,invexlingen,0.473
65,prenumerera,0.625,skill,0.523,capital,0.491,lotten,0.449,afskrifning,0.441,förfalska,0.469,transportsedel,0.482,ntländskt,0.473
66,36,0.623,utgifwit,0.522,sigill,0.491,ärläggande,0.448,strypsystem,0.441,kommissionsanstalt,0.468,sedelstock,0.48,utpränglat,0.473
67,loge,0.623,undfä,0.522,utlösa,0.491,rtdaler,0.448,brek,0.441,werlar,0.468,konstgravyr,0.479,byrålåda,0.472
68,förenämnde,0.622,afgift,0.522,banko,0.49,undsä,0.448,nitvinst,0.44,kernas,0.467,kopparslant,0.479,talska,0.471
69,desie,0.622,ertappa,0.521,femtedel,0.49,diskontering,0.448,nationalbank,0.439,ensk,0.467,salfla,0.479,tiokronesedlar,0.47
70,ml,0.62,uphitlat,0.52,undsä,0.49,angifwaren,0.446,utlotta,0.436,nationalbank,0.466,sovereigns,0.478,kreditivräkning,0.47
71,insätta,0.619,klinga,0.52,skill,0.489,speeie,0.446,invisning,0.436,myntfot,0.466,wexel,0.478,salfla,0.469
72,wedcrgällning,0.618,depe,0.52,2500,0.489,uppgifwet,0.446,utgifver,0.435,bronsmynt,0.465,kopparmynt,0.478,assistanssedel,0.469
73,männiffa,0.617,arbetslön,0.52,obetald,0.488,uthändiga,0.446,hwareinot,0.435,infriande,0.464,myntadt,0.478,redbarheter,0.468
74,tastbok,0.615,restera,0.519,bankosedel,0.488,upplupen,0.446,vattenstämpel,0.434,transportsedel,0.464,växel,0.477,tioöres,0.468
75,agaren,0.613,ffaffar,0.519,rld,0.488,budgetten,0.446,uppoch,0.433,papperspenningar,0.464,frimärke,0.477,kreditsida,0.467
76,igensä,0.613,wedcrgällning,0.519,kurs,0.488,ensak,0.445,tillgrepp,0.433,utmynta,0.463,skiljemynt,0.477,sammanrullade,0.467
77,femtio,0.612,lilkänna,0.517,deponera,0.487,bestaffad,0.445,533,0.432,sedelutgifning,0.463,invexlingen,0.477,insydd,0.466
78,densamma,0.612,öfwerwägande,0.517,caution,0.486,rld,0.445,469,0.432,utpränglat,0.463,stämpelmärke,0.476,landsortsbank,0.465
79,vem,0.612,utfå,0.516,dokument,0.486,rvr,0.445,penning,0.431,afdelningskontor,0.462,sedelemission,0.473,växel,0.464
80,24,0.61,erlägga,0.516,omsättning,0.484,vågföra,0.444,räknesätt,0.431,invisning,0.461,bankanvisning,0.472,skinnpung,0.464
81,återställa,0.61,upgiswa,0.516,plancher,0.483,ingifvande,0.444,utlåning,0.43,betalningsmedel,0.461,assignat,0.472,kassahvalfvet,0.464
82,summa,0.608,utbetala,0.514,afbetalning,0.483,banka,0.444,sedelbok,0.43,notcirkulationen,0.461,proceut,0.471,invisning,0.463
83,ssaffar,0.607,rättsint,0.514,köpeskilling,0.482,diskontera,0.444,mynt,0.43,omyntadt,0.46,inwexlas,0.471,kreditpapper,0.462
84,fynd,0.607,papper,0.513,tillökning,0.482,trettiotre,0.444,bankrörelse,0.429,salska,0.46,försliten,0.471,sedelbok,0.462
85,beröra,0.607,hwarester,0.513,procent,0.482,25o,0.443,rank,0.429,diskontlån,0.459,depositum,0.471,nominalvärde,0.462
86,tilsamman,0.606,spene,0.512,hittlön,0.481,333,0.443,försäkrings,0.429,bikets,0.458,nominalvärde,0.47,inwexla,0.461
87,inneliggande,0.605,inneliggande,0.512,tillwerkningar,0.481,pantsedel,0.443,försnilla,0.429,falsk,0.458,tillvexla,0.47,stämp,0.461
88,tecken,0.605,wad,0.512,trettio,0.48,förskott,0.442,redbarheter,0.428,uppsägbar,0.458,kreditivräkning,0.469,kuvert,0.461
89,förkomma,0.604,inbetalning,0.512,stälig,0.48,trettiotvå,0.442,aktierne,0.428,värdemätare,0.456,femma,0.469,portemonä,0.46
90,creatur,0.604,lån,0.512,sammanräkna,0.479,spelsätt,0.442,räntebärande,0.428,penningbelopp,0.455,falfla,0.468,assignation,0.46
91,200,0.603,bank,0.511,undfä,0.479,baneo,0.442,walberättigad,0.428,papperspeng,0.455,pappersmynt,0.468,olifantpapper,0.46
92,inlösen,0.602,stilling,0.511,debe,0.478,254,0.442,antagligen,0.428,beläning,0.454,femtia,0.467,silfverboetter,0.459
93,utta,0.602,banco,0.511,utbekomma,0.477,åsätta,0.441,voteringssedel,0.427,länehandlingar,0.454,röstsedel,0.466,portemonnai,0.459
94,plåt,0.601,rättsinnig,0.511,skilling,0.477,uppsäga,0.441,årtal,0.426,inwexling,0.454,myntsort,0.466,proceut,0.458
95,hwarä,0.601,bakare,0.511,erlägga,0.476,looo,0.441,diskontera,0.426,affärsbref,0.453,invisning,0.466,omyntadt,0.458
96,hwarefter,0.6,tilökning,0.509,handpenning,0.476,påskrift,0.44,deposition,0.426,utprängla,0.452,trancs,0.465,kuponer,0.458
97,laglig,0.6,upgift,0.509,uppbörd,0.476,forlön,0.44,beläna,0.425,femma,0.451,lånehandling,0.464,bkos,0.457
98,säck,0.6,uvhittat,0.509,förskott,0.475,sörwar,0.44,växel,0.425,lånerörelse,0.451,inwexling,0.463,riksbank,0.457
99,skålpund,0.6,böta,0.508,prenumerera,0.475,penningsumma,0.439,lånesumma,0.425,veckorapport,0.451,statspapper,0.463,brefknverter,0.456
