,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
48,träde,0.837,thy,0.744,upplåna,0.635,469,0.532,riksmark,0.517,inlåningsräkning,0.454,consols,0.459
49,foi,0.837,beifra,0.744,premium,0.634,innestående,0.531,laws,0.514,papperspeng,0.454,kursnoteringarne,0.458
50,oförsynt,0.836,uptäckt,0.744,pappersmynt,0.634,utlänas,0.531,tillgodohafvande,0.513,konsumtions,0.453,banktrattor,0.458
51,1779,0.836,bibehällas,0.744,kontanter,0.633,caution,0.531,vexelaffär,0.513,deklinera,0.453,lånemarknad,0.457
52,natura,0.836,tilägna,0.744,upplåning,0.632,jenina,0.531,texta,0.513,bankränta,0.452,träpris,0.457
53,dje,0.835,tandwärk,0.743,wändas,0.632,statsbrist,0.53,låne,0.512,förbruk,0.451,penningesumman,0.457
54,rubbning,0.835,försik,0.743,dusör,0.631,uppskattningsvärde,0.53,bank,0.512,trassering,0.451,hittintills,0.457
55,tillätes,0.834,tiltro,0.743,inbetald,0.631,bankosedel,0.53,sedelbelopp,0.512,uttagsposterna,0.451,pän,0.456
56,stadan,0.834,ffullc,0.742,totalbelopp,0.63,skattejord,0.528,trassent,0.511,tillgo,0.45,documenter,0.456
57,söndring,0.833,spe,0.742,proc,0.629,kassa,0.528,guldförråd,0.511,bankaktie,0.45,rentes,0.456
58,insändt,0.833,tiltror,0.742,spannemål,0.629,penningelän,0.527,liqvidcr,0.511,remittent,0.449,upplånta,0.456
59,producter,0.832,anstand,0.742,hypotheker,0.629,snmma,0.527,börspaltser,0.511,driftkapital,0.449,statsobligation,0.456
60,tidningspapper,0.832,utbekommande,0.741,valeur,0.629,aktiekapital,0.527,kreditbolag,0.51,waluta,0.449,prenumerationsafgiften,0.456
61,sti,0.832,inä,0.741,ethundrade,0.628,flnlder,0.527,affärspapper,0.509,realsäkerhet,0.447,ränteafkastning,0.455
62,beswära,0.832,bewifa,0.741,städjekapitalet,0.627,contanta,0.527,sedelutgifning,0.508,börspaltser,0.447,bortsändning,0.455
63,wälmåga,0.832,äckla,0.74,tullafgifter,0.627,statsobligation,0.527,obligation,0.506,rediskontera,0.446,vexelbörs,0.455
64,taxering,0.832,önssa,0.74,warulagret,0.626,antagligen,0.527,sterb,0.506,sigterna,0.446,tomtvärde,0.455
65,eftermidd,0.831,verkning,0.74,minimibelopp,0.625,agio,0.526,sedelvalör,0.506,utbud,0.446,konsumtionsbehofvens,0.454
66,upbära,0.831,taxeringsman,0.74,documenter,0.625,penningesumma,0.525,vexelportföljen,0.506,prissiffra,0.445,signalinrättning,0.454
67,ffull,0.831,förebära,0.74,förskrifning,0.624,förteckna,0.525,bankaktie,0.506,realisabla,0.445,infriande,0.454
68,wägrat,0.83,twifwelsmäl,0.739,bancomynt,0.624,utläna,0.525,kursnotering,0.505,prishållande,0.444,inlåningsräkning,0.454
69,votera,0.83,innehafwaren,0.739,tols,0.623,capitaler,0.524,sedelcirkulation,0.504,guldtillgång,0.443,guldbehållning,0.452
70,deruppå,0.83,stipulera,0.739,pretendera,0.623,amortera,0.524,sedelreserv,0.504,lånemarknad,0.443,beliofven,0.452
71,atstillige,0.83,nögde,0.739,proeents,0.623,utlåna,0.524,myntsort,0.502,konsumtionsbehofven,0.443,konsumtionsbehofven,0.451
72,sägen,0.83,anmälande,0.739,natura,0.623,licens,0.524,bankplats,0.501,konsumtionsbehofvens,0.442,kredit,0.451
73,wahror,0.83,ägtenstap,0.739,återgälda,0.623,vexel,0.523,liqvider,0.501,hufvudkurs,0.442,guldtillgång,0.45
74,klander,0.829,medge,0.739,icoo,0.623,teckningslista,0.522,postremissvexlar,0.5,notcirkulationen,0.442,diskonto,0.449
75,förbudne,0.829,qvitto,0.739,ogulden,0.622,amortissement,0.521,penningemarknaden,0.5,innehafvarno,0.442,påräknelig,0.449
76,provision,0.829,underpant,0.739,preskriptionstid,0.622,omkostning,0.521,vexelbörs,0.499,tisdagsbörs,0.441,utgifternes,0.449
77,ärets,0.829,önffa,0.738,kreditiv,0.621,kredit,0.521,017,0.498,öfverlånga,0.44,utlänta,0.448
78,flaget,0.829,köpestillingen,0.738,qvartaliter,0.621,odisponerad,0.521,vexelkurs,0.498,trämarknaden,0.44,penningmarknad,0.448
79,öfwerwägande,0.829,anfordran,0.738,hypotek,0.621,maximibelopp,0.52,papperspenningar,0.497,assignat,0.44,uttagsposterna,0.447
80,criticus,0.829,förringa,0.738,godtgjord,0.621,tullintrad,0.52,behofsposter,0.497,vexlingsförskott,0.44,assignat,0.447
81,hjelper,0.829,wsre,0.738,acceptera,0.619,ullproduktion,0.52,femprocents,0.497,utgifternes,0.439,ultimoregleringen,0.447
82,deponera,0.829,orimlighet,0.737,tvångslån,0.619,stuff,0.52,sedelemission,0.496,diskontering,0.439,förknappa,0.446
83,redeligen,0.828,uppstä,0.737,tekna,0.619,rgssedlar,0.52,mdrs,0.496,upplånta,0.439,cerealier,0.446
84,afgäng,0.828,tillräckligen,0.737,markegång,0.619,ditintills,0.519,assignation,0.495,prissatser,0.439,bytesmedel,0.446
85,afhemta,0.828,tildela,0.737,tillförbinda,0.619,hypotheksföreningar,0.519,utlärdar,0.495,vexelportföljen,0.439,grefvetiteln,0.445
86,omöjeligt,0.828,utbetala,0.737,inropssumman,0.618,tullmedel,0.519,lomnar,0.494,inwexla,0.438,noteradt,0.445
87,polsk,0.828,dömmas,0.737,låntagare,0.618,nppgä,0.519,fondpapper,0.493,utbjudningarne,0.438,öfverpris,0.445
88,mäga,0.827,uraktlåta,0.736,kopparmynt,0.618,markegäng,0.518,ullproduktion,0.493,betalningsbalans,0.438,räntorne,0.445
89,lykta,0.827,gifma,0.736,riksgäldskontoret,0.618,afskrifningsräkning,0.518,fedlarne,0.493,utlänta,0.437,kvalitativ,0.445
90,utesluta,0.827,nåder,0.736,caution,0.618,diskonto,0.518,låu,0.492,mjölmarknaden,0.437,utbjudningarne,0.445
91,förfall,0.826,aswcn,0.735,budgetten,0.617,intecknadt,0.518,måndagspriserna,0.491,marknadon,0.437,innehafvarno,0.444
92,förberörd,0.826,munteliga,0.735,debitor,0.616,reservfond,0.518,platsbehofven,0.491,platskonsumtionen,0.437,privatintresse,0.444
93,aldraminst,0.826,beswära,0.735,stipulera,0.616,säkerhetshandling,0.518,hufvudkurs,0.491,texlar,0.437,halsvidd,0.444
94,rer,0.826,päräkna,0.734,gäldande,0.616,försträckning,0.518,afskrifningsräkningar,0.491,penningesumman,0.436,råginförseln,0.444
95,storherren,0.826,anwanda,0.734,vexel,0.616,anläggningskostnad,0.517,depositionsmedel,0.49,rågprisen,0.436,silfverdollar,0.443
96,skuldfordrings,0.826,werkstalla,0.733,assurans,0.615,betäckande,0.517,kuponer,0.49,prenumerationsafgiften,0.435,avance,0.443
97,flasta,0.826,uppreta,0.733,upbära,0.615,teckningssumman,0.517,remittent,0.489,förknappa,0.435,afiöningen,0.443
98,stegra,0.826,utländning,0.733,honorera,0.615,minstade,0.516,omyntadt,0.488,penningmarknad,0.435,realsäkerhet,0.443
99,privilegiera,0.826,äterstä,0.733,landtränteri,0.615,tillwext,0.515,depo,0.488,vårleverans,0.434,tisdagsbörs,0.443
