,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
84,mätto,0.792,page,0.617,epistel,0.507,oförhindrad,0.481,öfverensstämde,0.506,prisreduktion,0.484,beskattningsgrund,0.474,verensstämmelse,0.466
85,twifwel,0.792,osund,0.617,nyhet,0.507,konfiskation,0.481,regeringsbeslut,0.506,wallag,0.483,beskattningsfråga,0.474,brottmålslag,0.466
86,allestädes,0.792,fördrifwer,0.617,fortsättande,0.507,förespegla,0.481,vigtigasle,0.506,unionsfördrag,0.483,systemskifte,0.474,sendet,0.465
87,idog,0.792,hämma,0.617,resultat,0.507,härledt,0.481,förslager,0.506,öfverbefolkning,0.483,grundlagsbestämmelse,0.473,budgetkommission,0.465
88,inbillning,0.792,studie,0.616,imitation,0.507,progression,0.481,upphäswande,0.506,beväringslag,0.482,afhulpna,0.473,rösträttsförhållandena,0.465
89,eftertanka,0.792,noggrann,0.616,korthet,0.506,ekonomista,0.481,genomförande,0.505,värnepligtslagen,0.482,brottmålslag,0.473,reglementerande,0.465
90,utwäg,0.791,fiendteliga,0.616,wärkan,0.506,bedömmande,0.481,inskränkning,0.505,hufvudartiklar,0.481,lagenlighet,0.473,föråndring,0.465
91,oförrätt,0.791,förlikning,0.615,misibruk,0.506,instructioner,0.481,föranledts,0.505,värnpligtslag,0.481,personförändring,0.473,påbudna,0.465
92,rättegäng,0.791,utdrägt,0.615,wigliga,0.506,skolordning,0.48,ministerförändring,0.505,lagstadgande,0.481,stafsättet,0.472,beskattningsfråga,0.465
93,aktning,0.791,romersk,0.615,bedröflig,0.505,ministerens,0.48,stiftande,0.505,arméorganisation,0.481,skiljande,0.471,förbättring,0.464
94,tryckfrihet,0.791,regeringsform,0.615,bibehållande,0.505,tillskrifves,0.48,anslagsfråga,0.504,bestämmelfer,0.48,beväringslag,0.471,öfverensstäm,0.464
95,stadna,0.79,sysselsatt,0.615,omfattning,0.505,öfverilning,0.48,vallag,0.504,fattigvårdslag,0.48,expropriationslag,0.47,detaljförändring,0.464
96,werkan,0.79,högfärd,0.615,farsot,0.504,partiell,0.479,reformförslag,0.504,instränkningar,0.48,organisa,0.47,bankkomitén,0.463
97,syfta,0.79,efterträdare,0.615,medlare,0.504,auetor,0.479,lörslag,0.504,riksdagsmajoritet,0.48,organisatio,0.47,upphäfivande,0.463
98,bitterhet,0.79,warelser,0.615,fredstid,0.504,minskning,0.479,statens,0.504,omorganisation,0.48,sakrätt,0.47,rekvisitionslag,0.463
99,fruktan,0.789,mannamod,0.614,krigisk,0.504,räfst,0.479,åtgårder,0.504,instiftande,0.479,kreditlagstiftning,0.47,tidsbestämmelse,0.463
