,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,toulon,0.771,flandern,0.665,elben,0.57,observationskorps,0.596,observationskorps,0.571,gränsor,0.59,gränsor,0.56
1,flandern,0.76,luxemburg,0.661,framryckande,0.561,sesia,0.554,gränsor,0.57,tonkins,0.59,gränslinie,0.524
2,position,0.758,förpost,0.66,framrycka,0.555,bessarabien,0.554,gränsorna,0.556,gränslinie,0.561,hufvudväg,0.519
3,donau,0.756,gebietet,0.655,armeerne,0.553,gränsorna,0.552,sydgräns,0.555,timok,0.545,landgräns,0.511
4,undsättning,0.754,canalen,0.651,förpost,0.549,serbisk,0.55,biela,0.534,öfverskredo,0.541,tonkins,0.51
5,trupparne,0.753,antägande,0.65,gebietet,0.543,perekop,0.542,öfwerstridit,0.532,gränsområde,0.54,öfverskrede,0.509
6,irland,0.752,armeer,0.648,tajo,0.539,gråns,0.54,drina,0.529,landgräns,0.538,enklav,0.508
7,turkista,0.752,donau,0.642,ancona,0.539,gränsor,0.54,gränsdistrikt,0.527,sydgräns,0.538,kongeån,0.506
8,wanstra,0.751,elben,0.642,gränsor,0.539,gransor,0.534,sesia,0.527,demarkationslinie,0.536,råmärke,0.503
9,marschera,0.75,arriergarde,0.64,gebit,0.538,siendtliga,0.528,thionville,0.524,enklav,0.536,öfverskredo,0.498
10,maynz,0.75,mynning,0.637,armeer,0.538,dobrutscha,0.524,pruth,0.521,intressesferen,0.531,gränsorna,0.498
11,rhen,0.749,widdin,0.636,armee,0.535,ockupera,0.521,timok,0.519,balkanpassen,0.53,gränsskilnad,0.497
12,rastadt,0.745,tyrol,0.636,pohlska,0.535,algen,0.518,balkanpassen,0.517,gränsorna,0.526,annams,0.497
13,luxemburg,0.744,framtränga,0.634,gebiet,0.535,gränfor,0.517,bessarabien,0.516,birmas,0.524,maktsfer,0.494
14,piemont,0.744,oder,0.628,ströftåg,0.534,tschernaja,0.517,jantra,0.515,observationskorps,0.523,gränsområde,0.49
15,bern,0.742,rhenstranden,0.626,maynz,0.533,herzegowina,0.516,enceinten,0.515,hufvudväg,0.523,fördragsenlig,0.49
16,framtränga,0.741,trupparne,0.625,syrisk,0.531,taurus,0.515,gebietet,0.514,drina,0.522,balkanpassen,0.487
17,marchera,0.74,inskeppa,0.621,bug,0.53,kroatien,0.513,enklav,0.514,gränsdistrikt,0.52,operationslinie,0.486
