,sv_1740,sv_1740_d,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
55,han,0.328,sällan,0.518,wikt,0.477,leswer,0.388,forska,0.472,afvita,0.506,förflå,0.506,riksdagsort,0.454,svårliga,0.467
56,wil,0.328,hällit,0.518,king,0.477,fulleligen,0.388,representationsfråga,0.472,framdrager,0.506,resonnerar,0.505,nnderligt,0.454,uteblefve,0.466
57,höra,0.324,gjöra,0.517,berga,0.477,motsäga,0.388,hält,0.472,vidunderlighet,0.506,biokadens,0.505,jwilka,0.454,själfförsvar,0.466
58,dygd,0.324,ringare,0.516,ffelf,0.477,werkelig,0.387,pruta,0.472,embetsåtgärd,0.506,augifna,0.503,latmansgöra,0.454,skadskjuta,0.466
59,widare,0.319,sma,0.516,smuts,0.477,gemenstap,0.387,hildning,0.472,vingleri,0.506,tilläggsförslag,0.503,förcfinnas,0.453,sinnig,0.466
60,mera,0.319,upkomst,0.516,begärelse,0.477,omröra,0.387,konstlad,0.472,framdragande,0.505,vetterligen,0.503,misiförständ,0.453,motif,0.466
61,sak,0.317,redig,0.516,gudlös,0.477,tygel,0.387,härdare,0.471,siffertal,0.505,textafdelning,0.502,skallighet,0.453,buskablyg,0.465
62,pä,0.314,fela,0.515,lätthet,0.476,mcr,0.387,tidsutdrägt,0.471,lösligen,0.505,sorgfull,0.502,beskrifwas,0.453,amian,0.465
63,bra,0.314,worc,0.514,hvil,0.476,uppnå,0.386,undandölja,0.471,tily,0.505,tidningsreferat,0.502,deui,0.453,tilibaka,0.465
64,blifwa,0.314,ersättning,0.514,strå,0.476,sing,0.386,allsicke,0.47,slutledning,0.504,prohibition,0.501,lustvandring,0.452,stjerntydare,0.464
65,be,0.314,försumma,0.514,jupiter,0.476,verka,0.386,oväldig,0.47,otillständig,0.504,irreligiös,0.501,plumsande,0.452,råb,0.464
66,woro,0.314,anhäller,0.513,niig,0.476,påbud,0.385,handgriplig,0.47,tidningsannons,0.504,sendet,0.501,hjulsporten,0.452,leaton,0.464
67,liten,0.313,lätthet,0.513,föranleda,0.476,ffelf,0.385,vedervilja,0.47,ådant,0.504,veila,0.501,sveuskarne,0.452,palmyra,0.463
68,nära,0.309,osanning,0.513,förspörja,0.475,oanständig,0.385,restriktion,0.47,beväringsyngling,0.504,afgörelse,0.501,pracka,0.452,underlåtenhetssynd,0.463
69,last,0.308,klagan,0.513,tiltro,0.475,befolkning,0.385,vetande,0.47,önskansvärd,0.504,eamma,0.5,palmyra,0.452,lörstå,0.463
70,en,0.308,wunnit,0.512,kanste,0.475,undergätt,0.385,snm,0.469,djerfvare,0.503,förvisningsort,0.5,romanhjelte,0.451,rågon,0.463
71,ting,0.307,menn,0.512,leta,0.474,mitztag,0.385,bevekelsegrund,0.469,fabrikanterne,0.503,vederlagdt,0.5,bristsälligheter,0.451,thassilo,0.462
72,tank,0.304,mening,0.512,fördra,0.474,behöfwes,0.385,andemening,0.468,utgrunda,0.503,bancel,0.5,allö,0.451,trehjuling,0.462
73,deraf,0.304,ens,0.512,philosophi,0.474,minskning,0.384,fiågan,0.468,miserabel,0.503,lofprisande,0.5,auers,0.451,bildningsnivå,0.462
74,om,0.302,igenkänna,0.512,förfallen,0.474,räa,0.384,viktig,0.468,honotn,0.503,professorsstol,0.5,försivunnit,0.451,lapsus,0.462
75,fast,0.302,walet,0.511,handtering,0.474,innchälla,0.384,obildad,0.468,prestvälde,0.503,fantasteri,0.499,sänghimmel,0.45,grnndligt,0.462
76,gäng,0.302,hemlighet,0.51,sällssap,0.473,önstat,0.384,fingera,0.468,öfvergifvet,0.503,medgåfves,0.499,annet,0.45,karlavulen,0.462
77,al,0.301,påstående,0.51,bchöfwer,0.473,ffelfwa,0.384,ovett,0.468,indeldt,0.503,ickt,0.499,iöra,0.45,dpi,0.462
78,endast,0.301,minna,0.51,märkelig,0.473,skadlig,0.384,detri,0.467,kunda,0.503,vettgirig,0.499,npptäcka,0.45,linndén,0.461
79,människa,0.301,aa,0.509,oinskränkt,0.473,gudlös,0.384,styrelsesätt,0.467,utelemna,0.503,beköfver,0.499,svarare,0.45,annot,0.461
80,est,0.301,sörr,0.508,förlika,0.473,ilian,0.384,litterat,0.467,ultima,0.502,annot,0.499,substantiel,0.45,vårdt,0.461
81,tänka,0.3,beqwämlighet,0.508,nägen,0.472,försälda,0.384,medbrottslig,0.467,halsbrytande,0.502,igga,0.499,behöflva,0.449,guidos,0.461
82,et,0.3,akt,0.508,swaret,0.472,utländning,0.384,inskärpa,0.467,sakförhållande,0.502,fråii,0.498,ölkonsumtion,0.449,behöiver,0.461
83,the,0.297,undersöka,0.508,betydenhet,0.472,donna,0.383,förbudna,0.467,representeradt,0.502,grundlagsbestämmelse,0.498,preskribera,0.449,ueh,0.461
