,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
54,bagdad,0.862,schacka,0.72,återupprättande,0.656,besittningstagande,0.57,sjelfherrskare,0.565,nndersåter,0.561
55,kryssare,0.862,turkissa,0.72,cherson,0.655,bosnisk,0.569,bukovina,0.565,romagnas,0.561
56,rystarne,0.861,rysiland,0.72,persien,0.655,schleswigs,0.568,pohlen,0.564,romagnan,0.561
57,patrull,0.861,widdin,0.719,paraguay,0.655,rhengränsen,0.567,herzegovina,0.563,kambodja,0.56
58,hana,0.861,maynz,0.719,buonapartes,0.654,storhertigdöme,0.567,lauenburgs,0.562,lydland,0.56
59,mayn,0.861,framryckande,0.719,albanien,0.654,förbundsland,0.566,ukraine,0.562,hessen,0.559
60,kade,0.861,segovia,0.719,constantineh,0.654,bastista,0.566,autonom,0.561,bukovina,0.559
61,georgien,0.86,toledo,0.719,återinsätta,0.653,enklav,0.566,rumänsk,0.561,ukraine,0.557
62,hinderlig,0.86,upror,0.718,mobilisera,0.652,halföns,0.566,dalmatien,0.56,yenetien,0.556
63,afwika,0.86,gebietet,0.718,envojé,0.652,rumenien,0.565,grekland,0.56,albanien,0.555
64,batterierne,0.86,kosack,0.718,böhmen,0.652,donauländerna,0.565,edsförbund,0.559,beira,0.555
65,glädjerop,0.86,albanien,0.718,skyddsmakt,0.652,landsdel,0.565,herligdömena,0.559,skyddsherre,0.555
66,hunno,0.858,tripoli,0.718,eidern,0.652,försvars,0.565,lombardiet,0.559,montcnegro,0.555
67,landels,0.858,anryckande,0.717,evakuera,0.652,rumelien,0.564,romagnan,0.559,toskana,0.554
68,mde,0.858,herat,0.717,cabinettet,0.652,nndersåter,0.564,regentfamilj,0.558,tonking,0.554
69,gap,0.857,torres,0.716,tractat,0.651,östrumilien,0.564,tronkandidat,0.558,siebenbiirgen,0.553
70,palen,0.857,hannoversta,0.716,nystland,0.651,sicilierna,0.563,kärnthen,0.558,förbundsland,0.553
71,stätten,0.857,emir,0.716,algiers,0.65,förbundsstat,0.563,montcnegro,0.558,bardo,0.553
72,asgä,0.857,rysilands,0.716,fredsslut,0.65,kejsarhus,0.563,macedonien,0.557,herligdömena,0.553
73,aflösa,0.857,insurgera,0.715,tyrol,0.65,öfwerhöghet,0.562,albanien,0.557,kyrkostat,0.552
74,polsta,0.856,äterwanda,0.715,galicien,0.649,berlinertraktaten,0.562,personalunion,0.557,sjelfherrskare,0.552
75,wittenberg,0.856,belgista,0.715,observationskorps,0.649,lydstat,0.561,sydslavisk,0.557,mellanstaterna,0.552
76,krossa,0.856,pafchan,0.715,andalusien,0.649,militärgränsen,0.561,yenetien,0.556,rumilien,0.552
