,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
65,naturkunnighet,0.546,leipziger,0.479,ryska,0.445,svedboms,0.439,arktal,0.435
66,manuskript,0.545,stereometri,0.479,handelskorrespondens,0.445,universitetslektor,0.438,öfversätta,0.434
67,monolog,0.545,sonat,0.478,läsebibliotheket,0.444,träskrift,0.438,svonska,0.434
68,skribent,0.545,öfversäll,0.478,hofmålaren,0.444,gartenlaube,0.437,öfversättningsprofvet,0.434
69,lrån,0.545,funke,0.478,praktupplaga,0.443,grundspråk,0.437,satslära,0.434
70,sverge,0.544,dukaler,0.478,sveriges,0.443,naumanns,0.437,kook,0.433
71,manuskripter,0.544,praktverk,0.477,handelsgeografi,0.443,skiifver,0.437,öfversättningsprof,0.433
72,utland,0.543,räknelära,0.477,bokformat,0.443,lättlärd,0.437,verldsspråk,0.433
73,norrskt,0.543,lithogr,0.477,läsöfningar,0.442,ericus,0.437,teosof,0.433
74,lexikon,0.541,teologi,0.476,svenika,0.441,finsk,0.437,sockenskomakare,0.433
75,ningarne,0.541,folkscholor,0.476,norrskt,0.441,familjjournalens,0.436,familjjournalen,0.433
76,väft,0.541,förhåll,0.475,lloyd,0.441,nygrekisk,0.435,mönsteralbum,0.432
77,kyrkohistoria,0.541,klassiker,0.475,rättstafning,0.44,gunt,0.435,titelstilar,0.431
78,tegnér,0.541,kyrkoår,0.475,ntgifven,0.44,prosaiker,0.435,stereotypera,0.431
79,manne,0.54,ntgifven,0.474,skaldeverk,0.44,musiktidning,0.434,annonstaxa,0.431
80,landthushållare,0.54,histoire,0.473,talöfning,0.44,ueber,0.434,messbok,0.431
81,replik,0.54,skönlitteratur,0.472,affärsuppsatser,0.44,lloyd,0.434,affärsbref,0.431
82,strödd,0.538,omförmäldta,0.471,folkdikt,0.439,estey,0.434,skrifprofvet,0.43
83,tecknare,0.538,hjeltesaga,0.471,måttoch,0.439,aleta,0.434,åde,0.43
84,strassburg,0.538,örda,0.471,correct,0.438,ungdomsskrift,0.434,slägtkalender,0.43
85,universum,0.538,allm,0.471,antiqvitetsakademiens,0.438,horatii,0.434,generalkatalog,0.43
86,gårdagsposten,0.537,öhrlander,0.471,verldshistoria,0.438,sagnér,0.433,bokband,0.43
87,continenten,0.537,öfversedda,0.471,versmått,0.438,stilskrifning,0.433,boräknad,0.429
88,elementar,0.536,begynnare,0.47,årgångarne,0.438,allmogemål,0.433,nyå,0.429
89,acta,0.536,londonska,0.47,elementarundervisning,0.437,perlstil,0.432,klassiker,0.429
90,skolungdom,0.536,yska,0.47,språkvetenskap,0.437,sundéns,0.432,musiktidning,0.429
91,naturalhistoria,0.535,folkmusik,0.47,skönliteratur,0.437,flammarions,0.432,prononciation,0.429
92,soireer,0.535,wensjoe,0.47,destillat,0.437,originalroman,0.432,landsor,0.429
93,naturvetenskap,0.535,tle,0.469,handelsbref,0.436,kalevala,0.432,utställningsparken,0.429
94,algebra,0.534,kateches,0.468,autoriserad,0.436,jyväskylä,0.432,alkoholfråga,0.428
95,afgått,0.534,ulgifven,0.468,gaelisk,0.436,1526,0.432,röper,0.428
96,nj,0.534,bottiger,0.468,öhrlander,0.436,teaterkritiker,0.431,talando,0.428
97,biografisk,0.533,norska,0.468,architektur,0.435,folkmål,0.431,pesther,0.428
98,machinen,0.533,kyrkohistoria,0.468,landsmål,0.435,julros,0.43,strationer,0.428
99,soirée,0.532,ordregister,0.467,bund,0.435,parnassen,0.43,blindskrift,0.428
