,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,nordisk,0.866,compis,0.72,brödrafolk,0.582,barometerfall,0.58,sverige,0.618,sverige,0.552
1,skick,0.853,lexicon,0.713,fauna,0.549,sverige,0.569,detaljköpmän,0.529,detaljköpmän,0.544
2,grekista,0.847,fauna,0.688,tiderymd,0.542,tyskland,0.542,skandinavi,0.527,norden,0.54
3,ideal,0.844,utters,0.685,swcriges,0.536,danmark,0.541,norden,0.519,fredriksborggade,0.528
4,erkänsta,0.838,sundler,0.685,arffiende,0.536,lufttryck,0.533,sverge,0.503,8verige,0.527
5,statistik,0.837,naturkunnighet,0.678,älskadt,0.535,norgo,0.526,norge,0.497,speceriköpmän,0.525
6,otillgänglig,0.835,silverstolpes,0.678,garantie,0.532,botniska,0.521,nordvestkust,0.496,jernvägskarta,0.524
7,ädraga,0.831,kronologisk,0.677,brödraförbund,0.53,barometerstånd,0.519,vtsigter,0.494,sverig,0.523
8,tilfredsställelse,0.83,utterö,0.676,teknik,0.528,nordsjökust,0.516,nordtyskland,0.493,svorige,0.522
9,känsta,0.83,historista,0.672,swergcs,0.527,enropa,0.49,jernvägskarta,0.48,skandinavi,0.52
10,wunnen,0.83,ullers,0.672,tillintetgörelse,0.524,nordvestkust,0.486,östersjöländerna,0.478,norige,0.518
11,oafhängighet,0.83,arbor,0.665,grundwal,0.523,norige,0.479,medelhög,0.477,östersjöländerna,0.517
12,taleman,0.829,gleerups,0.665,siverges,0.521,barometerminimum,0.479,sverig,0.477,skandinawien,0.507
13,wälständ,0.829,stålgravyr,0.661,afrika,0.52,noriges,0.479,fredriksborggade,0.476,ntfärdas,0.507
14,tribunal,0.827,forsell,0.659,verldsdel,0.52,sverge,0.476,norige,0.475,norg,0.506
15,oförgätlig,0.827,kompl,0.658,landsfader,0.519,sverige11,0.475,svorige,0.471,sveriga,0.506
16,adrcsi,0.825,pappband,0.657,häfder,0.518,europa,0.474,ångfartygsbolagot,0.471,newvork,0.505
17,proklamera,0.825,biblisk,0.657,skamfläck,0.518,nordtyskland,0.474,danmark,0.47,ångfartygsbolagot,0.505
18,corpsens,0.825,statistik,0.656,folkstam,0.518,swerige,0.47,nord,0.47,orgelfabrik,0.505
19,mistbruk,0.823,lindeblad,0.656,önffningar,0.517,vestkust,0.466,speceriköpmän,0.468,nordvestkust,0.499
20,kalender,0.823,biografisk,0.654,stildringar,0.515,skotland,0.466,östersjöområde,0.466,vestknst,0.498
21,förbundsdag,0.822,ordbok,0.653,älsklingsidé,0.514,norrige,0.464,swerige,0.466,utstäl,0.497
22,wisad,0.821,lltters,0.653,authentika,0.513,skandinavisk,0.462,europa,0.463,nordtyskland,0.497
23,tilldöma,0.821,biografi,0.653,fåsom,0.513,norge,0.462,utsigler,0.462,europa,0.494
24,undersäter,0.821,fäljcs,0.652,moskovitisk,0.512,vindstilla,0.461,8verige,0.462,sverigo,0.493
25,province,0.821,fyrbergs,0.652,statsstick,0.512,grönland,0.46,vestknsten,0.462,sverge,0.492
26,anekdot,0.819,bruzelii,0.65,ärorik,0.512,sverigo,0.457,sågverksarbetarne,0.461,vinterresa,0.491
27,söndring,0.819,salies,0.65,menniflans,0.512,telegrambefordringen,0.454,vinaffär,0.461,sveiige,0.491
28,medlare,0.818,trick,0.649,bewarande,0.511,frankrike,0.454,sverigo,0.456,eogland,0.49
29,teir,0.818,holmbergsta,0.649,anslutande,0.511,storbrittanien,0.453,vestknst,0.453,öfverfartspriset,0.49
30,ordalag,0.818,sälics,0.648,mannamod,0.51,hörge,0.453,ntfärdas,0.452,hörge,0.49
31,undran,0.817,kalender,0.648,samhällslif,0.51,specialkarta,0.452,möllersta,0.451,svelige,0.489
32,redeliga,0.817,wandring,0.647,ryfiland,0.51,vindriktning,0.45,skandinawien,0.451,vestknsten,0.489
33,bortrycka,0.817,strödd,0.646,noriges,0.51,statsförbund,0.45,sveriga,0.45,tallriksharfven,0.488
34,cro,0.816,oeleens,0.646,förbrödra,0.509,halfklar,0.449,sverige11,0.449,resebiljett,0.488
35,tilräckeligen,0.816,planch,0.645,chinesista,0.509,fredriksborggade,0.449,finland,0.448,britannien,0.488
36,förläna,0.816,grammatika,0.644,angelagenhet,0.509,kartbok,0.447,tjtsigter,0.447,grannland,0.487
37,lifwade,0.816,folksaga,0.644,skandinawista,0.509,postfördraget,0.446,utslgter,0.446,riges,0.487
38,hmaraf,0.816,ulkommit,0.644,invandra,0.507,england,0.446,norg,0.446,skeppslägenhet,0.487
39,tänsta,0.815,boklador,0.643,hjernspöke,0.507,oväderscentrum,0.445,agenturfirma,0.444,vtsigter,0.487
40,hönö,0.814,begynnare,0.642,hellas,0.507,tullgräns,0.444,detaljhandlande,0.444,ångfartygs,0.485
41,moralitet,0.813,zoologi,0.639,slverige,0.507,noria,0.443,nordsjökust,0.442,ångfartygsassuransförening,0.485
42,feder,0.813,bvkläda,0.639,norden,0.506,nord,0.443,rige,0.442,sågverksarbetarne,0.485
43,despotism,0.813,palmblad,0.639,kriga,0.505,vestlig,0.443,specerihandlarne,0.442,sverige11,0.484
44,legation,0.813,verldshistorien,0.638,sverges,0.505,finland,0.442,riges,0.442,exporthus,0.483
45,mpcken,0.812,adlersparres,0.637,fädernesland,0.504,storbritanien,0.44,framtidsland,0.441,specerihandlarne,0.481
46,upphjelpa,0.812,skandinavisk,0.637,magtpäliggande,0.504,defensif,0.44,barometerfall,0.441,swerige,0.478
47,tilhörer,0.812,trpcket,0.635,folklynne,0.504,mellersta,0.438,olycksfallsförsäkringsaktiebolaget,0.44,norgo,0.478
48,6n,0.812,kopparstycke,0.633,norrigcs,0.504,östersjöländerna,0.437,heyer,0.438,agenturfirma,0.477
49,plister,0.812,stålstick,0.633,horoskop,0.504,selands,0.437,sveiige,0.437,storbritanien,0.477
50,täflande,0.811,geografisk,0.632,ulgifvande,0.503,norden,0.436,sjöfarts,0.437,anchor,0.476
51,ärftlig,0.811,karakteristik,0.631,omgestalta,0.503,nordsjön,0.436,uisigter,0.437,enropeiska,0.474
52,sammanstämma,0.811,astronomi,0.63,fostbrödralag,0.503,8verige,0.436,newvork,0.437,framtidsland,0.474
53,förwäg,0.81,läljes,0.629,konsthistoria,0.503,kullaberg,0.435,tyskland,0.436,uttärdas,0.474
54,fälttäg,0.81,sckljes,0.629,gymnast,0.503,semljas,0.434,utterö,0.436,kngland,0.473
55,indragning,0.81,ntkommit,0.629,reformerande,0.502,swerges,0.434,tapethandlare,0.436,thingvallaliniens,0.473
56,flykting,0.81,palestina,0.629,barbarism,0.502,norriges,0.434,skotland,0.435,postförening,0.472
57,johnson,0.81,holmbergska,0.626,bålverk,0.502,möllersta,0.433,kngland,0.434,adressbok,0.472
58,werksamt,0.81,camp,0.626,neutralitetspolitik,0.502,halfön,0.433,skandina,0.434,månadstidskrift,0.472
59,känflan,0.809,lincoln,0.626,uplifwa,0.502,exel,0.433,vexlande,0.433,vorldens,0.471
60,stridsman,0.809,saljcs,0.625,geograf,0.501,grefskapen,0.433,norgo,0.431,adia,0.471
61,sjels,0.809,naturforskare,0.624,swerigcs,0.5,generalkarta,0.432,sverges,0.431,biland,0.471
62,aftryck,0.809,lerikon,0.623,magna,0.5,sjöfartsfördrag,0.431,skagerack,0.431,merika,0.471
63,hjertelig,0.809,boklzdor,0.622,fortlefva,0.5,eilert,0.431,tallriksharfven,0.43,skandinavisk,0.47
64,stickelighet,0.808,subskriptionspriset,0.621,italienfla,0.5,skagerack,0.43,importfirma,0.43,gerstäcker,0.47
65,äsynen,0.808,universum,0.62,broderlighet,0.499,kaltegat,0.43,upphållsväder,0.43,julblad,0.47
66,ätföljde,0.808,hammarstrands,0.619,familjefördrag,0.499,tystland,0.43,ångfartygsassuransförening,0.429,utterö,0.469
67,medtäflare,0.808,faljes,0.619,okränkt,0.499,werldenö,0.43,ishafvet,0.429,konferensområde,0.468
68,uplysningen,0.808,andaktsbok,0.618,allenastyrandet,0.499,nordkust,0.43,orgelfabrik,0.428,nordsjökust,0.468
69,förestrifne,0.808,lexikon,0.618,skandinav,0.498,swerge,0.428,utstäl,0.428,rigo,0.468
70,glädjerop,0.807,fälies,0.618,regeringssätt,0.498,tiet,0.428,östersjö,0.427,ångbåtslinierna,0.467
71,trohetsed,0.807,otryckt,0.617,minnesrik,0.498,skotlands,0.428,kristianiafjordens,0.427,nordenfjeldske,0.467
72,zoh,0.807,omarbeta,0.617,begynta,0.498,medelhafvet,0.428,sydväst,0.425,olycksfallsförsäkringsaktiebolaget,0.467
73,sedlighet,0.807,ulrichs,0.617,oppositionsparti,0.497,solsystem,0.428,rogn,0.424,allanlinien,0.466
74,gästfrihet,0.807,kyrkohistoria,0.617,trettioårig,0.497,nordlig,0.428,inie,0.424,skandina,0.466
75,wigtigare,0.807,nicander,0.617,verldshandeln,0.497,afrika,0.427,noriges,0.424,balfön,0.466
76,broderlig,0.807,läsebok,0.617,hjeltan,0.496,enskommelse,0.427,björkdahl,0.423,postfördraget,0.466
77,camp,0.807,skaldestycke,0.616,statssystem,0.496,sweriges,0.427,liård,0.422,köpmanskår,0.464
78,sälics,0.806,justanders,0.616,nödwändighcten,0.496,kattegat,0.426,sve,0.422,hufvudstäder,0.464
79,läljes,0.806,musikbilaga,0.616,theologista,0.496,östersjön,0.426,köpmanskår,0.422,vinaffär,0.464
80,sång,0.806,vuer,0.616,dageliga,0.496,halfö,0.425,botniska,0.422,isenthal,0.464
81,lok,0.806,säijes,0.616,fäda,0.496,italien,0.425,oväderscentrum,0.422,medelhög,0.464
82,uppdaga,0.806,boklsdor,0.616,holsteins,0.496,sydtyskland,0.425,england,0.422,spanmålsinförseln,0.464
83,vade,0.805,lithografierade,0.615,omstråla,0.496,systerland,0.424,färgfabrik,0.421,detaljhandlande,0.463
84,syne,0.805,öfwersatt,0.615,minnesmärke,0.495,schleswig,0.424,danmaik,0.421,kristianiafjordens,0.462
85,mannamod,0.805,tieck,0.615,inäl,0.495,fördeladt,0.423,skandinavisk,0.421,exportfirma,0.462
86,krigsgärd,0.804,wb,0.615,fälttaget,0.495,standinavista,0.423,spetsbergsexpeditionen,0.421,jernbanstationer,0.462
87,ip,0.804,cooper,0.615,anslutning,0.494,hednatid,0.423,histora,0.421,turista,0.462
88,bleswe,0.803,nionde,0.615,grundpelare,0.494,fauna,0.422,olycksfalls,0.421,enropas,0.462
89,prints,0.803,tryckct,0.615,reglementera,0.494,inie,0.422,lifförsäkringsföreningen,0.42,hänmark,0.462
90,lighet,0.803,salje,0.614,interimsregering,0.494,hvis,0.421,biland,0.42,inie,0.461
91,swerigcs,0.803,arkif,0.614,kampanj,0.494,kulturland,0.421,delikatesshandlande,0.419,expressångare,0.46
92,äterstär,0.803,stesta,0.613,skandinavism,0.494,storbrittannien,0.42,öfverfartspriset,0.419,lifförsäkringsbolagen,0.459
93,alting,0.803,bergers,0.613,södern,0.494,bottenhafwet,0.42,svorigo,0.419,btäder,0.459
