,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
52,försträcka,0.831,förädling,0.713,hjertelig,0.606,aktieägare,0.5,iverlden,0.497,bibliografisk,0.471,vetenskap,0.502,antikvitetsakademien,0.498
53,öma,0.83,dikt,0.713,erkännande,0.602,comité,0.498,pärskap,0.497,wittra,0.471,templarorden,0.501,stadsmission,0.497
54,medföra,0.83,mördare,0.712,upmuntra,0.602,lärosats,0.497,institution,0.497,konfirmand,0.471,ynglingaförenings,0.501,cobdenklubben,0.497
55,tanke,0.83,hjertelig,0.712,reglor,0.602,ral,0.497,etisk,0.497,öfverhetens,0.471,provinsombud,0.501,bap,0.497
56,warse,0.83,redelige,0.712,enfald,0.601,göthiska,0.496,folkuppfostran,0.497,bekännelseskrift,0.47,lärouppfattning,0.5,goodtemplarloger,0.497
57,wälsignelse,0.83,utwärtes,0.712,christne,0.6,atte,0.495,fölgder,0.496,romani,0.47,förening,0.499,handtverksoch,0.496
58,åligga,0.829,wärdiga,0.711,opinion,0.6,akademiens,0.495,uppsåtlig,0.496,planetsystem,0.47,arbetarekorporationer,0.499,ombudsmöte,0.496
59,gerning,0.829,talesätt,0.711,sammansätta,0.6,befästat,0.494,skönhetssinne,0.496,högskola,0.47,församlingsordning,0.499,missionssällskap,0.495
60,orolig,0.829,idog,0.71,auctorer,0.6,lifwas,0.494,fäderne,0.495,statskyrklig,0.47,fredsförening,0.499,arbetareinstitut,0.493
61,gilla,0.829,rättskaffens,0.709,klädnad,0.6,bewistat,0.494,skoldistrikt,0.495,symbola,0.47,statssamhälle,0.498,trossamfund,0.493
62,kart,0.829,omröra,0.709,slägte,0.598,ekonomista,0.494,samhällslifvet,0.495,nationallynne,0.469,ateistisk,0.498,frimurareorden,0.492
63,oförmodad,0.829,uttryck,0.708,falstt,0.598,hindu,0.494,valprincipen,0.495,partiledare,0.469,rådsförsamling,0.498,distriktsstyrelse,0.491
64,sammanhang,0.828,swenste,0.708,motarbeta,0.598,coneours,0.493,kommerciella,0.494,undergräfvande,0.469,missionsförening,0.497,socialdemokratiska,0.491
65,förskaffa,0.828,betänka,0.707,inwärtes,0.597,academici,0.492,sekt,0.494,brännpunkt,0.468,arbetaresamfundens,0.497,littéraire,0.49
66,infall,0.828,ädagalagt,0.707,academiens,0.597,ledamöterne,0.492,omskapa,0.494,inflytelserik,0.468,positivism,0.497,byggmästareförening,0.49
67,föl,0.828,ledsam,0.707,ändamäl,0.597,maxa,0.491,grundvilkor,0.494,internationales,0.468,barnförening,0.496,godtemplarorden,0.49
68,högeligen,0.827,patriotisk,0.706,anwändande,0.595,m8ndag,0.491,skamfläck,0.493,odöpt,0.468,godtemplarorden,0.495,läraresällskap,0.49
69,syfta,0.827,tolk,0.705,wälgörande,0.595,kirsteins,0.49,jesuitisk,0.493,previlegier,0.468,boskapsras,0.495,världskonferens,0.489
70,ssola,0.827,styrelse,0.705,poesi,0.595,interessenter,0.49,grundpelare,0.493,universell,0.468,qvinnoförening,0.495,protestantföreningens,0.489
71,tryckfrihet,0.827,wälgäng,0.705,åhörare,0.595,uplysta,0.49,lamartines,0.493,metodistförsamling,0.468,grundtvigianism,0.495,akade,0.489
72,taxa,0.827,efterdöme,0.705,redeliga,0.594,adelen,0.489,distinktion,0.493,statssystem,0.467,påfvisk,0.494,godtemplar,0.488
73,ila,0.827,rikeligen,0.705,uplysa,0.594,cns,0.489,grundsattser,0.492,tendensroman,0.467,goodtemplarloger,0.493,blåbands,0.488
74,klandra,0.826,torftig,0.705,wälwilja,0.594,oratorium,0.488,verldshandeln,0.492,grundpelare,0.467,fentliga,0.493,akademiens,0.487
75,höflighet,0.826,betunga,0.705,apostel,0.594,allm,0.488,tankesätt,0.492,antirepublikansk,0.467,sedlighetsförening,0.493,nationalkyrka,0.486
76,rang,0.826,snara,0.705,konstnär,0.594,musikalista,0.487,ideel,0.492,blomstringstid,0.467,rösträttsrörelse,0.493,helighållande,0.486
77,förbjuda,0.825,öfwertyga,0.705,utstöta,0.593,konkursmatza,0.487,fullmyndig,0.491,folkkyrka,0.467,lokalstyrelse,0.492,välgörenhetsfond,0.486
78,nägonsin,0.825,doch,0.704,wisserligen,0.593,almant,0.486,luthersk,0.491,kvrkan,0.466,missriktning,0.492,goodtemplar,0.486
79,tulle,0.825,betraktande,0.704,helgedom,0.593,musici,0.486,almänt,0.491,hegelska,0.466,internationales,0.492,lokalförbund,0.485
80,uttrycka,0.825,fanna,0.703,åsyfta,0.593,befrämjande,0.485,vidtomfattande,0.491,augsburgiska,0.466,littéraire,0.491,modlem,0.485
81,tryckning,0.824,period,0.703,idel,0.593,association,0.484,ledarne,0.49,christianismo,0.466,ingeniörsklubben,0.491,diskussions,0.485
82,fdr,0.824,wäcker,0.703,förhallande,0.592,mde,0.484,tullförfattning,0.49,gudlöshet,0.466,modlem,0.491,brödraskap,0.485
83,behöfva,0.824,hänseende,0.703,otalig,0.591,elektor,0.483,ståndsrepresentation,0.49,bibelen,0.466,kommunistisk,0.49,vetenskapssocieteten,0.485
84,förhoppning,0.824,andamäl,0.702,moralitet,0.591,academie,0.483,författ,0.49,vitterhet,0.466,unitarie,0.49,arbetaresamfundens,0.484
85,fäledes,0.824,wistt,0.702,medicinsk,0.591,srads,0.482,reformator,0.49,kommunistisk,0.466,nattvardsförening,0.49,nykterhetsförening,0.483
86,stuve,0.823,förjaga,0.702,allm,0.591,allminna,0.481,hegelska,0.49,skranka,0.465,teosof,0.49,skolförening,0.483
87,doch,0.823,förminska,0.701,christna,0.59,medlem,0.481,doch,0.489,wetandet,0.465,arbetarekommun,0.49,begrafningsfonds,0.483
88,därutinnan,0.823,idkare,0.701,larda,0.59,assemblé,0.481,legislativ,0.489,samhällslära,0.464,fackförening,0.489,lifförsäkringsförening,0.481
