,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
57,grund,0.602,tankesätt,0.518,magterna,0.426,högloflig,0.395,rikslag,0.485,sverges,0.439,postförwaltarearvode,0.432,rikels,0.424
58,allena,0.602,märkelig,0.518,makterne,0.425,segelfart,0.394,beskattningsrätt,0.485,tillagg,0.438,skandinavi,0.431,parfymaffär,0.424
59,befrämja,0.602,lander,0.518,utskott,0.425,tullförfattning,0.394,ministerstaten,0.485,bankanstalt,0.438,telegramvexling,0.431,brandstadga,0.423
60,kränka,0.601,wärdighet,0.517,tractat,0.425,rheims,0.393,landtförsvaret,0.485,konungarike,0.437,rikshälft,0.43,befolkningsförhållande,0.423
61,gäfwor,0.601,oföränderlig,0.516,söndring,0.425,stadfästad,0.393,lagförändring,0.485,storfurstendöme,0.437,noriges,0.43,välmakt,0.423
62,tilständ,0.601,förräderi,0.515,palen,0.424,sjöstad,0.393,ersättningssumma,0.484,grannland,0.435,fördragsenlig,0.43,konungarike,0.423
63,wälfärd,0.599,hufwudstaden,0.515,konun,0.424,grekiste,0.392,grundlagsändring,0.484,tullförfattning,0.435,sländers,0.429,sländer,0.422
64,hwarigenom,0.599,adel,0.515,polen,0.424,faststäldt,0.392,upphäfves,0.484,ercmplar,0.435,postsparbankens,0.429,försäkringsanstalt,0.422
65,byggnad,0.599,landel,0.515,wedermäle,0.424,ingifvande,0.392,aflöningsstat,0.483,stapelstad,0.435,postförvaltning,0.428,kronohäkten,0.421
66,stridig,0.598,förkofran,0.515,belgien,0.423,bcfallningshafwande,0.392,skatteväsende,0.483,tullväsen,0.433,riketö,0.428,etiopien,0.421
67,stöd,0.598,wanmagt,0.514,lander,0.423,fastställande,0.392,förtydligande,0.483,höghetsrätt,0.432,gör,0.427,utvisningsrätt,0.421
68,idog,0.598,administration,0.513,magters,0.423,räkenffaper,0.392,protok,0.482,undervisningsspråk,0.432,svorigo,0.427,specerihandlarne,0.421
69,förmon,0.598,tyskland,0.513,inbyggare,0.423,riksgäldskontoret,0.391,makternes,0.482,inottages,0.432,jordinnehafvarne,0.427,tobakshandlande,0.421
70,boston,0.598,enskild,0.513,allians,0.422,europa,0.391,föreningsfördrag,0.48,skogsläroverk,0.431,npphäfwas,0.427,verldspostföreningen,0.42
71,ställning,0.597,regeringssätt,0.513,organisation,0.422,försvarsverk,0.39,fåvitsk,0.48,folkoch,0.431,conditorer,0.427,stadsfästelse,0.42
72,skatt,0.596,brittista,0.512,förblifwer,0.422,arman,0.39,sedelmassa,0.48,swerigcs,0.43,jernkramhandlare,0.426,makternes,0.42
73,krona,0.595,idka,0.512,omöjlighet,0.422,wedermäle,0.39,öfverståthållareembetets,0.479,collegier,0.43,börspaltser,0.426,postförening,0.42
74,lida,0.595,borgerstapet,0.512,swerige,0.422,extraordinarie,0.39,bankoreglemente,0.478,bränvinstillverkningen,0.429,specerihandlarne,0.426,likställande,0.42
75,medel,0.595,kare,0.512,constitution,0.421,huvudstad,0.39,lönestat,0.478,hästkultur,0.429,sedelntgifningsrätt,0.426,kruttillverkning,0.42
76,disposition,0.594,förfoga,0.512,pohlen,0.421,undervisningsverk,0.39,universiteterna,0.478,postförvaltarearvode,0.429,cirkulärvexlar,0.426,cirkulärvexlar,0.42
77,utbre,0.594,mediation,0.511,makt,0.421,patentansökning,0.39,teh,0.478,nada,0.428,swerigcs,0.426,detaljhandlare,0.42
78,utöfning,0.593,undersätare,0.511,öfwergifwa,0.421,drammen,0.389,auktorisera,0.478,diskontverk,0.428,tullområde,0.426,noriges,0.419
79,förtryck,0.592,magter,0.511,exponera,0.42,auctoriteter,0.389,jernvägssystem,0.478,stånd,0.428,sjelfbestämningsrätt,0.426,ottomanisk,0.419
80,bolag,0.592,dcras,0.511,befästa,0.42,makternes,0.389,öswerläggningar,0.477,hypotheksbank,0.427,czarrikets,0.426,siciliernas,0.419
81,förbud,0.592,väcka,0.51,krigförande,0.42,distrikter,0.389,verldshandeln,0.477,kreditivrörelse,0.427,postkonto,0.425,tullinspektion,0.419
82,allernädigste,0.592,samfund,0.51,realisation,0.42,tillkommen,0.388,hulvudstaden,0.477,siveriges,0.426,flebta,0.425,stånder,0.418
83,tulle,0.592,nödwändiga,0.51,preusten,0.419,stat,0.388,lånefond,0.476,sammanflutning,0.425,storherrns,0.425,hesla,0.418
84,dumhet,0.592,redeliga,0.51,ärorik,0.419,st8nd,0.388,öswerlemnas,0.476,införselförbud,0.424,enropeiska,0.425,öfversigtskarta,0.418
85,allmoge,0.59,föröka,0.509,förestrifne,0.419,undantränga,0.387,gilladt,0.475,sverige,0.424,tullinspektion,0.425,välfournerad,0.418
86,medelst,0.59,nuwarande,0.509,ödelägga,0.419,förfogande,0.387,statens,0.475,sveriges,0.424,makterne,0.425,hosrätter,0.417
87,bränning,0.59,medlem,0.509,famille,0.419,statsutskott,0.387,öfverrätt,0.475,beiviljas,0.424,8verige,0.424,verldsdelens,0.417
88,hällit,0.59,provins,0.508,mant,0.418,desias,0.386,bevi,0.475,tusendedel,0.424,nästsammanträdande,0.424,specerihandlande,0.417
89,nytta,0.589,inwärtes,0.508,höfwen,0.418,undervisningsanstalt,0.386,framstäldt,0.475,hänskjutande,0.424,förbundsstat,0.424,grannland,0.416
90,boställe,0.588,friwilliga,0.508,ministär,0.418,framläggande,0.386,hvsd,0.475,gransining,0.423,detaljhandlande,0.424,utverkadt,0.415
91,frihet,0.588,engeland,0.508,sammandrag,0.418,förhallande,0.386,ständernes,0.474,scharins,0.423,riges,0.424,hushållningssällskaper,0.414
92,expedition,0.588,förswar,0.508,omfattning,0.417,statskontor,0.386,diskontverk,0.474,provins,0.423,förbundsland,0.423,polynesien,0.414
93,brist,0.588,öfwerflöd,0.507,ängland,0.417,lånekontor,0.386,rikcts,0.474,tusenårig,0.423,byzantinska,0.423,minuthandlare,0.413
94,ärligen,0.587,florera,0.507,enstilt,0.417,utarbetning,0.386,fkrifwelse,0.473,landstingsinstitution,0.422,maktområde,0.423,bnfvudstaden,0.413
95,städerne,0.587,mätto,0.507,armé,0.416,kameral,0.385,anslogo,0.473,administratif,0.422,telegrafanstalter,0.423,ständers,0.413
96,störta,0.587,wiss,0.507,siciliansk,0.416,socknemäns,0.385,förbemälde,0.473,hnfwudfakligen,0.421,hosrätter,0.423,brödraband,0.413
97,hwilar,0.586,medborgare,0.507,armeer,0.416,sverge,0.384,hemställande,0.473,förwaltninge,0.421,industrioch,0.422,bränvinsbrännerierna,0.412
98,sällhet,0.586,jnwanare,0.507,pommern,0.416,universiteterna,0.384,ifrågaställa,0.472,famtlige,0.421,månadsredovisning,0.422,tillliandaliålles,0.412
99,instämma,0.586,tystland,0.507,reglering,0.416,månge,0.384,banque,0.472,postafgift,0.42,aflöningsförhållandena,0.422,lamplager,0.412
