,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
84,owäntade,0.747,gränsorne,0.643,vänning,0.576,stormaktstid,0.545,statsförfattning,0.532,werldshistorien,0.532
85,hinderlig,0.746,astronom,0.643,kannstöpare,0.576,humanism,0.545,abstraktion,0.532,abstraktion,0.532
86,klädnad,0.746,passionerad,0.643,opolitisk,0.575,tidehvarfvets,0.544,blomstringsperiod,0.532,blomstringsperiod,0.532
87,machiner,0.746,undantränga,0.643,krigshistoria,0.575,omhvälfning,0.544,petrificera,0.532,petrificera,0.532
88,alkid,0.746,domän,0.642,eventualitet,0.575,tragedi,0.544,ljuspunkt,0.532,språkförbistring,0.532
89,boch,0.746,convention,0.642,urkund,0.574,aristoteles,0.544,språkförbistring,0.532,moderloge,0.532
90,märkwärdigt,0.746,hufwndstaden,0.642,exaltation,0.574,episk,0.544,moderloge,0.532,episk,0.531
91,emi,0.745,omflyttning,0.642,fashionabel,0.574,sorgspel,0.543,konstellation,0.532,världshändelse,0.531
92,sinnrik,0.745,utbildande,0.642,korrthet,0.574,heroer,0.543,vesterlandet,0.532,smakriktning,0.531
93,rii,0.745,driffjäder,0.641,tillintetgörelse,0.574,naturfenomen,0.543,världshändelse,0.531,framtidsblick,0.531
94,lighet,0.745,skakning,0.641,slavisk,0.574,tideräkning,0.543,bragdrik,0.531,gudasaga,0.531
95,näringsgren,0.745,resultaterna,0.641,statsförfattning,0.573,ärhundradets,0.542,smakriktning,0.531,bragdrik,0.53
96,gästfrihet,0.745,ordnadt,0.641,heroer,0.573,retorik,0.542,framtidsblick,0.531,ljuspunkt,0.53
97,mistbruk,0.745,lärosats,0.641,historieskrifvare,0.573,idée,0.542,gudasaga,0.531,österländingarne,0.53
98,folck,0.744,kortligen,0.641,krigsår,0.573,konstprodukt,0.542,österländingarne,0.53,målningskonst,0.53
99,hönö,0.744,demagog,0.64,idée,0.573,naturföreteelse,0.542,målningskonst,0.53,frejdadt,0.53
