,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,uttryckelig,0.879,grundlag,0.76,tryckfrihetsförordning,0.665,riksdagsordning,0.679,grundlag,0.675,riksdagsordning,0.69,grundlag,0.672
1,redighet,0.876,förhallande,0.753,1734,0.663,tryckfrihetsförordning,0.609,riksdagsordning,0.674,grundlag,0.674,riksdagsordning,0.664
2,bombardera,0.872,waka,0.752,stadgande,0.653,grundlag,0.606,grundlov,0.639,dissenterlag,0.656,dissenterlag,0.649
3,bibehällas,0.872,werkställighet,0.745,grundlag,0.648,riksakt,0.599,riksakt,0.63,grundlagsbestämmelse,0.644,grundlagsbestämmelse,0.638
4,blifwik,0.872,werkställande,0.744,kränkning,0.646,kyrkolag,0.59,kommunallag,0.622,bankoreglemente,0.633,kyrkolag,0.63
5,nödfall,0.87,constitution,0.743,uttryckelig,0.641,straffbalk,0.588,stadgande,0.609,riksakt,0.631,riksakt,0.63
6,fördrifwa,0.87,realisation,0.741,sanktionera,0.633,bankoreglemente,0.585,stängselförordning,0.597,kyrkolag,0.629,grundlov,0.627
7,stegring,0.869,folkrätt,0.74,beräkningsgrund,0.632,lagförändring,0.585,riddarhusordning,0.596,grundlagsförändring,0.626,grundlagsförändring,0.624
8,förbunden,0.868,förenlig,0.732,indragningsmakt,0.628,riksdagsbeslut,0.575,tryckfrihetsförordning,0.591,grundlov,0.625,bankoreglemente,0.623
9,förm,0.868,stämpling,0.732,förordning,0.627,reglementarisk,0.573,dissenterlag,0.59,skiftesstadga,0.623,skiftesstadga,0.617
10,ombyta,0.867,ken,0.732,statut,0.627,uttryckelig,0.573,kriminallag,0.583,kriminallag,0.619,stängselförordning,0.611
11,kungörcs,0.867,catholsta,0.729,promulgera,0.623,skråordning,0.567,grundlagsförändring,0.569,stängselförordning,0.616,kriminallag,0.606
12,foglig,0.866,rättwist,0.727,värfning,0.622,bolagsreglorna,0.563,nationalrepresentation,0.567,grundlagsändring,0.605,grundlagsändring,0.604
13,atstillige,0.865,bestraffa,0.725,statsförfattning,0.618,missgerningsbalk,0.563,kommunalförordning,0.565,stadgande,0.603,riddarhusordning,0.596
14,desin,0.864,nögde,0.723,riksdagsbeslut,0.615,lagberedning,0.562,giftermålsbalk,0.562,paragraf,0.6,ansvarighetslag,0.594
15,begärlighet,0.863,wigliga,0.723,öfverhet,0.613,imed,0.561,konstitution,0.562,ansvarighetslag,0.6,tryckfrihetsförordning,0.59
16,förfall,0.863,lagstiftning,0.721,modifikation,0.611,1734,0.558,skiftesstadga,0.562,riddarhusordning,0.6,civillag,0.59
17,nögde,0.863,uttryckelig,0.719,moment,0.609,kommunallag,0.558,ansvarighetslag,0.56,civillag,0.597,kommunalförordning,0.588
18,aldraminst,0.862,bibehällande,0.719,häktning,0.606,klausul,0.552,brottmålslag,0.56,tryckfrihetsförordning,0.596,suspensiv,0.581
19,afta,0.862,constitutionen,0.718,veto,0.605,stadganderne,0.552,grundlagsändring,0.558,kommunalförordning,0.595,paragraf,0.58
20,deffe,0.862,enstämmig,0.718,straffbestämmelse,0.605,riddarhusordning,0.55,paragraf,0.557,giftermålsbalk,0.588,giftermålsbalk,0.579
21,hwarförutan,0.861,statsförfattning,0.718,riksdagsordning,0.604,punktvis,0.549,bankoreglemente,0.548,grundlagsändringsförslag,0.588,rättegångsbalk,0.578
22,grundlag,0.861,bibehällas,0.716,upphäfwas,0.604,grundlagsförslag,0.549,bevillningsstadga,0.546,suspensiv,0.586,grundlagsändringsförslag,0.578
23,afstå,0.86,neutralitet,0.716,markegångspris,0.603,riksstyrelse,0.549,örslag,0.546,grundlagsparagraf,0.582,fattigvårdsförordning,0.577
24,folkflag,0.859,verksamhet,0.715,upphäfvandet,0.602,ordalydelse,0.547,kyrkolag,0.544,fattigvårdsförordning,0.582,grundlagsparagraf,0.576
25,stundeligen,0.859,garantera,0.715,grundlagen,0.602,rättegångsbalk,0.547,riksdagsbeslut,0.544,grundlagsstadgande,0.576,grundlagsstadgande,0.57
26,florera,0.859,philosophi,0.715,tryckfrihetslag,0.602,regeringsledamot,0.545,grundlagsbud,0.542,grundlagsfråga,0.573,konungaförsäkran,0.57
27,fanna,0.858,regeringssätt,0.713,framställdt,0.601,hufvudgrunder,0.544,arméorganisation,0.542,rättegångsbalk,0.573,förbundsförfattning,0.569
28,universitet,0.858,förblifwer,0.713,förestrifter,0.6,vallag,0.543,konstitutionsutskott,0.542,mellanrikslag,0.571,stadgande,0.568
29,hofwct,0.858,grundlägga,0.712,oförenlig,0.599,bevillningsförordning,0.543,grundlagen,0.54,grundlagsbud,0.571,grundlagsfråga,0.567
30,öfmer,0.858,nadiga,0.712,handelsfrihet,0.598,riksförsamling,0.542,ofvanåberopade,0.54,konungaförsäkran,0.57,författningslag,0.565
31,veil,0.858,taleman,0.711,riksstånd,0.598,jordabalk,0.541,föreningsfördrag,0.538,lotsförordning,0.567,mellanrikslag,0.563
32,catholsta,0.858,bibehållande,0.711,regeringssätt,0.597,valordning,0.541,handelsordning,0.537,förbundsförfattning,0.567,grundlagsbud,0.562
33,jamwäl,0.858,erkännande,0.711,princip,0.597,strafflag,0.538,wallag,0.537,unionsfördrag,0.566,lotsförordning,0.562
34,relation,0.857,stadeständ,0.71,strafflag,0.597,grundlagsvidrig,0.537,försäljningslag,0.537,författningslag,0.564,unionsfördrag,0.561
35,stadfästelse,0.857,sannolikhet,0.709,folkrätt,0.596,styrelseverk,0.537,successionsordning,0.537,giftomannarätt,0.56,riksförfattning,0.559
36,oförsynt,0.856,tillbörlig,0.708,ständernes,0.596,stängselskyldighet,0.536,författningslag,0.536,krigsartiklarne,0.559,folkskolestadga,0.558
37,laren,0.856,kännemärke,0.708,klausul,0.596,upphäfvas,0.535,grundlagsenlig,0.535,presteden,0.558,byggningabalk,0.558
38,förberörde,0.856,ingängna,0.707,försvinnande,0.595,grundlagen,0.535,utsökningslag,0.534,landstingsförordning,0.557,krigsartiklarne,0.557
39,röfware,0.855,gudstjänst,0.707,grundprincip,0.595,fåvitsk,0.535,grundlagsbestämmelse,0.533,inteckningsförordning,0.557,giftomannarätt,0.552
40,darwid,0.855,inskränkning,0.707,stadeständ,0.594,bankoverk,0.534,jagtstadga,0.532,grundlagen,0.556,tryckfrihetslag,0.551
41,tractaten,0.855,stadgande,0.707,klassifikation,0.594,forslag,0.534,unionsfördrag,0.532,straffbalk,0.556,landstingsförordning,0.551
42,fältmarskalk,0.854,reglemente,0.706,deputeradekammare,0.593,adela,0.532,straffbalk,0.532,upplösningsrätt,0.555,straffbalk,0.55
43,piecer,0.854,urgammal,0.705,försvarsverk,0.593,utskotta,0.531,arbetsordning,0.531,handelsbalk,0.555,upplösningsrätt,0.55
44,wärsta,0.854,rolighet,0.704,fueros,0.593,åsyftning,0.531,kommunalförfattning,0.531,lapplag,0.554,grundlagen,0.55
45,beskydda,0.853,tjenande,0.704,skrifta,0.592,skollag,0.53,handelslag,0.53,npphäfvande,0.554,inteckningsförordning,0.549
46,medaille,0.853,jury,0.704,biifver,0.592,utgiftsstat,0.53,nästsammanträdande,0.528,handelsordning,0.554,handelsordning,0.549
47,omöjeligt,0.852,jämwal,0.703,omstörtning,0.592,exceptionell,0.53,formulering,0.528,tryckfrihetslag,0.553,vallag,0.548
48,genie,0.852,engelffe,0.703,konvention,0.591,riksdagsmannarätt,0.529,förbundsförfattning,0.527,riksförfattning,0.553,jordabalk,0.548
49,aflägsna,0.852,stadfästa,0.703,giltighet,0.591,statsförfattning,0.529,1734,0.527,vallag,0.553,handelsbalk,0.548
50,häfva,0.852,förestrift,0.7,reglemente,0.59,fueros,0.529,redaktionsförändring,0.526,shermanbillen,0.551,kommunallag,0.547
51,förblanda,0.852,despotism,0.7,formell,0.59,flyldighet,0.528,förordn,0.526,wallag,0.551,presteden,0.546
52,werldcn,0.852,närmarande,0.7,andemening,0.59,valcensus,0.527,kommunall,0.526,näringsfrihetsförordning,0.549,shermanbillen,0.546
53,hitintils,0.852,täflande,0.7,laglighet,0.589,paragraf,0.527,grundlagsstadgande,0.524,jordabalk,0.549,wallag,0.546
54,förbudne,0.851,kalender,0.698,förblifwer,0.589,1686,0.526,utsökningsbalk,0.523,kommunallag,0.549,föreningsfördrag,0.545
55,ohörd,0.851,särskildt,0.698,realisation,0.589,åtlydnad,0.526,unionskonung,0.522,föreningsfördrag,0.549,förordn,0.545
56,förråda,0.851,gem,0.698,gillande,0.589,wallag,0.526,omarbetande,0.521,byggningabalk,0.549,presslag,0.545
57,sself,0.851,krigsgärd,0.698,frånträda,0.588,folkthinget,0.526,valcensus,0.519,kyrkolags,0.548,landtdagsordning,0.545
58,klokhet,0.851,hwarcfter,0.697,status,0.588,interimsregering,0.526,npphäfwande,0.519,friköpningsrätt,0.548,sanktionsrätt,0.545
59,vänja,0.851,samband,0.697,statsreglering,0.588,stadgande,0.525,fiskeristadga,0.519,tryckfrihetsordning,0.547,grundlagsenlig,0.545
60,vilkor,0.851,enstildta,0.697,geograf,0.588,tryckfrihetsbrott,0.524,statsform,0.518,sanktionsrätt,0.546,grufstadgan,0.543
61,lcfwa,0.85,nödwändigheten,0.697,öfverträda,0.588,föreningsfördrag,0.524,territorial,0.518,förordn,0.546,myntkonvention,0.543
62,rolighet,0.85,krigisk,0.697,missgerningsbalk,0.587,civillag,0.524,befordringslagarne,0.517,presslag,0.546,lagstiftningsrätt,0.543
63,fältherre,0.85,skick,0.697,stadfästad,0.586,bevillningsutskott,0.522,föreningsakt,0.517,befordringslagarne,0.545,kyrkolags,0.542
64,tillätes,0.85,förbundsdag,0.696,förlängning,0.586,utskottsbetänkande,0.522,beskattningsrätt,0.516,ärfdabalk,0.544,lapplag,0.542
65,lappri,0.849,borttagande,0.696,fasom,0.586,skatteförenkling,0.522,strafflag,0.515,landtdagsordning,0.544,ärfdabalk,0.541
66,beräkning,0.849,misibruk,0.696,oundvikligen,0.586,konstitution,0.521,grundlagsändringsförslag,0.515,slutmening,0.544,friköpningsrätt,0.541
67,sublim,0.849,interesse,0.696,förgriplig,0.586,vilkorliga,0.521,folkthinget,0.515,grufstadgan,0.544,näringsfrihetsförordning,0.541
68,siter,0.849,beskyddare,0.696,föreskrifvet,0.585,skyddsafgift,0.521,valordning,0.514,grufvestadgan,0.544,tryckfrihetsordning,0.54
69,oberäknad,0.848,likafullt,0.695,brochyrer,0.584,kriminallag,0.521,interimsregering,0.514,lagstiftningsrätt,0.543,kyrkoordning,0.54
70,odräglig,0.848,aktta,0.695,föreflagna,0.584,konstitutionsutskott,0.52,tillämpande,0.514,kyrkoordning,0.542,myntlag,0.539
71,förbittring,0.848,theras,0.695,stiftande,0.584,nationalrepresentation,0.519,öfwcrensstämmelse,0.513,stadgauden,0.541,grufvestadgan,0.539
72,class,0.848,garanti,0.695,älägga,0.584,cabet,0.519,hänvisadt,0.512,myntkonvention,0.541,lagförändring,0.538
73,imitation,0.848,indelning,0.694,ordalydelse,0.584,banksystem,0.519,läroverksstadga,0.512,rättegängsbalken,0.541,missgerningsbalk,0.538
74,bistop,0.848,helgd,0.693,konstitution,0.583,ansvarighetslag,0.519,ärfdabalk,0.512,grundlagsenlig,0.539,stadgauden,0.537
75,lykta,0.848,sörswara,0.693,upprätthållande,0.582,provincialständerna,0.519,slutmening,0.511,föreningsakt,0.539,rättegängsbalken,0.536
76,allmosa,0.848,ofördelaktig,0.693,äsigtcr,0.582,nadiga,0.518,förtydligande,0.511,lagförändring,0.539,nationalrepresentation,0.536
77,medge,0.848,basis,0.693,förenkling,0.582,bränvinsbränningens,0.518,skråordning,0.511,öfwerträdande,0.539,npphäfvande,0.536
78,förtälja,0.848,undersåte,0.692,votera,0.581,lörslag,0.518,krigsartiklarne,0.51,uttryckelig,0.538,befordringslagarne,0.536
79,privilegiera,0.847,auctorer,0.692,förutsägelse,0.581,bevillningsstadga,0.518,npphäfvande,0.51,nationalrepresentation,0.538,föreningsakt,0.535
80,bchöfwa,0.847,förfarenhet,0.692,beifra,0.581,kriminal,0.518,statsskick,0.509,lagbeslut,0.537,slutmening,0.535
81,wänt,0.847,bestraffning,0.692,asigter,0.581,valsätt,0.518,församlingsfrihet,0.509,korollarium,0.537,bevill,0.534
82,äligga,0.847,förord,0.691,tractaten,0.581,röstskala,0.518,lagförändring,0.509,missgerningsbalk,0.537,krigslag,0.534
83,ense,0.847,praktik,0.691,jemnvigt,0.581,moment,0.517,äfyftande,0.509,krigslag,0.536,öfwerträdande,0.533
84,träde,0.847,nödwändighet,0.69,tidskifte,0.58,konsti,0.517,rättegängsbalken,0.508,lagparagraf,0.536,handelslag,0.532
85,förhatlig,0.847,proklamera,0.69,framstäldt,0.58,krigsartiklarne,0.516,riksdagsmajoritet,0.508,handelslag,0.536,värnpligtslagens,0.532
86,anspräk,0.847,enlighet,0.69,constitution,0.58,stadgarnes,0.515,pragmatisk,0.508,lagutstottets,0.536,fiskeristadga,0.532
87,deruppå,0.847,uptagas,0.69,tullsystem,0.58,statut,0.515,värnpligten,0.508,förordning,0.536,uttryckelig,0.532
88,directe,0.847,undergifwenhet,0.689,plakat,0.58,goudchaux,0.515,bvilande,0.507,myntlag,0.536,successionsordning,0.532
89,gudlös,0.846,inål,0.689,fiåga,0.58,lagskipning,0.515,stadgarnes,0.507,fiskeristadga,0.535,lagbeslut,0.53
