,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
77,gryn,0.696,lädor,0.59,humla,0.519,körsbär,0.444,kartverk,0.364,homeros,0.368,norrman,0.371,zouaverna,0.398
78,fil,0.696,flaska,0.59,wiener,0.518,distilleradt,0.444,grundgående,0.364,benröta,0.368,gränsbygd,0.371,insektstyng,0.398
79,lera,0.696,hjerpe,0.589,säpa,0.518,vk,0.443,konservera,0.364,twätthus,0.367,diphteri,0.371,lupa,0.397
80,förständ,0.695,oxkött,0.588,järnband,0.517,honing,0.443,fraktfri,0.364,lrefliga,0.367,möhleradt,0.371,ttå,0.397
81,fägring,0.695,fi,0.587,ättika,0.517,gäsbröst,0.443,finna,0.364,areschougs,0.367,kylning,0.37,qvinnogestalter,0.396
82,yta,0.694,finna,0.587,enbet,0.516,potatoes,0.443,tandvärk,0.363,sandjordspotatis,0.367,nevralgi,0.37,endest,0.396
83,beqwämlighet,0.694,hwetemjöl,0.586,äpple,0.516,bredchaise,0.443,nativ,0.363,fjellström,0.367,karlsrum,0.37,armsvett,0.396
84,sdr,0.694,utwald,0.586,sylta,0.516,linnés,0.442,mjölkesko,0.363,beqwämligbeter,0.367,offiserare,0.37,sturarne,0.396
85,omtanka,0.694,uägra,0.586,fatu,0.516,mld,0.442,barnsko,0.362,ässja,0.367,praktiste,0.369,lithauiska,0.395
86,lampa,0.694,puder,0.585,fristt,0.515,friff,0.442,kronisk,0.362,trelligt,0.367,ltum,0.369,klåda,0.395
87,förfarenhet,0.694,säljcs,0.585,blekning,0.515,drifbänk,0.442,animositet,0.362,hivit,0.367,lungsigtige,0.369,vang,0.395
88,utl,0.694,dräll,0.583,senap,0.515,morot,0.441,influenza,0.362,giktvärk,0.366,etort,0.369,stridstupp,0.395
89,swenska,0.694,utkast,0.581,oz,0.515,thekök,0.441,stälet,0.361,sloget,0.366,eukelrum,0.368,eczem,0.395
90,masta,0.694,sorl,0.581,hatta,0.515,oz,0.441,ondsint,0.361,liebman,0.366,sysslomansgatau,0.368,högerbladet,0.395
91,supa,0.694,utwaldt,0.581,talg,0.515,théer,0.441,mcdcl,0.361,irefliga,0.366,gennst,0.367,airolo,0.395
92,kula,0.694,supa,0.581,ritorr,0.514,grösre,0.441,transportering,0.361,rnn,0.365,hembakning,0.367,kroksabel,0.394
93,rot,0.694,lax,0.581,oliver,0.514,lingon,0.441,trekant,0.361,stila,0.365,ryggvärk,0.367,sjselland,0.394
94,deruti,0.693,tilwärkning,0.579,brochera,0.513,segelslup,0.441,hwilla,0.36,ångkoka,0.365,finnea,0.367,urinvånare,0.394
95,utförande,0.693,potates,0.577,hona,0.513,lalu,0.44,vägglus,0.36,finneö,0.365,mjällbildning,0.367,letizia,0.394
96,lätthet,0.693,ik,0.576,aodt,0.512,vris,0.44,bakelse,0.36,fiolspelare,0.365,finnnes,0.366,urinnevånare,0.393
97,pl,0.693,viol,0.574,kikare,0.511,cathrinplommon,0.439,jai,0.36,nattvardsyngling,0.364,lupa,0.366,turkomaner,0.393
98,strid,0.693,parlie,0.573,ljustalg,0.511,lampolja,0.439,stvar,0.359,beqwäinligheter,0.364,hhra,0.366,singh,0.393
99,ill,0.693,faderlig,0.573,sinnas,0.511,astrakan,0.439,långe,0.359,omförmäles,0.364,bensjukdom,0.366,söderhafsöarna,0.393
