,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
63,utmana,0.782,palmerslon,0.634,rosenswärd,0.53,bouvier,0.513,gioberti,0.518
64,royer,0.782,justitiestatsminister,0.634,cissey,0.53,kildal,0.512,bouvier,0.518
65,brunswick,0.782,pasquier,0.633,tisza,0.53,forcade,0.512,inrikesministéren,0.517
66,intolerans,0.781,odillon,0.633,sjöminister,0.53,quaade,0.511,landtbruksministern,0.517
67,komiteen,0.78,palmstjerna,0.633,utrikesstatsminister,0.53,handelsminister,0.511,lagärende,0.517
68,cronhjelms,0.78,gyllengranat,0.633,kommandoexpedition,0.529,baroche,0.511,schmerling,0.517
69,st8nd,0.78,ihre,0.632,handelsminister,0.529,develle,0.51,finansmini,0.517
70,arago,0.779,kommandoexpedition,0.631,rosensvärd,0.528,barbey,0.51,thulstrup,0.516
71,justitieminister,0.779,walewsti,0.631,minister,0.528,forgeur,0.51,verdy,0.516
72,decazes,0.779,nordenfeldt,0.63,statsrädet,0.528,verdy,0.51,zaimis,0.516
73,enemark,0.779,handelsminister,0.63,envoyé,0.528,lagärende,0.51,lordpresident,0.516
74,bistoppen,0.778,gretve,0.629,lagersträle,0.527,wikblad,0.51,millerand,0.515
75,teste,0.778,bulow,0.629,sjöförswarsdepartementet,0.527,rosenswärd,0.509,challemel,0.515
76,krakaus,0.778,stais,0.629,walpole,0.527,zaimis,0.509,andrasfy,0.515
77,pasquier,0.778,nistern,0.629,krieger,0.527,campenon,0.509,utrikesministrarne,0.515
78,borgarstånd,0.778,ministerresident,0.629,konsultativ,0.527,maupas,0.509,wikblad,0.514
79,pasch,0.778,persigny,0.628,hohenwarts,0.527,finansmini,0.508,barbey,0.514
80,manuel,0.778,engclste,0.628,krigsförvaltning,0.526,schmerling,0.508,statsråder,0.514
81,uttydning,0.778,gioberti,0.628,addington,0.525,sibbern,0.508,indredepartementets,0.514
82,santessons,0.778,falloux,0.627,potocki,0.525,utrikesmini,0.506,wallon,0.513
83,amtman,0.777,addington,0.627,militärledamot,0.525,thulstrup,0.506,arctanders,0.513
84,apologi,0.777,vogt,0.627,gobineau,0.525,targé,0.506,försvarsminister,0.513
85,löv,0.776,schweitziska,0.626,armédepartementet,0.524,sibberns,0.506,statsministerium,0.513
86,davoust,0.776,ständerförsamling,0.626,quertier,0.524,minister,0.505,buol,0.512
87,tillträdt,0.776,hohenhausen,0.626,pasolini,0.524,minghetti,0.504,forgeur,0.512
88,upphäfver,0.775,generalpostdirektör,0.625,perier,0.524,utrikesministrarne,0.504,arbetsministerium,0.51
89,sebastiani,0.775,kommersråd,0.625,militärattachéen,0.524,mairernas,0.504,konsulsstaten,0.51
90,armand,0.775,expeditionssekreterare,0.625,interim,0.523,mollerius,0.504,kultus,0.51
91,ridderstolpe,0.775,nerman,0.625,marindepartement,0.523,moret,0.504,moret,0.51
92,coyet,0.774,castlereagh,0.625,gioberti,0.522,konsultativ,0.504,jernvägsväsendet,0.509
93,afskaffande,0.774,konseljpresident,0.624,finansminister,0.522,pfuel,0.502,staisrädet,0.509
94,billbergh,0.774,portalis,0.624,stosch,0.522,deputeradekam,0.502,posada,0.509
95,orloff,0.774,decazes,0.624,rigny,0.521,ärenderna,0.502,targé,0.509
96,addington,0.774,collet,0.624,statsrad,0.52,lagerstråles,0.501,deputeradekam,0.508
97,diktatur,0.774,legationssekreterare,0.623,inrikesministéren,0.52,gioberti,0.501,pfuel,0.508
98,quotidienne,0.774,odelsthinget,0.622,kultusministeriet,0.52,tracy,0.5,gossler,0.507
99,hnr,0.774,soults,0.622,figuerola,0.52,kultus,0.5,campenon,0.507
