,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
58,majit,0.752,kommendera,0.634,sammandra,0.538,lucien,0.468,marocco,0.479,napoleona,0.516,kreml,0.482,majestät,0.466
59,twist,0.752,armee,0.633,commenderade,0.538,scheik,0.468,toscana,0.479,fabrice,0.516,gardeskåren,0.482,kejsar,0.465
60,pröfning,0.752,defensiv,0.633,sardinien,0.538,cloud,0.467,pelissier,0.479,divisionsgeneral,0.515,civilkabinett,0.481,gardeskåren,0.465
61,arén,0.75,minister,0.632,öppnande,0.537,tilsit,0.467,wallachiets,0.479,battenberg,0.515,badensisk,0.481,majis,0.465
62,swerige,0.75,adjutant,0.632,palermo,0.537,brunswik,0.467,nizza,0.479,öfvergeneral,0.515,sändebudshotellet,0.481,reskript,0.465
63,wår,0.749,kryssa,0.631,siciliansk,0.537,lithauen,0.467,linietrupper,0.479,grammont,0.514,czareu,0.481,galadinern,0.464
64,giswit,0.749,trupp,0.631,deputera,0.537,furstinna,0.467,nyffe,0.478,cirkulärskrifvelse,0.514,käjsaren,0.481,postdam,0.464
65,spira,0.748,slå,0.63,orleans,0.536,ponte,0.466,hufvudstyrka,0.478,riddarkors,0.513,vinterpalats,0.481,tersburg,0.464
66,wt,0.748,flandern,0.629,kommissarie,0.536,nyfödd,0.464,dansant,0.478,monsignore,0.513,wilhelmsstrasse,0.48,kischeneff,0.463
67,plikt,0.748,alliera,0.628,armee,0.535,engclste,0.464,neapolitansk,0.478,kischeneff,0.512,badiska,0.48,birmanska,0.463
68,undersätare,0.747,departement,0.627,deputerad,0.534,bologna,0.463,bruck,0.478,jnfanten,0.512,moskwa,0.479,trikolor,0.463
69,lyfta,0.747,ankra,0.626,majrt,0.534,humboldt,0.463,jerome,0.477,livadia,0.512,obrenowitsch,0.479,ministerstatssekreterare,0.462
70,famla,0.747,sändebud,0.626,palen,0.534,bajern,0.463,audh,0.477,hohenlohe,0.511,krasnoje,0.479,kaluga,0.462
71,norden,0.747,sardinien,0.626,öfwerlemnat,0.534,paskewitsch,0.462,bosquet,0.476,inrikesministerium,0.511,välbevågen,0.478,kej,0.462
72,åberopa,0.746,senat,0.626,dannemark,0.534,preussisk,0.462,centralamerika,0.476,kabinettschef,0.511,käjserlig,0.478,metallkista,0.461
