,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,klagomäl,0.891,akademiens,0.686,akademiens,0.622,akademiens,0.58,landtbruksakademi,0.614,akademiens,0.642,vetenskapsakademi,0.602
1,öfmer,0.882,musikalisk,0.624,akademien,0.557,akademien,0.572,vetenskapsakademi,0.606,vetenskapsakademi,0.63,akademiens,0.595
2,privilegiera,0.879,academie,0.617,konsterne,0.547,inträdestal,0.555,preses,0.605,akade,0.618,akade,0.578
3,cherson,0.879,konsterne,0.609,adjunkt,0.538,universitet,0.535,konservatorium,0.595,landtbruksakademi,0.61,landtbruksakademi,0.558
4,tildela,0.878,sällssapet,0.597,kansler,0.525,amanuens,0.53,akademiens,0.588,orgelsal,0.6,täflingsämne,0.556
5,förständiga,0.878,academiens,0.595,academien,0.524,konsthistoria,0.526,praeses,0.581,akademien,0.584,antikvitetsakademien,0.551
6,farsot,0.876,ledamöterne,0.594,gymnasium,0.523,professor,0.523,akademien,0.575,mien,0.575,krigsvetenskapsakademi,0.548
7,desin,0.875,revisor,0.59,skolungdom,0.521,mineralogisk,0.52,täflingsskrift,0.566,täflingsämne,0.572,läkaresällskap,0.544
8,atstillige,0.875,herror,0.589,santina,0.518,konsterne,0.519,landtbruksakademiens,0.564,antikvitetsakademien,0.566,orgelsal,0.544
9,gränsa,0.874,academien,0.586,rector,0.517,prokansler,0.518,landtbruksafdelning,0.562,läkaresällskap,0.56,akademien,0.539
10,despot,0.874,fide,0.58,academiens,0.516,katedralskola,0.509,universitet,0.56,krigsvetenskapsakademi,0.56,teknologförening,0.524
11,ikal,0.873,högtidsdag,0.573,universitet,0.512,hedersledamot,0.504,täflingsämne,0.558,aka,0.554,aka,0.524
12,sölje,0.873,sällffapet,0.572,invälja,0.511,kansler,0.503,inträdestal,0.553,vetenskapssocieteten,0.549,mien,0.522
13,ärhällit,0.872,skattmästare,0.571,academie,0.51,täflingsskrift,0.502,bibliotekarie,0.544,vetenskapsakademiens,0.546,kaliska,0.521
14,förläggare,0.871,studerande,0.571,agardh,0.508,docent,0.498,agrikulturkemist,0.543,mnsikaliska,0.545,konstakademi,0.521
15,begärlighet,0.87,utile,0.57,invigning,0.503,bibliothck,0.498,antiqvitet,0.541,kaliska,0.543,vetenskapssocieteten,0.515
16,bistop,0.87,svensk,0.57,föreståndare,0.501,slöjdförening,0.496,resepension,0.541,prmses,0.54,mnsikaliska,0.514
17,deruppå,0.87,dulci,0.568,apologist,0.498,extraordinarie,0.496,akade,0.538,konstakademi,0.54,antiqvitetsakademiens,0.514
18,förbudne,0.87,swenssa,0.568,christianismo,0.496,bibelsällskap,0.495,mien,0.536,agréen,0.539,antiqvitetsakademien,0.513
19,efterfölja,0.87,sockenstämma,0.568,thomander,0.495,carolinsk,0.495,boklund,0.535,universi,0.534,ordboksarbete,0.513
20,stickelighet,0.87,protocoller,0.566,eleverne,0.494,teologisk,0.491,antiqvitetsakademien,0.535,inträdestal,0.532,sikaliska,0.509
21,öfwerwägande,0.87,aderton,0.563,teknologisk,0.493,adjunktur,0.49,prisämne,0.535,ordlista,0.53,historieoch,0.508
22,klokhet,0.869,sirande,0.562,lyceum,0.492,medico,0.489,agrikulturkemisk,0.532,högtidssammankomst,0.529,ordlista,0.507
23,fältmarskalk,0.869,allment,0.56,faxe,0.492,academien,0.488,riksmuseum,0.531,aurivillius,0.529,fornskriftsällskap,0.507
24,dagcligen,0.869,sälstapet,0.559,wingård,0.488,academi,0.486,riksantiqvarien,0.531,praeses,0.528,letterstedtska,0.505
25,hwarförutan,0.869,kommitté,0.558,akademisk,0.487,vetenskapsakademi,0.486,musikhistorisk,0.53,musikhistorisk,0.526,prmses,0.504
26,främja,0.868,middagsmåltid,0.556,academi,0.487,boheman,0.482,utgifvando,0.529,antiqvitetsakademien,0.523,vitterhet,0.504
27,förblanda,0.868,akademien,0.555,undervisningsverk,0.486,historiarum,0.481,chirurgi,0.528,antiqvitetsakademiens,0.522,nathorsts,0.499
28,klander,0.868,lexicon,0.554,utgif,0.486,skaldekonst,0.481,förvaltningskomité,0.527,historieoch,0.522,agréen,0.499
29,relation,0.866,pro,0.554,examen,0.486,universiteter,0.478,konstakademi,0.527,musikalisk,0.52,miens,0.497
30,noggrann,0.866,frimurare,0.554,gymnastisk,0.486,academie,0.477,förvaltningskomités,0.524,högskola,0.519,regnellska,0.496
31,vefla,0.866,genomläsa,0.553,fide,0.485,chemie,0.475,vetenskapsakademiens,0.522,resestipendiat,0.515,riksmuseum,0.496
32,ätankan,0.865,börssal,0.553,järta,0.484,musikalista,0.475,försöksanstalt,0.521,miens,0.515,institut,0.495
33,beswar,0.864,granstning,0.551,hedrén,0.483,landtbruksakademi,0.474,slöjdförening,0.521,ordboksarbete,0.515,antiqvitet,0.494
34,träde,0.864,prestman,0.549,professor,0.483,industriförening,0.473,professor,0.52,preses,0.51,prisskrift,0.491
35,upgifne,0.864,hcrrar,0.548,suppleant,0.48,akademie,0.472,förvaltnings,0.519,vitterhet,0.51,lärareråd,0.491
36,natura,0.863,doktor,0.547,teologisk,0.479,minnesfest,0.471,magisterpromotion,0.518,nathorsts,0.508,resestipendiat,0.489
37,stundeligen,0.863,allm,0.545,filosofie,0.478,nationalekonomi,0.47,sekularfest,0.518,agrikulturkemist,0.508,förvaltningskomités,0.487
38,visitera,0.863,sammankomst,0.543,studerande,0.477,stipendium,0.47,mesterton,0.516,växtfysiolog,0.507,aurivillius,0.486
39,förberörde,0.863,middagsmältid,0.542,academici,0.477,promotor,0.47,miens,0.516,magnificus,0.506,inval,0.484
40,lagstiftning,0.863,bildhuggare,0.541,undergående,0.476,fakultet,0.469,vitterhetssamhälle,0.514,konservatorium,0.505,konstslöjd,0.484
41,folie,0.863,öfwerläggning,0.541,hösttermin,0.475,litteraturhistoria,0.469,magnificus,0.512,universitet,0.503,smithsonian,0.483
42,piecer,0.862,antagande,0.54,biskop,0.474,preses,0.468,studentsällskap,0.512,astro,0.502,figurteckning,0.483
43,tilfallen,0.862,bibliotek,0.539,rektor,0.474,nordstjerneorden,0.468,utrikeskabinettet,0.512,gyldén,0.502,musikhistorisk,0.482
