,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
58,ocv,0.727,blifmit,0.593,förrgär,0.551,braganza,0.491,compiegne,0.513,connaught,0.563,infantinna,0.592,konak,0.501
59,grym,0.727,mediation,0.593,sändebud,0.55,canning,0.49,beira,0.513,lorné,0.562,gemål,0.592,amadeo,0.501
60,fart,0.727,skicka,0.592,fältmarskalk,0.55,cadaval,0.49,ems,0.512,prinsetzan,0.562,jnfanten,0.591,sparta,0.501
61,giorde,0.727,engelste,0.592,högqwarteret,0.548,soult,0.489,prinsetzan,0.512,arcos,0.561,devonshire,0.591,reichstadt,0.5
62,anfördt,0.727,basel,0.592,majrt,0.547,päfwen,0.489,adalbert,0.511,guise,0.561,asturien,0.59,hartig,0.499
63,agg,0.727,depecher,0.59,bay,0.546,hert,0.489,ponte,0.51,jnfanten,0.559,battenberg,0.588,härtigens,0.499
64,höghet,0.726,gouverneuren,0.589,invitera,0.545,audience,0.488,arffurste,0.509,flandern,0.559,gliicksburg,0.588,pichegru,0.499
65,sjuk,0.726,spansta,0.588,ponte,0.544,extraordinär,0.488,storfurst,0.509,prinsehan,0.559,sessa,0.586,mirza,0.499
66,los,0.725,corpsen,0.588,commenderade,0.544,xviii,0.488,saldanha,0.509,waldeck,0.557,canino,0.586,reynell,0.497
67,majestät,0.725,teo,0.587,furst,0.544,hess,0.488,olga,0.506,anmale,0.556,palmella,0.585,natschewitsch,0.497
68,medfölja,0.725,ludvic,0.586,marocco,0.543,thiers,0.488,sonson,0.506,gemål,0.556,luitpold,0.584,veragua,0.497
69,idog,0.724,kejserlig,0.586,cornwallis,0.543,weimar,0.488,isabella,0.505,reuss,0.552,hessen,0.584,iwanowitsch,0.497
70,undergå,0.724,present,0.586,grefwen,0.543,grefve,0.488,potemkin,0.505,ponte,0.552,sutherland,0.583,alick,0.497
71,förnya,0.724,cöln,0.585,bernadotte,0.542,storkors,0.488,palatin,0.504,rainer,0.552,rainer,0.583,almeida,0.495
72,osäker,0.723,affärda,0.585,famille,0.542,arthur,0.488,ragusa,0.504,altenburg,0.552,berry,0.581,georgios,0.495
73,förmärka,0.722,hufwudstad,0.583,gemäl,0.541,infantinna,0.488,harris,0.504,alfonso,0.552,gemäl,0.581,konungeu,0.494
74,singö,0.722,compagniet,0.582,kejsar,0.541,peel,0.487,konstantin,0.503,augustenborg,0.551,coimbra,0.579,priusarne,0.494
75,harm,0.721,anländ,0.582,utnämd,0.541,prins,0.486,villareal,0.502,prinssessa,0.549,jsabellas,0.578,konnngen,0.494
76,bild,0.721,dannemark,0.582,bonapartes,0.54,keisar,0.486,marstall,0.501,ärke,0.549,hartig,0.576,dagobert,0.493
77,holt,0.721,dey,0.581,christiania,0.539,kronprins,0.486,kurfurste,0.501,brabant,0.549,laetitia,0.575,bonlangers,0.493
78,rop,0.721,lyckligen,0.581,högqwarter,0.539,brunswik,0.485,cabral,0.501,thyra,0.548,wellington,0.575,ärkehärtigen,0.492
79,medfödd,0.72,befallning,0.581,äterkomst,0.539,bistoppen,0.485,chartres,0.501,abrantes,0.548,beauharnais,0.575,villareal,0.492
80,gudinna,0.72,sultan,0.581,curir,0.538,lorenzo,0.484,sussex,0.501,montebello,0.547,waldeck,0.574,changarnier,0.492
81,unge,0.719,departement,0.58,kommendant,0.538,fältmarskalk,0.484,constantin,0.5,kejsare,0.547,sachsenweimar,0.574,terceira,0.492
82,hjord,0.719,intagande,0.58,officerarne,0.536,grenville,0.483,fernando,0.5,bajern,0.547,prin,0.574,lorné,0.492
83,ifrig,0.719,infanteri,0.579,infant,0.536,eugen,0.483,orsini,0.5,sergius,0.546,eugöne,0.574,iord,0.492
84,kallelse,0.719,närwaro,0.579,kommendera,0.534,nungen,0.482,buckingham,0.499,erkehertiginna,0.546,amadeus,0.574,todleben,0.491
85,tolk,0.718,wägrade,0.578,guvernör,0.533,suwarow,0.482,erkehertiginna,0.495,jeromes,0.546,friederich,0.572,slottsherre,0.491
86,collegium,0.718,utnämna,0.578,monument,0.533,londonderry,0.482,adelaide,0.495,eugöne,0.545,landtgrefwen,0.572,hornette,0.491
87,ester,0.717,residera,0.578,preussen,0.533,konferens,0.481,clarendon,0.495,humbert,0.545,argyle,0.571,feria,0.491
88,förbehålla,0.717,larl,0.577,conference,0.532,eröfrare,0.481,gouverneur,0.495,audiffret,0.545,arcos,0.571,ragtan,0.491
89,wande,0.716,philip,0.576,namnsdag,0.532,cortez,0.48,halfsyster,0.494,konung,0.545,chambord,0.571,cumberland,0.49
90,föröda,0.716,annee,0.576,konun,0.532,herbert,0.479,hoffröken,0.493,tigen,0.544,exdrottning,0.57,chevaliern,0.49
91,06,0.716,preutzen,0.576,päfwen,0.531,esterhazy,0.479,dalmatien,0.493,amadeo,0.543,clotilda,0.569,jeromes,0.49
92,reflexion,0.716,giorde,0.576,augsburg,0.531,ragusa,0.479,storkors,0.492,frohsdorf,0.543,erkehertiginna,0.568,sydgeneralen,0.49
93,stränghet,0.716,officerare,0.575,paz,0.531,bourbon,0.478,keisar,0.492,storfurstinna,0.543,morny,0.568,grivas,0.49
94,maga,0.715,lord,0.575,laudon,0.531,audiens,0.478,ärkehertig,0.492,palmella,0.542,enkefurstinnan,0.567,gramont,0.49
95,sultan,0.714,depesch,0.574,ral,0.53,bäjern,0.475,lustflott,0.492,mercedes,0.541,alexandrine,0.566,cairns,0.49
96,majit,0.714,förenta,0.574,whitworth,0.53,florenz,0.475,gemäl,0.492,storhertig,0.541,landtgrefve,0.565,spoleto,0.49
97,gaf,0.713,adjutant,0.574,carlos,0.53,gemäl,0.475,westphalen,0.492,gramont,0.541,xviii,0.565,clarence,0.489
98,minister,0.713,tysta,0.574,mathilda,0.529,burdett,0.474,theodolinda,0.492,enkedrottning,0.539,prinsehan,0.565,prin,0.489
99,härlighet,0.713,kommendera,0.574,senat,0.529,westphalen,0.474,erkehertig,0.49,meiningen,0.539,arfprinsessa,0.565,nassau,0.489
