,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,mensklighet,0.821,universitetslärare,0.636,rättfram,0.612,flärdfri,0.57,bemötande,0.577
1,slägtets,0.82,oförfärad,0.632,flärdfri,0.599,vänfast,0.564,flärdfri,0.553
2,ofullkomlighet,0.815,insigtsfull,0.632,kamratlig,0.594,bemötande,0.559,rättrådig,0.553
3,laglydig,0.814,sansadt,0.631,wälwillig,0.592,rättrådig,0.556,vänfast,0.545
4,kortsynt,0.813,fördragsam,0.63,vänfast,0.587,humana,0.555,humana,0.544
5,maklighet,0.813,fördomsfri,0.628,flärdfrihet,0.579,fördragsam,0.553,lingssätt,0.54
6,medborgarnes,0.811,caractere,0.623,flärdlös,0.569,kamratlig,0.552,urbanitet,0.538
7,föregifva,0.807,genomfördt,0.617,kunskapsrik,0.561,flärdlös,0.537,kamratlig,0.535
8,fördomsfri,0.807,mångsidig,0.615,frisinnad,0.557,sansadt,0.536,fördragsam,0.533
9,genljud,0.806,vindicera,0.614,exemplarisk,0.552,hofsam,0.535,sansadt,0.533
10,kines,0.806,förbehållsam,0.612,redbar,0.551,humanitet,0.534,hyfsad,0.531
11,ovigtig,0.806,karaktersfasthet,0.611,bemötande,0.551,menniskoälskande,0.533,hofsam,0.53
12,saktmod,0.806,anspråkslöshet,0.61,pligttrogen,0.551,wänsälla,0.527,hänsynsfull,0.525
13,sympathi,0.804,naturanlag,0.608,sansadt,0.546,hänsynsfull,0.527,flärdlös,0.524
14,oaflåtligen,0.803,intolerans,0.608,tjenstaktig,0.543,rättskaffenhet,0.523,kunskapsrik,0.523
15,merändels,0.803,ordningssinne,0.607,foglig,0.538,hyfsad,0.522,plikttrogen,0.522
16,dessmindre,0.802,nitälskan,0.605,vänsäll,0.536,pligttrogen,0.522,wänsälla,0.519
17,vältänkande,0.8,sympalhier,0.605,rättskaffenshet,0.534,rättfram,0.52,ntloswas,0.518
18,nedstämma,0.8,representerande,0.605,rättrådighet,0.534,hjertegod,0.52,hjertegod,0.515
19,humor,0.799,auctorer,0.602,varmhjertad,0.533,exemplarisk,0.519,opartisk,0.514
20,opåräknad,0.799,kapabel,0.601,hofsam,0.532,inhuman,0.516,pligttrogen,0.514
21,uppfostrare,0.799,skriftställeri,0.601,storsinnadt,0.532,foglig,0.514,humanitet,0.512
22,samverka,0.798,redeliga,0.601,fördragsam,0.532,rättskaffenshet,0.514,försynt,0.512
23,ursäktlig,0.798,vehikel,0.601,tillmötesgäende,0.531,sanningsälskande,0.513,discretion,0.51
24,läsarinnor,0.797,välmenande,0.6,humanitet,0.53,flärdfrihet,0.512,välvillighet,0.509
25,intellektuel,0.797,omoralisk,0.599,förestafvadt,0.526,välvillighet,0.512,tillvinnande,0.509
26,höfves,0.797,oväldig,0.598,energist,0.525,kunskapsrik,0.511,redbar,0.508
27,välmenande,0.797,rättskaffenhet,0.598,samvetsöm,0.525,plikttrogen,0.508,exemplarisk,0.506
28,ideer,0.796,uppfattningsförmåga,0.597,försonlig,0.524,karaktärsfast,0.506,rättskaffens,0.506
29,vidga,0.796,viana,0.597,pligttrogna,0.523,pligttrogenhet,0.506,rättfram,0.503
30,slafvisk,0.796,pligtkänsla,0.596,kommunalman,0.52,oegennyttig,0.505,rättskaffenshet,0.502
31,sorglös,0.796,loyala,0.596,pligttrohet,0.52,föredömlig,0.505,karaktärsfast,0.501
32,uppbyggelse,0.796,flärdfri,0.596,charakter,0.519,urbanitet,0.504,pliktuppfyllelse,0.5
33,nitälskan,0.796,administratör,0.596,pligttrogenhet,0.518,rättskaffens,0.503,förtroendeingifvande,0.5
34,väckelse,0.795,sinnlig,0.596,tillvinnande,0.518,tillvinnande,0.502,pligttrogne,0.499
35,misströsta,0.794,förvränga,0.595,rättskaffenhet,0.518,pliktuppfyllelse,0.502,arbetarevänliga,0.499
36,undergräfva,0.794,intonation,0.595,sansad,0.517,rättrådighet,0.5,godsint,0.499
37,uphöja,0.794,behofivet,0.595,wäjen,0.515,opartisk,0.5,foglig,0.499
38,genialisk,0.794,ähörarnes,0.594,dentligt,0.514,pligttrogne,0.498,sanningsälskande,0.498
39,andamål,0.793,barnasinne,0.593,godsint,0.514,samwetsgrann,0.497,rättskaffenhet,0.498
40,statskonst,0.793,gjert,0.593,treflighet,0.514,redbar,0.496,menniskoälskande,0.498
41,skräck,0.793,analog,0.593,förelysa,0.513,arbetarevänliga,0.496,säljareförmåga,0.495
42,påfinna,0.792,stoisk,0.593,stillsam,0.512,hedersam,0.494,insiktsfull,0.495
43,själfull,0.791,intellektuel,0.592,barnafrom,0.51,vänfasthet,0.491,hofsamma,0.494
44,lurendrejare,0.791,rättrådighet,0.591,hjärtlig,0.508,försynt,0.49,honnett,0.492
45,genomgripande,0.79,planmessig,0.591,rättrådig,0.508,hofsamma,0.489,tuktig,0.49
46,egennyttig,0.79,framställningssätt,0.59,hyfsad,0.507,rättänkande,0.488,pligttrogenhet,0.49
47,interessera,0.79,grundton,0.59,nitifl,0.507,storsinnadt,0.487,aktningsfull,0.489
48,envishet,0.79,lönte,0.59,afsträckande,0.506,ntloswas,0.487,hörsamhet,0.489
49,ädelhet,0.79,intolerant,0.59,sanningsälskande,0.505,tolerant,0.486,inhuman,0.488
50,voie,0.79,kraftyttring,0.59,hofsamma,0.504,belefva,0.485,flärdfrihet,0.488
51,förorätta,0.79,kosmopolitisk,0.59,behandlingssätt,0.504,tuktig,0.485,belefva,0.488
52,ofelbarhet,0.789,ojäfaktig,0.589,belefva,0.503,patriarkalisk,0.484,rättrådighet,0.488
53,sonlig,0.789,menstligt,0.589,oförwitlig,0.503,varmhjertad,0.484,tillmötesgå,0.487
