,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,dikt,0.807,exalterad,0.624,konservativ,0.715,mier,0.592,konservativ,0.717,samlingsparti,0.688
1,upmarksamhet,0.802,revolutionär,0.614,radikal,0.578,konservativ,0.59,valmansförening,0.666,valmansförening,0.661
2,wälmening,0.799,statsinrättning,0.602,demokratisk,0.578,haveripenningar,0.574,radikal,0.66,radikal,0.634
3,behäller,0.798,doktrinär,0.599,reaktionär,0.568,oppositionsparti,0.566,unionist,0.635,konservativ,0.633
4,lighet,0.796,tolerans,0.595,oppositionell,0.567,berala,0.555,berala,0.629,berala,0.618
5,redighet,0.794,radikal,0.593,whig,0.565,bodmerler,0.552,klerikal,0.604,tyskfrisinnade,0.614
6,mänsklig,0.794,moderat,0.593,fraktion,0.557,landtransport,0.545,tyskfrisinnade,0.598,regeringsvänlig,0.612
7,ofullkomlig,0.793,stationär,0.589,frisinnad,0.555,fraktförskott,0.543,regeringsvänlig,0.596,tullvänliga,0.585
8,rättwist,0.792,antagonist,0.588,servil,0.553,fraktpeningar,0.532,oppositionell,0.59,frihandelsparti,0.583
9,crisis,0.792,olika,0.583,republikansk,0.55,oppositionell,0.529,frisinnad,0.588,riksparti,0.579
10,doch,0.792,reformera,0.582,ideerna,0.541,bodmericr,0.525,opportunist,0.585,oppositionell,0.576
11,egenkärlek,0.792,högsint,0.58,ministören,0.541,reichensperger,0.524,unionistiska,0.581,intransigent,0.574
12,häpnad,0.791,milieu,0.58,ultrakonservativ,0.54,hodmerier,0.522,nationalliberal,0.579,reichensperger,0.572
13,lättsinnig,0.786,konservativ,0.58,tendens,0.538,castelars,0.52,riksparti,0.572,unionist,0.57
14,liderlig,0.786,rättstillstånd,0.58,opposition,0.538,klerikal,0.52,oppositionsparti,0.572,unionistiske,0.562
15,sörswara,0.786,frisinnad,0.577,motparti,0.534,vensten,0.52,walmansföreningen,0.572,rale,0.561
16,misinöje,0.786,republikansk,0.577,reformvän,0.532,landttransport,0.519,reaktionär,0.571,frikonservative,0.56
17,försämra,0.785,absolutistisk,0.576,konservatism,0.531,oppositionel,0.519,intransigent,0.571,liberales,0.555
18,wärdiga,0.785,olyckelige,0.576,tullsystem,0.529,lördelaktiga,0.519,reichensperger,0.568,nationalliberal,0.554
19,pästynda,0.784,sadana,0.575,omstörtning,0.529,lisker,0.516,whig,0.568,frihandelsvänlig,0.553
20,uplysta,0.783,fraktion,0.574,radikalism,0.529,reaktionär,0.511,liberales,0.567,walmansföreningen,0.551
21,wigten,0.783,despot,0.573,sansadt,0.527,regeringsparti,0.508,demokratisk,0.567,unionistiska,0.55
22,ihärdig,0.782,försonlig,0.573,förhata,0.525,författningspartiet,0.507,frikonservative,0.565,valmansföreningens,0.549
23,bätre,0.782,ministeriell,0.572,byråkratisk,0.522,fraktion,0.506,parnelliterna,0.563,skyddsvänlig,0.548
24,fördunkla,0.782,tillgifna,0.57,oppositionsman,0.521,monarkist,0.506,progressister,0.559,protektionistisk,0.548
25,ofördelaktig,0.781,representativ,0.569,monarkisk,0.521,jlif,0.506,unionistiske,0.558,frisinnad,0.548
