,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,acki,0.941,begärlighet,0.791,tidehvarfvet,0.718,tidehvarfvet,0.601,tiderymd,0.653,tidsperiod,0.62,tidsperiod,0.582
1,förebrå,0.92,djupsinnig,0.789,medeltid,0.666,tidskifte,0.582,tidsperiod,0.628,tiderymd,0.61,tidrymd,0.581
2,wälmåga,0.92,liderlig,0.789,verldshistorien,0.662,verldshistorien,0.575,tidskifte,0.615,tidsskede,0.589,fredsperiod,0.567
3,likaså,0.918,hedning,0.788,tidskifte,0.647,epok,0.56,tidsskede,0.582,tillverkningsår,0.588,tiderymd,0.553
4,ljuda,0.917,hörk,0.787,decennium,0.635,medeltid,0.529,krigsår,0.573,tioårsperiod,0.571,tidsskede,0.547
5,samtida,0.916,doch,0.787,århundrade,0.619,tiderymd,0.528,epok,0.567,tidrymd,0.568,totalexport,0.546
6,owanliga,0.916,wälmening,0.787,epok,0.618,1648,0.51,femårsperiod,0.561,tidskifte,0.558,tioårsperiod,0.544
7,lcmnar,0.915,upmarksamhet,0.783,företeelse,0.616,afde,0.507,tidrymd,0.554,qvinqvenniet,0.555,öfvergångsperiod,0.544
8,flör,0.913,kuntze,0.782,adertonde,0.614,regementsförändring,0.507,händelserik,0.551,halfsekel,0.55,halfsekel,0.54
9,hungrig,0.913,kalender,0.782,tiotal,0.613,vändpunkt,0.507,tidsrymd,0.551,totalexport,0.543,tillverkningsår,0.538
10,catholsta,0.913,bibehällit,0.781,märkwärdigaste,0.612,bildningsgrad,0.506,qvinqvenniet,0.55,krigsår,0.537,årsperiod,0.536
11,blix,0.913,därar,0.78,tidehvarf,0.612,momenter,0.503,ärtiondena,0.537,medelsiffra,0.534,legislaturperiod,0.535
12,alting,0.913,utgaf,0.779,geograf,0.6,kritista,0.502,hösttid,0.515,fredsperiod,0.53,riksdagssession,0.533
13,laren,0.912,lagom,0.777,philosophi,0.599,händelserik,0.501,regementsförändring,0.513,balfåret,0.526,verksamhetsår,0.53
14,äckla,0.911,corpsens,0.776,sistförflutna,0.593,frihetstid,0.5,afår,0.512,utförselartiklarne,0.526,bränningsterminen,0.525
15,gudlös,0.91,manöver,0.775,sammanfattning,0.587,tidsålder,0.497,hednatid,0.512,halfäret,0.525,stortingsperiod,0.525
16,himmelsk,0.909,gräta,0.773,olikartad,0.586,sammanvaro,0.497,tidsålder,0.506,riksdagsskick,0.524,femärsperiod,0.518
17,markte,0.909,upfylt,0.773,tidrymd,0.585,hedendom,0.492,skede,0.505,skede,0.523,riksdagsperiod,0.517
18,förlika,0.909,förargelse,0.772,europas,0.583,betraktadt,0.492,blomstringstid,0.504,bränningsterminen,0.521,brytningstid,0.517
19,trolös,0.909,galge,0.772,stålgravyr,0.583,framfaren,0.49,frihetstid,0.501,riksdagsperiod,0.52,tidskifte,0.516
20,disciplin,0.908,beryktad,0.772,synpunkt,0.582,fragmentarisk,0.49,mansålder,0.499,tidsrymd,0.516,tidsrymd,0.516
21,svara,0.908,wärsta,0.772,factum,0.582,moment,0.489,ståndsriksdag,0.498,femärsperiod,0.516,ståndsriksdagarne,0.515
22,krossa,0.908,ingenstädes,0.771,grunddrag,0.582,ojemnförligt,0.489,folkökning,0.497,legislaturperiod,0.516,handelskris,0.513
23,piete,0.908,broderlig,0.771,praxis,0.578,årtusende,0.489,decennium,0.495,verksamhetsår,0.516,skördeår,0.511
24,hopa,0.907,wistte,0.77,sjuttonde,0.577,reformation,0.489,äreu,0.495,skördeår,0.515,bruksår,0.511
25,werkar,0.907,minskning,0.77,astronom,0.577,krigsår,0.489,varuartiklarne,0.489,hafreexport,0.513,ämbetstid,0.511
26,sones,0.907,civilisera,0.77,bulwer,0.574,decennium,0.485,reminiscens,0.488,skiftesrik,0.508,krigsår,0.511
27,ingendera,0.907,gästfrihet,0.77,statshushållning,0.573,tidehvarf,0.485,tillvexten,0.488,bränningstermin,0.507,åreu,0.509
28,siw,0.906,förbanna,0.769,vidlyftighet,0.573,mänaderne,0.484,tidehvarfvet,0.488,äreu,0.504,riksdagsskick,0.508
29,leswer,0.906,auctors,0.768,högvördig,0.572,ärhundradet,0.483,exportrörelse,0.486,åreu,0.504,växtperiod,0.507
