,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
68,förbättra,0.687,sannolikhet,0.57,hog,0.456,innovation,0.417,förpligtadt,0.46,dissenter,0.478,pröfningsrätten,0.483,expropriationsrätt,0.467
69,stillhet,0.686,redighet,0.57,tiltror,0.456,intresie,0.417,valfrihet,0.46,privilegium,0.477,förpligtelse,0.483,likställande,0.467
70,ypperst,0.686,utstaka,0.57,förhallande,0.456,uppbara,0.416,ilja,0.46,undervisningsfrihet,0.476,egendomsrätt,0.483,själfbestämningsrätt,0.467
71,beqwämlighet,0.686,upkomst,0.57,täflande,0.456,enskiltas,0.416,arfföljd,0.46,besutenhet,0.476,förtroen,0.483,skolmyndighet,0.467
72,warde,0.686,upmuntra,0.57,conseil,0.456,undertiden,0.416,öfverträda,0.459,friköpningsrätt,0.476,fullmyndig,0.482,yrkesklass,0.466
73,otidig,0.686,stadfästa,0.57,fastställd,0.455,statsmakt,0.416,integritet,0.458,qvalifikation,0.476,barnmorskeyrke,0.481,oförhindradt,0.466
74,tidsfördrif,0.685,taxera,0.569,särskildt,0.455,taxeringsman,0.416,monopolium,0.458,tillgodonjutande,0.476,sjelfbestämningsrätt,0.48,lomnades,0.465
75,innefatta,0.685,bolag,0.569,förwalta,0.455,aftvå,0.416,wadliga,0.457,indelningshafwaren,0.475,expropriationsrätt,0.479,sparmedel,0.465
76,exempel,0.685,wälmening,0.569,stutt,0.455,blitt,0.416,kyrkogods,0.456,byggnadsstyrelse,0.475,bestämmelserätt,0.479,ulskylder,0.465
77,ansedt,0.685,förbehålla,0.569,intresse,0.454,hvilketdera,0.416,magten,0.456,pröfiva,0.474,ntstänkning,0.479,tryckerirörelse,0.465
78,twäng,0.685,sörswara,0.569,förbunden,0.454,associera,0.415,broderskap,0.455,egarno,0.474,företrädesrättighet,0.478,dorvid,0.465
79,tilständ,0.684,förneka,0.569,regeringssätt,0.454,hindu,0.415,tillerkändt,0.455,prestadömet,0.474,yttrandefrihet,0.477,ausåge,0.464
80,bifall,0.684,nödwändig,0.569,ass,0.454,auctorer,0.415,inkräktning,0.455,utarrenderande,0.474,utöfvando,0.477,sjettedelsjord,0.464
81,föröka,0.684,förkofran,0.568,underlydande,0.454,förthy,0.415,insigler,0.455,oveldigt,0.474,bestämme,0.477,naturaförmåner,0.464
82,förfölja,0.683,iaktta,0.568,tillkommande,0.454,slaten,0.415,medgafs,0.455,domsrätt,0.472,grundegendom,0.477,diakonat,0.464
83,dera,0.683,mon,0.568,interesie,0.453,tillkommen,0.414,domarena,0.455,skattskyldighet,0.472,wienerfördragen,0.477,kommuualutskylder,0.464
84,besynnerligen,0.683,väcka,0.568,redeliga,0.453,existence,0.414,förfång,0.454,prerogativ,0.472,bestämningsrätt,0.477,kontrollåtgärd,0.463
85,innehäll,0.683,förmögenhet,0.567,deröfwcr,0.453,religionsfrihet,0.414,sjelfstyrelse,0.454,inqvarteringsersättning,0.472,oförhindradt,0.476,arfvejord,0.463
86,kraftig,0.682,agtning,0.567,stadfästa,0.452,utfordra,0.413,ömsesidighet,0.454,förpligtadt,0.471,rättighe,0.476,knektekontrakt,0.463
87,förlustig,0.682,bibringa,0.567,fullfölja,0.452,ackorder,0.413,mosaisk,0.453,elektorswalen,0.471,utskänkningsrättighet,0.475,dissenters,0.463
88,ranta,0.682,enskild,0.567,biiswa,0.452,kreditiv,0.413,ulskylder,0.453,suveränitet,0.471,godtgörelso,0.474,riksdagsmannabefattning,0.463
89,förbud,0.681,likhet,0.567,kunsta,0.452,godtycke,0.412,lifegna,0.453,förmoner,0.47,sakförareverksamhet,0.474,inqvarteringsersättning,0.463
90,förakt,0.681,ägande,0.567,inbegripa,0.452,beviljande,0.412,jemnlikhet,0.453,utskänkningsrättighet,0.47,nykterhetsorden,0.474,lörekommer,0.463
91,undersåtare,0.681,storherren,0.566,tiltro,0.451,dispositionsrätt,0.412,eftergifva,0.452,generalmönsterherre,0.47,bränvinsutskänkning,0.473,grundlagsbud,0.462
92,upkomst,0.681,ansedt,0.566,minskning,0.451,magten,0.412,tillförbinda,0.452,pressfrihet,0.47,förvägra,0.473,promesserna,0.462
93,obillig,0.681,stadgar,0.565,ffull,0.451,yttranderätt,0.412,interessen,0.452,bevillningsafgiftens,0.47,tjänsteårsberäkning,0.471,medgisna,0.462
94,förtryck,0.68,stiftare,0.565,söndring,0.451,ätagande,0.411,privilegium,0.452,jordnatur,0.469,nationalgods,0.471,barnmorskeyrke,0.462
95,rikedom,0.68,flike,0.565,kraf,0.451,härvaro,0.411,landolina,0.452,öfwerträdt,0.469,anbjudarne,0.471,rättsanspråk,0.462
96,författare,0.68,oinskränkt,0.565,förkofran,0.45,vårdare,0.411,grundlagen,0.452,fastig,0.469,själfbestämningsrätt,0.471,fabriksnäring,0.461
97,stridig,0.68,ätgärd,0.564,ball,0.45,samfäldt,0.411,tjenstemann,0.452,behörighet,0.469,legning,0.471,själfsvåld,0.461
98,förmon,0.68,kansta,0.564,tilltal,0.45,begifvande,0.411,pröfningsrätt,0.451,beväringspligten,0.469,indelningshafwaren,0.471,wienerfördragen,0.461
99,medbroder,0.679,mänsklig,0.564,utlåta,0.45,rättsökande,0.411,garanterat,0.451,wienerfördragen,0.468,församlingsordning,0.471,borgarrätt,0.461
