,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
77,mannamod,0.868,diurgärden,0.706,flala,0.613,tillgätt,0.559,bibehället,0.456,fluldran,0.453,kolmörker,0.488
78,knape,0.868,irän,0.705,upphofsmännen,0.613,ingermanland,0.559,mäfä,0.455,nedsläppa,0.453,sönderhacka,0.488
79,stäpp,0.868,parkum,0.705,ryffa,0.612,flagfältet,0.559,stenröse,0.455,klädtrasa,0.452,bösspipa,0.487
80,werkningar,0.868,laur,0.705,ruska,0.612,elde,0.559,wagnshjul,0.455,uppsvullna,0.452,drumla,0.487
81,brittista,0.868,mariefred,0.705,kokard,0.612,ararat,0.559,stöfweln,0.455,rundtom,0.452,tillstyndande,0.487
82,främja,0.867,jonson,0.704,m8nga,0.612,inländsta,0.559,långfinger,0.455,hufwudskälen,0.452,blydagg,0.487
83,sken,0.867,raan,0.704,karbin,0.612,bewakningen,0.559,ylletäcke,0.455,söndersletos,0.451,hufwudskälen,0.487
84,förblanda,0.867,grotta,0.704,tillwerkningen,0.611,stäcndc,0.558,hopbinda,0.454,laddstake,0.451,omstjelpa,0.487
85,wänt,0.867,åkerbär,0.704,walker,0.611,franfysta,0.558,asbrötos,0.454,åtdra,0.451,brännblåsa,0.486
86,afrest,0.867,flastor,0.704,columbista,0.611,moldan,0.558,uppmärksanihet,0.454,sprnngo,0.451,genomskjutna,0.486
87,röfware,0.867,biörn,0.704,madera,0.611,ätertäg,0.558,pappersbit,0.454,söndersarga,0.451,sittopp,0.486
88,dristighet,0.867,utsökt,0.703,öfwergängen,0.611,wågen,0.558,karbunkel,0.453,sträv,0.45,åtdra,0.485
89,ärhällit,0.867,lump,0.703,wägorna,0.611,siagen,0.558,ombinda,0.453,skrikande,0.45,getabock,0.485
90,förträffeliga,0.867,nankin,0.702,mansklädning,0.611,uddig,0.558,upphoswet,0.453,skavank,0.45,ligny,0.485
91,betacka,0.867,ylle,0.702,tenedos,0.61,sivcnsta,0.558,försivann,0.453,bakstycke,0.45,jernskodda,0.485
92,hungrig,0.867,skärpa,0.702,gingham,0.61,norstt,0.558,hwina,0.453,storbom,0.45,ledbruten,0.485
93,catholsta,0.866,djurgärds,0.702,äntra,0.61,fynas,0.558,wärjor,0.453,kanonvagn,0.45,wastin,0.485
94,dramatisk,0.866,pudelhund,0.701,turkistt,0.61,bakifrän,0.558,upplösningstillständ,0.453,sabelklinga,0.45,smalben,0.485
95,fränsi,0.866,läderrem,0.701,gondol,0.61,armering,0.557,undergräfda,0.453,huflvudet,0.45,kanonvagn,0.484
96,hjeltemod,0.866,magazinet,0.701,korint,0.61,begrafna,0.557,benpipa,0.453,smalben,0.45,grensle,0.484
97,rof,0.866,urband,0.701,wekar,0.61,kasematt,0.557,sanslöshet,0.453,förmast,0.449,tågände,0.484
98,blockera,0.866,fängenstap,0.7,owerksamhet,0.61,rvhland,0.557,stjutwapen,0.453,klingall,0.449,affyrat,0.484
99,mängfaldiga,0.866,commitzion,0.7,sjösoldat,0.61,sqwadron,0.557,tournera,0.452,nedramlande,0.449,styrstång,0.484
