,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,hofwct,0.896,bidrag,0.726,gymnasium,0.638,docent,0.631,fakultet,0.686,professorsstol,0.689,universi,0.692
1,resultat,0.893,wistte,0.719,universiteter,0.572,universiteter,0.629,obstetrik,0.635,universi,0.686,versitet,0.684
2,tilläggning,0.892,upprorisk,0.719,skolungdom,0.572,adjunktur,0.623,docent,0.634,fakultet,0.674,tetet,0.671
3,hwarjc,0.891,verksam,0.716,academicum,0.571,fysiologisk,0.613,uniwersitet,0.634,tetet,0.673,privatdocent,0.668
4,piecer,0.89,fältherre,0.715,hösttermin,0.569,prokansler,0.612,doktorspromotion,0.631,lärostol,0.665,professorsstol,0.657
5,atstillige,0.89,handelsstad,0.714,academien,0.567,seminarium,0.609,professor,0.623,privatdocent,0.663,prorektor,0.653
6,1779,0.89,verksamhet,0.713,lyceum,0.565,akademisk,0.6,jubelfest,0.621,versitet,0.661,fakultet,0.652
7,lagstiftning,0.889,sallstapet,0.712,lärosäte,0.562,amanuens,0.593,teologie,0.62,högskola,0.658,professorsbefattning,0.647
8,bleswe,0.889,ärhällit,0.712,apologistskola,0.557,filos,0.592,studentkärs,0.619,prorektor,0.652,pastoralteologi,0.646
9,begärlighet,0.888,proklamera,0.711,krakau,0.554,katedralskola,0.592,rättshistoria,0.618,embryologi,0.648,högskola,0.645
10,äligga,0.888,weimar,0.71,carolinsk,0.544,historiarum,0.587,director,0.608,obstetrik,0.647,astronomie,0.639
11,kungörcs,0.886,legation,0.71,academie,0.544,promovera,0.577,lärostol,0.608,prokansler,0.647,lärostol,0.637
12,folie,0.885,declaration,0.71,pommern,0.544,theol,0.576,processrätt,0.608,gynekologi,0.646,embryologi,0.637
13,deffe,0.885,osäkerhet,0.709,studerande,0.542,fakultet,0.57,universi,0.608,professor,0.641,gynekologi,0.636
14,bistop,0.884,omständlig,0.708,promovera,0.539,kansler,0.56,anatomie,0.607,astronomie,0.64,pediatrik,0.635
15,beni,0.884,hufwudsakligen,0.707,haase,0.539,uniwersitet,0.56,anatomista,0.607,docent,0.635,obstetrik,0.634
16,sägen,0.884,laudon,0.707,darmstadt,0.539,academi,0.558,professur,0.604,professorsbefattning,0.634,wittenbergs,0.633
17,folkflag,0.884,andalusien,0.706,götting,0.538,profession,0.556,emeritus,0.603,oftalmiatrik,0.634,oftalmologi,0.631
18,hwarförutan,0.883,förbundsdag,0.706,rektor,0.538,krigsakademi,0.555,carolinsk,0.598,carolinsk,0.634,farmakognosi,0.63
19,fälle,0.882,hwaruli,0.706,promotion,0.538,högskola,0.555,wisén,0.597,moralteologi,0.633,giessen,0.63
20,stegring,0.882,armöe,0.706,adjunkt,0.534,anatomi,0.551,kansler,0.595,pastoralteologi,0.633,univ,0.629
21,despot,0.881,mcra,0.705,allminna,0.533,docens,0.55,adjunktur,0.595,pediatrik,0.632,hedersdoktor,0.629
22,florera,0.88,crisis,0.703,enås,0.529,knös,0.549,luuds,0.594,univ,0.63,moralteologi,0.628
23,prägtig,0.88,boch,0.703,spektakler,0.528,grekiska,0.547,dekanus,0.59,wittenbergs,0.629,dorpat,0.621
24,vänja,0.88,rochefort,0.703,westgötha,0.528,universiteterna,0.547,laborator,0.589,giessen,0.628,anatomie,0.62
25,entrée,0.878,folkflag,0.702,hillska,0.528,elementarlärowerk,0.547,hedersdoktor,0.589,doktorspromotion,0.624,nniversitet,0.618
26,ico,0.877,bleswe,0.701,förbundet,0.527,chirurgie,0.546,docentur,0.589,hedersdoktor,0.624,oftalmiatrik,0.617
27,omöjeligt,0.877,calabrien,0.701,studentexamen,0.527,adjunkt,0.543,patologisk,0.586,universitetsbibliotek,0.624,professorsbefattningen,0.616
28,förord,0.876,potemkin,0.701,amanuens,0.527,emeritus,0.542,lingvistik,0.586,farmakognosi,0.622,finansrätt,0.616
29,blifwik,0.876,tilständet,0.701,verldshistorien,0.527,studerande,0.541,doktorsgrad,0.585,psykiatri,0.619,doktorspromotion,0.613
30,tildela,0.876,insäg,0.701,fakultet,0.527,walmstedt,0.537,prokansler,0.581,professorsbefattningen,0.618,rättshistoria,0.612
31,fanna,0.876,missnöjd,0.701,biskoppen,0.526,absolvera,0.536,theologisk,0.58,nniversitet,0.617,doktorsvärdighet,0.611
