,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
75,försigtighet,0.9,fullbordan,0.741,dödsstraff,0.72,upfyld,0.7,gyckelspel,0.666,gymnastikundervisning,0.489,mellanled,0.43,boträffar,0.46
76,ester,0.899,jämka,0.741,hjerna,0.72,180g,0.7,uteblifvandet,0.666,öfwersigter,0.489,införlifvadt,0.43,hafreexport,0.46
77,flä,0.899,lira,0.741,orkan,0.72,1857,0.7,invänarne,0.666,afslöto,0.489,förbindelsemedel,0.43,fastslående,0.46
78,oriktig,0.899,upror,0.741,förlika,0.72,dellaga,0.7,sammanslående,0.666,besväradt,0.488,viglen,0.43,mossodlare,0.46
79,enfaldighet,0.899,garantera,0.741,andalusien,0.72,sväfvande,0.7,retraiten,0.666,bedömmandet,0.488,temhgen,0.43,gemensamhetskänsla,0.459
80,motta,0.899,öfwertygelse,0.741,nödwändighet,0.72,insubordination,0.699,eord,0.665,dyrtid,0.488,utsigtcrna,0.429,verldsliteraturen,0.459
81,yta,0.899,stöl,0.741,taleman,0.72,omsvep,0.699,missvisning,0.665,krigsår,0.488,egentli,0.429,omtalado,0.459
82,benne,0.899,menn,0.741,blockad,0.719,likstämmighet,0.699,tilbud,0.665,karteverket,0.487,ortintressena,0.429,fårhållande,0.459
83,ombyte,0.899,wisit,0.741,ärftlig,0.719,myntenhet,0.699,armce,0.665,hehöfliga,0.487,partilidelsen,0.429,slutsiffra,0.459
84,mangen,0.898,motsats,0.74,ätföljde,0.719,rättsfråga,0.699,verldshandeln,0.665,spanmålsexport,0.487,dödlighetssiffra,0.429,påpek,0.458
85,sanda,0.897,fåfäng,0.74,pohlen,0.719,kammarn,0.699,prohibition,0.665,jernvägsnätet,0.487,uppsvensk,0.429,tabellarisk,0.458
86,lian,0.897,begriplig,0.739,religiös,0.719,spant,0.699,mångfaldiga,0.665,drägtigheten,0.487,tertiär,0.428,lotsfrågan,0.458
87,fölgde,0.897,himmelsk,0.739,förgäten,0.719,grekiska,0.699,parlamentsakt,0.665,tilloch,0.487,fårhållande,0.428,sammanstälda,0.458
88,höflighet,0.897,walet,0.739,duell,0.719,vedervilja,0.699,egenmäktighet,0.665,räkenstapsäret,0.487,sidenindustri,0.428,gradation,0.458
89,skönhet,0.897,öfmer,0.739,jury,0.719,principfråga,0.698,handelsföretag,0.665,järnindustri,0.487,afslutadc,0.428,hnfvudsakligaste,0.458
90,capitaine,0.896,sistlcdne,0.739,wälmening,0.719,önskelig,0.698,lagklok,0.664,qvarhållas,0.487,prisbelöningarne,0.428,likhot,0.458
91,vetta,0.896,ögnablicket,0.739,högfärd,0.718,rättsbegrepp,0.698,evident,0.664,förflntna,0.487,skilnad,0.428,otvätydigt,0.458
92,boja,0.896,behandla,0.738,wädliga,0.717,alliance,0.698,affärsverksamhet,0.664,sistförlidne,0.487,telserna,0.428,ojemnheten,0.458
93,föregående,0.896,directe,0.738,bätre,0.717,sälstapet,0.698,sammanjemkning,0.664,180g,0.486,iögonenfallande,0.427,synneriigast,0.458
94,upfylla,0.896,ych,0.738,nederländerne,0.717,association,0.698,rörelsemedel,0.664,jemnförelse,0.486,jemfördt,0.427,ningsförslag,0.457
95,snö,0.896,myckna,0.738,stugga,0.717,polissak,0.698,tvistepunkt,0.663,aktieköp,0.485,industriland,0.427,uppsvensk,0.457
96,afwcn,0.895,skydda,0.737,motsats,0.717,slu,0.698,argumentera,0.663,uptagas,0.485,gemensamhetskänsla,0.427,omtvistlig,0.457
97,hämma,0.895,lifsfara,0.737,stadfästelse,0.716,gränsorne,0.698,tryckfrihetsbrott,0.663,kanaltrafik,0.485,hufvudändamålet,0.427,nppnås,0.457
98,supa,0.895,prata,0.737,högmögende,0.716,regeringsåtgärd,0.698,sammandrabba,0.663,versal,0.485,pappersslag,0.427,ojemnheterna,0.457
99,arrest,0.895,romersk,0.737,kuntze,0.716,penndrag,0.698,vilkorliga,0.663,tvistepunkt,0.485,motsvarighet,0.427,abonnementstider,0.457
