,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,giorde,0.922,torftig,0.788,välgörande,0.666,ledamot,0.605,medlemmarne,0.618,medlemmarne,0.705,medlemmarne,0.71,medlemmarne,0.643
1,arén,0.922,samfund,0.771,harwarande,0.646,presentation,0.553,ledamot,0.584,ledamot,0.704,inedlem,0.702,inedlem,0.629
2,hördt,0.916,gem,0.77,säfom,0.64,riksstånd,0.545,inedlem,0.555,inedlem,0.692,ledamot,0.688,mediemmarne,0.591
3,wänga,0.916,eftersyn,0.762,patriotisk,0.639,ständet,0.539,valbar,0.502,modlemmar,0.589,modlemmar,0.618,modlemmar,0.572
4,wise,0.914,wälfärd,0.76,statsman,0.638,medlemmarne,0.539,hedersledamot,0.497,ledamöler,0.563,mediemmarne,0.575,ordenssyskon,0.566
5,utmärkt,0.914,gagnelig,0.758,handelsstad,0.635,senator,0.538,reformvän,0.488,niedlemmar,0.547,medleinmarne,0.56,medlommar,0.55
6,warse,0.914,utbredande,0.756,hänseende,0.634,ämbetsman,0.528,dignitär,0.484,likaberättigad,0.543,lokalförening,0.557,lokalförening,0.549
7,ätwarnas,0.914,christne,0.755,ständet,0.633,sälstapet,0.528,honoratiores,0.484,orphei,0.539,ordenssyskon,0.556,lokalförbund,0.547
8,namne,0.914,wälmening,0.755,föremäl,0.626,samhällsklass,0.519,embetsmån,0.483,öfvervarande,0.537,niedlemmar,0.552,edamöter,0.536
9,annar,0.913,medborgerlig,0.754,samfund,0.626,ridderstapet,0.517,municipalråd,0.481,gymnastikförening,0.531,medlommar,0.55,medlemmarno,0.536
10,ljuflig,0.913,loflig,0.747,formligen,0.625,rekrytera,0.517,konstituera,0.48,hedersledamot,0.531,goodtemplarloger,0.548,lokalafdelning,0.53
11,oförmodad,0.912,uplysta,0.746,patriotism,0.625,suppleant,0.516,ceremonimästare,0.478,hedersmedlem,0.527,ledamöterne,0.542,medleinmarne,0.528
12,förordnande,0.911,välgörande,0.746,mission,0.622,deputerad,0.516,musei,0.477,metodistförsamling,0.526,hedersmedlem,0.541,hedersmedlem,0.524
13,pröfning,0.911,liderlig,0.744,ridderstapet,0.621,elektor,0.512,walman,0.474,församlingsmedlem,0.523,mcdlemmarne,0.531,barnbibliotek,0.52
14,framsteg,0.911,medfödd,0.744,fölgd,0.62,ulemas,0.509,valberättigad,0.473,storthingsmän,0.523,edamöter,0.525,blåbandister,0.519
15,bedragare,0.911,väcka,0.742,förhallande,0.62,academici,0.507,notabilitet,0.473,medlemmarno,0.52,lokalafdelning,0.525,goodtemplarloger,0.517
16,huruledes,0.91,sällsam,0.741,erkännande,0.62,arguelles,0.507,sälstapet,0.472,ledamö,0.52,frimurare,0.523,medlemmarue,0.516
17,ämbets,0.91,kunstaper,0.738,berömlig,0.618,invälja,0.506,senator,0.472,stadsråd,0.518,medlemmarno,0.52,arbetarekorporationer,0.515
18,hafwcr,0.91,beständ,0.737,åhörare,0.618,introducera,0.506,embelsmän,0.472,medlcmmarne,0.516,medlemma,0.518,medlemma,0.515
19,hedning,0.909,täflan,0.737,upmuntra,0.616,inflytelserik,0.505,sjelfskrifna,0.471,ledamöterne,0.515,akliva,0.517,förbundsmedlem,0.512
20,undanta,0.908,styrelse,0.736,slägte,0.616,ledamöterne,0.504,valman,0.471,ständerförsamlingen,0.512,modlem,0.517,akademici,0.512
21,wörda,0.908,enskild,0.736,oegennyttig,0.615,vexelvis,0.504,kommite,0.471,lekman,0.51,begrafningsfond,0.516,ordensbröder,0.512
22,hog,0.907,fölgd,0.735,andamäl,0.615,agardh,0.504,deputerad,0.47,activa,0.51,storthingsmän,0.515,röstegando,0.509
23,förmärka,0.906,bestånd,0.733,mägtiga,0.615,representant,0.502,valdistrikt,0.47,filharmonisk,0.507,skarpskytteförenings,0.514,medemmar,0.507
24,underhäll,0.905,winnande,0.733,fältherre,0.615,tillstädesvarande,0.501,bergparti,0.468,bricol,0.506,röstegando,0.513,diskussionsklubb,0.506
25,kallelse,0.905,förkofran,0.733,undersåtare,0.614,committé,0.501,prehn,0.467,nyengagerade,0.506,medemmar,0.509,yrkesförening,0.506
26,sem,0.905,stridig,0.732,wälgörande,0.614,manuel,0.501,nyutnämnd,0.466,stadssörsamlingens,0.504,orphei,0.508,sjukhjelpskassa,0.504
27,aria,0.905,sjelfständighet,0.732,folkflag,0.614,makternes,0.5,magistratsperson,0.466,studenteorpsens,0.504,arbetarekorporationer,0.507,iegir,0.503
28,ansedt,0.905,inbördes,0.731,förbund,0.613,valbar,0.5,committé,0.463,medlemniar,0.503,akademici,0.505,försäkringskassa,0.503
29,ssola,0.904,tjenande,0.73,täflan,0.613,convention,0.5,besutne,0.461,filialafdelningar,0.502,lokalförbund,0.505,apotekaresocieteten,0.503
30,känning,0.904,åhörare,0.73,christna,0.613,extraordinarie,0.499,orphei,0.461,lavergne,0.501,medlemmarue,0.504,begrafningsfond,0.502
31,nyfiken,0.903,stiftare,0.729,wälfärd,0.612,hofvets,0.498,dotation,0.46,embetsmån,0.501,sjukhjelpskassa,0.503,handelskåren,0.5
32,hämma,0.902,romare,0.728,tilgifwenhet,0.611,folkundervisning,0.498,coldinu,0.46,deputera,0.5,diskussionsklubb,0.502,akliva,0.498
33,wälmening,0.901,agtning,0.728,verksam,0.611,minoritet,0.496,sällffapet,0.46,förvaltningsråd,0.497,iegir,0.502,ledamöterne,0.498
34,innehall,0.901,förfarenhet,0.727,hugnad,0.611,tjenstemän,0.496,ulemas,0.46,preses,0.496,begrafningsfonds,0.498,modlem,0.497
35,vetta,0.901,värdig,0.726,upplyst,0.611,biträdande,0.495,classer,0.459,notabilitet,0.495,activa,0.498,godtemplar,0.496
36,gröfwa,0.901,förföljelse,0.726,tänkande,0.61,understödt,0.494,näringsidkande,0.459,mcdlemmarne,0.494,ntse,0.497,fartygsegare,0.495
37,lukt,0.901,bädc,0.726,christne,0.609,skolungdom,0.494,ledamöterne,0.459,rättigade,0.494,medlcmmarne,0.497,porsonor,0.494
38,frälsare,0.901,oumbärlig,0.725,tankesätt,0.608,grundläggare,0.493,litteratör,0.459,stiftsgård,0.494,godtemplar,0.496,inskrefvos,0.494
39,tillämpning,0.9,swenste,0.725,efterföljd,0.608,kraftyttring,0.493,skoldistrikt,0.457,utväljande,0.493,fartygsegare,0.496,bevistadt,0.494
40,upfylla,0.899,almant,0.724,nädigste,0.608,orgelnist,0.492,embetsmännen,0.457,coldinu,0.493,klubbsällskap,0.496,centralkomité,0.494
41,ss,0.899,redelige,0.724,ämbetsman,0.608,månge,0.491,organiseradt,0.457,sångkör,0.491,ledamöler,0.494,förtroenderåd,0.493
42,stackars,0.899,upmuntran,0.724,främja,0.607,fraktion,0.491,antogos,0.456,promovend,0.491,fysiografiska,0.493,arbetarekommun,0.493
43,blotta,0.899,warelser,0.723,undersäter,0.606,arrondissement,0.49,samtligen,0.456,statsråds,0.491,läseförening,0.491,årsledamöter,0.491
44,rädas,0.899,regeringssätt,0.723,utbredande,0.605,ridderffapet,0.489,komitén,0.455,osficerare,0.491,damöter,0.49,kongressmedlem,0.491
45,giordt,0.899,afböja,0.722,klädnad,0.605,nedsättande,0.488,syftemäl,0.453,starpstyttekär,0.491,brödralag,0.489,korporalskaper,0.491
46,försigtighet,0.898,undersätares,0.721,stridsman,0.605,aristokratisk,0.488,arresteringsorder,0.453,statsråder,0.49,medlemmer,0.487,medlemmar,0.489
47,parlament,0.898,dcras,0.72,medbroder,0.605,dufaure,0.488,fredsvän,0.453,dignitär,0.489,starpstyttekär,0.486,godtemplarloge,0.489
48,lyckeliga,0.898,rörer,0.72,bidrag,0.605,funktionär,0.487,pärs,0.451,kyrkonämnd,0.489,godtemplarloge,0.485,arrondissementer,0.488
49,föl,0.898,befordran,0.72,redeliga,0.604,integrera,0.486,statsrädets,0.451,beställningspersoner,0.489,litse,0.485,kretsföreståndare,0.488
50,medföra,0.898,urgammal,0.72,academie,0.604,göthiska,0.486,konfederation,0.45,sälstapet,0.489,apotekaresocieteten,0.484,lokalstyrelse,0.487
51,gif,0.898,utöfning,0.719,utskott,0.603,christianismo,0.486,repre,0.45,borgerstap,0.489,bevistadt,0.484,medlemmer,0.487
52,oförrätt,0.897,olyckelige,0.719,undersåte,0.603,reformvän,0.485,klassval,0.45,studenteorpsen,0.488,bricol,0.483,ständerförsamlingen,0.487
53,wt,0.897,ädagalagt,0.719,beskyddare,0.602,mälla,0.485,badiska,0.449,skytteförening,0.488,stadssörsamlingens,0.483,missionsarbetare,0.486
54,embete,0.897,nödwändige,0.718,swenste,0.602,criticus,0.485,skattevägran,0.449,judista,0.488,emmar,0.482,klubbsällskap,0.486
