,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
59,publ,0.851,teknik,0.63,konsulater,0.45,arkeologisk,0.429,arkivforskning,0.435
60,löpning,0.851,decanus,0.63,kolerasjukhus,0.449,årsskrift,0.428,museum,0.435
61,hvarutur,0.851,predikosätt,0.63,förslagsritning,0.449,numismatisk,0.428,medaljsamling,0.435
62,densamme,0.851,mundt,0.63,outgifna,0.449,provinskontor,0.428,bokföringsbok,0.435
63,nummerföljd,0.851,ntmärktaste,0.63,universitetsbibliotek,0.448,medaljsamling,0.427,gravyrsamling,0.433
64,ordförandeskap,0.85,lejonhufvud,0.629,härv,0.448,afbandlingar,0.427,exequatur,0.433
65,misshaglig,0.85,utar,0.629,antiqvitet,0.448,lexicon,0.427,friande,0.433
66,silfverstolpe,0.85,veide,0.629,arkeologi,0.447,encyklopedi,0.426,lagsamling,0.433
67,nami,0.85,lénström,0.629,polisärender,0.447,riksmuseum,0.426,afbandlingar,0.432
68,upplager,0.85,bibelställe,0.629,ofvanskrifna,0.447,kretsdomare,0.426,riksbibliotek,0.432
69,utlotta,0.85,sjöväsendet,0.629,fattigvårdsstyrelsen,0.447,pastorsembetets,0.426,krigshistorisk,0.432
70,bestämmelseort,0.849,promotor,0.628,wälia,0.447,mnseum,0.425,smithsonian,0.431
71,salvandy,0.849,svartz,0.628,afbandlingar,0.446,protocoller,0.425,restaureringsarbete,0.431
72,slägtskap,0.849,mineralogisk,0.628,embetsförvaltning,0.446,naturalhistorisk,0.425,1585,0.431
73,237,0.849,hildebrand,0.627,militärkommission,0.446,reseberättelse,0.425,arkivstudie,0.431
74,statens,0.849,lithograf,0.627,bevillningsafgifter,0.446,exegetik,0.425,konstafdelning,0.431
75,capitaler,0.849,koinme,0.627,majestätsförbrytelse,0.446,karlin,0.424,judiciela,0.43
76,neinl,0.849,holmbergsta,0.627,dyrbarhet,0.445,konsi,0.424,ministerialbok,0.43
77,värdshusvärd,0.849,lindebergs,0.627,aktielista,0.445,kameral,0.423,updrag,0.43
78,slitning,0.849,jjj,0.627,öfverintendentsembetet,0.445,gravyrsamling,0.423,urkund,0.43
79,5e,0.849,technologiska,0.626,gödselspillning,0.444,växtfysiologisk,0.423,ornässtugan,0.429
80,daaen,0.849,thurgren,0.626,drätselnämdens,0.444,adelskalender,0.423,mnseum,0.429
81,abel,0.849,derj,0.626,glatz,0.444,handskrifven,0.422,växtfysiologisk,0.428
82,ionen,0.849,naturvetenskaplig,0.626,hosföljande,0.444,rättegångshandling,0.422,rättegångshandling,0.428
83,underläten,0.848,bottiger,0.625,konstföremål,0.444,codex,0.422,kretsdomare,0.428
84,arbetsdag,0.848,kode,0.625,riksmusei,0.444,konstafdelning,0.422,hopbragta,0.428
