,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
76,såning,0.778,hulvudet,0.671,skjortärmarne,0.569,snappa,0.511,nådebröd,0.491
77,redikyl,0.778,bakifrän,0.67,inslumrat,0.569,muntergök,0.511,småprat,0.49
78,korpulent,0.778,dingla,0.67,fårskock,0.569,louisdor,0.511,dänga,0.49
79,arbetssätt,0.778,ljudlig,0.67,honoui,0.569,hufvudel,0.511,rikeman,0.49
80,nyssnämda,0.778,qwidande,0.67,snuskig,0.569,femtioöring,0.511,soldi,0.489
81,exekutor,0.777,bildskön,0.669,klippkant,0.569,lyktgubbe,0.511,styfvern,0.489
82,kännås,0.777,hviskningar,0.669,ormarne,0.569,sinkadus,0.511,funderare,0.489
83,betrak,0.777,ljufhet,0.669,fältflaska,0.568,fiugrarne,0.511,tosing,0.489
84,biörn,0.777,skälmaktig,0.669,svullna,0.568,trolldryck,0.51,påstruken,0.488
85,kertare,0.777,odugling,0.669,skarpslipad,0.568,skedblad,0.51,starpladdad,0.487
86,förhål,0.777,allihop,0.669,krama,0.568,näfve,0.51,tioöring,0.487
87,presien,0.777,swinen,0.669,hveno,0.568,pipsnugga,0.51,dufning,0.487
88,monopol,0.777,hufvudct,0.668,huggorm,0.568,skrifbordslåda,0.51,penninggåfva,0.487
89,bärare,0.777,plågoande,0.668,vitten,0.568,tiggarunge,0.51,skrifbordslåda,0.487
90,hatva,0.777,tarar,0.668,näsborr,0.568,luktsalt,0.51,tenntallrik,0.487
91,boklådspris,0.777,bakut,0.668,mumlande,0.568,gärdesgårdsstör,0.509,påbredda,0.486
92,gorde,0.776,korstecken,0.668,bajonettstyng,0.568,mumsa,0.508,raymonde,0.485
93,libell,0.776,tröstegrund,0.667,hväste,0.567,flrämor,0.508,köttben,0.485
94,oväsende,0.776,glänta,0.667,blodström,0.567,trådsliten,0.508,pladask,0.485
95,spån,0.776,jemrade,0.667,feria,0.566,fullstoppa,0.508,uudan,0.485
96,lidningarne,0.776,tass,0.667,metspö,0.566,styfvern,0.508,bodein,0.485
97,åsa,0.776,genomkorsa,0.667,afsköt,0.566,spilde,0.508,nedsvälja,0.485
98,köpslut,0.776,retsam,0.667,dorthe,0.566,munsbit,0.508,skomakarn,0.485
99,assurera,0.775,priorinna,0.667,bakficka,0.565,handfull,0.507,sparda,0.484
