,sv_1740,sv_1740_d,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,wär,0.542,annorstädes,0.626,kandet,0.589,lander,0.524,landel,0.57,sjelfbestånd,0.557,laud,0.605,laudet,0.622,laud,0.551
1,ther,0.54,kandet,0.599,bergslagen,0.551,landel,0.524,iand,0.51,verldsdel,0.542,handelsområde,0.571,iand,0.616,lifsintresse,0.546
2,föra,0.522,landsort,0.589,afständ,0.532,häromkring,0.494,magters,0.505,landel,0.54,iand,0.566,laud,0.597,utvecklingsskede,0.544
3,est,0.506,hit,0.581,landa,0.524,kandet,0.48,landsflyktig,0.504,magters,0.54,lando,0.549,näjder,0.584,iand,0.534
4,stad,0.502,herrstap,0.574,landsorterne,0.515,tillbjuda,0.468,amerikan,0.501,samhällsförhållande,0.536,verldsdelen,0.546,grannland,0.569,iänder,0.532
5,dag,0.498,landt,0.569,station,0.507,dåde,0.468,luftstreck,0.501,interess,0.535,grannrike,0.545,brödraland,0.567,partisöndring,0.532
6,sitta,0.477,jnwänare,0.568,främling,0.506,koloni,0.46,politi,0.495,verldshandeln,0.535,varubyte,0.541,naboland,0.557,tullförhållanden,0.531
7,mi,0.474,inspector,0.568,innewänare,0.504,skane,0.46,brödrafolk,0.488,verldsmarknaden,0.533,affärslif,0.538,landel,0.546,verldsdelen,0.528
8,ära,0.474,hushållning,0.566,herrstap,0.501,station,0.458,landels,0.487,fabriksindustri,0.532,8verige,0.538,verldsdelen,0.546,sveiige,0.526
9,resa,0.452,nes,0.558,kust,0.5,innchälla,0.456,sympati,0.486,hufvudstäder,0.53,ståder,0.535,framtidsland,0.545,munkväsende,0.523
10,i,0.451,handlande,0.552,skane,0.498,amerikan,0.455,handelsplats,0.485,enväldig,0.529,sverigo,0.534,grannrike,0.544,vesterlandet,0.522
11,sätta,0.449,tjänt,0.55,herrffap,0.498,ingendera,0.454,inblandning,0.484,kommerciella,0.528,noriges,0.533,landsända,0.535,grannland,0.52
12,up,0.446,finland,0.549,landsort,0.497,provincerne,0.451,förvirring,0.483,sedvana,0.527,landel,0.529,iänder,0.53,statsenhet,0.52
