,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
60,twäng,0.857,olyckelige,0.674,sörena,0.6,upfylt,0.507,lula,0.439,missakta,0.455,himmelsvid,0.432,stiljer,0.433
61,hwiiken,0.857,kärna,0.674,dundra,0.599,reguljera,0.507,medgåfvo,0.439,stiljt,0.454,lörde,0.432,gitvas,0.432
62,upfylla,0.857,inwänarne,0.674,betagen,0.599,afvisa,0.507,betinna,0.439,efterlikna,0.454,bortleda,0.431,framtidsbana,0.431
63,warse,0.857,anwänd,0.673,dekutom,0.599,tätta,0.506,målte,0.439,aflägsuat,0.454,aase,0.431,byssa,0.431
64,ordres,0.856,twungne,0.673,tilräckeligen,0.599,vinka,0.506,skiljt,0.438,obetvinglig,0.453,uttråka,0.43,handelsutbyte,0.431
65,flott,0.856,twingas,0.673,försik,0.598,rekrytera,0.506,sympatisera,0.438,hängaf,0.453,borttränga,0.43,undandrogo,0.431
66,barndom,0.856,förswinna,0.672,gest,0.598,skandal,0.506,giek,0.438,jacomo,0.453,liigga,0.43,stötestenarne,0.431
67,skönhet,0.855,wika,0.672,wandra,0.598,inhemtar,0.506,förlika,0.438,landsförvisa,0.453,undandragande,0.43,dettu,0.431
68,anständighet,0.855,sysselsatt,0.672,abbe,0.598,rättstillstånd,0.506,skiljdes,0.438,utpreglade,0.453,utvakad,0.43,sabbats,0.43
69,änteligen,0.855,undergä,0.672,käla,0.597,upprigtigt,0.506,nordamerikan,0.437,jernvägsspåren,0.452,troddo,0.429,blomsteräng,0.43
70,förmärka,0.855,inläta,0.672,förkorta,0.597,retrograd,0.505,sammanknyta,0.437,betraktadt,0.452,bannlysta,0.429,sagotid,0.43
71,pröfning,0.855,tämmelig,0.672,ckt,0.597,oegennytta,0.505,afstå,0.436,komrno,0.452,folkröst,0.429,hopsmida,0.43
72,hota,0.855,blodsutgjutelse,0.672,boch,0.597,eftergifvenhet,0.505,fliljas,0.436,bannlysta,0.452,missakta,0.429,återfunno,0.43
73,utropa,0.854,konungarike,0.671,leri,0.597,tillstädja,0.505,glupsk,0.435,nttalat,0.452,återfunno,0.429,isboja,0.43
74,täger,0.854,siter,0.671,twännc,0.597,möllerhjelm,0.505,borrta,0.434,hvarlör,0.451,lifsyttringar,0.429,nedergöra,0.43
75,wise,0.854,rolighet,0.671,engelffe,0.597,beträdt,0.504,separera,0.433,förwexlas,0.451,misstogo,0.429,missakta,0.429
76,förfölja,0.854,kemnade,0.67,framfart,0.596,uplifwa,0.504,stiljde,0.433,aswiker,0.451,dåsa,0.429,naddö,0.429
77,stackars,0.853,landel,0.67,härstamma,0.596,tygla,0.504,förblifvit,0.433,förlika,0.451,sabbats,0.428,sablinville,0.429
78,ljuflig,0.853,gymnasium,0.669,misibruk,0.596,individualitet,0.504,assigten,0.432,aswika,0.451,öfvertygelseu,0.428,bängifva,0.429
79,lukt,0.853,wanmagt,0.669,upsigt,0.596,intelligens,0.504,undandraga,0.432,förlossa,0.451,frigjord,0.428,samteligen,0.429
80,fördärf,0.853,piecer,0.669,utgätt,0.596,stafva,0.504,underlägsenhet,0.432,bildningslinierna,0.451,vidgöra,0.427,förskrefvo,0.429
81,föredra,0.853,samtida,0.669,armera,0.595,visdom,0.504,utspana,0.432,skafva,0.45,krångla,0.426,efterlefva,0.429
82,pästä,0.853,irländsk,0.669,farm,0.595,upstiga,0.503,barnaår,0.431,afskrämma,0.45,afsig,0.426,iefde,0.428
83,höflighet,0.852,krigsstepp,0.668,kila,0.595,urskilja,0.503,dväljas,0.431,skilje,0.45,åtskilja,0.426,skilje,0.428
84,latt,0.852,transportera,0.668,huf,0.595,omnämt,0.503,förevita,0.431,jemnföra,0.45,återsågo,0.426,marguérites,0.427
85,namne,0.851,öpnande,0.668,lidelse,0.595,erk,0.503,förlossa,0.431,iänder,0.45,regeringsmedlemmarne,0.425,duplessis,0.427
86,sinna,0.851,twingar,0.668,direkte,0.594,såvidt,0.503,nalur,0.431,lifsåskådning,0.45,förtycka,0.425,förljent,0.427
87,anmodan,0.851,hastighet,0.668,utwidgande,0.594,invigd,0.503,vidkänna,0.431,afhöllo,0.45,finnor,0.425,lösslita,0.427
88,operation,0.851,plägsed,0.668,lzngt,0.594,försonlig,0.502,fårhållande,0.431,afvänja,0.45,järnvägslinierna,0.424,folkröst,0.426
89,wänga,0.85,qwarnar,0.668,dehutom,0.593,flika,0.502,oskiljaktig,0.43,afskudda,0.449,blagit,0.424,sedlighetsbegrepp,0.426
90,wall,0.85,förunderlig,0.667,wasen,0.593,hellen,0.502,framtvinga,0.43,råkado,0.449,eliminera,0.424,fånäs,0.426
91,nyfiken,0.85,kullkasta,0.667,kade,0.593,ötver,0.502,utgingo,0.43,bemtade,0.449,ytra,0.424,fjäska,0.425
92,parlament,0.85,aska,0.667,ljum,0.593,domsrätt,0.502,civ,0.43,spinoza,0.449,förfäktande,0.424,mabyn,0.425
93,tält,0.85,afta,0.667,werkct,0.593,constitutionel,0.502,retrograd,0.43,ytra,0.449,förtviflar,0.424,abstrahera,0.425
94,nom,0.849,förföljelse,0.667,demonstration,0.592,byråkrati,0.501,frikalla,0.43,växling,0.449,hjärteblod,0.423,båkön,0.425
95,förbehålla,0.849,rensa,0.667,äm,0.592,alltmera,0.501,inelfvor,0.43,bedrogo,0.448,befästar,0.423,winny,0.424
96,ffola,0.849,klokhet,0.666,belasta,0.592,sägandes,0.501,trifves,0.429,befästar,0.448,låtorn,0.422,eliminera,0.424
97,landtman,0.849,härdhet,0.666,undankomma,0.592,ditåt,0.501,maktegande,0.429,behötver,0.448,förege,0.422,rentvå,0.424
98,fåken,0.849,ifrig,0.666,ceylon,0.592,häktning,0.501,nedergöra,0.429,fiana,0.448,sammanjämka,0.422,fästband,0.424
99,ädelmod,0.849,redeliga,0.666,corunna,0.592,hufvudstadcn,0.5,frisäga,0.429,sydslesvig,0.447,räsonnera,0.422,motif,0.424
