,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,toulonsta,0.864,toulonsta,0.798,fransoscrne,0.757,sjelfafläggande,0.619,beställnings,0.514,beställnings,0.591
1,bosnien,0.858,massena,0.797,evakuera,0.754,stördemastiner,0.532,reseförsäkring,0.502,reseförsäkring,0.534
2,förmala,0.851,amerikanerne,0.793,toulonsta,0.752,skördemaskin,0.52,afkylare,0.488,sidohjul,0.514
3,sadix,0.85,redschid,0.791,buonapartes,0.739,buckeyes,0.52,deerings,0.481,afkylare,0.498
4,portugisista,0.849,howe,0.788,schachen,0.738,träffsäkerhet,0.518,rundresebiljett,0.461,ytkondensor,0.489
5,howe,0.849,kryssare,0.788,rodney,0.737,buckeye,0.516,ramsågverk,0.454,rundresebiljett,0.489
6,dover,0.838,fransoftrne,0.785,constantineh,0.736,bakladdning,0.512,ytkondensor,0.454,propellerbåt,0.487
7,cadiz,0.834,depeche,0.785,kabinetterna,0.735,woods,0.511,vibrator,0.451,passagerarevagnar,0.485
8,estader,0.832,reschid,0.784,sadix,0.733,anstälts,0.507,dragkraft,0.45,deerings,0.481
9,depeche,0.832,valdez,0.783,fiendteliga,0.733,slätborra,0.506,buckeyes,0.449,personvagn,0.479
10,linois,0.831,jnsurgenterne,0.782,ärhällit,0.732,skärgårdsfartyg,0.504,förvärmare,0.444,körvandring,0.475
11,ferrol,0.827,buonapartes,0.781,fransoftrne,0.729,kruppska,0.495,bogievagnar,0.443,jernångfartyg,0.474
12,rodney,0.824,sadix,0.78,herzegowina,0.729,fältkanon,0.495,propellerbåt,0.442,manöverfärdighet,0.472
13,wapenhwilan,0.822,linois,0.777,anconas,0.726,slåttermaskin,0.493,körvandring,0.441,kondenseringsmaskin,0.47
14,eskader,0.821,armse,0.776,linois,0.725,forcering,0.492,handkraft,0.439,hästhackor,0.47
15,utrustning,0.821,preussiste,0.776,jnsurgenterne,0.725,repetergevär,0.486,waldenburgs,0.439,smörkerna,0.469
16,calcutta,0.819,constantineh,0.775,massena,0.724,cavallen,0.485,smörkerna,0.438,skidåkning,0.469
17,handelsfartyg,0.818,patra,0.775,trouppar,0.723,lästet,0.485,hästhackor,0.436,kondensator,0.469
18,caraccas,0.818,hospodar,0.774,trupprörelse,0.72,sjöstyrka,0.485,semafor,0.434,vagnsklass,0.468
19,buonapartes,0.817,salonichi,0.772,sanz,0.72,försvarslinie,0.483,passagerarevagnar,0.434,bogievagnar,0.468
20,corfu,0.816,anconas,0.772,cabinettet,0.719,armering,0.479,luftring,0.433,ankarspel,0.466
21,flottilj,0.815,capudan,0.771,memorandum,0.719,dobrutscha,0.479,sädessorterare,0.433,stadsbana,0.466
22,ayres,0.815,krigsrustning,0.771,cordon,0.718,podgorizza,0.477,konståkning,0.431,sädessorterare,0.465
23,miranda,0.814,whitworth,0.769,armse,0.718,rvssarne,0.476,sjelfspolande,0.431,woolfska,0.465
24,whitworth,0.813,herat,0.769,upkommit,0.718,torpedos,0.475,ringvält,0.43,ångvinchar,0.464
25,afseglat,0.813,evakuera,0.769,tillbakaslå,0.717,matschin,0.474,elektromotor,0.43,tivet,0.463
26,blake,0.812,fransoscrne,0.769,tidningspapper,0.717,fälttelegraf,0.474,oxsele,0.429,bervie,0.462
27,strifwes,0.811,blake,0.768,oribe,0.716,tillbakaslå,0.474,gödselspridare,0.428,ringapparater,0.461
28,armöe,0.811,mediation,0.767,turkiste,0.716,arméeorpser,0.473,slåtteroch,0.428,sjöångmaskin,0.46
29,cornwallis,0.81,rodney,0.767,grenada,0.714,mexicanarne,0.472,palmkrantz,0.428,slåtteroch,0.46
30,krigsrustning,0.81,ferrol,0.767,utlöpande,0.713,centralasien,0.471,sidohjul,0.427,lavalls,0.46
31,adriatisk,0.81,undertecknande,0.767,upror,0.712,införlifvandet,0.47,personvagn,0.427,vibrator,0.46
32,preussiste,0.808,kapudan,0.766,patra,0.712,hagerstown,0.47,lavalls,0.427,lastdryg,0.46
33,cordon,0.808,fredsunderhandling,0.766,udine,0.712,torpedobåtar,0.47,sveatypen,0.427,maflineri,0.46
34,action,0.808,sartorius,0.765,mediation,0.712,capudan,0.47,woolfs,0.426,klöfvernötare,0.459
