,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
86,grunda,0.747,finhet,0.669,polera,0.522,genomlöpa,0.44,bjert,0.428,genlila,0.445,svettlapp,0.432,hufvudslag,0.424
87,bäve,0.747,sammansättning,0.669,anwändes,0.521,perspektiv,0.44,monster,0.428,omfärga,0.445,groflekar,0.431,facer,0.424
88,wärkan,0.747,maner,0.669,uppodling,0.521,materie,0.44,mellanting,0.428,färgblind,0.445,tlera,0.431,jemtörelse,0.424
89,giorde,0.747,stränghet,0.669,enkelhet,0.521,åtskilnad,0.44,piké,0.428,arktal,0.445,clieviot,0.431,konstbroderi,0.423
90,andre,0.746,prat,0.669,harmoni,0.521,kraus,0.44,medborgareklasser,0.428,aspassad,0.444,fossilier,0.431,nitroglycerinhaltiga,0.423
91,innehäll,0.746,tryckfel,0.668,granlaga,0.521,beståndsdel,0.44,särskilta,0.428,färgkopp,0.444,corpsernas,0.43,sammanstälda,0.423
92,sultan,0.746,olaglig,0.667,gudomlighet,0.521,aibete,0.44,hänförlig,0.428,stufwar,0.444,brännande,0.43,djurskinn,0.423
93,hwarigenom,0.746,förfarenhet,0.667,planta,0.52,tionen,0.44,kulördt,0.428,kväfve,0.444,hufvudslag,0.43,serskildte,0.423
94,talan,0.746,grundsats,0.667,foglar,0.52,blanquetter,0.44,ilera,0.427,hesileholm,0.444,djurskinn,0.43,mångtusende,0.422
95,spel,0.746,tydeligen,0.667,bränwinet,0.52,maxim,0.439,vigtigastc,0.427,sammanstälda,0.444,foderartiklar,0.43,brnkliga,0.422
96,tanke,0.745,lättsinnig,0.666,motarbeta,0.519,tids,0.439,samhällsinrättning,0.427,fördelame,0.444,sördelning,0.429,medkammarens,0.422
97,myndig,0.745,loflig,0.666,förbrukning,0.519,öfverhandtagande,0.439,fårdigsydda,0.427,köttparti,0.444,arbetsinkomst,0.429,mejeriundervisning,0.422
98,obillig,0.744,folkrätt,0.666,skaldekonst,0.519,theo,0.439,genomskärning,0.427,gosshattar,0.444,mognadstid,0.429,konståkning,0.422
99,hota,0.744,wänt,0.666,kj,0.519,dimension,0.439,inest,0.427,algieriska,0.444,stilren,0.429,afsila,0.421
