,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,affattadt,0.816,tvistefråga,0.745,luxemburgsk,0.631,ifrågavarande,0.525,svårlöst,0.519
1,aibete,0.814,fiåga,0.734,tvistepunkt,0.61,svårlöst,0.523,högvigtig,0.51
2,dagbladets,0.802,generell,0.734,dansktysk,0.606,gatuunderhåll,0.505,qvitta,0.507
3,jernhandteringen,0.799,punktvis,0.728,irågan,0.599,högvigtig,0.505,välfärdskomitén,0.504
4,hemmansklyfning,0.799,omnämt,0.726,trågan,0.592,välfärdskomitén,0.5,prested,0.501
5,läsbar,0.798,rågan,0.724,hufvudpunkt,0.587,villkorlig,0.5,gäldo,0.495
6,läsvärd,0.797,hufvudgrunder,0.724,skattefråga,0.586,qvitta,0.497,tvehågsen,0.494
7,geologisk,0.796,indragningsmakt,0.72,tvisteämne,0.585,vigtig,0.496,omskrifna,0.491
8,åklaga,0.795,rättmätighet,0.718,iråga,0.585,gränsförhållande,0.494,oomtvistad,0.488
9,fiåga,0.795,svepskäl,0.717,svårlöst,0.582,omskrifna,0.494,gränsförhållande,0.488
10,minnesvärd,0.795,prohibition,0.716,författningsfråga,0.58,gäldo,0.493,dagande,0.488
11,förvrida,0.792,livilande,0.713,skjutsningsbesvär,0.579,prested,0.487,omstridd,0.484
12,anspråksfull,0.792,kategorisk,0.711,genomdref,0.577,tvehågsen,0.486,dorvid,0.484
13,draf,0.792,vilkorliga,0.711,lrågan,0.576,viktig,0.486,bessarabiens,0.484
14,skonsam,0.791,rättsenlig,0.71,septennatet,0.575,iråga,0.486,invändts,0.483
15,misshaglig,0.791,förfis,0.71,hurnvida,0.573,lennstrandska,0.485,appellationsrätten,0.482
16,resultaterne,0.791,föreligga,0.709,kongressförslag,0.569,häradsborna,0.485,omtvistadt,0.482
17,sedelmynt,0.789,skatteförenkling,0.708,regeringsförslag,0.568,dagande,0.485,tvistig,0.482
18,öfverlägsenhet,0.789,aflöningssätt,0.707,bessarabiska,0.566,bessarabiens,0.482,iråga,0.482
19,cassan,0.788,tvisteämne,0.706,trafikförmåga,0.565,själfdeklaration,0.482,stamholländeristyrelsen,0.482
20,ått,0.788,principfråga,0.705,handelspolitisk,0.564,sjettedelsjord,0.482,lennstrandska,0.482
21,utförlighet,0.787,försvarsväsen,0.704,jernvägsbyggnaderna,0.563,omstridd,0.482,kandidatfråga,0.482
22,vallag,0.787,eftertänklig,0.701,definitif,0.563,helgeandsholmsfrågan,0.481,gatuunderhåll,0.481
23,nyssnämda,0.785,landsthinget,0.701,ståthållarefrågan,0.562,bletve,0.48,sjettedelsjord,0.48
24,relevera,0.785,toide,0.7,armélag,0.561,kandidatfråga,0.479,latinfrågan,0.48
25,viktig,0.785,skyddsafgift,0.699,territoriel,0.561,invändts,0.479,måhånda,0.478
26,träsnitt,0.785,hufvudgrunderna,0.699,högvigtig,0.559,oomtvistad,0.479,östrumeliska,0.476
27,korrigera,0.784,enskildhet,0.698,autonom,0.559,tvisteämne,0.478,helgeandsholmsfrågan,0.475
28,löjlighet,0.784,styrelseverk,0.697,stipulation,0.559,appellationsrätten,0.478,afseenda,0.475
29,problemer,0.783,ståndsrepresentation,0.697,tvistefråga,0.558,skogsfråga,0.477,mötesprogram,0.475
30,ovigtig,0.783,ifråga,0.697,förbundsförfattning,0.558,kyrkohemman,0.477,obestridd,0.474
31,hsns,0.783,oafsedt,0.696,gheter,0.556,dorvid,0.477,strömsborgs,0.474
32,ovett,0.783,jernvägsfrågan,0.696,maktförlängning,0.556,obestridd,0.474,väsendlliga,0.474
33,omnämt,0.783,högvigtig,0.695,bessarabiens,0.555,valmanöver,0.474,jemnförelsen,0.474
34,auctors,0.781,lagbestämmelse,0.695,finansfråga,0.555,tvistig,0.474,beskattningsfråga,0.473
35,tidehvarfvets,0.78,genomdrifvas,0.695,helstatsförfattning,0.555,oftanämda,0.474,politie,0.473
36,hegel,0.78,nalur,0.695,fiågan,0.555,äktenskapslagstiftning,0.473,bankruttförklaring,0.473
37,snöplig,0.78,exceptionell,0.694,detaljfråga,0.555,mötesprogram,0.472,havaji,0.473
38,kommentera,0.779,skatteväsende,0.694,angelägenheterne,0.554,måhånda,0.472,vigligt,0.472
39,förtjenade,0.779,grundlagsändring,0.694,gränsområde,0.554,beskattningsfråga,0.471,gäide,0.472
40,böjlighet,0.779,hufvudtitlar,0.694,lotsfrågan,0.553,strömsborgs,0.471,augår,0.472
41,åsyftning,0.779,myntenhet,0.694,grundlagsbestämmelse,0.553,latinfrågan,0.471,bankfråga,0.471
42,slutledning,0.779,åsigtcr,0.693,spanmålslagarne,0.553,åledes,0.47,sprungliga,0.471
43,häktning,0.779,overkställbar,0.692,arfsföljden,0.552,bankruttförklaring,0.47,hufvudfrågan,0.47
44,obestämdhet,0.779,valsätt,0.692,hufvudfrågan,0.551,qvittade,0.47,hvarderas,0.47
45,hatva,0.778,lösande,0.692,pragfredens,0.551,sammanjemkningsförslaget,0.47,omtwistade,0.47
46,liek,0.777,nyssnämda,0.691,frågau,0.551,representantval,0.47,lotsfrågan,0.47
47,anförvandt,0.777,syslem,0.691,sundska,0.551,väsendlliga,0.469,industritullarna,0.469
48,återbringa,0.777,såsotn,0.691,sammankoppling,0.551,omtwistade,0.469,marais,0.469
49,sjukvård,0.777,förlikningsförslag,0.691,irågor,0.55,gäide,0.469,tvisteämne,0.469
50,bedröfvelse,0.777,vidkommande,0.691,motstridig,0.55,bankfråga,0.469,häradsborna,0.469
51,likformig,0.777,lagstiftningsåtgärd,0.691,sårbar,0.55,stamholländeristyrelsen,0.469,valmanöver,0.469
52,vansklig,0.776,konklusion,0.691,friköpande,0.549,östrumeliska,0.469,aatt,0.469
53,beswarande,0.776,bränvinsbränningens,0.69,rågan,0.549,centralasiatisk,0.468,sammanjemkningsförslaget,0.468
54,inrita,0.776,fueros,0.69,kyrkofråga,0.548,politie,0.468,karnes,0.468
55,anatomisk,0.776,myntsystem,0.69,waddingtons,0.548,vigtigasle,0.467,representantval,0.468
56,profetisk,0.776,yrkadt,0.689,territorial,0.548,otillämplig,0.467,aktoratet,0.468
57,härledt,0.776,argumentation,0.689,meningsfliljaktighet,0.548,hufvudfrågan,0.467,äktenskapslagstiftning,0.468
58,eos,0.776,gradation,0.689,afghansk,0.548,afseenda,0.466,begrepe,0.468
59,grundprincip,0.776,rättsvidrig,0.689,konstituering,0.548,sprungliga,0.466,kyrkohemman,0.467
60,åskådande,0.776,förtyda,0.689,rörando,0.548,havaji,0.466,samhällsvigtiga,0.467
61,bokstaflig,0.775,undanskjuta,0.689,anknytning,0.547,upphäfvet,0.466,otillämplig,0.467
62,kommentarier,0.775,stabilitet,0.689,uppskofvet,0.547,myntfrågan,0.465,spanmålslagarne,0.467
63,qvarstår,0.775,straffsystem,0.689,krigförandes,0.547,industritullarna,0.465,vigtigasle,0.467
64,insågo,0.774,auctors,0.689,spccielt,0.547,vigligt,0.465,rättsgiltig,0.467
65,prejudikat,0.774,åsämjas,0.689,försvarsorganisation,0.546,oförhindradt,0.465,labori,0.467
66,statsekonomisk,0.774,afvita,0.688,fiåga,0.546,samstämma,0.463,sjelfklar,0.467
67,ådagaläggande,0.774,utskottsbetänkande,0.688,slesvigska,0.546,formfråga,0.463,tillbörlighet,0.467
68,betraktare,0.773,representationsform,0.688,författningslagarne,0.545,omordnande,0.463,oqvald,0.466
69,beskrifven,0.773,tvetydighet,0.688,pragfreden,0.545,öfverhopadt,0.462,omordnande,0.466
70,premiss,0.773,fåvitsk,0.687,värdeförhållande,0.545,hviiande,0.462,formfråga,0.466
71,författningssamling,0.773,livilar,0.686,enande,0.545,hvarderas,0.462,irågan,0.466
72,kraus,0.773,montenegrinsk,0.686,representantval,0.545,pragfredens,0.462,lordrar,0.466
73,reglorna,0.773,iråga,0.686,skriftvexlingen,0.545,karnes,0.462,leande,0.465
74,indignation,0.773,statsekonomisk,0.685,lånefråga,0.545,stridsäpple,0.462,förtullningshänseende,0.465
75,minnesfest,0.772,fiågan,0.684,realunion,0.545,algifvit,0.461,oftanämda,0.465
76,korrthet,0.772,motiveradt,0.684,nordslesvigska,0.545,bränvinsfrågan,0.461,oförhindradt,0.465
77,bränvinets,0.772,förvända,0.683,ministerskifte,0.544,monopolium,0.461,bemstälde,0.465
78,erinring,0.772,rubricera,0.683,eftersträfvas,0.544,anså,0.461,alternativerna,0.465
79,höfves,0.772,lagstadgande,0.683,hetor,0.544,förtullningshänseende,0.461,syslem,0.464
80,saklös,0.772,konsequent,0.682,niévre,0.544,utskifta,0.461,skogsfråga,0.464
81,frånkänna,0.772,gyckelspel,0.682,längro,0.544,merutschak,0.461,gynsainma,0.464
82,visadt,0.772,grundlagsförslag,0.682,revisionsfråga,0.544,spanmålslagarne,0.46,merutschak,0.464
83,falskhet,0.771,samfälld,0.682,frainstälda,0.544,aatt,0.46,definitif,0.464
84,professo,0.771,ofvannämda,0.682,stefanofördraget,0.543,efterlefdes,0.46,organisativa,0.464
85,toide,0.771,qvantitativ,0.681,nando,0.543,definitif,0.46,spritfrågan,0.464
86,forskare,0.771,bibehålies,0.681,nnvarande,0.543,irågan,0.46,inhålla,0.464
87,upfylt,0.771,civillag,0.68,åtalande,0.543,omdebatterad,0.46,löst,0.464
88,utgjutelse,0.771,erkännt,0.68,lastemottagaren,0.542,sjelfklar,0.46,gränsregleringsfrågan,0.463
89,tillrättavisning,0.771,enår,0.679,bolgrad,0.542,syslem,0.46,målot,0.463
90,lafva,0.77,voie,0.679,reducering,0.541,lotsfrågan,0.459,mvckel,0.463
91,bravorop,0.77,jäfvig,0.678,ofverhuset,0.541,fiågan,0.459,tråga,0.463
92,plato,0.77,ovigtig,0.678,motförslag,0.541,försvarsoch,0.459,stridsäpple,0.463
93,ordnande,0.77,omisskänneligen,0.678,alternativerna,0.541,livinia,0.459,hvitfeldtska,0.463
94,uppsåtlig,0.77,prolongation,0.678,matrikularbidragen,0.541,grundlagsbestämmelse,0.458,öfverhopadt,0.462
95,bortskymma,0.77,resultaterne,0.678,stridsfråga,0.54,begrepe,0.458,samstämma,0.462
96,konklusion,0.77,slutledning,0.677,wienska,0.54,kurhessiska,0.458,mejerinäring,0.462
97,allehandas,0.77,klassifikation,0.677,tillbakavisande,0.54,upphåfvande,0.458,qvittade,0.462
98,sakrik,0.77,statens,0.677,jernvägsfrågan,0.539,aktieköp,0.458,invecklad,0.462
99,angingo,0.769,evident,0.677,herrehus,0.539,spritfrågan,0.458,högviktig,0.462
