,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
59,försämra,0.761,soirée,0.43,tods,0.445,avdelningskontor,0.504,brödraföreningens,0.509,nödbjelpsfond,0.476
60,charlatan,0.761,bondgård,0.43,festivitet,0.444,rädhusct,0.504,saltängsskolan,0.509,ordinaiie,0.476
61,caractere,0.76,såsoin,0.429,undertccknads,0.444,industrimagasin,0.504,inqvarteringskommissionens,0.508,predikolokal,0.476
62,märkbar,0.76,uppgifvas,0.429,sällskåp,0.444,iversenska,0.503,johanneskapellet,0.507,sveateatern,0.475
63,omätlig,0.76,läge,0.429,skjutbana,0.444,thealer,0.503,ordinaiie,0.507,lektionssal,0.474
64,upgifter,0.759,znnewänare,0.429,årssammankomst,0.444,mästersamuelsgatan,0.502,lektionssal,0.507,restaurationslokal,0.474
65,intereste,0.759,ovärderlig,0.429,rotunda,0.443,societetshuset,0.502,goodtemplarhuset,0.507,vårsammankomst,0.474
66,epistel,0.759,anbringande,0.429,subscriberade,0.443,liålles,0.502,festivitetslokal,0.507,saltängsskolan,0.473
67,spaniorer,0.759,igel,0.429,ragnhilds,0.441,rådhussalen,0.502,kronouppbördskammarens,0.505,expeditionslokal,0.473
68,werksamt,0.759,bolagsreglorna,0.429,circus,0.441,frimurarehuset,0.501,vårsammankomst,0.505,pianorum,0.473
69,kryssare,0.758,riddarhussalen,0.429,torggata,0.441,narie,0.501,coldinuordens,0.505,arkivrum,0.473
70,walen,0.758,canals,0.428,tullkammarehuset,0.44,handtwerks,0.501,vintermöte,0.504,arssammanträde,0.473
71,kalender,0.758,drifvits,0.428,drätselverk,0.439,inqvarteringskommissionens,0.501,värdshuslokal,0.504,festvåning,0.472
72,widröra,0.758,silkesodling,0.428,ridhus,0.439,ebersteinska,0.501,månadssammankomst,0.504,paketfest,0.472
73,studium,0.758,thiis,0.428,kirstcinska,0.438,lindbys,0.501,diskussions,0.504,söndagsskolföreningens,0.471
74,kyrkostat,0.758,lalu,0.428,kirsteinska,0.438,arbetsbyrå,0.5,rädhussalen,0.503,kronouppbördskammarens,0.471
75,förutsätta,0.758,w8rt,0.428,borgmästarinna,0.438,handelsbörsen,0.5,frimurarelogen,0.503,folkskolesal,0.471
76,bleswe,0.758,sittning,0.428,brunnsbal,0.437,julianders,0.5,läsesalong,0.503,vasateater,0.471
77,anwanda,0.758,insättare,0.427,holtermanska,0.437,alhemtas,0.499,harvarande,0.503,festivitetsvåningen,0.471
78,framställan,0.758,thalia,0.427,anslälles,0.437,stadshus,0.499,klubbafton,0.503,handelsbörs,0.471
79,upmarksamhet,0.758,tillskapa,0.427,abomska,0.436,konlor,0.499,goodtemplarlokalen,0.502,lifränteanstaltens,0.471
80,undergätt,0.757,836,0.427,frimuraresalen,0.436,werlins,0.499,bolagsstamma,0.502,teaterkällaren,0.47
81,yo,0.757,bedrifwande,0.427,soiréedagen,0.435,dansinstitut,0.498,sjögrenska,0.502,bostadsvåning,0.47
82,hono,0.757,fortplantning,0.426,soiré,0.435,musikkasernen,0.497,holtermanska,0.501,folkkök,0.47
83,oförmärkt,0.757,widsträckt,0.426,societetssal,0.435,läsekabinett,0.497,handelsbörsen,0.501,synodalsalen,0.47
84,ganfla,0.757,liing,0.426,teaterhus,0.435,festivitetslokal,0.497,w6,0.501,telefonrum,0.47
85,uppstä,0.757,drl,0.426,storskola,0.434,samlingslokal,0.497,arbetsbyrå,0.5,snedtemot,0.47
86,skadlig,0.756,servering,0.425,entrébiljett,0.434,kirsleinska,0.497,ordenshusets,0.5,ordenslokal,0.47
87,civilisera,0.756,hugkomst,0.425,kollation,0.434,banklokal,0.497,nödbjelpsfond,0.5,ordenssalen,0.47
88,uphäfwa,0.756,afskrifvande,0.425,börskällarcn,0.434,granströms,0.496,festivitetssal,0.499,snndsvalls,0.469
89,arabien,0.756,societet,0.425,sfoia,0.433,eningen,0.496,ärsfammanträde,0.499,hörssalen,0.469
90,betänkt,0.756,ångslup,0.425,barnskola,0.433,landströms,0.496,ordenssalen,0.499,betania,0.469
91,tillfällighet,0.756,hökeri,0.425,liepe,0.433,manträder,0.495,betania,0.499,hjelpsamheten,0.468
92,jordstöt,0.756,nyodling,0.424,185g,0.433,hua,0.495,vestmannia,0.498,månadsmöte,0.468
93,bewarar,0.756,samfält,0.424,saltsjöbaden,0.432,björkegrens,0.495,artillerikaserns,0.498,förköpsbyrån,0.468
94,flöda,0.755,öswerläggning,0.424,societet,0.432,salttorg,0.495,nationslokal,0.498,goodtemplarlokal,0.468
95,flutadt,0.755,tobaksfabrik,0.423,sjömanshem,0.431,okal,0.494,högtidssal,0.498,norrdahl,0.468
96,hwitken,0.755,vattenverk,0.423,sösta,0.431,h6tel,0.494,verksamhot,0.498,handelsbörsen,0.467
97,hospodar,0.755,danssal,0.423,sundvallsons,0.431,hamnkontor,0.494,läroverkshus,0.498,téfest,0.467
98,krigisk,0.754,åskådande,0.423,slutbal,0.431,festivitetsvåning,0.494,bönsalen,0.497,stortingsbyggnaden,0.467
99,insäg,0.754,boningslägenhet,0.423,underlecknads,0.43,danssalong,0.493,löreningens,0.495,festivitetslokal,0.467
