,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,ofullkomlighet,0.751,tankans,0.609,enhetstanke,0.584,tanke,0.608,luminös,0.592
1,fenomener,0.749,tidehvarfvets,0.607,medeltida,0.571,luminös,0.601,omstörtningsplaner,0.58
2,statsekonomisk,0.748,idée,0.599,vitnesbörd,0.568,ideor,0.583,tidsriktning,0.572
3,betraktare,0.735,nationalförsvar,0.597,hypotes,0.566,yrkespolitiker,0.572,samfundsförhållandena,0.571
4,utfundera,0.735,sammanhållning,0.595,tidehvarfvets,0.565,omstörtningsplaner,0.57,yrkespolitiker,0.57
5,skryt,0.734,verldshändelse,0.593,utvecklingsgång,0.562,ibsenska,0.562,ideor,0.561
6,sträfvar,0.733,samhällsform,0.591,organisationsförmåga,0.561,påfund,0.549,tankeverksamhet,0.561
7,energisk,0.73,theorier,0.588,skråväsen,0.56,idéassociation,0.547,gudsförnekande,0.557
8,beundransvärd,0.729,vankelmod,0.587,lifsåskådning,0.559,högtflygande,0.546,socialis,0.557
9,social,0.728,komik,0.585,misstänksamhet,0.556,ideer,0.546,symbolism,0.556
10,mångfald,0.728,fullhet,0.584,klassicitet,0.554,utopi,0.545,sosialism,0.556
11,öfvervinna,0.727,kontinuitet,0.584,nationalbeväpning,0.552,tidsriktning,0.542,ideer,0.555
12,öfverlägsenhet,0.727,ideel,0.583,statsordning,0.552,arbetaremassorna,0.541,högtflygande,0.554
13,hänryckning,0.727,sträfvar,0.58,realistisk,0.55,utopist,0.538,sinnesriktning,0.553
14,väckelse,0.727,stråfvanden,0.58,menniskovärde,0.548,idee,0.538,försvarsfrågan,0.552
15,tidehvarfvets,0.726,öfverändakasta,0.579,svårfattlig,0.546,skaldisk,0.537,arbetaremassorna,0.552
16,samhällsförhållande,0.724,försvarsmedel,0.578,sjelfmedvetande,0.545,ideerna,0.536,reformatorisk,0.551
17,förlöjliga,0.723,chaos,0.578,idealistisk,0.545,symbolism,0.536,verldsåskådningen,0.551
18,uppvexande,0.723,urbild,0.578,diktverk,0.544,afslöjar,0.536,almänhet,0.551
19,driffjäder,0.723,menniskorätt,0.576,urbild,0.543,beskyllar,0.535,skyddspolitik,0.55
20,öfvermod,0.722,allmännelig,0.576,papistisk,0.542,paradox,0.535,ibsenska,0.55
21,stationär,0.722,omklädnad,0.575,paradox,0.541,lanka,0.535,vettgirighet,0.55
22,instinkt,0.722,våckt,0.575,diabolisk,0.54,lifsuppgift,0.535,ideolog,0.55
23,ädelhet,0.72,koryfé,0.574,vesterlandet,0.54,fixa,0.534,näringstvång,0.549
24,skarpsinnighet,0.72,hvälfning,0.574,romantiker,0.54,ateistisk,0.534,beskyllar,0.549
25,villfarelse,0.72,ingifvelse,0.574,skaldeverksamhet,0.54,platos,0.533,ideerna,0.548
26,tidsanda,0.72,omhvälfning,0.573,affektation,0.539,reformatorisk,0.532,påfund,0.548
27,aftontidning,0.719,pånyttfödelse,0.573,objektivitet,0.539,skaldenatur,0.532,öfverspändhet,0.548
28,representationssätt,0.719,interesset,0.571,metafysik,0.539,houssaye,0.532,statslifvet,0.545
29,passionerad,0.718,universell,0.571,älsklingsidé,0.539,schopenhauer,0.531,lifsuppgift,0.544
30,allmännelig,0.718,jesuitisk,0.571,plougs,0.538,älsklingstanke,0.53,älsklingstanke,0.544
31,liberalism,0.717,dynastisk,0.571,hufvudsyfte,0.538,reformprogram,0.53,lifslång,0.544
32,oegennytta,0.717,spekulativ,0.57,samhällighet,0.538,exploitera,0.53,skaldenatur,0.543
33,rygte,0.717,tvedrägt,0.57,ljusbild,0.538,ideolog,0.528,frasmakeri,0.543
34,humor,0.717,samhällslif,0.569,skolsystem,0.538,bekämpare,0.527,platos,0.543
35,bedröfvelse,0.717,materialism,0.568,honorn,0.537,lismen,0.527,själsriktning,0.543
36,hvaråt,0.716,odygd,0.567,frihetskämpe,0.536,sosialism,0.527,reformsträfvanden,0.542
37,interessant,0.716,omstörtning,0.567,verldshändelse,0.536,ideén,0.526,utopi,0.542
38,merändels,0.716,materie,0.567,darwinism,0.536,samhällsideal,0.526,utopist,0.542
39,inveckla,0.716,uppränning,0.566,hufvuddrag,0.536,enhetstanke,0.526,kollektivism,0.542
40,originel,0.716,kosmopolitisk,0.565,platonisk,0.535,världsåskådning,0.525,manchesterskolan,0.54
41,kommerciella,0.715,tidsålder,0.565,idealitet,0.535,utvecklingslära,0.525,förkofring,0.54
42,motivera,0.715,premiss,0.565,valprincipen,0.535,idée,0.524,samhällsfarlig,0.54
43,missförstå,0.714,besjälad,0.565,ursprunglighet,0.534,teori,0.524,nationalbeväpning,0.539
44,sammanknyta,0.714,paradox,0.564,chevéska,0.534,genial,0.524,solidaritetskänsla,0.539
45,hvälfning,0.713,slafvisk,0.564,tanke,0.534,nyromantik,0.523,lismen,0.539
46,vederlagd,0.713,skaplynne,0.564,ideer,0.533,manchesterskolan,0.523,unionsfientliga,0.538
47,faktisk,0.713,fixa,0.564,trängtan,0.533,vrångbild,0.523,företagsamhetsanda,0.538
48,vanställa,0.713,lagstiftningsåtgärd,0.564,grundidé,0.532,snilleverk,0.522,konception,0.537
49,slutledning,0.713,byråkratisk,0.563,skapadt,0.532,hedersbegrepp,0.522,himlastormande,0.537
50,missbelåtenhet,0.713,statsborgerlig,0.563,menniskoförstånd,0.532,hjernspöke,0.522,vrångbild,0.536
51,förundransvärd,0.712,abstraktion,0.562,kulturutveckling,0.531,älsklingsidé,0.521,statssamhälle,0.536
52,råhet,0.712,vanvett,0.562,utopist,0.531,försvarsfrågan,0.521,fantasiskapelse,0.536
53,löjlighet,0.712,hädangången,0.562,panslavistiska,0.53,statslifvet,0.521,framtidsblick,0.536
54,resultaterna,0.712,germanisk,0.562,tidsanda,0.53,läsarena,0.521,själsutveckling,0.535
55,förklarlig,0.712,sjelfviskhet,0.561,försäkringsväsende,0.53,tank,0.521,strätvan,0.535
