,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,declaration,0.876,magters,0.726,hyfsning,0.607,statssystem,0.583,europa,0.659,europa,0.67,euro,0.655
1,bewiljat,0.873,armeer,0.724,nordisk,0.602,europa,0.577,börsplats,0.563,euro,0.658,peiska,0.633
2,skingra,0.869,öfwerföra,0.72,krigförande,0.591,hufvudstäder,0.57,nämsta,0.562,peiska,0.643,europa,0.614
3,sisi,0.863,magter,0.719,industriell,0.59,europeista,0.568,statssystem,0.557,enropeiska,0.585,enropeiska,0.588
4,tidningspapper,0.86,engelffe,0.712,orienten,0.589,slavisk,0.561,civilisera,0.55,transatlantisk,0.584,vesterlandets,0.567
5,förtrogen,0.858,magier,0.711,konstflit,0.583,civilisera,0.556,europeista,0.548,europei,0.569,kulturland,0.558
6,inell,0.85,pästynda,0.71,orientalisk,0.579,franklike,0.554,börspaltser,0.542,europeista,0.566,verldsdelen,0.555
7,fordne,0.85,troupper,0.71,magters,0.578,statsförbund,0.554,vesterländsk,0.541,vesteuropeiska,0.553,europeista,0.555
8,brittisk,0.85,krigs,0.71,constitutionella,0.577,skamfläck,0.551,enropeiska,0.541,europeifla,0.547,statssystem,0.555
9,constitutionen,0.847,magterna,0.71,propaganda,0.577,transatlantisk,0.547,statsförbund,0.534,kina,0.547,europei,0.554
10,krigsfolk,0.847,tillstänga,0.708,demokratisk,0.572,europeifla,0.542,slavisk,0.534,balkanbalfön,0.546,transatlantisk,0.55
11,försämra,0.847,familier,0.708,representativ,0.572,serviska,0.541,romanisk,0.532,turkiet,0.545,kulturstat,0.547
12,uprätta,0.846,florida,0.705,befästande,0.571,sjöstyrka,0.538,stormakt,0.523,stormakt,0.545,östasiatisk,0.545
13,fånga,0.845,alliance,0.702,förhållanderne,0.57,omskapa,0.538,pacifikation,0.52,ostasiatisk,0.543,balkanbalfön,0.544
14,tysta,0.844,twingas,0.702,absolutistisk,0.569,halfön,0.537,sjöfartsidkande,0.518,verldsdelens,0.54,sjöstat,0.544
15,stämning,0.844,landers,0.702,sjelfständig,0.569,kontinent,0.535,peiska,0.517,kulturland,0.537,magts,0.543
16,plägsed,0.844,werkade,0.698,naturalisera,0.568,gradvis,0.527,folkfamilj,0.517,sjöstat,0.536,lydstat,0.542
17,despotism,0.843,täflande,0.696,amerikansta,0.568,fabriksindustri,0.527,cirkulärvexlar,0.515,utomeuropeisk,0.535,östasien,0.541
18,armce,0.842,helvetista,0.695,öfvervälde,0.568,moskovitisk,0.527,sydslavisk,0.515,marockansk,0.53,utomeuropeisk,0.54
19,prägtig,0.842,enstilta,0.694,integritet,0.567,oregon,0.525,verldsdelen,0.513,kinesisk,0.53,intressesferer,0.539
20,fältmarskalk,0.84,folkflag,0.693,inveckla,0.567,propaganda,0.525,vexelplatser,0.513,magts,0.529,industristat,0.538
21,garantera,0.84,folck,0.693,lifskraft,0.567,japan,0.524,enropeifla,0.512,statssystem,0.528,stormakt,0.537
22,mannamod,0.839,fransia,0.693,äfventyrare,0.566,absolutistisk,0.524,brittisk,0.509,östasien,0.528,magters,0.536
23,armeerne,0.839,italiensta,0.692,kufva,0.565,verldshandeln,0.522,balkanhalfön,0.509,börsplats,0.528,verldsdelens,0.536
24,oförsynt,0.839,defensiv,0.691,undersäter,0.565,ullproduktion,0.522,omhvälfning,0.508,europeiffa,0.528,kina,0.534
25,odräglig,0.839,irländsk,0.691,stammare,0.565,europcista,0.521,bankplats,0.508,industristat,0.527,stormaktsställning,0.532
26,schwaben,0.838,hufwudstadens,0.69,handelsförbindelse,0.565,kabinetterna,0.521,mohammedansk,0.507,orienten,0.526,vesteuropeiska,0.532
27,indian,0.838,afwända,0.69,herrskar,0.564,inveckla,0.52,europcista,0.506,verldsdelen,0.525,mellaneuropeisk,0.529
28,nilen,0.837,missnöjd,0.689,armeer,0.564,verldeu,0.52,turkiet,0.506,kanska,0.525,balkanhalföns,0.529
29,medaille,0.837,kryssare,0.689,franklike,0.564,välsignelserik,0.518,magyariska,0.506,balkanhalföns,0.524,balfön,0.527
30,upgifwit,0.837,hunno,0.687,magternas,0.564,ottomanisk,0.518,enropeista,0.504,sydslavisk,0.523,europeiffa,0.527
31,stallning,0.837,inwecklade,0.687,krigs,0.564,vendee,0.517,kulturland,0.502,ostasien,0.523,europeifla,0.526
32,sistlcdne,0.837,ästadkommit,0.686,hafna,0.563,konstflit,0.517,europeifla,0.502,lydstat,0.521,österländsk,0.526
33,gängse,0.837,mägtiga,0.684,artistisk,0.563,syrisk,0.516,supremati,0.502,mellaneuropeisk,0.52,europeifl,0.524
34,giftig,0.836,beskydda,0.683,intelligens,0.562,verldsdel,0.515,europeist,0.501,östasiatisk,0.52,defensif,0.523
35,despot,0.836,esprit,0.683,lngland,0.561,folkvälde,0.514,euro,0.501,kulturstat,0.519,balkanfrågan,0.523
36,folkflag,0.836,doch,0.682,kejsardöme,0.561,turan,0.514,likaberättigande,0.5,koreansk,0.517,turkestans,0.523
37,resolvera,0.836,wårt,0.681,näringsflit,0.56,civilisation,0.513,statsenhet,0.5,enropeista,0.517,sydeuropeisk,0.522
38,öpnades,0.836,declaration,0.681,handelstraktat,0.559,följdriktig,0.513,ottomansk,0.5,civilisera,0.517,iänder,0.522
39,engelsmännerne,0.836,styndsamhet,0.681,medtäflan,0.558,indisk,0.512,transvaal,0.499,sydeuropeisk,0.515,magternas,0.521
40,favorit,0.836,amerikan,0.678,gränsorne,0.558,rättstillstånd,0.512,afghansk,0.498,europcista,0.514,finanskontroll,0.521
41,utsända,0.836,stämpling,0.678,biläggande,0.558,amerikanerne,0.511,sydafrikansk,0.498,england,0.514,tullförbund,0.521
42,bajonett,0.835,flafwar,0.677,association,0.558,supremati,0.511,landafträdelse,0.496,agressiv,0.514,indianstam,0.52
43,betydeliga,0.835,mångfaldig,0.677,förhållanderna,0.557,krigstillstånd,0.51,återuppståndelse,0.495,australisk,0.514,nillandet,0.52
44,äterkalla,0.835,interesie,0.677,afmåla,0.557,engländarnes,0.51,inskridande,0.495,afrikansk,0.512,storherrns,0.519
45,militaire,0.835,bistä,0.677,sympati,0.557,pyreneisk,0.51,örike,0.495,kontinent,0.512,orienten,0.519
46,klädnad,0.834,lard,0.676,asiatisk,0.557,florida,0.509,storherrns,0.495,enropas,0.511,japan,0.518
47,anga,0.834,upprätthälla,0.676,härförare,0.557,styrelseform,0.509,befolkningsförhållande,0.495,indianstam,0.511,nationalitetsprincip,0.518
48,observation,0.834,preutzen,0.676,inkräkta,0.557,folkflag,0.509,kontinental,0.495,magters,0.51,stapelplats,0.517
49,klagomal,0.834,polack,0.676,fortgående,0.556,brännpunkt,0.508,krigförande,0.495,balkanfrågan,0.51,ostasiatisk,0.517
50,palen,0.834,respektera,0.676,mediation,0.556,milieu,0.508,kulturstat,0.495,vesterlandets,0.51,civili,0.517
51,klagomäl,0.834,fredstid,0.675,despotisk,0.556,medborgarne,0.508,taikun,0.494,europeifl,0.51,polynesien,0.517
52,oagtadt,0.833,undersäter,0.675,undantränga,0.556,verldsdelar,0.508,marockansk,0.493,vestmakternas,0.509,taikun,0.517
