,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,belgien,0.799,konungarike,0.657,hertigdöme,0.573,mellersta,0.552,landsdel,0.63,katalonien,0.635,landsdel,0.595
1,bretagne,0.769,britannien,0.657,catalonien,0.561,guvernement,0.54,bastista,0.615,sao,0.628,jekaterinoslav,0.589
2,america,0.764,belgien,0.656,baskisk,0.558,skogstrakt,0.538,baskisk,0.575,bastista,0.601,katalonien,0.584
3,trupparne,0.764,hertigdöme,0.655,kyrkostat,0.546,residensstad,0.535,prowinserna,0.573,prowinserna,0.599,grannprovins,0.583
4,nederländerne,0.764,inwänarne,0.653,inwänarnes,0.536,illinois,0.531,lithauen,0.573,grannprovins,0.597,vestpreussen,0.578
5,landstigning,0.76,tystland,0.651,florida,0.534,baskisk,0.529,basilicata,0.564,landsdel,0.596,sädesproducerande,0.578
6,indien,0.76,amerika,0.651,bolivia,0.532,pohlen,0.529,prowinsen,0.564,galizien,0.591,sao,0.572
7,flandern,0.758,tyrolen,0.649,konungarike,0.532,colonier,0.527,murcia,0.558,jekaterinoslav,0.59,basilicata,0.562
8,engeland,0.755,corpser,0.648,distrikter,0.53,bastista,0.526,gränsdistrikt,0.557,wolhynien,0.587,mandschuriet,0.562
9,toulon,0.755,garantera,0.647,navarra,0.53,landsträcka,0.522,inbyggarne,0.554,galicien,0.584,bastista,0.562
10,constantinopel,0.754,gebiet,0.645,flandern,0.529,andalusien,0.519,slafstaterna,0.553,basilicata,0.582,volhynien,0.56
11,irland,0.75,förenta,0.644,bastista,0.528,minho,0.519,guvernement,0.55,baskisk,0.58,bukovina,0.557
12,cöln,0.748,böhmen,0.641,gebiet,0.526,statsförbund,0.516,halföns,0.549,mandschuriet,0.579,spanmålsproducerande,0.556
13,venedig,0.748,dalmatien,0.641,inbyggare,0.526,statsbana,0.515,frosinone,0.548,herzegovina,0.578,turkestans,0.552
14,besittning,0.748,alliance,0.64,gränsorne,0.525,catalonien,0.514,rumelien,0.544,guipuzcoa,0.577,frosinone,0.552
15,genua,0.747,regementer,0.639,genomtåga,0.525,truppmassa,0.513,landsdelarne,0.544,volhynien,0.577,näjder,0.551
16,alliera,0.747,florida,0.637,folkflag,0.524,lombardiska,0.512,insurgera,0.539,lithauen,0.574,slafstaterna,0.55
17,förenta,0.745,armeer,0.637,peru,0.523,slättbygd,0.511,undantagsställning,0.539,catalonien,0.574,galicien,0.547
18,skottland,0.743,america,0.636,arabien,0.523,lithauen,0.511,makedonien,0.538,frosinone,0.574,prowinserna,0.546
19,sammandra,0.742,besittning,0.635,murcia,0.522,cherson,0.509,ilerzegovina,0.536,ostpreussen,0.57,wolhynien,0.545
20,toscana,0.741,mexico,0.633,dalmatien,0.521,lombardi,0.505,gerona,0.534,lombardiet,0.57,galizien,0.544
21,fiendtlig,0.741,magter,0.633,piemont,0.519,pavia,0.505,mesopotamien,0.534,bukovina,0.569,kapkolonien,0.544
22,mediation,0.74,provincerne,0.632,britannien,0.518,centralamerika,0.505,wolhynien,0.534,moldaus,0.568,landsdelarne,0.543
23,amerikansk,0.739,piemont,0.629,alliance,0.517,kyrkostat,0.503,sydslavisk,0.531,gerona,0.567,åkerbrukande,0.542
24,franste,0.739,koloni,0.629,albanien,0.516,lombardiet,0.502,khokand,0.531,turkestans,0.567,lithauen,0.541
25,berattas,0.737,nederländerne,0.627,arragonien,0.516,länels,0.501,provin,0.53,bukowina,0.566,gerona,0.541
26,manstap,0.737,höfwen,0.624,colonier,0.514,gränsorne,0.501,herzegovina,0.529,paulo,0.566,podlachien,0.541
27,departement,0.737,ryssland,0.624,troupper,0.513,corrientes,0.501,wallachiet,0.526,friaul,0.563,lithauiska,0.54
28,inrycka,0.736,rysiland,0.623,fueros,0.511,storhertigdöme,0.5,östersjöprovins,0.526,nassaus,0.56,prowinsen,0.54
29,oenighet,0.735,engeland,0.623,oran,0.511,slverige,0.498,åkerbrukande,0.525,gränsdistrikt,0.56,gränsdistrikt,0.539
30,amerika,0.735,junta,0.623,ockupation,0.511,siebenburgen,0.497,nassaus,0.524,vestpreussen,0.559,nassaus,0.539
31,armeer,0.734,armeerne,0.622,andalusien,0.51,ockupera,0.497,kowno,0.524,yunnan,0.558,friaul,0.538
32,garantera,0.734,tyghus,0.621,nederländerne,0.51,trupprörelse,0.496,minho,0.524,landsdelarne,0.558,ilerzegovina,0.537
33,förpost,0.734,hamna,0.618,anstifta,0.509,maynz,0.496,dalmatien,0.523,murcia,0.557,sandomir,0.536
34,ryssland,0.734,orolighet,0.618,castilien,0.509,bolivia,0.495,centralamerika,0.523,insurgera,0.555,lombardiet,0.536
35,trouppar,0.734,mediation,0.616,undantränga,0.509,limburg,0.495,kaukasus,0.523,gränsland,0.555,tsarriket,0.536
36,maynz,0.732,flandern,0.616,maynz,0.508,minnesota,0.494,romagna,0.522,alava,0.555,sydryssland,0.535
37,westindien,0.732,administration,0.614,tyrolen,0.508,namneligen,0.494,statsförbund,0.522,dalmatien,0.554,oljedistrikt,0.534
38,portugal,0.732,colonier,0.614,kolonierne,0.508,flandern,0.494,podlachien,0.522,westpreussen,0.553,ostpreussen,0.534
39,rysiland,0.732,österrike,0.613,texas,0.508,swcrge,0.494,macedonien,0.522,cristobal,0.552,yunnan,0.533
40,handelshus,0.73,schwaben,0.613,stapelstad,0.507,prowinserna,0.494,egendoms,0.522,ukraine,0.55,algirien,0.529
41,turkista,0.729,grenada,0.612,storhertigdöme,0.507,brännpunkt,0.493,galizien,0.521,biscaya,0.55,rhenprovinserna,0.529
42,canalen,0.729,spansta,0.612,storbritannien,0.506,campagne,0.492,kejsarstat,0.52,venetien,0.548,fraukrike,0.529
43,rebell,0.727,organisation,0.612,äfventyrare,0.506,integrera,0.492,aragonien,0.52,slafstaterna,0.547,catalonien,0.528
44,sicilien,0.727,bemedling,0.612,förenta,0.506,folkflag,0.491,podolien,0.519,sandomir,0.547,samogitien,0.528
45,höfwen,0.727,trupparne,0.611,fristat,0.506,georgien,0.491,thessalien,0.519,prowinsen,0.547,biscaya,0.527
