,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
63,frambryta,0.709,arkad,0.611,slafstaterna,0.518,trädtopparne,0.52,horizont,0.516
64,begränsning,0.709,stormvind,0.611,fantastista,0.518,blåna,0.519,vildmark,0.515
65,svärmeri,0.708,trollslag,0.61,dåsig,0.518,ödslighet,0.519,verldsrymd,0.515
66,öfvervigt,0.708,krökt,0.61,mountains,0.518,eldhafvet,0.519,dunstkrets,0.515
67,vildhet,0.708,eldsprutande,0.61,strömfåra,0.517,dunstkrets,0.519,drömlik,0.515
68,bisak,0.708,menniskomassa,0.609,derbyshire,0.517,horizont,0.518,lavaströmmar,0.515
69,oegennytta,0.708,horisont,0.609,alstring,0.516,verldsrymd,0.518,kvalmig,0.514
70,krigstillstånd,0.707,bondstuga,0.609,bergshöjd,0.516,klippmassa,0.518,bärget,0.514
71,qval,0.707,swinen,0.609,vexte,0.516,aftonhimmel,0.518,isfält,0.514
72,återgång,0.707,långsträckt,0.609,källåder,0.516,sagoland,0.518,wrär,0.514
73,karaktär,0.707,inhägnad,0.609,ögrupp,0.516,lavaström,0.517,vägor,0.513
74,omgifver,0.707,höstafton,0.608,bergsrygg,0.515,bergsträcka,0.517,drömda,0.513
75,öfvermod,0.706,flimra,0.608,wågor,0.515,vägor,0.517,klippmassa,0.513
76,hierarki,0.706,vattenstånd,0.607,hälor,0.515,högslätt,0.517,trädkrona,0.513
77,oväder,0.706,grotta,0.607,fixstjerna,0.514,ethern,0.516,molnlager,0.512
78,intensitet,0.706,murgröna,0.607,molnhöljd,0.514,trädkrona,0.516,själslifvets,0.512
79,öfverskåda,0.705,solstråle,0.606,flodbädd,0.513,skogstopparne,0.516,eldmassa,0.511
80,utefter,0.705,stralar,0.606,halfdunkel,0.513,bärgen,0.515,bestigning,0.511
81,hvilade,0.705,rännil,0.605,framtidsperspektiv,0.513,drömlik,0.515,eqvator,0.511
82,proselyt,0.705,hvalfvén,0.605,hvalfbåge,0.512,kosmisk,0.514,synrand,0.511
83,majestätisk,0.704,upphöjning,0.605,snöbetäckta,0.512,wrär,0.514,solbeglänsta,0.511
84,rådslag,0.704,likfullt,0.605,elfvens,0.512,solbelysning,0.514,bergsträcka,0.511
85,instinkt,0.704,absorbera,0.605,svåråtkomlig,0.512,eldmassa,0.514,aflagring,0.511
86,sväfvande,0.704,öfverskåda,0.605,st8r,0.512,själslifvets,0.514,afsats,0.511
87,boskapsskötsel,0.704,swäfwar,0.604,genomskuret,0.512,afsats,0.514,ethern,0.511
88,fridlysa,0.703,veriden,0.604,himlarand,0.511,drömda,0.514,bergskam,0.51
89,physiska,0.703,ljnfwa,0.604,skugglik,0.511,urskog,0.513,högslätt,0.51
90,thermometern,0.703,hamburgare,0.604,förtona,0.511,molnmassa,0.513,ödslighet,0.51
91,kokett,0.703,twetydigt,0.604,grefskapen,0.511,menniflomassan,0.513,aftonhimmel,0.51
92,anga,0.703,längsamma,0.604,isfält,0.511,sommarhimmel,0.513,lavaström,0.51
93,alltmera,0.703,hwimla,0.604,landremsa,0.511,verldsdelen,0.513,molnmassa,0.51
94,varseblef,0.703,bedriswes,0.604,prärie,0.511,tonerna,0.512,menniflomassan,0.509
95,beståndsdel,0.703,solbelyst,0.603,wattnen,0.511,isfält,0.512,montblanc,0.509
96,fasad,0.702,förtwiflad,0.603,polartrakt,0.51,montblanc,0.512,eldpelare,0.508
97,social,0.702,ödslighet,0.603,vattendroppe,0.51,arktisk,0.512,skogstopparne,0.508
98,hatva,0.702,ruckel,0.603,köjer,0.51,snöfält,0.512,granitklippa,0.508
99,olycksbådande,0.702,mängenstädes,0.603,paradisisk,0.51,nedströmmande,0.512,utvecklingsstadium,0.507
