,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
90,natura,0.728,tabell,0.637,verldshistorien,0.551,kuriositet,0.49,metafysik,0.507,biografisk,0.543,biologisk,0.534
91,erkänd,0.728,predikning,0.637,pittoresk,0.55,metrisk,0.49,snorre,0.507,linnéanska,0.543,lemekes,0.534
92,deponera,0.728,oeleens,0.637,arbor,0.55,åskådlig,0.49,naturskildring,0.506,ahasverus,0.542,repetitorium,0.533
93,ik,0.728,register,0.636,naturvetenskap,0.55,häfdatecknare,0.49,historia,0.506,popularisera,0.542,källskrift,0.533
94,stickelighet,0.728,boklador,0.636,kompl,0.549,vetenskaplig,0.489,tidehvarfvets,0.506,naturhistorisk,0.542,reseskildring,0.533
95,begärlighet,0.728,blandad,0.636,innehaller,0.549,alexandre,0.489,thomée,0.506,själslifvets,0.541,novellistisk,0.532
96,moralisk,0.728,kc,0.636,krönika,0.549,fornminne,0.489,fersens,0.505,åskådlighet,0.541,byggnadsverk,0.532
97,flickebarn,0.727,deleens,0.635,astronomi,0.548,förfaltare,0.489,wägner,0.505,farrars,0.541,blomsterkonungen,0.532
98,godkänd,0.727,gikt,0.635,statistisk,0.548,statsrätt,0.489,hjeltesaga,0.505,indoeuropeisk,0.54,historist,0.532
99,tartar,0.727,forntid,0.635,frejdad,0.548,logik,0.489,skiss,0.504,lifsbild,0.54,lodbrok,0.531
