,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,opoetisk,0.82,opoetisk,0.757,opoetisk,0.757
1,småberättelser,0.819,formfulländning,0.754,formfulländning,0.754
2,keltisk,0.819,berättaretalang,0.749,berättaretalang,0.749
3,slutenhet,0.814,spiritualistisk,0.742,spiritualistisk,0.742
4,spinoza,0.813,natursinne,0.741,natursinne,0.741
5,bonhommie,0.81,naturfolk,0.74,naturfolk,0.74
6,omisskänlig,0.81,österländingarne,0.739,österländingarne,0.739
7,kommentator,0.81,dialektisk,0.739,dialektisk,0.739
8,framtidsblick,0.808,bonhommie,0.737,betagande,0.739
9,stapelser,0.808,pointerna,0.737,bonhommie,0.737
10,pygmé,0.807,tankereda,0.736,pointerna,0.737
11,lyriker,0.806,pointeradt,0.735,tankereda,0.736
12,naturscen,0.806,repetitorium,0.734,pointeradt,0.735
13,utvecklingsarbete,0.804,konstskapelse,0.734,repetitorium,0.734
14,uppbyggelseskrift,0.804,skådespelarkonst,0.732,konstskapelse,0.734
15,öfvertro,0.803,betagande,0.732,uttrycksmedel,0.733
16,afgudisk,0.8,uttrycksmedel,0.73,skådespelarkonst,0.732
17,nyeuropeisk,0.8,statsmannablick,0.73,statsmannablick,0.73
18,afspegling,0.8,karaktersteckning,0.729,framtidsblick,0.729
19,teoretiker,0.799,framtidsblick,0.729,fantasirikedom,0.729
20,förträffeliga,0.799,fantasirikedom,0.729,kontrapunktisk,0.728
21,embonpoint,0.799,målningssätt,0.726,målningssätt,0.726
22,qa,0.798,individualisera,0.726,karaktersteckning,0.726
23,kulturperiod,0.796,tondiktning,0.726,individualisera,0.726
24,medeltida,0.796,karaktersteckningen,0.725,tondiktning,0.726
25,lifaktigheten,0.796,melodik,0.724,karaktersteckningen,0.725
26,vikingatid,0.795,verldskännedom,0.723,melodik,0.724
27,klagosång,0.795,pog,0.723,verldskännedom,0.723
28,inkarnera,0.795,sentiment,0.722,pog,0.723
29,konstskapelse,0.795,gemyt,0.722,sentiment,0.722
30,psykolog,0.794,djupsinnighet,0.721,gemyt,0.722
31,afguda,0.794,lyriker,0.72,lyriker,0.72
32,vallfartsort,0.793,storslagenhet,0.72,storslagenhet,0.72
33,novellistisk,0.793,känslolif,0.72,känslolif,0.72
34,plougs,0.793,tankedjup,0.719,tankedjup,0.719
35,hastverk,0.793,färgrikedom,0.719,kulturperiod,0.719
36,impromptu,0.793,kulturperiod,0.719,karaktärsteckning,0.719
37,utvecklingsgrad,0.793,karaktärsteckning,0.719,abrupt,0.717
38,själsgåfva,0.793,abrupt,0.717,gudagåfva,0.717
39,känslostämning,0.793,gudagåfva,0.717,tongång,0.717
40,bergsvetenskap,0.793,tongång,0.717,gladlynthet,0.716
41,sångbar,0.792,gladlynthet,0.716,folkanden,0.716
42,komplex,0.792,folkanden,0.716,smådrag,0.716
43,raine,0.792,affektation,0.716,affektation,0.716
44,hufvudfiguren,0.792,lifsuppfattning,0.715,lifsuppfattning,0.715
45,spiritistisk,0.792,tidsskildring,0.715,tidsskildring,0.715
46,kean,0.791,petig,0.714,petig,0.714
47,djurform,0.791,tankeskärpa,0.714,naturscen,0.714
48,trivialitet,0.791,naturscen,0.714,lokalfärg,0.713
49,snilleverk,0.791,lokalfärg,0.713,satiriker,0.712
50,förvandtskap,0.791,satiriker,0.712,farsartad,0.712
51,aggregat,0.791,farsartad,0.712,altstämma,0.712
52,ädelstenarne,0.791,altstämma,0.712,versform,0.712
53,kristusbarn,0.791,versform,0.712,menniskoandens,0.712
54,andersén,0.79,menniskoandens,0.712,felén,0.712
55,sagoland,0.79,felén,0.712,tankeexperiment,0.711
56,jagtstycke,0.79,berättarekonst,0.711,naturmålning,0.711
57,menniskosjälen,0.79,smådrag,0.711,färgrikedom,0.71
58,sedelärande,0.79,tankeexperiment,0.711,skolastisk,0.71
59,hårklyfveri,0.79,naturmålning,0.711,kvinnoemancipation,0.71
60,utvecklingsperiod,0.79,skolastisk,0.71,tankeskärpa,0.71
61,sliskig,0.789,kvinnoemancipation,0.71,drömsyn,0.709
62,estetiker,0.789,munart,0.709,berättarekonst,0.709
63,tidstecken,0.789,jemnmått,0.709,munart,0.709
64,drömsyn,0.789,folkkarakteren,0.709,jemnmått,0.709
65,honorn,0.788,uppfattningsförmåga,0.709,folkkarakteren,0.709
66,samhällsarbete,0.788,hufvudstads,0.708,uppfattningsförmåga,0.709
67,verldshistoriens,0.787,intuition,0.708,djupsinnighet,0.708
68,ocji,0.787,verldsalltets,0.708,hufvudstads,0.708
69,läkarevetenskap,0.787,konception,0.708,intuition,0.708
70,mystiker,0.787,drömsyn,0.707,verldsalltets,0.708
71,svenskhet,0.786,världslitteratur,0.707,konception,0.708
72,oqvinlig,0.786,kontrapunktisk,0.707,världslitteratur,0.707
73,bellmanssång,0.786,uttråka,0.707,genialitet,0.707
74,framställningskonst,0.786,genialitet,0.707,kynne,0.707
75,empirisk,0.785,erotik,0.706,erotik,0.706
76,professorsstol,0.785,abstrahera,0.706,psykolog,0.706
77,rätthafveri,0.784,hvardagsmenniska,0.705,abstrahera,0.706
78,samfundsklasser,0.784,folkdikt,0.705,folktyp,0.705
79,hufvudmassan,0.784,dressör,0.705,hvardagsmenniska,0.705
80,ornamentik,0.784,lättlärd,0.705,folkdikt,0.705
81,gödselkraft,0.784,nicanders,0.705,utsagd,0.705
82,zebra,0.784,turgenjevs,0.704,lättlärd,0.705
83,altarskåp,0.784,ursprunglighet,0.704,nicanders,0.705
84,trollkrets,0.784,textuttal,0.704,turgenjevs,0.704
85,vinningslysten,0.784,niskt,0.703,textuttal,0.704
86,thronerna,0.783,universalspråk,0.703,niskt,0.703
87,grundåskådning,0.783,modulation,0.703,universalspråk,0.703
88,fixstjerna,0.783,genomarbeta,0.703,ursprunglighet,0.703
89,keramik,0.783,resonnerande,0.702,modulation,0.703
90,spiritualistisk,0.783,utpreglade,0.702,genomarbeta,0.703
91,krokryggig,0.783,staccato,0.702,resonnerande,0.702
92,öfverskotter,0.783,tankans,0.701,utpreglade,0.702
93,kabinettspolitik,0.783,närliga,0.701,staccato,0.702
94,aplomb,0.783,individualisering,0.701,tankans,0.701
95,hnfvudsakliga,0.782,skaldenatur,0.701,närliga,0.701
96,öfverblicka,0.782,trivialitet,0.701,skaldenatur,0.701
97,goldschmidts,0.782,talanglös,0.701,trivialitet,0.701
98,folkanden,0.782,seneca,0.7,talanglös,0.701
99,afsigkomna,0.782,medryckande,0.7,seneca,0.7
