,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,religionsfrihet,0.884,råvara,0.727,fabriksegare,0.555,compagnon,0.563,compagnon,0.563
1,vanhederlig,0.862,tiltror,0.719,larens,0.551,undskylla,0.543,undskylla,0.55
2,ovett,0.861,kapitalerne,0.711,förvårfvat,0.548,associé,0.532,rådföra,0.544
3,inhemtar,0.856,gåfves,0.711,compagnon,0.546,rådföra,0.532,associé,0.54
4,strill,0.855,idkarne,0.709,fcar,0.537,fenierne,0.531,siutat,0.538
5,läsarinnor,0.854,bittills,0.707,bergsvetenskap,0.533,interesserar,0.529,annonsagent,0.537
6,skonsam,0.854,widga,0.706,bandiande,0.529,industridistrikt,0.528,industridistrikt,0.536
7,rådgifvande,0.854,jembredd,0.706,inländfla,0.529,jämbördig,0.528,anläg,0.536
8,träsnitt,0.853,viana,0.705,mantalsstrifne,0.527,bankirhusen,0.528,brefvexlat,0.532
9,olämplighet,0.853,likasåväl,0.705,figuier,0.527,förvårfvat,0.527,bankirhusen,0.531
10,sjöstyrka,0.853,handgrepp,0.705,handelsyrke,0.525,anläg,0.526,sarala,0.53
11,envisas,0.852,arbetsskicklighet,0.704,nyeuropeisk,0.525,annonsagent,0.525,lifförsäkra,0.529
12,envälde,0.852,likta,0.704,förlofwat,0.523,affärsangelägenhet,0.525,lutz,0.528
13,fiågan,0.851,trädgårdskonst,0.704,sörwärswade,0.522,siutat,0.525,partout,0.527
14,constitutionel,0.851,kreditanstalt,0.703,kompagnon,0.52,konkurrera,0.525,förvårfvat,0.527
15,upfylt,0.851,byggnadsämne,0.703,misskreditera,0.519,värfvat,0.524,samarbeta,0.527
16,fiktion,0.851,maktegandes,0.702,atelierer,0.519,bemägtiga,0.523,bemägtiga,0.527
17,obetänkt,0.851,förbin,0.702,gerson,0.518,lutz,0.523,ouvrard,0.527
18,bränvinets,0.85,advocera,0.702,smältare,0.517,sarala,0.523,interesserar,0.527
19,vallag,0.85,byggn,0.699,arguelles,0.517,brefvexlat,0.522,fenierne,0.526
20,hildning,0.849,förljent,0.698,industrimuseum,0.517,förespräkare,0.522,werldsberömde,0.526
21,höfva,0.849,invand,0.697,montaret,0.516,ouvrard,0.522,allfolkliga,0.525
22,härledt,0.849,stickelighet,0.696,osparad,0.515,systia,0.521,svarfar,0.524
23,förhål,0.848,skampåle,0.696,sångstudier,0.515,industricentrum,0.52,systia,0.524
24,statsförvaltning,0.848,nepotism,0.695,skogsköp,0.514,samarbeta,0.52,nppehålla,0.524
25,reglorna,0.848,tjensteåligganden,0.695,kompanischef,0.514,inlätit,0.519,interesserat,0.524
26,inkonseqvens,0.847,styrkande,0.695,interesserar,0.514,desperado,0.517,affärsangelägenhet,0.523
27,anmälta,0.847,fädernearf,0.695,oasslutade,0.514,lebaudy,0.517,ottomar,0.523
28,bedröfvelse,0.847,redeliga,0.694,wolfs,0.513,interesserat,0.517,förespräkare,0.522
29,misshaglig,0.847,ssul,0.694,obliga,0.513,panamaföretag,0.517,panamaföretag,0.522
30,bortjaga,0.847,äfvenväl,0.693,mires,0.513,riksdagsmannakall,0.517,kommissionärskap,0.521
31,bedaga,0.847,liaft,0.693,bankirhusen,0.512,allfolkliga,0.516,penninginstitut,0.521
32,bortskymma,0.846,bränvinsbränningens,0.693,modehandlare,0.512,kommissionärskap,0.516,värfvat,0.52
33,valsätt,0.846,speord,0.692,ofin,0.512,armour,0.516,lebaudy,0.52
34,ernående,0.846,argumentera,0.692,prakti,0.511,werldsberömde,0.515,tucker,0.52
35,prohibitiv,0.846,uppsökande,0.692,turnia,0.511,tillwälla,0.515,barnato,0.52
36,restriktion,0.845,hundradedel,0.692,brukskarl,0.511,ntwidga,0.515,elektroteknisk,0.52
37,stabilitet,0.845,formning,0.692,witzleben,0.51,svarfar,0.515,riksdagsmannakall,0.52
38,03,0.845,handelsgren,0.691,wetenskaper,0.51,penninginstitut,0.515,fickpeng,0.52
39,förmycket,0.845,dagtinga,0.69,bibliografisk,0.51,rösträttslöse,0.515,päfwcn,0.52
40,lörra,0.844,andamål,0.69,literatörer,0.51,arbetareledarne,0.515,stadsarbetarne,0.519
41,landsplåga,0.844,hufvudlös,0.69,sockenbor,0.51,päfwcn,0.515,inlätit,0.519
42,allmännelig,0.844,attt,0.69,met,0.509,advokatyrke,0.514,maillard,0.518
43,föreningsband,0.844,motfwara,0.69,haugaard,0.509,iova,0.513,koalitionsministär,0.518
44,hitintils,0.844,förlroende,0.689,mantzius,0.508,jordbruksland,0.513,rösträttslöse,0.518
45,gyckla,0.843,förvärf,0.689,söndagsoch,0.508,nppehålla,0.512,landsf,0.518
46,likvisst,0.843,monopolist,0.689,hufvudrolerna,0.508,ottomar,0.511,gouei,0.517
47,minnesfest,0.843,deremol,0.689,suzor,0.508,stadsarbetarne,0.51,desperado,0.517
48,professo,0.842,rägon,0.689,kreolsk,0.508,isiver,0.51,arbetareledarne,0.516
49,någoa,0.842,kyrkoförfattning,0.689,ångbåtslinie,0.508,lifförsäkra,0.51,tillwälla,0.516
50,arbetsrum,0.842,fruentimmer,0.688,manufakturist,0.508,socialistagitator,0.51,torierna,0.516
51,ordställning,0.842,tilställa,0.688,marstalkar,0.507,ministertid,0.509,jordbruksland,0.515
52,funné,0.842,bjelpt,0.687,lessa,0.506,exploitera,0.509,socialistagitator,0.515
53,lidningarne,0.842,irda,0.687,fabriksdrift,0.506,barnato,0.509,advokatyrke,0.514
54,ått,0.842,industriföretag,0.687,brnka,0.506,landsf,0.509,aflärsman,0.514
55,ingifver,0.842,piete,0.687,bandagist,0.506,maillard,0.509,landlbrukets,0.514
56,genant,0.842,äiwcn,0.687,handtverksidkande,0.506,tucker,0.509,mihräknat,0.514
57,förvärfvad,0.842,säit,0.686,försågo,0.506,mihräknat,0.508,förpligtigar,0.514
58,inskärpa,0.841,skattemedel,0.686,stagtare,0.506,flavifla,0.508,ministertid,0.514
59,uttydning,0.841,folkupplysning,0.686,foldberg,0.506,partout,0.507,exploitera,0.514
60,motiverne,0.841,nöj,0.686,winglare,0.505,torierna,0.507,inbrottstöld,0.514
61,religionslärare,0.841,misstycka,0.686,associé,0.505,landlbrukets,0.507,mängmillionären,0.513
62,moss,0.841,pestsmitta,0.686,korporalstap,0.505,gouei,0.507,deprez,0.513
63,bortblanda,0.841,lätsa,0.686,theatraliska,0.504,mängmillionären,0.507,russie,0.513
64,betrak,0.84,qvarblifvande,0.686,ladngärdsprodukter,0.504,tidningsarbete,0.507,torlonia,0.513
65,beliöfver,0.84,sosa,0.686,oqvinlig,0.504,tillwinner,0.506,jämbördig,0.513
66,jernhandteringen,0.84,sivenfla,0.685,cigarrmakare,0.504,naturvetenskapsman,0.506,wärfningar,0.512
67,onus,0.84,stallare,0.685,specialsektion,0.504,torlonia,0.506,affärsfirmor,0.512
68,förmäld,0.84,vigilera,0.685,industrioch,0.503,dempster,0.505,platsera,0.512
69,draf,0.84,gjört,0.684,harding,0.503,arguelles,0.505,oldroyd,0.512
70,kortsynt,0.839,brandler,0.684,yrkesidkare,0.503,flamliga,0.505,arbetarebörsen,0.511
71,qvarstår,0.839,kringirrande,0.684,origi,0.503,affärsfirmor,0.504,tillvärkat,0.511
72,förmode,0.839,ihogkomma,0.684,konstidkare,0.503,affärskarl,0.504,rockefeller,0.511
73,öfwerwara,0.839,tilräckeligen,0.684,borgareed,0.503,lefwebröd,0.504,arguelles,0.511
74,obehöflig,0.839,vinlägga,0.684,kroppsarbeta,0.503,fickpeng,0.504,penningmän,0.511
75,ögonvittne,0.839,linek,0.683,separera,0.502,ansörtrodt,0.504,flavifla,0.511
76,relevera,0.839,därutinnan,0.683,frejdadt,0.502,tilbjuder,0.504,försvarsnihilist,0.51
77,afskudda,0.839,fcar,0.683,vibe,0.502,erbudit,0.503,interviewa,0.51
78,åsyftning,0.839,storherrns,0.683,uppstoppa,0.502,mires,0.503,tilbjuder,0.51
79,tiller,0.839,tigheten,0.683,samvetspligt,0.501,envojé,0.503,lefwebröd,0.51
80,fulländadt,0.839,supplera,0.683,sigvid,0.501,deprez,0.503,aisigt,0.51
81,undvara,0.839,ordf,0.683,seemann,0.501,sörwerkliga,0.503,sörwerkliga,0.509
82,påkalladt,0.839,fårskötsel,0.683,belefvenhet,0.501,rockefeller,0.502,ntwidga,0.509
83,rättsenlig,0.838,wetenskap,0.682,skulpturverk,0.501,odger,0.502,välgörenhetsverk,0.509
84,synagoga,0.838,kicka,0.682,direklör,0.501,wärfningar,0.502,dempster,0.509
85,svartsjuka,0.838,omgifwcn,0.682,savoir,0.501,penningmän,0.502,regeriogen,0.509
