,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
51,flykting,0.79,philosophi,0.664,våglängd,0.555,bibliografisk,0.486,etnografi,0.476,elektroteknik,0.487
52,xii,0.79,mathematik,0.664,compl,0.553,vigtigasle,0.485,orientering,0.475,agrikultur,0.487
53,krönika,0.79,musikbilaga,0.664,elementarundervisning,0.551,komparativ,0.485,själslifvets,0.475,interessantaste,0.487
54,atstilliga,0.79,register,0.663,strödd,0.55,veckorevy,0.484,agrikultur,0.474,inlandsis,0.486
55,harn,0.79,historista,0.662,lexica,0.549,sydafrikansk,0.484,psykisk,0.474,språkvetenskap,0.486
56,matredning,0.79,karakteristik,0.662,arkif,0.549,kulturförhållanden,0.484,etnisk,0.474,hydrografisk,0.485
57,sednares,0.789,edition,0.662,register,0.548,ordregister,0.484,eldslandet,0.473,kulturperiod,0.485
58,tze,0.789,antiqvarisk,0.662,planeher,0.547,ishaf,0.483,historisk,0.473,språkforskning,0.485
59,stump,0.789,stålstick,0.661,musikbilaga,0.547,allmänfattlig,0.483,astro,0.469,störsfa,0.485
60,hällct,0.789,algebra,0.661,naturvetenskap,0.547,naturhistorisk,0.483,interessantaste,0.469,turista,0.485
61,losta,0.789,theoretiska,0.661,livius,0.547,krigsvetenskaplig,0.482,polarregion,0.468,astro,0.484
62,fdrst,0.789,subskriptionspriset,0.66,aritmetik,0.547,biografi,0.48,kulturskildring,0.468,jernindustriens,0.484
63,inbinda,0.789,matematik,0.66,naturkunnighet,0.547,lexi,0.478,nubisk,0.468,nationalekonomisk,0.484
64,sång,0.789,sedolära,0.659,poppe,0.547,varukännedom,0.478,språkforskning,0.468,naturbeskaffenhet,0.484
65,epistel,0.788,öfversatt,0.659,fåtal,0.546,ethnografi,0.477,etnologisk,0.468,växtnamn,0.483
66,stickelighet,0.788,läsvärd,0.657,ordbok,0.546,antropologi,0.477,inlandsis,0.467,naturhistorisk,0.483
67,vas,0.788,kalender,0.657,tabellarisk,0.545,sevärd,0.476,teosofisk,0.467,deklination,0.483
68,ilka,0.787,kompl,0.657,theologi,0.545,arktisk,0.476,turista,0.467,vidtbereste,0.482
69,aller,0.787,lindeblad,0.657,historistt,0.545,vetenskaplig,0.475,numismatik,0.467,etnografi,0.481
70,disputation,0.787,kyrkohistoria,0.656,formation,0.545,läkekonst,0.475,begynta,0.467,folkpoesi,0.481
71,afstrift,0.787,lidr,0.656,uppsattser,0.544,förhistorisk,0.474,studentsällskap,0.466,östafrikansk,0.481
72,syne,0.787,plancher,0.656,mellanradig,0.544,alrika,0.473,deklination,0.466,krigsvetenskap,0.48
73,ideal,0.787,folkvisa,0.656,tiska,0.544,historisk,0.473,kronologisk,0.466,topografisk,0.48
74,pappersmynt,0.786,zoologi,0.655,skönlitteratur,0.544,upptäcktsresa,0.472,veterinärmedicin,0.466,hvafs,0.48
75,aftryck,0.786,ildr,0.655,handelsvetenskap,0.543,skaldeverk,0.472,aktuell,0.465,skönliterära,0.479
76,nordista,0.786,statistisk,0.654,brochyrer,0.543,filologisk,0.472,ishaf,0.465,kartografisk,0.479
77,skick,0.786,fornt,0.654,ängsvattning,0.543,originaluppsats,0.472,algebraisk,0.464,handelshistoria,0.479
78,fullständighet,0.785,tillökt,0.654,mundt,0.543,interessantaste,0.472,elektroteknik,0.464,centralafrika,0.479
79,bedaga,0.785,reuter,0.654,folklifvet,0.543,kulturperiod,0.472,qvadratmils,0.464,ishaf,0.479
80,taleman,0.784,siljes,0.654,estetisk,0.542,konstindustriell,0.472,bibliografi,0.463,kongofloden,0.479
81,vidsträckt,0.784,öfversätta,0.654,teologi,0.542,meteorologi,0.471,sedolärande,0.463,storiska,0.478
82,hmaraf,0.784,qvarstående,0.652,animal,0.542,prak,0.471,astronomisk,0.463,socialekonomisk,0.478
83,begynnare,0.784,utterö,0.652,geologi,0.541,kapkolonien,0.471,belletristisk,0.462,klimatologisk,0.478
84,undcrwisning,0.783,öfversigt,0.652,fornålder,0.541,belletristisk,0.47,skolförhållande,0.462,etnisk,0.477
85,hinderlig,0.783,naturvetenskap,0.651,afhandlande,0.54,theologien,0.47,kenia,0.461,veterinärmedicin,0.476
86,amb,0.783,humoristisk,0.65,vetenskaplig,0.54,målarkonst,0.47,smithsonian,0.461,numismatik,0.475
87,skandinavien,0.783,geograf,0.65,statshushållning,0.54,landsortsnyheter,0.47,folkpoesi,0.461,petermanns,0.475
88,afgifwande,0.782,bulwer,0.649,kronologisk,0.539,specialkarta,0.47,skönliterära,0.461,arbetareförhållandena,0.475
89,lv,0.782,mythologi,0.649,tecknisk,0.539,spektralanalys,0.47,extension,0.46,belletristisk,0.475
90,arbor,0.782,inneh,0.649,herschel,0.538,jernindustriens,0.47,klimatologisk,0.46,amnö,0.474
91,inrätt,0.782,tieck,0.648,geographi,0.538,statssystem,0.469,vidtbereste,0.459,specialkarta,0.474
92,matrikel,0.782,prosaiker,0.648,linearteckning,0.538,djurrike,0.469,popularisera,0.459,östasiatisk,0.474
93,boklador,0.782,uplaga,0.648,kyrkohistoria,0.538,gradmätning,0.469,hvafs,0.459,kenia,0.474
94,motto,0.781,elementar,0.648,tidehvarfvet,0.538,handelsgeografi,0.469,payer,0.458,smithsonian,0.473
95,upphjelpa,0.781,skribent,0.647,stilöfning,0.537,vetenskaplighet,0.468,växtnamn,0.458,teosofisk,0.473
96,bruzelii,0.781,exempl,0.647,rikhaltighet,0.537,lefnadsteckningar,0.468,storiska,0.457,algebraisk,0.473
97,jurnal,0.781,prospektus,0.646,mechanik,0.537,jordbeskrifning,0.468,språkvetenskaplig,0.457,postal,0.472
98,förbanna,0.781,naturforskare,0.646,geographie,0.537,gödsellära,0.468,illustrativ,0.457,världslitteratur,0.472
99,glädjerop,0.781,theoretisk,0.646,välskrifning,0.536,petermann,0.468,maspero,0.457,madridska,0.472
