,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,jesuit,0.789,intellektuel,0.699,undervisningssätt,0.601,helsolärans,0.536,helsolärans,0.542,kommunalkunskap,0.535
1,frua,0.774,historik,0.697,helsovård,0.59,ingeniörvetenskap,0.483,ekonomisk,0.535,helsolära,0.522
2,xii,0.773,bokhålleri,0.694,kameral,0.582,kameral,0.469,helsolära,0.516,helsolärans,0.518
3,tjenstemän,0.77,lifskraft,0.69,militärväsende,0.576,räkenskapsföring,0.455,kommunalkunskap,0.492,landtbrnket,0.503
4,arwid,0.768,landthushållning,0.687,rättsförhållande,0.576,husdjursskötsel,0.451,wetenskaper,0.489,landtbruksbokföring,0.5
5,academie,0.764,öfrigit,0.683,sanitär,0.574,bankwäsendet,0.449,naturkunskap,0.489,anvärfva,0.497
6,mekanik,0.763,välskrifning,0.683,statsekonomi,0.572,helsovård,0.448,husdjursskötsel,0.486,ladugärdsskötseln,0.495
7,astronomi,0.763,sammanfatta,0.681,styrelseverk,0.572,speciclt,0.447,landtbrnket,0.48,växtkultur,0.495
8,ekonomisk,0.762,mathematik,0.679,beskattningsrätt,0.57,undervisningsväsende,0.446,landthushållning,0.478,naturkunskap,0.493
9,geographien,0.761,theoretiska,0.676,teoretisk,0.567,växtodling,0.446,kreditlagstiftning,0.473,veterinärkunskap,0.492
10,aller,0.754,föresyn,0.676,skogshushållning,0.566,medicinal,0.445,förkofring,0.47,husdjursskötsel,0.49
11,hermelin,0.754,kristendom,0.676,kommerciella,0.564,öfverintendentsembetets,0.442,agrikultur,0.469,barnavård,0.488
12,thorn,0.751,kommerciel,0.674,techniska,0.562,helsolära,0.438,statsvetenskaplig,0.469,landthushållning,0.487
13,kandidat,0.751,teknisk,0.673,trädgårdsskötsel,0.562,grufbrytning,0.438,veterinärkunskap,0.468,brukshandtering,0.485
14,musikalier,0.75,kommerciella,0.67,anatomi,0.561,funder,0.438,tweckling,0.467,räkenskapsföring,0.483
