,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
45,undergäng,0.883,odygd,0.753,älstare,0.65,laglydig,0.531,vital,0.481,värnepligt,0.407,ömsesidighetsprincip,0.425,sjelfbestämning,0.457
46,snö,0.883,giltig,0.753,männi,0.65,skrifta,0.531,mänsklig,0.481,amvändt,0.407,ortförhållandena,0.425,synsinne,0.456
47,fäledes,0.883,upfylla,0.752,witza,0.649,hinderlig,0.53,tverlom,0.481,urkälla,0.406,interpunktion,0.425,luftbad,0.455
48,lösen,0.883,niell,0.752,skapa,0.647,8gon,0.53,arbetssätt,0.481,kommunall,0.405,giftstadga,0.425,verldsordning,0.455
49,twäng,0.882,twifwel,0.752,betänka,0.647,skrå,0.53,odisputabel,0.48,ordspråk,0.405,indelningsgrund,0.424,omkostning,0.455
50,begrepp,0.882,ssall,0.751,otillräcklig,0.647,riskera,0.53,börtie,0.48,unionela,0.405,öfwergiswa,0.424,alltförmycket,0.455
51,pohlen,0.882,redelige,0.751,öfwertygelse,0.647,böckerne,0.529,andemening,0.48,samhällsmakt,0.405,differentialtull,0.424,låneanstalt,0.455
52,smälta,0.882,trötta,0.75,mänsklig,0.647,synagoga,0.529,gjoide,0.48,förutsedt,0.405,differera,0.424,prognos,0.455
53,fdr,0.88,bätre,0.75,sräga,0.647,lagstiftare,0.529,fabriksnäring,0.48,lagadt,0.404,kvarnhus,0.424,delningsgrund,0.454
54,giorde,0.88,uppenbarligen,0.75,auctors,0.647,utgångspunkt,0.529,fullmyndig,0.48,alfid,0.404,allmängiltighet,0.424,lexläsningen,0.453
55,ss,0.879,bekännelse,0.75,uplysningen,0.646,öfverträda,0.529,mahanda,0.479,autydt,0.404,belvis,0.422,påräknelig,0.453
56,känning,0.879,politista,0.75,ensidig,0.646,tolerera,0.529,lagparagraf,0.479,förhållningsreglor,0.404,fundamental,0.421,reglorna,0.453
57,blotta,0.879,stadfästa,0.75,utgifna,0.646,stonsmäl,0.528,tröstare,0.479,förhållningsregel,0.403,premiesats,0.421,specialkunskap,0.453
58,twista,0.879,förfarenhet,0.75,auctorn,0.645,ministeriel,0.528,nögde,0.479,rättsgrundsats,0.403,telegrafreglemente,0.421,tullskrankor,0.453
59,wäld,0.879,inig,0.749,bätre,0.645,foui,0.528,parasit,0.478,intresseuträkning,0.403,hafresorter,0.421,kyrkobesök,0.453
60,likhet,0.878,flör,0.749,frägas,0.645,tryckfrihetsbrott,0.527,forfattning,0.478,tidsfråga,0.402,rättsgrundsats,0.421,efterlefdes,0.453
61,hanö,0.878,lyckelig,0.749,wägra,0.644,opartiskhet,0.527,optimist,0.478,granlagenhet,0.401,rangklass,0.42,straffart,0.453
62,oförmodad,0.878,oförnuftig,0.749,förbannelse,0.644,älägga,0.527,konventikelplakat,0.478,råget,0.401,berusningsmedel,0.42,torgbesökande,0.453
63,afhöra,0.877,häfva,0.749,namna,0.644,förhastadt,0.527,lörslag,0.477,sosa,0.401,skönhetsideal,0.42,afskrädeshögar,0.452
64,koja,0.877,meri,0.748,kalender,0.643,monarkisk,0.527,auctorer,0.476,behöfives,0.4,ockiå,0.42,löfteseder,0.452
65,nb,0.877,medge,0.748,princip,0.643,islam,0.527,statsform,0.475,axiom,0.4,officieit,0.42,slöjdgren,0.452
66,fadren,0.876,philosoph,0.748,vörda,0.643,manér,0.526,pedantisk,0.475,melser,0.4,bestämbar,0.42,bokköp,0.452
67,buller,0.876,hata,0.748,uptacka,0.643,maxim,0.526,ordspråk,0.475,pariserbefolkningen,0.4,måite,0.42,nättema,0.452
68,hafwcr,0.876,syndig,0.748,lätom,0.643,mänsklig,0.526,princip,0.475,landssorg,0.4,förutsedt,0.42,kompromissrätt,0.452
69,åligga,0.876,försigtig,0.747,sannt,0.643,theorier,0.526,sauna,0.475,afwiker,0.4,låneanstalt,0.419,uppbördssätt,0.452
70,dyrhet,0.875,böre,0.747,ädraga,0.643,eord,0.526,axiom,0.475,utskratta,0.4,norm,0.419,penningeuppoffringar,0.451
71,frälsare,0.875,wägat,0.747,imitation,0.643,tvungen,0.526,valprincipen,0.475,otillämplig,0.399,fråmmande,0.419,bäller,0.451
72,träta,0.875,flutar,0.747,sjelswe,0.642,lagbok,0.525,faeta,0.475,lefnadskall,0.399,bovilja,0.419,kompaniexercis,0.451
73,bedrägeri,0.875,förmåga,0.746,strift,0.642,beskrifvas,0.525,åsyftning,0.475,sundhetspolis,0.399,afseendon,0.419,affärsbrancher,0.451
74,lian,0.875,uptacka,0.746,ägtenstap,0.642,laglydnad,0.525,kosmopolitisk,0.474,motif,0.399,formförändring,0.419,katekesläsning,0.451
75,narwarande,0.875,wisserligen,0.746,christendom,0.642,innovation,0.525,bildningsmedel,0.474,rättssökande,0.398,sammangjutning,0.419,ömsesidighetsprincip,0.451
76,siq,0.875,förlika,0.746,undersåte,0.642,orättwisa,0.525,saliggörande,0.474,allmängiltig,0.398,dennu,0.419,biämne,0.451
77,hä,0.875,blix,0.746,helgedom,0.641,omarbetning,0.525,visn,0.474,digheterna,0.397,historici,0.419,lärarno,0.45
78,hämd,0.874,ssäl,0.745,intereste,0.641,gyckel,0.525,tilllämpa,0.473,hvardagsmenniska,0.397,kompaniexercis,0.419,hemläsning,0.45
79,gynnare,0.874,omöjligen,0.745,christne,0.641,merändels,0.524,växtrike,0.473,kyrkogång,0.397,återinlösa,0.419,rotehjon,0.45
80,usel,0.874,mell,0.745,spräkets,0.641,svål,0.524,lagstadgande,0.473,polisåtgärd,0.397,vegetativ,0.419,veckotal,0.45
81,gudinna,0.874,bwars,0.745,uplysningar,0.641,bortglömd,0.523,afsvärja,0.473,tillåtlig,0.397,noggraunt,0.418,amalgamering,0.449
82,nägonsin,0.874,rättwist,0.745,hungrig,0.641,statsrätt,0.523,annau,0.473,bchöfdes,0.397,barbarist,0.418,intrigmakare,0.449
83,leka,0.874,digt,0.744,upmarksamhet,0.64,bemärkt,0.523,inkonstitutionell,0.472,afwikelser,0.397,distriktsindelning,0.418,fastlästa,0.449
84,foster,0.874,fäger,0.744,gikt,0.64,hänsyftning,0.523,besvärjelse,0.472,undantagsförhållande,0.397,tverlom,0.418,läxa,0.449
85,tvet,0.873,ledsam,0.744,onekligen,0.64,vallag,0.523,folkrepresentation,0.472,slentrian,0.397,mattstock,0.418,måhånda,0.449
86,stämning,0.873,träldom,0.744,ssäl,0.64,appell,0.523,öljd,0.472,föreskrefve,0.396,intresseuträkning,0.417,lefnadskall,0.449
87,mins,0.873,sticklighet,0.744,otacksam,0.64,embetsmyndighet,0.523,gradering,0.472,lagtolkning,0.396,skolstadium,0.417,tvångsförsäkring,0.449
88,namne,0.873,helgedom,0.743,werkställighet,0.64,godtycke,0.523,lagstiftningsåtgärd,0.471,pedanteri,0.396,hvarfven,0.417,hälgd,0.449
89,ssola,0.873,romare,0.743,därstap,0.639,sympathier,0.523,öfwerdrifwen,0.471,gheter,0.396,nödfallsutväg,0.417,behöiver,0.449
90,winning,0.873,styldig,0.743,bedömma,0.639,troligtwis,0.522,grundidé,0.471,dessförutan,0.396,grammatisk,0.417,sedlighetsbegrepp,0.449
91,kännedom,0.872,förgäten,0.743,falstt,0.639,uppställande,0.522,allinänhet,0.471,fullmyndig,0.396,sosa,0.417,stadgauden,0.449
92,wise,0.872,efterapa,0.742,doch,0.639,männe,0.522,willfarelse,0.471,jargon,0.396,laxermedel,0.417,egentli,0.449
93,samwete,0.872,förfwara,0.742,kännemärke,0.639,förpligtelse,0.522,motif,0.47,läkemetod,0.396,efterlefdes,0.417,svårbegriplig,0.448
94,frägan,0.872,förtjenar,0.742,anwanda,0.639,odygd,0.522,positif,0.47,uttydt,0.395,näfrätt,0.417,försäkringspligtig,0.448
95,trött,0.872,werkelig,0.742,häpnad,0.638,straffbestämmelse,0.521,regeneration,0.47,nationalangelägenhet,0.395,ordeu,0.417,nastik,0.448
96,vetta,0.872,blodsutgjutelse,0.742,epistel,0.638,olika,0.521,sakförhållande,0.47,tverlom,0.395,underwisuingen,0.417,tidsindelning,0.448
97,nyfikenhet,0.872,önstan,0.741,rädas,0.638,beliöfver,0.521,abstrakt,0.47,auktionskungörelse,0.395,sakfråga,0.416,valområde,0.448
98,mae,0.872,önskan,0.741,bättring,0.638,stadganderne,0.521,sanut,0.47,ftäl,0.395,spjel,0.416,ortförhållandena,0.448
99,trygg,0.872,sannerligen,0.741,lagstiftning,0.638,allr,0.521,upphäfwas,0.47,oemotsäglig,0.395,synsinne,0.416,tämmelig,0.448
